Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.029761	
0.001	0.029761	
0.002	0.0298433	
0.003	0.0298433	
0.004	0.0296309	
0.005	0.0296309	
0.006	0.0297069	
0.007	0.0297069	
0.008	0.0297212	
0.009	0.0297212	
0.010	0.0293906	
0.011	0.0293906	
0.012	0.0296667	
0.013	0.0297355	
0.014	0.0296023	
0.015	0.029632	
0.016	0.029632	
0.017	0.0296909	
0.018	0.0297788	
0.019	0.0298722	
0.020	0.029834	
0.021	0.029834	
0.022	0.0299265	
0.023	0.030071	
0.024	0.0300388	
0.025	0.0300171	
0.026	0.0300079	
0.027	0.029935	
0.028	0.0300679	
0.029	0.0300731	
0.030	0.030019	
0.031	0.0300146	
0.032	0.0299617	
0.033	0.0298601	
0.034	0.0299162	
0.035	0.0300699	
0.036	0.0300035	
0.037	0.0298178	
0.038	0.0298027	
0.039	0.0298553	
0.040	0.0299978	
0.041	0.0299373	
0.042	0.0298938	
0.043	0.0297618	
0.044	0.0297996	
0.045	0.0298943	
0.046	0.0298906	
0.047	0.0297707	
0.048	0.0297263	
0.049	0.0296843	
0.050	0.0299337	
0.051	0.0297873	
0.052	0.0297479	
0.053	0.0296593	
0.054	0.0298631	
0.055	0.0298348	
0.056	0.029818	
0.057	0.0298743	
0.058	0.0298778	
0.059	0.0300586	
0.060	0.0301535	
0.061	0.0300288	
0.062	0.0300622	
0.063	0.0301296	
0.064	0.0303149	
0.065	0.0303635	
0.066	0.0303178	
0.067	0.0302652	
0.068	0.030111	
0.069	0.030111	
0.070	0.030405	
0.071	0.0304587	
0.072	0.0302936	
0.073	0.0301455	
0.074	0.0300788	
0.075	0.030288	
0.076	0.030288	
0.077	0.030252	
0.078	0.0299564	
0.079	0.0298356	
0.080	0.0299641	
0.081	0.0300557	
0.082	0.0300985	
0.083	0.0299105	
0.084	0.029757	
0.085	0.029666	
0.086	0.0297861	
0.087	0.0298463	
0.088	0.0297338	
0.089	0.0295954	
0.090	0.0296254	
0.091	0.029574	
0.092	0.029574	
0.093	0.0296808	
0.094	0.0296808	
0.095	0.0295993	
0.096	0.0296896	
0.097	0.029832	
0.098	0.029832	
0.099	0.0299176	
0.100	0.0300264	
0.101	0.0300264	
0.102	0.0300481	
0.103	0.0300481	
0.104	0.0303662	
0.105	0.0303838	
0.106	0.030476	
0.107	0.030476	
0.108	0.0303503	
0.109	0.0306128	
0.110	0.0306106	
0.111	0.0305841	
0.112	0.0305275	
0.113	0.0306493	
0.114	0.0306127	
0.115	0.0305086	
0.116	0.0305315	
0.117	0.0305526	
0.118	0.0304271	
0.119	0.0304852	
0.120	0.0304852	
0.121	0.0303577	
0.122	0.0303084	
0.123	0.030223	
0.124	0.0301873	
0.125	0.0300886	
0.126	0.0300863	
0.127	0.029971	
0.128	0.0298703	
0.129	0.0297413	
0.130	0.0298115	
0.131	0.0298344	
0.132	0.0297026	
0.133	0.0297154	
0.134	0.0295059	
0.135	0.0294569	
0.136	0.029713	
0.137	0.0298256	
0.138	0.0296989	
0.139	0.0296004	
0.140	0.0296548	
0.141	0.0297772	
0.142	0.0299668	
0.143	0.0301369	
0.144	0.0300816	
0.145	0.0299778	
0.146	0.0302363	
0.147	0.0303895	
0.148	0.0304231	
0.149	0.0304688	
0.150	0.0304995	
0.151	0.0305588	
0.152	0.0305498	
0.153	0.0305256	
0.154	0.0305998	
0.155	0.0306804	
0.156	0.03064	
0.157	0.0304714	
0.158	0.0304195	
0.159	0.0304797	
0.160	0.0304949	
0.161	0.0304692	
0.162	0.0302829	
0.163	0.0302853	
0.164	0.0303149	
0.165	0.0302231	
0.166	0.0300572	
0.167	0.0299676	
0.168	0.0301018	
0.169	0.0299649	
0.170	0.0297807	
0.171	0.0297916	
0.172	0.0296034	
0.173	0.029564	
0.174	0.02953	
0.175	0.0295237	
0.176	0.0294598	
0.177	0.0293993	
0.178	0.0294027	
0.179	0.0293544	
0.180	0.0293248	
0.181	0.0294574	
0.182	0.0295826	
