Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0298981	
0.001	0.0297707	
0.002	0.0297765	
0.003	0.0299706	
0.004	0.0300331	
0.005	0.0299355	
0.006	0.029858	
0.007	0.0298897	
0.008	0.0299917	
0.009	0.0300268	
0.010	0.0300415	
0.011	0.0298194	
0.012	0.0296156	
0.013	0.0296156	
0.014	0.029948	
0.015	0.0299002	
0.016	0.0297346	
0.017	0.0295134	
0.018	0.0293536	
0.019	0.0295851	
0.020	0.0297616	
0.021	0.0296412	
0.022	0.0293249	
0.023	0.0292252	
0.024	0.0294729	
0.025	0.0296035	
0.026	0.0295941	
0.027	0.029505	
0.028	0.029319	
0.029	0.029319	
0.030	0.0296376	
0.031	0.0297748	
0.032	0.0296406	
0.033	0.0294951	
0.034	0.029403	
0.035	0.029599	
0.036	0.0298549	
0.037	0.0298462	
0.038	0.0296934	
0.039	0.0295891	
0.040	0.0296285	
0.041	0.0297885	
0.042	0.0299014	
0.043	0.0298265	
0.044	0.0298555	
0.045	0.0299095	
0.046	0.0299234	
0.047	0.0300025	
0.048	0.0300085	
0.049	0.0299948	
0.050	0.0299597	
0.051	0.0299759	
0.052	0.03003	
0.053	0.0298273	
0.054	0.0296735	
0.055	0.029631	
0.056	0.0296934	
0.057	0.0297054	
0.058	0.0297724	
0.059	0.0296245	
0.060	0.0294416	
0.061	0.0294416	
0.062	0.0297309	
0.063	0.0296054	
0.064	0.0296415	
0.065	0.0296415	
0.066	0.029816	
0.067	0.029816	
0.068	0.0298909	
0.069	0.0298909	
0.070	0.0300999	
0.071	0.0300999	
0.072	0.0300478	
0.073	0.030016	
0.074	0.030137	
0.075	0.0302795	
0.076	0.0302133	
0.077	0.030121	
0.078	0.0300672	
0.079	0.0301425	
0.080	0.0302547	
0.081	0.0302547	
0.082	0.0301259	
0.083	0.0300962	
0.084	0.0301053	
0.085	0.0301531	
0.086	0.0302524	
0.087	0.0301391	
0.088	0.0301421	
0.089	0.0301113	
0.090	0.0301532	
0.091	0.0302736	
0.092	0.0303502	
0.093	0.0301805	
0.094	0.0300494	
0.095	0.030154	
0.096	0.0301622	
0.097	0.0302924	
0.098	0.0301383	
0.099	0.0299983	
0.100	0.0300219	
0.101	0.0300822	
0.102	0.0302107	
0.103	0.0301753	
0.104	0.0301688	
0.105	0.03018	
0.106	0.0303787	
0.107	0.0301963	
0.108	0.0300276	
0.109	0.0301964	
0.110	0.0302513	
0.111	0.0302649	
0.112	0.0304001	
0.113	0.0303156	
0.114	0.0301758	
0.115	0.0301845	
0.116	0.0303152	
0.117	0.0303137	
0.118	0.0303	
0.119	0.0303148	
0.120	0.0303031	
0.121	0.0302244	
0.122	0.0303005	
0.123	0.0303137	
0.124	0.030197	
0.125	0.0301739	
0.126	0.0302215	
0.127	0.0302595	
0.128	0.0302221	
0.129	0.0302763	
0.130	0.0301962	
0.131	0.0300089	
0.132	0.0300657	
0.133	0.0302284	
0.134	0.0301848	
0.135	0.0301145	
0.136	0.0301684	
0.137	0.029864	
0.138	0.0299438	
0.139	0.0301766	
0.140	0.030266	
0.141	0.030246	
0.142	0.0302331	
0.143	0.0301414	
0.144	0.0299838	
0.145	0.0301889	
0.146	0.0305846	
0.147	0.0306745	
0.148	0.0304449	
0.149	0.0304246	
0.150	0.030423	
0.151	0.0305534	
0.152	0.0308572	
0.153	0.0311656	
0.154	0.0308462	
0.155	0.0306756	
0.156	0.0306146	
0.157	0.0306292	
0.158	0.0309896	
0.159	0.0311923	
0.160	0.0307909	
0.161	0.0303583	
0.162	0.0302344	
0.163	0.0305603	
0.164	0.030838	
0.165	0.0309511	
0.166	0.0307393	
0.167	0.0301813	
0.168	0.0299487	
0.169	0.0301547	
0.170	0.0301547	
0.171	0.0305365	
0.172	0.0305153	
0.173	0.030417	
0.174	0.0300499	
0.175	0.0300532	
0.176	0.0300487	
0.177	0.0303021	
0.178	0.0302788	
0.179	0.03025	
0.180	0.03025	
0.181	0.0300194	
0.182	0.0298642	
0.183	0.0302096	
0.184	0.0304203	
0.185	0.0304252	
0.186	0.0304626	
0.187	0.0302641	
0.188	0.0301961	
0.189	0.0304361	
0.190	0.0307425	
0.191	0.030646	
0.192	0.0304846	
0.193	0.0305293	
0.194	0.0305185	
0.195	0.0305871	
0.196	0.0307747	
0.197	0.0307095	
0.198	0.0304806	
0.199	0.0306316	
0.200	0.0306694	
0.201	0.0306327	
0.202	0.0305875	
0.203	0.0305977	
0.204	0.0304699	
0.205	0.030245	
0.206	0.0302193	
0.207	0.0303505	
0.208	0.0304411	
0.209	0.0303199	
0.210	0.0301519	
0.211	0.0301519	
0.212	0.0302234	
0.213	0.0302182	
0.214	0.0300112	
0.215	0.0298109	
0.216	0.0297673	
0.217	0.0299055	
0.218	0.0299147	
