Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0298224	
0.001	0.0296762	
0.002	0.0296025	
0.003	0.0298536	
0.004	0.0300748	
0.005	0.0300865	
0.006	0.0297417	
0.007	0.0297417	
0.008	0.0301781	
0.009	0.030346	
0.010	0.0303525	
0.011	0.0300977	
0.012	0.0299661	
0.013	0.0301047	
0.014	0.0304143	
0.015	0.0305957	
0.016	0.0304588	
0.017	0.0301793	
0.018	0.0300526	
0.019	0.0301836	
0.020	0.0304416	
0.021	0.0303805	
0.022	0.030157	
0.023	0.0299185	
0.024	0.0299269	
0.025	0.030074	
0.026	0.0300331	
0.027	0.0299385	
0.028	0.0298036	
0.029	0.0296388	
0.030	0.0297404	
0.031	0.0299145	
0.032	0.0299038	
0.033	0.0295436	
0.034	0.0295584	
0.035	0.0297982	
0.036	0.0298375	
0.037	0.0297567	
0.038	0.0295973	
0.039	0.0295872	
0.040	0.0296531	
0.041	0.0298035	
0.042	0.0299806	
0.043	0.02981	
0.044	0.0296504	
0.045	0.0297227	
0.046	0.029875	
0.047	0.0300467	
0.048	0.0301622	
0.049	0.0301772	
0.050	0.0298791	
0.051	0.0300118	
0.052	0.030386	
0.053	0.0304346	
0.054	0.0303921	
0.055	0.0303777	
0.056	0.0302957	
0.057	0.030288	
0.058	0.0304839	
0.059	0.0307295	
0.060	0.0305007	
0.061	0.030359	
0.062	0.0302864	
0.063	0.0301836	
0.064	0.0302016	
0.065	0.0304033	
0.066	0.0302649	
0.067	0.0299991	
0.068	0.0298155	
0.069	0.0299374	
0.070	0.0299809	
0.071	0.0300356	
0.072	0.0300758	
0.073	0.0297333	
0.074	0.0295493	
0.075	0.0297662	
0.076	0.029888	
0.077	0.0297476	
0.078	0.0296487	
0.079	0.0296227	
0.080	0.0295208	
0.081	0.0296363	
0.082	0.0298469	
0.083	0.0297652	
0.084	0.0295724	
0.085	0.0295393	
0.086	0.0296988	
0.087	0.0296784	
0.088	0.0299221	
0.089	0.0302174	
0.090	0.0299082	
0.091	0.0298744	
0.092	0.0298744	
0.093	0.0299262	
0.094	0.03022	
0.095	0.0304599	
0.096	0.0306356	
0.097	0.0302817	
0.098	0.0301213	
0.099	0.0303818	
0.100	0.0305695	
0.101	0.0308097	
0.102	0.0307759	
0.103	0.0305083	
0.104	0.0301458	
0.105	0.0302294	
0.106	0.0305991	
0.107	0.0307073	
0.108	0.0305802	
0.109	0.030198	
0.110	0.0298634	
0.111	0.0299501	
0.112	0.0302461	
0.113	0.0303211	
0.114	0.0302124	
0.115	0.0302124	
0.116	0.0296528	
0.117	0.0296776	
0.118	0.0298645	
0.119	0.0300135	
0.120	0.0298524	
0.121	0.0294716	
0.122	0.0294206	
0.123	0.0294914	
0.124	0.02969	
0.125	0.0298506	
0.126	0.0297202	
0.127	0.0293391	
0.128	0.0293475	
0.129	0.0296546	
0.130	0.0298798	
0.131	0.0298739	
0.132	0.0297689	
0.133	0.0297689	
0.134	0.029716	
0.135	0.03003	
0.136	0.030452	
0.137	0.0304668	
0.138	0.0300149	
0.139	0.0300393	
0.140	0.0303588	
0.141	0.0306971	
0.142	0.0306992	
0.143	0.030552	
0.144	0.0302902	
0.145	0.0303189	
0.146	0.0305412	
0.147	0.0308565	
