Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0300159	
0.001	0.0301343	
0.002	0.0303668	
0.003	0.0303609	
0.004	0.0301019	
0.005	0.0298284	
0.006	0.0298576	
0.007	0.0300602	
0.008	0.0301337	
0.009	0.029922	
0.010	0.0297202	
0.011	0.0295768	
0.012	0.0297504	
0.013	0.0300104	
0.014	0.0300022	
0.015	0.0297091	
0.016	0.0296881	
0.017	0.029837	
0.018	0.0299957	
0.019	0.0301012	
0.020	0.0299481	
0.021	0.0298662	
0.022	0.0300076	
0.023	0.0302131	
0.024	0.0302847	
0.025	0.0302847	
0.026	0.0300099	
0.027	0.0299741	
0.028	0.0300954	
0.029	0.0303231	
0.030	0.0304059	
0.031	0.0302529	
0.032	0.030003	
0.033	0.0299673	
0.034	0.0301822	
0.035	0.0304073	
0.036	0.0305768	
0.037	0.0303106	
0.038	0.0300308	
0.039	0.0300225	
0.040	0.0302781	
0.041	0.0304768	
0.042	0.0305115	
0.043	0.0301489	
0.044	0.0298986	
0.045	0.0299416	
0.046	0.0302222	
0.047	0.0302866	
0.048	0.0301263	
0.049	0.0299299	
0.050	0.0297526	
0.051	0.0297996	
0.052	0.0300449	
0.053	0.0300883	
0.054	0.0299898	
0.055	0.0298031	
0.056	0.029825	
0.057	0.0299549	
0.058	0.030142	
0.059	0.0301387	
0.060	0.0299383	
0.061	0.0299237	
0.062	0.0299327	
0.063	0.0302106	
0.064	0.0302691	
0.065	0.0301401	
0.066	0.0300045	
0.067	0.0298764	
0.068	0.030134	
0.069	0.0302205	
0.070	0.0301748	
0.071	0.0301571	
0.072	0.0300563	
0.073	0.0299291	
0.074	0.0299965	
0.075	0.0301686	
0.076	0.0302014	
0.077	0.0301622	
0.078	0.0300661	
0.079	0.0299163	
0.080	0.0299127	
0.081	0.0301896	
0.082	0.0303667	
0.083	0.0302861	
0.084	0.0300535	
0.085	0.0299381	
0.086	0.029931	
0.087	0.0301121	
0.088	0.0302964	
0.089	0.0302883	
0.090	0.0300534	
0.091	0.02977	
0.092	0.0297762	
0.093	0.0300507	
0.094	0.0303889	
0.095	0.03033	
0.096	0.0299554	
0.097	0.029696	
0.098	0.029775	
0.099	0.0300365	
