Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.298252	
0.001	0.298948	
0.002	0.300167	
0.003	0.299945	
0.004	0.298232	
0.005	0.298232	
0.006	0.298609	
0.007	0.299338	
0.008	0.299213	
0.009	0.298267	
0.010	0.297836	
0.011	0.298723	
0.012	0.299654	
0.013	0.29933	
0.014	0.298228	
0.015	0.298536	
0.016	0.300104	
0.017	0.300905	
0.018	0.299843	
0.019	0.299262	
0.020	0.30097	
0.021	0.30097	
0.022	0.300647	
0.023	0.300647	
0.024	0.300411	
0.025	0.302143	
0.026	0.302514	
0.027	0.301178	
0.028	0.300537	
0.029	0.301702	
0.030	0.301702	
0.031	0.300945	
0.032	0.300007	
0.033	0.301325	
0.034	0.301325	
0.035	0.300031	
0.036	0.300031	
0.037	0.299969	
0.038	0.299969	
0.039	0.300464	
0.040	0.300464	
0.041	0.299239	
0.042	0.299239	
0.043	0.301089	
0.044	0.299886	
0.045	0.298894	
0.046	0.299644	
0.047	0.300263	
0.048	0.300053	
0.049	0.29964	
0.050	0.299405	
0.051	0.300054	
0.052	0.300358	
0.053	0.29972	
0.054	0.29972	
0.055	0.298216	
0.056	0.299435	
0.057	0.299734	
0.058	0.298893	
0.059	0.298383	
0.060	0.298498	
0.061	0.299658	
0.062	0.299894	
0.063	0.299107	
0.064	0.298129	
0.065	0.299109	
0.066	0.300566	
0.067	0.300725	
0.068	0.299935	
0.069	0.300374	
0.070	0.301371	
0.071	0.301486	
0.072	0.300272	
0.073	0.300263	
0.074	0.30165	
0.075	0.30267	
0.076	0.301776	
0.077	0.300618	
0.078	0.301071	
0.079	0.302293	
0.080	0.301914	
0.081	0.300294	
0.082	0.299837	
0.083	0.300844	
0.084	0.301201	
0.085	0.300013	
0.086	0.299415	
0.087	0.300206	
0.088	0.300939	
0.089	0.300036	
0.090	0.298746	
0.091	0.299041	
0.092	0.300349	
0.093	0.300703	
0.094	0.299573	
0.095	0.298826	
0.096	0.299299	
0.097	0.300404	
0.098	0.299842	
0.099	0.299158	
0.100	0.298584	
0.101	0.299427	
0.102	0.299925	
0.103	0.299207	
0.104	0.298291	
0.105	0.298044	
0.106	0.299012	
0.107	0.29955	
0.108	0.299188	
0.109	0.297846	
0.110	0.297969	
0.111	0.299028	
0.112	0.29923	
0.113	0.298954	
0.114	0.298621	
0.115	0.299645	
0.116	0.300818	
0.117	0.300311	
0.118	0.299269	
0.119	0.299615	
0.120	0.301198	
0.121	0.30168	
0.122	0.301045	
0.123	0.300323	
0.124	0.301374	
0.125	0.302631	
0.126	0.301693	
0.127	0.300704	
0.128	0.300987	
0.129	0.301998	
0.130	0.301686	
0.131	0.300286	
0.132	0.300102	
0.133	0.301439	
0.134	0.301602	
0.135	0.30028	
0.136	0.299256	
0.137	0.300101	
0.138	0.301004	
0.139	0.300253	
0.140	0.299017	
0.141	0.299404	
0.142	0.300691	
0.143	0.300896	
0.144	0.299885	
0.145	0.298929	
0.146	0.299609	
0.147	0.300471	
0.148	0.300126	
0.149	0.298961	
0.150	0.299249	
0.151	0.300065	
0.152	0.300383	
0.153	0.299284	
0.154	0.29816	
0.155	0.298277	
0.156	0.299175	
0.157	0.299724	
0.158	0.298933	
0.159	0.298053	
0.160	0.298664	
0.161	0.29975	
0.162	0.299838	
0.163	0.298634	
0.164	0.298217	
0.165	0.29942	
0.166	0.300773	
0.167	0.300727	
0.168	0.299873	
0.169	0.300087	
0.170	0.301848	
0.171	0.301848	
0.172	0.300498	
0.173	0.300187	
0.174	0.301319	
0.175	0.302717	
0.176	0.301754	
0.177	0.300675	
0.178	0.301053	
0.179	0.302186	
0.180	0.301835	
0.181	0.300323	
0.182	0.299813	
0.183	0.300918	
0.184	0.301412	
0.185	0.3002	
0.186	0.299457	
0.187	0.3007	
0.188	0.3007	
0.189	0.30011	
0.190	0.298881	
0.191	0.29914	
0.192	0.30046	
0.193	0.300742	
0.194	0.299521	
0.195	0.298651	
0.196	0.299395	
0.197	0.300652	
0.198	0.3005	
0.199	0.29889	
0.200	0.298552	
0.201	0.299277	
0.202	0.299973	
0.203	0.299973	
0.204	0.298065	
0.205	0.298065	
0.206	0.298947	
0.207	0.299606	
0.208	0.299031	
0.209	0.29789	
0.210	0.297862	
0.211	0.299115	
0.212	0.299626	
0.213	0.29833	
0.214	0.29885	
0.215	0.29885	
0.216	0.300945	
0.217	0.299789	
0.218	0.299789	
0.219	0.300302	
0.220	0.300302	
0.221	0.301123	
0.222	0.301123	
0.223	0.300581	
0.224	0.300581	
0.225	0.302279	
0.226	0.302279	
0.227	0.300498	
0.228	0.300498	
0.229	0.301883	
0.230	0.301883	
0.231	0.299742	
0.232	0.300699	
0.233	0.301724	
0.234	0.300936	
0.235	0.299492	
0.236	0.299266	
0.237	0.300396	
0.238	0.300704	
0.239	0.299545	
0.240	0.299038	
0.241	0.300096	
0.242	0.301026	
0.243	0.30027	
0.244	0.298856	
0.245	0.299171	
0.246	0.299171	
0.247	0.300629	
0.248	0.299551	
0.249	0.298882	
0.250	0.299623	
0.251	0.300516	
0.252	0.300351	
0.253	0.299037	
0.254	0.298263	
0.255	0.298781	
0.256	0.299454	
0.257	0.299335	
0.258	0.297962	
0.259	0.298444	
0.260	0.299513	
0.261	0.300007	
0.262	0.299358	
0.263	0.298277	
0.264	0.298436	
0.265	0.299918	
0.266	0.301072	
0.267	0.300333	
0.268	0.299701	
0.269	0.30045	
0.270	0.301874	
0.271	0.301313	
0.272	0.300175	
0.273	0.300656	
0.274	0.30205	
0.275	0.302135	
0.276	0.301179	
0.277	0.300748	
0.278	0.301677	
0.279	0.302103	
0.280	0.300768	
0.281	0.299759	
0.282	0.300585	
0.283	0.301598	
0.284	0.300945	
0.285	0.299439	
0.286	0.299396	
