Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-4.5509	
0.001	 -4.601	
0.002	-4.5313	
0.003	-4.5118	
0.004	-4.3108	
0.005	  -4.37	
0.006	-4.4519	
0.007	-4.3494	
0.008	-4.3096	
0.009	-4.1692	
0.010	-4.2257	
0.011	 -4.222	
0.012	 -4.099	
0.013	-4.1268	
0.014	-4.0321	
0.015	-3.9979	
0.016	-3.9297	
0.017	-3.9047	
0.018	-4.0862	
0.019	-3.9773	
0.020	-3.9241	
0.021	-3.9017	
0.022	-3.9392	
0.023	-4.1172	
0.024	-4.0196	
0.025	-4.0585	
0.026	-4.1895	
0.027	-4.2965	
0.028	-4.4031	
0.029	-4.2694	
0.030	-4.3422	
0.031	-4.4516	
0.032	-4.4004	
0.033	-4.4205	
0.034	-4.3347	
0.035	-4.4773	
0.036	-4.5113	
0.037	-4.3528	
0.038	-4.3589	
0.039	-4.3095	
0.040	-4.4421	
0.041	-4.4639	
0.042	-4.3442	
0.043	 -4.439	
0.044	-4.3674	
0.045	-4.3924	
0.046	-4.4065	
0.047	-4.4017	
0.048	-4.5306	
0.049	-4.4095	
0.050	-4.4065	
0.051	-4.4326	
0.052	-4.3457	
0.053	-4.3443	
0.054	-4.2102	
0.055	-4.2661	
0.056	-4.3727	
0.057	-4.2607	
0.058	-4.2386	
0.059	-4.0866	
0.060	-4.0637	
0.061	-4.0395	
0.062	-3.9322	
0.063	-4.0147	
0.064	-3.9153	
0.065	 -3.848	
0.066	 -3.774	
0.067	-3.7413	
0.068	-3.9662	
0.069	-3.9275	
0.070	-3.9022	
0.071	-3.8836	
0.072	-3.8685	
0.073	-4.0674	
0.074	-4.0488	
0.075	-4.1327	
0.076	-4.2787	
0.077	-4.2976	
0.078	-4.3674	
0.079	 -4.309	
0.080	 -4.472	
0.081	-4.5934	
0.082	-4.5013	
0.083	-4.5282	
0.084	-4.4708	
0.085	-4.6284	
0.086	-4.7078	
0.087	-4.6048	
0.088	-4.6648	
0.089	-4.6617	
0.090	-4.7517	
0.091	-4.6926	
0.092	-4.5356	
0.093	-4.6623	
0.094	-4.6329	
0.095	-4.6176	
0.096	-4.5244	
0.097	-4.4546	
0.098	-4.6142	
0.099	-4.5633	
0.100	-4.5684	
0.101	-4.5692	
0.102	-4.4928	
0.103	-4.5257	
0.104	-4.3378	
0.105	-4.3667	
0.106	-4.4206	
0.107	-4.3414	
0.108	-4.3491	
0.109	-4.2332	
0.110	-4.2799	
0.111	-4.1659	
0.112	-3.9625	
0.113	-4.0048	
