Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 8.9266	
0.001	 8.9313	
0.002	 8.7798	
0.003	 8.8633	
0.004	 8.9505	
0.005	 9.2934	
0.006	 9.6195	
0.007	 9.6389	
0.008	 9.5577	
0.009	 9.3014	
0.010	 9.5074	
0.011	 9.8461	
0.012	 9.9107	
0.013	 9.7851	
0.014	 9.4159	
0.015	 9.2656	
0.016	 9.2062	
0.017	 9.1762	
0.018	 9.3592	
0.019	 9.2866	
0.020	 9.1203	
0.021	 8.8556	
0.022	 8.7348	
0.023	 9.0172	
0.024	 9.1718	
0.025	 9.2569	
0.026	 9.0991	
0.027	  8.843	
0.028	  8.937	
0.029	 8.9771	
0.030	 9.2383	
0.031	 9.4248	
0.032	  9.275	
0.033	 9.0706	
0.034	 8.6724	
0.035	 8.7415	
0.036	 8.9538	
0.037	 9.0025	
0.038	 9.0025	
0.039	 8.5379	
0.040	 8.5379	
0.041	  8.191	
0.042	 8.1406	
0.043	 8.3234	
0.044	 8.3234	
0.045	 8.3582	
0.046	 8.1667	
0.047	 7.9152	
0.048	 7.9152	
0.049	 8.3184	
0.050	 8.3184	
0.051	  8.601	
0.052	  8.601	
0.053	 8.6213	
0.054	  8.755	
0.055	 9.1364	
0.056	 9.1364	
0.057	 9.4231	
0.058	 9.3135	
0.059	 9.0679	
0.060	 9.0679	
0.061	 9.5704	
0.062	 9.5704	
0.063	 9.6688	
0.064	 9.6688	
0.065	 9.1414	
0.066	 9.1414	
0.067	 8.9971	
0.068	 8.9971	
0.069	  9.288	
0.070	  9.288	
0.071	 8.9585	
0.072	 8.9585	
0.073	 8.8744	
0.074	 8.8744	
0.075	 9.2782	
0.076	 9.2782	
0.077	 8.9998	
0.078	 8.9998	
0.079	 9.0964	
0.080	 9.0964	
0.081	 9.6035	
0.082	 9.6035	
0.083	 9.3285	
0.084	 9.3285	
0.085	 9.1199	
0.086	 9.1199	
0.087	 9.3032	
0.088	 9.3032	
0.089	 8.8094	
0.090	 8.8094	
0.091	 8.6427	
0.092	 8.6427	
0.093	 8.6555	
0.094	 8.6555	
0.095	 8.5689	
0.096	 8.5689	
0.097	 8.1154	
0.098	 8.1154	
0.099	 8.7172	
0.100	 8.7172	
0.101	 9.1137	
0.102	 9.1137	
0.103	 8.7832	
0.104	 8.7832	
0.105	 9.1556	
0.106	 9.1556	
0.107	 9.8012	
0.108	 9.8012	
0.109	 9.3969	
0.110	 9.6863	
0.111	 9.6863	
0.112	  9.752	
0.113	  9.752	
0.114	 9.3252	
0.115	 9.3252	
0.116	 9.3252	
0.117	 9.2035	
0.118	 9.3092	
0.119	 9.3092	
0.120	 8.9337	
0.121	 8.9337	
0.122	 8.8874	
0.123	 8.8874	
0.124	 9.1614	
0.125	 9.1614	
0.126	 8.8187	
0.127	 8.8187	
0.128	 8.8726	
0.129	 8.8726	
0.130	 9.3845	
0.131	 9.3845	
0.132	 9.1345	
0.133	 9.1345	
0.134	 8.7973	
0.135	 8.7973	
0.136	 9.1905	
0.137	 9.1905	
0.138	 8.7671	
0.139	 8.7671	
0.140	 8.2831	
0.141	 8.2831	
0.142	 8.3477	
0.143	 8.3477	
0.144	 8.3314	
0.145	 8.3314	
0.146	   7.83	
0.147	   7.83	
0.148	 8.1826	
0.149	 8.1826	
0.150	 8.5728	
0.151	 8.5728	
0.152	 8.6254	
0.153	 8.6254	
0.154	 9.1103	
0.155	 9.1103	
0.156	 9.3854	
0.157	 9.3854	
0.158	 9.0936	
0.159	 9.0936	
0.160	 9.6334	
0.161	 9.6334	
0.162	 9.7341	
0.163	 9.7341	
0.164	  9.118	
0.165	  9.118	
0.166	 8.9051	
0.167	 8.9051	
0.168	 9.2243	
0.169	 9.2243	
0.170	 8.9302	
0.171	 8.9302	
0.172	 8.8666	
0.173	 8.8666	
0.174	 9.2497	
0.175	 9.2497	
0.176	 9.0183	
0.177	 9.0183	
0.178	 9.0113	
0.179	 9.0113	
0.180	 9.4187	
0.181	 9.4187	
0.182	 9.3106	
0.183	 9.3106	
0.184	 9.1287	
0.185	 9.1287	
0.186	 9.2684	
0.187	  9.257	
0.188	  8.714	
0.189	  8.714	
0.190	 8.5211	
0.191	 8.5211	
0.192	 8.5911	
0.193	 8.5911	
0.194	  8.521	
0.195	  8.521	
0.196	 8.2862	
0.197	 8.3163	
0.198	 8.3163	
0.199	 8.9207	
0.200	 8.9207	
0.201	 8.9555	
0.202	 8.7764	
0.203	 8.7603	
0.204	  8.831	
0.205	 9.2542	
0.206	 9.6782	
0.207	  9.732	
0.208	 9.6013	
0.209	 9.1943	
0.210	 9.2433	
0.211	 9.5316	
0.212	 9.7891	
0.213	 9.8776	
0.214	 9.6347	
0.215	 9.3805	
0.216	  9.088	
0.217	 8.9973	
0.218	 9.2187	
0.219	 9.2785	
0.220	 9.3336	
0.221	 9.0824	
0.222	 8.7487	
0.223	 8.8474	
0.224	 8.9023	
0.225	 9.0886	
0.226	 9.0499	
0.227	 8.8956	
0.228	 8.9263	
0.229	 8.9254	
0.230	 9.1515	
0.231	 9.3478	
0.232	 9.3017	
0.233	 9.2035	
0.234	 8.8683	
0.235	  8.958	
0.236	 9.1205	
0.237	 9.1249	
0.238	 9.0286	
0.239	 8.6184	
0.240	 8.4133	
0.241	 8.2573	
0.242	 8.2114	
0.243	 8.3517	
0.244	 8.3217	
0.245	 8.3123	
0.246	 8.0827	
0.247	 7.8375	
0.248	 8.0667	
0.249	 8.3211	
0.250	 8.6897	
0.251	 8.6858	
0.252	 8.5497	
0.253	 8.6457	
0.254	 8.7504	
0.255	 9.1383	
0.256	 9.5137	
0.257	 9.5971	
0.258	 9.5029	
0.259	 9.2114	
0.260	 9.3561	
0.261	 9.5688	
0.262	 9.7094	
0.263	 9.7031	
0.264	 9.4119	
0.265	 9.2314	
0.266	  9.029	
0.267	 8.9481	
0.268	 9.1215	
0.269	 9.1767	
0.270	 9.2297	
0.271	  8.952	
0.272	 8.6904	
0.273	 8.8623	
0.274	 8.9703	
0.275	 9.2443	
0.276	 9.1907	
0.277	 8.9878	
0.278	 8.9123	
0.279	 8.9139	
0.280	 9.2209	
0.281	  9.416	
0.282	 9.4071	
0.283	 9.3029	
0.284	 8.9897	
0.285	 9.0578	
0.286	 9.1806	
0.287	 9.2515	
0.288	 9.1446	
0.289	 8.8133	
0.290	 8.7214	
0.291	 8.6178	
0.292	 8.4888	
0.293	 8.5062	
0.294	 8.4105	
0.295	 8.4148	
0.296	 8.2187	
0.297	 8.0419	
0.298	 8.2784	
0.299	 8.4875	
0.300	 8.8023	
0.301	 8.8145	
0.302	 8.6551	
0.303	 8.6663	
0.304	 8.7593	
0.305	 9.1865	
0.306	 9.5618	
0.307	 9.6226	
0.308	 9.5214	
0.309	  9.165	
0.310	 9.2685	
0.311	  9.565	
0.312	 9.7864	
0.313	  9.801	
0.314	  9.801	
0.315	 9.2311	
0.316	 9.0656	
0.317	 9.0331	
0.318	 9.3067	
0.319	 9.3651	
0.320	 9.3651	
0.321	 9.0023	
0.322	 8.7123	
0.323	 8.8826	
0.324	 9.0198	
0.325	 9.2459	
0.326	 9.2459	
0.327	 9.0165	
0.328	 8.9772	
0.329	 8.9366	
0.330	 9.1709	
0.331	 9.4018	
0.332	 9.4018	
0.333	 9.2632	
0.334	 8.8886	
0.335	 8.9057	
0.336	 9.0086	
0.337	 9.0127	
0.338	 9.0127	
0.339	 8.5835	
0.340	 8.4275	
0.341	 8.2933	
0.342	 8.1993	
0.343	 8.2836	
0.344	 8.2836	
0.345	  8.261	
0.346	 8.0172	
0.347	 7.8089	
0.348	 8.0783	
0.349	 8.3587	
0.350	 8.3587	
0.351	  8.659	
0.352	 8.5149	
0.353	  8.603	
0.354	  8.702	
0.355	 9.1172	
0.356	 9.1172	
0.357	  9.541	
0.358	 9.4286	
0.359	 9.4286	
0.360	 9.1754	
0.361	 9.1754	
0.362	 9.6313	
0.363	 9.6313	
0.364	 9.5289	
0.365	 9.5289	
0.366	 9.0213	
0.367	 9.0213	
0.368	 9.1035	
0.369	 9.1035	
0.370	 9.3344	
0.371	 9.3344	
0.372	 8.7892	
0.373	 8.7892	
0.374	 8.9062	
0.375	 8.9062	
0.376	  9.257	
0.377	  9.257	
0.378	 9.1377	
0.379	 9.1377	
0.380	 9.3251	
