Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0302504	
0.001	0.030089	
0.002	0.0299102	
0.003	0.0300184	
0.004	0.0302478	
0.005	0.0304168	
0.006	0.0302597	
0.007	0.0299739	
0.008	0.0300574	
0.009	0.0302244	
0.010	0.0302927	
0.011	0.0302755	
0.012	0.030143	
0.013	0.0300895	
0.014	0.0301504	
0.015	0.0302799	
0.016	0.0303254	
0.017	0.0303512	
0.018	0.0303213	
0.019	0.0303213	
0.020	0.0303795	
0.021	0.0303795	
0.022	0.0307167	
0.023	0.0307167	
0.024	0.0306963	
0.025	0.0306963	
0.026	0.0306986	
0.027	0.0306986	
0.028	0.0310692	
0.029	0.0306814	
0.030	0.0306814	
0.031	0.0307404	
0.032	0.0307404	
0.033	0.0306499	
0.034	0.0304694	
0.035	0.030413	
0.036	0.030413	
0.037	0.0304417	
0.038	0.0304417	
0.039	0.0302123	
0.040	0.0302123	
0.041	0.0301984	
0.042	0.030116	
0.043	0.0302877	
0.044	0.0303066	
0.045	0.0300535	
0.046	0.0299628	
0.047	0.03011	
0.048	0.0302306	
0.049	0.0300411	
0.050	0.030066	
0.051	0.030066	
0.052	0.0299204	
0.053	0.0300209	
0.054	0.0300914	
0.055	0.0300914	
0.056	0.0297543	
0.057	0.0300838	
0.058	0.0303497	
0.059	0.0303392	
0.060	0.0301185	
0.061	0.0301285	
0.062	0.0301741	
0.063	0.0303416	
0.064	0.0303416	
0.065	0.0305741	
0.066	0.0303706	
0.067	0.0302699	
0.068	0.0304131	
0.069	0.0306462	
0.070	0.0307899	
0.071	0.030572	
0.072	0.0303831	
0.073	0.030412	
0.074	0.0306679	
0.075	0.0308471	
0.076	0.0306768	
0.077	0.0302931	
0.078	0.0301215	
0.079	0.0300506	
0.080	0.0303697	
0.081	0.0306463	
0.082	0.0304123	
0.083	0.0301342	
0.084	0.0299603	
0.085	0.0300283	
0.086	0.0301489	
0.087	0.0303134	
0.088	0.0300536	
0.089	0.0297882	
0.090	0.0298019	
0.091	0.0298543	
0.092	0.0299192	
0.093	0.0297179	
0.094	0.0295535	
0.095	0.0295154	
0.096	0.0297184	
0.097	0.0297821	
0.098	0.0295272	
0.099	0.0294392	
0.100	0.0297165	
0.101	0.0298241	
0.102	0.0298105	
0.103	0.0298114	
0.104	0.0298612	
0.105	0.0298612	
0.106	0.0299734	
0.107	0.030134	
0.108	0.0304719	
0.109	0.0304494	
0.110	0.0303364	
0.111	0.0303016	
0.112	0.0304285	
0.113	0.0306822	
0.114	0.0306299	
0.115	0.0305877	
0.116	0.0304787	
0.117	0.0305468	
0.118	0.0303632	
0.119	0.0302693	
0.120	0.0305106	
0.121	0.0302669	
0.122	0.0302669	
0.123	0.0300621	
0.124	0.0300341	
0.125	0.0301583	
0.126	0.0302892	
0.127	0.0301775	
0.128	0.0299241	
0.129	0.0298047	
0.130	0.0298039	
0.131	0.0298365	
0.132	0.0298357	
0.133	0.0297088	
0.134	0.0294043	
0.135	0.0292746	
0.136	0.0294573	
0.137	0.0295555	
0.138	0.0293938	
0.139	0.02917	
0.140	0.0290796	
0.141	0.0291809	
0.142	0.0294923	
0.143	0.0295841	
0.144	0.0295233	
0.145	0.029126	
0.146	0.0292577	
0.147	0.0297109	
0.148	0.029912	
0.149	0.0299099	
0.150	0.0297621	
0.151	0.029683	
0.152	0.0296812	
0.153	0.0301102	
0.154	0.0304704	
0.155	0.0302834	
0.156	0.0299708	
0.157	0.0298379	
0.158	0.0298571	
0.159	0.0302421	
0.160	0.0305099	
0.161	0.030544	
0.162	0.0303174	
0.163	0.0300039	
0.164	0.0299902	
0.165	0.0301253	
0.166	0.0302531	
0.167	0.0304196	
0.168	0.0301745	
0.169	0.0299508	
0.170	0.0300371	
0.171	0.0300654	
0.172	0.030047	
0.173	0.0298382	
0.174	0.0296919	
0.175	0.0295302	
0.176	0.0294806	
0.177	0.0295782	
0.178	0.0293716	
0.179	0.0294115	
0.180	0.0292047	
0.181	0.0290204	
0.182	0.0289104	
0.183	0.029153	
0.184	0.0294296	
0.185	0.0294296	
0.186	0.0292311	
0.187	0.0290777	
0.188	0.0292951	
0.189	0.0298664	
0.190	0.0299144	
0.191	0.0299144	
0.192	0.0298139	
0.193	0.0298126	
0.194	0.0300763	
0.195	0.0303194	
0.196	0.0306043	
0.197	0.0305679	
0.198	0.030139	
0.199	0.0301504	
0.200	0.0304705	
0.201	0.0305999	
0.202	0.0305033	
0.203	0.0303716	
0.204	0.030416	
0.205	0.030416	
0.206	0.0304853	
0.207	0.0304427	
0.208	0.0304427	
0.209	0.029976	
0.210	0.029976	
0.211	0.0302249	
0.212	0.0303615	
0.213	0.0303615	
0.214	0.0298988	
0.215	0.0298988	
0.216	0.0299815	
0.217	0.0299815	
0.218	0.02985	
0.219	0.0296993	
0.220	0.0295664	
0.221	0.0296313	
0.222	0.0296313	
0.223	0.0296095	
0.224	0.029443	
0.225	0.0292421	
0.226	0.0292421	
0.227	0.0297256	
0.228	0.029952	
0.229	0.0297356	
0.230	0.0294572	
0.231	0.0295255	
0.232	0.0298427	
0.233	0.0299072	
0.234	0.0299863	
0.235	0.0299836	
0.236	0.0298557	
0.237	0.0299817	
0.238	0.0301684	
0.239	0.0303191	
0.240	0.0304295	
0.241	0.0302089	
0.242	0.0300882	
0.243	0.0301312	
0.244	0.0305032	
0.245	0.0308899	
0.246	0.0306976	
0.247	0.0303471	
0.248	0.0302647	
0.249	0.0303924	
0.250	0.0306919	
0.251	0.0308073	
0.252	0.0307697	
0.253	0.0304324	
0.254	0.0304128	
0.255	0.0304568	
0.256	0.0304656	
0.257	0.0303395	
0.258	0.0301617	
0.259	0.0300222	
0.260	0.0299446	
0.261	0.0299742	
0.262	0.0298704	
0.263	0.0298553	
0.264	0.0298337	
0.265	0.029676	
0.266	0.0295224	
0.267	0.0297497	
0.268	0.0298104	
0.269	0.0298248	
