Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0293012	
0.001	0.0295519	
0.002	0.0296822	
0.003	0.0295835	
0.004	0.0295763	
0.005	0.0296659	
0.006	0.0298087	
0.007	0.0298349	
0.008	0.0295974	
0.009	0.0293418	
0.010	0.0293323	
0.011	0.029319	
0.012	0.0291782	
0.013	0.0287071	
0.014	0.0284174	
0.015	0.0284755	
0.016	0.0285722	
0.017	0.0284002	
0.018	0.0280742	
0.019	0.0279736	
0.020	0.0282956	
0.021	0.0288272	
0.022	0.0290496	
0.023	0.0289741	
0.024	0.0290709	
0.025	0.0295973	
0.026	0.0303404	
0.027	0.0307193	
0.028	0.0307665	
0.029	0.0308614	
0.030	0.0317592	
0.031	0.0317592	
0.032	0.0324481	
0.033	0.0324481	
0.034	0.0321808	
0.035	0.0323863	
0.036	0.0328044	
0.037	0.0327351	
0.038	0.0327351	
0.039	0.0316475	
0.040	0.0315281	
0.041	0.0315281	
0.042	0.0314575	
0.043	0.0308319	
0.044	0.0303938	
0.045	0.0303938	
0.046	0.030628	
0.047	0.030628	
0.048	0.0297505	
0.049	0.0297505	
0.050	0.0302952	
0.051	0.0302952	
0.052	0.0307662	
0.053	0.0307662	
0.054	0.0314128	
0.055	0.0314128	
0.056	0.0322378	
0.057	0.0320602	
0.058	0.0319753	
0.059	0.0322716	
0.060	0.0325231	
0.061	0.0325231	
0.062	0.0320567	
0.063	0.0319843	
0.064	0.0319893	
0.065	0.0320412	
0.066	0.0317375	
0.067	0.0313243	
0.068	0.0313243	
0.069	0.0311244	
0.070	0.031284	
0.071	0.031284	
0.072	0.0308959	
0.073	0.03083	
0.074	0.0308834	
0.075	0.031576	
0.076	0.0317069	
0.077	0.0316962	
0.078	0.0318472	
0.079	0.0319989	
0.080	0.0327176	
0.081	0.0328957	
0.082	0.0326513	
0.083	0.0326706	
0.084	0.0328633	
0.085	0.0330178	
0.086	0.032926	
0.087	0.0326602	
0.088	0.0324417	
0.089	0.0325056	
0.090	0.0324629	
0.091	0.0321927	
0.092	0.0321927	
0.093	0.0313481	
0.094	0.0313228	
0.095	0.0313228	
0.096	0.0311622	
0.097	0.0307448	
0.098	0.0304179	
0.099	0.0305098	
0.100	0.0307122	
0.101	0.0308182	
0.102	0.0307609	
0.103	0.0307598	
0.104	0.0310225	
0.105	0.0310225	
0.106	0.031561	
0.107	0.0318699	
0.108	0.0318889	
0.109	0.0321054	
0.110	0.0325968	
0.111	0.0330152	
0.112	0.0329669	
0.113	0.0328506	
0.114	0.0328737	
0.115	0.0330762	
0.116	0.0333106	
0.117	0.0330778	
0.118	0.0327303	
0.119	0.0324356	
0.120	0.032272	
0.121	0.0319747	
0.122	0.0316089	
0.123	0.0313452	
0.124	0.0311921	
0.125	0.030945	
0.126	0.0305532	
0.127	0.0304395	
0.128	0.0303606	
0.129	0.0303032	
0.130	0.0304594	
0.131	0.0307277	
0.132	0.0309049	
0.133	0.0311366	
0.134	0.0312321	
0.135	0.0313607	
0.136	0.0315767	
0.137	0.0315948	
0.138	0.0317657	
0.139	0.0316727	
0.140	0.0316298	
0.141	0.031438	
0.142	0.0312894	
0.143	0.031167	
0.144	0.0311209	
0.145	0.0308031	
0.146	0.0305789	
0.147	0.0302961	
0.148	0.0301995	
0.149	0.0299777	
0.150	0.0297515	
0.151	0.02975	
0.152	0.0294985	
0.153	0.029457	
0.154	0.0296959	
0.155	0.029967	
0.156	0.0300717	
0.157	0.0303066	
0.158	0.0303395	
0.159	0.0305577	
0.160	0.0312488	
0.161	0.0312488	
0.162	0.0312997	
0.163	0.0311827	
0.164	0.0312939	
0.165	0.0311966	
0.166	0.0311468	
0.167	0.0311608	
0.168	0.0311042	
0.169	0.030826	
0.170	0.0309139	
0.171	0.0305972	
0.172	0.030277	
0.173	0.0301492	
0.174	0.0301138	
0.175	0.0298937	
0.176	0.0295218	
0.177	0.0293304	
0.178	0.0292606	
0.179	0.0290239	
0.180	0.0290473	
0.181	0.0290996	
0.182	0.0291677	
0.183	0.0291565	
