Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 63.366	
0.001	 63.366	
0.002	 61.744	
0.003	 61.744	
0.004	 61.275	
0.005	 61.275	
0.006	 62.002	
0.007	 62.002	
0.008	 63.035	
0.009	 63.035	
0.010	 63.929	
0.011	 63.929	
0.012	 64.965	
0.013	 64.965	
0.014	 64.949	
0.015	 64.949	
0.016	 63.508	
0.017	 63.508	
0.018	 62.534	
0.019	 62.534	
0.020	 61.845	
0.021	 61.845	
0.022	  61.42	
0.023	  61.42	
0.024	 62.945	
0.025	 62.945	
0.026	 64.046	
0.027	 64.046	
0.028	 64.313	
0.029	 64.313	
0.030	  64.82	
0.031	  64.82	
0.032	 64.099	
0.033	 64.099	
0.034	 62.101	
0.035	 62.101	
0.036	 61.428	
0.037	 61.428	
0.038	 61.059	
0.039	 61.059	
0.040	 61.646	
0.041	 61.646	
0.042	 63.233	
0.043	 63.233	
0.044	 63.574	
0.045	 63.574	
0.046	 63.644	
0.047	 63.644	
0.048	 64.037	
0.049	 64.037	
0.050	 62.512	
0.051	 62.512	
0.052	 61.164	
0.053	 61.164	
0.054	 61.096	
0.055	 61.096	
0.056	 61.162	
0.057	 61.162	
0.058	 62.683	
0.059	 62.683	
0.060	 64.121	
0.061	 64.121	
0.062	 64.391	
0.063	 64.391	
0.064	 64.324	
0.065	 64.324	
0.066	 63.988	
0.067	 63.988	
0.068	 62.193	
0.069	 62.193	
0.070	 61.165	
0.071	 61.165	
0.072	 61.172	
0.073	 61.172	
0.074	 61.422	
0.075	 61.422	
0.076	 62.647	
0.077	 62.647	
0.078	 63.623	
0.079	 63.623	
0.080	 63.809	
0.081	 63.809	
0.082	 63.717	
0.083	 63.717	
0.084	  62.58	
0.085	  62.58	
0.086	 61.035	
0.087	 61.035	
0.088	 60.311	
0.089	 60.311	
0.090	  60.26	
0.091	  60.26	
0.092	 61.676	
0.093	 61.676	
0.094	 62.441	
0.095	 63.046	
0.096	 63.498	
0.097	 63.837	
0.098	 64.143	
0.099	 64.595	
0.100	 64.595	
0.101	 64.292	
0.102	 63.585	
0.103	 62.969	
0.104	 62.519	
0.105	 62.205	
0.106	 61.983	
0.107	 61.842	
0.108	 61.812	
0.109	 63.212	
0.110	 63.212	
0.111	 64.385	
0.112	 64.385	
0.113	 64.672	
0.114	 64.931	
0.115	 65.197	
0.116	 65.401	
0.117	 65.415	
0.118	 64.761	
0.119	 63.839	
0.120	 63.189	
0.121	 62.808	
0.122	 62.124	
0.123	 61.779	
0.124	 61.747	
0.125	  62.52	
0.126	 63.487	
0.127	 64.174	
0.128	 64.484	
0.129	 64.561	
0.130	 64.702	
0.131	 65.038	
0.132	 65.437	
0.133	  65.47	
0.134	 64.632	
0.135	 63.556	
0.136	 62.747	
0.137	 62.395	
0.138	 62.441	
0.139	 62.597	
0.140	   62.6	
0.141	   62.6	
0.142	 63.696	
0.143	 64.586	
0.144	  65.36	
0.145	  65.83	
0.146	 65.982	
0.147	 65.947	
0.148	 65.924	
0.149	 66.029	
0.150	 65.845	
0.151	 65.109	
0.152	 64.222	
0.153	 64.222	
0.154	 62.992	
0.155	 62.738	
0.156	 62.569	
0.157	 62.456	
0.158	 62.892	
0.159	 62.892	
0.160	 64.302	
0.161	 64.815	
0.162	 65.123	
0.163	 65.221	
0.164	 65.206	
0.165	 65.206	
0.166	 65.136	
0.167	 64.458	
0.168	 63.581	
0.169	 62.781	
0.170	 62.207	
0.171	 62.207	
0.172	 61.764	
0.173	 61.736	
0.174	 62.159	
0.175	 62.964	
0.176	 63.761	
0.177	 63.761	
0.178	 64.947	
0.179	 65.333	
0.180	 65.635	
0.181	 65.853	
0.182	 65.965	
0.183	 65.965	
0.184	  64.72	
0.185	  64.72	
0.186	 63.703	
0.187	 63.462	
0.188	 63.298	
0.189	 63.298	
0.190	 63.404	
0.191	 64.216	
0.192	 65.071	
0.193	 65.704	
0.194	 66.082	
0.195	 66.082	
