Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-115.11	
0.001	-115.11	
0.002	-113.82	
0.003	-113.82	
0.004	-112.92	
0.005	-112.92	
0.006	-112.74	
0.007	-112.74	
0.008	 -112.9	
0.009	 -112.9	
0.010	-114.13	
0.011	-114.13	
0.012	-114.94	
0.013	-114.94	
0.014	-115.17	
0.015	-115.17	
0.016	-115.12	
0.017	-115.12	
0.018	-114.13	
0.019	-114.13	
0.020	-113.31	
0.021	-113.31	
0.022	-112.66	
0.023	-112.66	
0.024	-112.09	
0.025	-112.09	
0.026	-112.48	
0.027	-112.48	
0.028	-112.64	
0.029	-112.64	
0.030	-112.72	
0.031	-112.72	
0.032	-112.23	
0.033	-112.23	
0.034	-110.88	
0.035	-110.88	
0.036	-110.41	
0.037	-110.41	
0.038	-109.96	
0.039	-109.96	
0.040	-109.75	
0.041	-109.75	
0.042	-110.64	
0.043	-110.64	
0.044	 -111.1	
0.045	 -111.1	
0.046	-111.44	
0.047	-111.44	
0.048	-110.85	
0.049	-110.85	
0.050	-109.71	
0.051	-109.71	
0.052	-108.73	
0.053	-108.73	
0.054	-107.98	
0.055	-107.98	
0.056	-107.94	
0.057	-107.94	
0.058	-108.69	
0.059	-108.69	
0.060	-109.45	
0.061	-109.45	
0.062	-110.01	
0.063	-110.01	
0.064	-109.96	
0.065	-109.96	
0.066	-109.41	
0.067	-109.41	
0.068	-109.07	
0.069	-109.07	
0.070	-108.95	
0.071	-108.95	
0.072	-108.99	
0.073	-108.99	
0.074	   -110	
0.075	   -110	
0.076	-110.15	
0.077	-110.15	
0.078	-109.75	
0.079	-109.75	
0.080	-108.82	
0.081	-108.82	
0.082	-106.94	
0.083	-106.94	
0.084	-106.24	
0.085	-106.24	
0.086	-105.77	
0.087	-105.77	
0.088	-106.01	
0.089	-106.01	
0.090	-107.44	
0.091	-107.44	
0.092	-107.96	
0.093	-107.96	
0.094	-108.56	
0.095	-108.56	
0.096	-108.13	
0.097	-108.13	
0.098	-107.34	
0.099	-107.34	
0.100	-107.03	
0.101	-107.03	
0.102	 -106.5	
0.103	 -106.5	
0.104	-106.97	
0.105	-106.97	
0.106	 -107.5	
0.107	-107.73	
0.108	   -108	
0.109	   -108	
0.110	-108.25	
0.111	-107.72	
0.112	-107.72	
0.113	 -106.8	
0.114	 -106.8	
0.115	-106.69	
0.116	-106.57	
0.117	 -106.4	
0.118	-106.34	
0.119	-106.43	
0.120	-106.72	
0.121	-107.24	
0.122	-108.17	
0.123	-108.17	
0.124	-108.53	
0.125	-108.69	
0.126	-108.71	
0.127	-108.71	
0.128	-108.43	
0.129	-108.01	
0.130	-107.54	
0.131	-107.12	
0.132	-106.89	
0.133	-106.84	
0.134	-106.83	
0.135	-106.79	
0.136	-107.02	
0.137	-107.74	
0.138	-108.52	
0.139	-109.15	
0.140	-109.58	
0.141	-109.91	
0.142	-110.24	
0.143	 -110.6	
0.144	-110.66	
0.145	-110.53	
0.146	-110.42	
0.147	-110.37	
0.148	-110.44	
0.149	-110.63	
0.150	-110.86	
0.151	-111.02	
0.152	-111.08	
0.153	-111.48	
0.154	-112.09	
0.155	-112.58	
0.156	-112.83	
0.157	-112.83	
0.158	-112.67	
0.159	-112.17	
0.160	-111.62	
0.161	-111.08	
0.162	-110.53	
0.163	-110.02	
0.164	-109.74	
0.165	-109.75	
0.166	-109.88	
0.167	-109.98	
0.168	-110.27	
0.169	 -110.9	
0.170	-111.67	
0.171	 -112.4	
0.172	 -112.9	
0.173	-113.18	
0.174	-113.36	
0.175	-113.55	
0.176	-113.43	
0.177	 -113.1	
0.178	-112.77	
0.179	-112.43	
0.180	-112.16	
0.181	-112.02	
0.182	-111.93	
0.183	-111.81	
0.184	-111.68	
0.185	-112.04	
0.186	 -112.6	
0.187	-112.98	
0.188	-113.14	
0.189	-113.21	
0.190	-113.25	
0.191	-113.31	
0.192	-113.06	
0.193	-112.51	
0.194	 -112.1	
0.195	-111.84	
0.196	-111.67	
0.197	-111.53	
0.198	-111.45	
0.199	-111.45	
0.200	-111.49	
0.201	 -111.8	
0.202	-112.36	
0.203	-112.86	
0.204	-113.14	
0.205	-113.21	
0.206	-113.19	
0.207	-113.24	
0.208	-113.29	
0.209	 -112.9	
0.210	 -112.3	
0.211	-111.78	
0.212	-111.37	
0.213	-111.07	
0.214	-110.86	
0.215	-110.69	
0.216	-110.61	
0.217	-110.69	
0.218	-111.22	
0.219	-111.86	
0.220	-112.38	
0.221	-112.87	
0.222	-113.33	
0.223	 -113.7	
0.224	-114.02	
0.225	-114.26	
0.226	-114.16	
0.227	-114.05	
0.228	-114.08	
0.229	-114.15	
0.230	-114.16	
0.231	-114.19	
0.232	-114.33	
0.233	-114.49	
0.234	-114.54	
0.235	-114.75	
0.236	-115.14	
0.237	-115.49	
0.238	-115.75	
0.239	-115.78	
0.240	-115.52	
0.241	-115.17	
0.242	-114.94	
0.243	-114.48	
0.244	-113.83	
0.245	-113.07	
0.246	-112.35	
0.247	-111.96	
0.248	-111.92	
0.249	-111.93	
0.250	 -111.8	
0.251	-111.65	
