Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.117874	
0.001	0.117751	
0.002	0.117791	
0.003	0.118239	
0.004	0.118681	
0.005	0.118916	
0.006	0.119181	
0.007	0.119056	
0.008	0.119254	
0.009	0.119528	
0.010	0.119712	
0.011	0.119974	
0.012	0.120163	
0.013	0.120361	
0.014	0.120502	
0.015	0.119687	
0.016	0.119465	
0.017	0.119102	
0.018	0.118845	
0.019	0.118798	
0.020	0.118572	
0.021	0.118442	
0.022	0.118512	
0.023	0.117694	
0.024	0.117516	
0.025	0.117245	
0.026	0.117985	
0.027	0.11815	
0.028	0.118657	
0.029	0.119012	
0.030	0.119584	
0.031	0.119271	
0.032	0.119967	
0.033	0.120413	
0.034	0.120732	
0.035	0.120982	
0.036	0.121555	
0.037	0.121819	
0.038	0.121819	
0.039	0.121962	
0.040	0.121871	
0.041	0.121871	
0.042	0.122474	
0.043	0.122195	
0.044	0.121996	
0.045	0.12137	
0.046	0.120716	
0.047	0.120299	
0.048	0.119877	
0.049	0.119803	
0.050	0.119455	
0.051	0.119119	
0.052	0.118615	
0.053	0.11831	
0.054	0.117969	
0.055	0.118246	
0.056	0.118812	
0.057	0.118812	
0.058	0.119365	
0.059	0.119754	
0.060	0.119754	
0.061	0.119428	
0.062	0.11939	
0.063	0.120213	
0.064	0.120213	
0.065	0.120849	
0.066	0.120849	
0.067	0.120529	
0.068	0.120529	
0.069	0.119913	
0.070	0.119914	
0.071	0.120047	
0.072	0.120047	
0.073	0.119818	
0.074	0.119818	
0.075	0.118607	
0.076	0.118607	
0.077	0.116738	
0.078	0.116738	
0.079	0.117043	
0.080	0.117017	
0.081	0.117017	
0.082	0.117199	
0.083	0.116727	
0.084	0.117023	
0.085	0.117485	
0.086	0.117552	
0.087	0.118501	
0.088	0.119095	
0.089	0.119662	
0.090	0.119947	
0.091	0.119998	
0.092	0.119874	
0.093	0.120332	
0.094	0.120652	
0.095	0.121018	
0.096	0.121388	
0.097	0.120773	
0.098	0.1207	
0.099	0.120125	
0.100	0.120141	
0.101	0.120269	
0.102	0.119669	
0.103	0.119645	
0.104	0.119106	
0.105	0.11883	
0.106	0.118094	
0.107	0.118094	
0.108	0.11763	
0.109	0.118412	
0.110	0.118177	
0.111	0.118715	
0.112	0.118805	
0.113	0.118928	
0.114	0.119036	
0.115	0.119291	
0.116	0.119242	
0.117	0.12036	
0.118	0.121006	
0.119	0.121622	
0.120	0.121856	
0.121	0.121687	
0.122	0.12197	
0.123	0.121794	
0.124	0.122304	
0.125	0.122537	
0.126	0.122227	
0.127	0.122143	
0.128	0.121696	
0.129	0.120964	
0.130	0.120551	
0.131	0.120606	
0.132	0.120479	
0.133	0.120305	
0.134	0.120453	
0.135	0.120296	
0.136	0.119879	
0.137	0.11941	
0.138	0.119682	
0.139	0.12026	
0.140	0.120899	
0.141	0.121264	
0.142	0.121621	
0.143	0.121913	
0.144	0.121422	
0.145	0.121527	
0.146	0.121921	
0.147	0.122783	
0.148	0.123509	
0.149	0.123648	
0.150	0.123633	
0.151	0.122827	
0.152	0.122514	
0.153	0.122931	
0.154	0.123055	
0.155	0.122458	
0.156	0.122288	
0.157	0.121668	
0.158	0.121377	
