Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.198345	
0.001	0.198345	
0.002	0.198477	
0.003	0.198477	
0.004	0.199608	
0.005	0.19978	
0.006	0.19978	
0.007	0.201258	
0.008	0.201258	
0.009	0.202133	
0.010	0.202058	
0.011	0.202058	
0.012	0.20218	
0.013	0.20192	
0.014	0.201364	
0.015	0.200328	
0.016	0.200602	
0.017	0.200985	
0.018	0.200309	
0.019	0.199967	
0.020	0.200494	
0.021	0.201286	
0.022	0.201748	
0.023	0.201494	
0.024	0.201228	
0.025	0.202409	
0.026	0.202566	
0.027	0.202036	
0.028	0.201286	
0.029	0.200905	
0.030	0.200595	
0.031	0.200094	
0.032	0.199468	
0.033	0.198432	
0.034	0.198456	
0.035	0.198852	
0.036	0.198995	
0.037	0.198654	
0.038	0.198993	
0.039	0.199764	
0.040	0.200079	
0.041	0.200018	
0.042	0.2001	
0.043	0.200573	
0.044	0.200727	
0.045	0.200341	
0.046	0.199493	
0.047	0.19923	
0.048	0.199026	
0.049	0.198545	
0.050	0.197993	
0.051	0.197416	
0.052	0.19785	
0.053	0.198818	
0.054	0.199057	
0.055	0.199505	
0.056	0.20018	
0.057	0.20074	
0.058	0.201552	
0.059	0.201862	
0.060	0.201387	
0.061	0.201929	
0.062	0.202031	
0.063	0.201864	
0.064	0.201003	
0.065	0.200357	
0.066	0.200342	
0.067	0.200265	
0.068	0.199449	
0.069	0.199205	
0.070	0.199677	
0.071	0.200465	
0.072	0.200908	
0.073	0.200356	
0.074	0.200675	
0.075	0.200737	
0.076	0.201161	
0.077	0.201229	
0.078	0.2	
0.079	0.199851	
0.080	0.200139	
0.081	0.199469	
0.082	0.19849	
0.083	0.197549	
0.084	0.197727	
0.085	0.197779	
0.086	0.197915	
0.087	0.197485	
0.088	0.198435	
0.089	0.199618	
0.090	0.200179	
0.091	0.200269	
0.092	0.200234	
0.093	0.200691	
0.094	0.200856	
0.095	0.200456	
0.096	0.199614	
0.097	0.199875	
0.098	0.199917	
0.099	0.199625	
0.100	0.19883	
0.101	0.198434	
0.102	0.198722	
0.103	0.199326	
0.104	0.200137	
0.105	0.199923	
0.106	0.200728	
0.107	0.201535	
0.108	0.2024	
0.109	0.202059	
0.110	0.202163	
0.111	0.20255	
0.112	0.202709	
0.113	0.202101	
0.114	0.200746	
0.115	0.201343	
0.116	0.201506	
0.117	0.201359	
0.118	0.200801	
0.119	0.200441	
0.120	0.201091	
0.121	0.201806	
0.122	0.202123	
0.123	0.201943	
0.124	0.202117	
0.125	0.20348	
0.126	0.202918	
0.127	0.202274	
0.128	0.20177	
0.129	0.201145	
0.130	0.200813	
0.131	0.20024	
0.132	0.199403	
0.133	0.198787	
0.134	0.198906	
0.135	0.199072	
0.136	0.198958	
0.137	0.19873	
0.138	0.198955	
0.139	0.199759	
0.140	0.200152	
0.141	0.200293	
0.142	0.199801	
0.143	0.200562	
0.144	0.200905	
0.145	0.20035	
0.146	0.199593	
0.147	0.199291	
0.148	0.199053	
0.149	0.198664	
0.150	0.197827	
0.151	0.197435	
0.152	0.198098	
0.153	0.199015	
0.154	0.199455	
0.155	0.199298	
0.156	0.199298	
0.157	0.201215	
0.158	0.201215	
0.159	0.20077	
0.160	0.201247	
0.161	0.201561	
0.162	0.201581	
0.163	0.200866	
0.164	0.200052	
0.165	0.199303	
0.166	0.199265	
0.167	0.19885	
0.168	0.19885	
0.169	0.198185	
0.170	0.198185	
0.171	0.199534	
0.172	0.199781	
0.173	0.199445	
0.174	0.199288	
0.175	0.199791	
0.176	0.199795	
0.177	0.199186	
0.178	0.199186	
0.179	0.198924	
0.180	0.198924	
0.181	0.197822	
0.182	0.197822	
0.183	0.196644	
0.184	0.196841	
0.185	0.196841	
0.186	0.197034	
0.187	0.197034	
0.188	0.19824	
0.189	0.19824	
0.190	0.199493	
0.191	0.199493	
0.192	0.199645	
0.193	0.199645	
0.194	0.200271	
0.195	0.200271	
0.196	0.198735	
0.197	0.198735	
0.198	0.198884	
0.199	0.198556	
0.200	0.198556	
0.201	0.197774	
0.202	0.198091	
0.203	0.198542	
0.204	0.199056	
0.205	0.199007	
0.206	0.20001	
0.207	0.20141	
0.208	0.201359	
0.209	0.201419	
0.210	0.20136	
0.211	0.201659	
0.212	0.201795	
0.213	0.200929	
0.214	0.200288	
0.215	0.200356	
0.216	0.200601	
0.217	0.200094	
0.218	0.19983	
0.219	0.199818	
0.220	0.200144	
0.221	0.201152	
0.222	0.201152	
0.223	0.200433	
0.224	0.201282	
0.225	0.201844	
0.226	0.202297	
0.227	0.20084	
0.228	0.199959	
0.229	0.20004	
0.230	0.20003	
0.231	0.199477	
0.232	0.198382	
0.233	0.197705	
0.234	0.197565	
0.235	0.198212	
0.236	0.197861	
0.237	0.198273	
0.238	0.198815	
0.239	0.199354	
0.240	0.199577	
0.241	0.199691	
0.242	0.19987	
0.243	0.200416	
0.244	0.200688	
0.245	0.199955	
0.246	0.199445	
0.247	0.199145	
0.248	0.199004	
0.249	0.198498	
0.250	0.197948	
0.251	0.197827	
0.252	0.198084	
0.253	0.199637	
0.254	0.200016	
0.255	0.200048	
0.256	0.200638	
0.257	0.201028	
0.258	0.201176	
0.259	0.20154	
0.260	0.201666	
0.261	0.202403	
0.262	0.202318	
0.263	0.201397	
0.264	0.200532	
0.265	0.199994	
0.266	0.200125	
0.267	0.199652	
0.268	0.199066	
0.269	0.199219	
0.270	0.20001	
0.271	0.200661	
0.272	0.200837	
0.273	0.200186	
0.274	0.20059	
0.275	0.201123	
0.276	0.201234	
0.277	0.200654	
0.278	0.2002	
0.279	0.200266	
0.280	0.200479	
0.281	0.199852	
0.282	0.198461	
0.283	0.19827	
0.284	0.198201	
0.285	0.198517	
0.286	0.198443	
0.287	0.198696	
0.288	0.199644	
0.289	0.200366	
0.290	0.200672	
0.291	0.200502	
0.292	0.200788	
0.293	0.201142	
0.294	0.201393	
0.295	0.200389	
0.296	0.199913	
0.297	0.19989	
0.298	0.199781	
0.299	0.199828	
0.300	0.198971	
0.301	0.19892	
0.302	0.199604	
0.303	0.199523	
0.304	0.199523	
0.305	0.20024	
0.306	0.200565	
0.307	0.201386	
0.308	0.202462	
0.309	0.202929	
0.310	0.20267	
0.311	0.202938	
0.312	0.203102	
0.313	0.202908	
0.314	0.201876	
0.315	0.201155	
0.316	0.201177	
0.317	0.201457	
0.318	0.200903	
0.319	0.200649	
0.320	0.200877	
0.321	0.20131	
0.322	0.202092	
0.323	0.202008	
0.324	0.201756	
0.325	0.2023	
0.326	0.202672	
0.327	0.202657	
0.328	0.202041	
0.329	0.201427	
0.330	0.201305	
0.331	0.200691	
0.332	0.199868	
0.333	0.19883	
0.334	0.198552	
0.335	0.19884	
0.336	0.199025	
0.337	0.198751	
0.338	0.198753	
0.339	0.199766	
0.340	0.199766	
0.341	0.200001	
0.342	0.200001	
0.343	0.200654	
0.344	0.200654	
0.345	0.200984	
0.346	0.200421	
0.347	0.19973	
0.348	0.199642	
0.349	0.199014	
0.350	0.198683	
0.351	0.198058	
0.352	0.197598	
0.353	0.198556	
0.354	0.199174	
0.355	0.199216	
0.356	0.199921	
0.357	0.199921	
0.358	0.201327	
0.359	0.201002	
0.360	0.201043	
0.361	0.201043	
0.362	0.201469	
0.363	0.201469	
0.364	0.200011	
0.365	0.200011	
0.366	0.199274	
0.367	0.199274	
0.368	0.198369	
0.369	0.198369	
0.370	0.198622	
0.371	0.198622	
0.372	0.199759	
0.373	0.199475	
0.374	0.199475	
0.375	0.200108	
0.376	0.200108	
0.377	0.199539	
0.378	0.199362	
0.379	0.198932	
0.380	0.198932	
0.381	0.198568	
0.382	0.198568	
0.383	0.197158	
0.384	0.196939	
0.385	0.196939	
0.386	0.197288	
0.387	0.197358	
0.388	0.197924	
0.389	0.198958	
0.390	0.199707	
0.391	0.199728	
0.392	0.199795	
0.393	0.200176	
0.394	0.200422	
0.395	0.200135	
0.396	0.199228	
0.397	0.199219	
0.398	0.199193	
0.399	0.198839	
0.400	0.198339	
0.401	0.197719	
0.402	0.198137	
0.403	0.199365	
0.404	0.199365	
0.405	0.199209	
0.406	0.200066	
0.407	0.201015	
0.408	0.201585	
0.409	0.201759	
0.410	0.20227	
0.411	0.202755	
0.412	0.202763	
0.413	0.202319	
0.414	0.201528	
0.415	0.201197	
0.416	0.201271	
0.417	0.201586	
0.418	0.201191	
0.419	0.200583	
0.420	0.20104	
0.421	0.201923	
0.422	0.201983	
0.423	0.201893	
0.424	0.201888	
0.425	0.202312	
0.426	0.202398	
0.427	0.202273	
0.428	0.201444	
0.429	0.201075	
0.430	0.200339	
0.431	0.200164	
0.432	0.199006	
0.433	0.198154	
0.434	0.198162	
0.435	0.198421	
0.436	0.198632	
0.437	0.198276	
0.438	0.198508	
0.439	0.19927	
0.440	0.199588	
0.441	0.199591	
0.442	0.199676	
0.443	0.200552	
0.444	0.200662	
0.445	0.200358	
0.446	0.199823	
0.447	0.199089	
0.448	0.199156	
0.449	0.199013	
0.450	0.198484	
0.451	0.198084	
0.452	0.19847	
0.453	0.19911	
0.454	0.199637	
0.455	0.200259	
0.456	0.200165	
0.457	0.201174	
0.458	0.201621	
0.459	0.201764	
0.460	0.201688	
0.461	0.202121	
0.462	0.202302	
0.463	0.201626	
0.464	0.20116	
0.465	0.200417	
0.466	0.200215	
0.467	0.199993	
0.468	0.19942	
0.469	0.199138	
0.470	0.199614	
0.471	0.200237	
0.472	0.200633	
0.473	0.200381	
0.474	0.200381	
0.475	0.200634	
0.476	0.201452	
0.477	0.200905	
0.478	0.200497	
0.479	0.200086	
0.480	0.20055	
0.481	0.199151	
0.482	0.198612	
0.483	0.197931	
0.484	0.197967	
0.485	0.198078	
0.486	0.197905	
0.487	0.197946	
0.488	0.198373	
0.489	0.199433	
0.490	0.199742	
0.491	0.199995	
0.492	0.200153	
0.493	0.200238	
0.494	0.200611	
0.495	0.200018	
0.496	0.199127	
0.497	0.199049	
0.498	0.199274	
0.499	0.198492	
0.500	0.197971	
0.501	0.197648	
0.502	0.197785	
0.503	0.198637	
0.504	0.198982	
0.505	0.199166	
0.506	0.199876	
0.507	0.201055	
0.508	0.202001	
0.509	0.201921	
0.510	0.201811	
0.511	0.202116	
0.512	0.202333	
0.513	0.202114	
0.514	0.201134	
0.515	0.20098	
0.516	0.200799	
0.517	0.20072	
0.518	0.200349	
0.519	0.200112	
0.520	0.200338	
0.521	0.20139	
0.522	0.201706	
0.523	0.201159	
0.524	0.201242	
0.525	0.201875	
0.526	0.202234	
0.527	0.202225	
0.528	0.201358	
0.529	0.200768	
0.530	0.200337	
0.531	0.199904	
0.532	0.198803	
0.533	0.198132	
0.534	0.197966	
0.535	0.198642	
0.536	0.198762	
0.537	0.198101	
0.538	0.198608	
0.539	0.199599	
0.540	0.199599	
0.541	0.19974	
0.542	0.199698	
0.543	0.200324	
0.544	0.20066	
0.545	0.200372	
0.546	0.199702	
0.547	0.199285	
0.548	0.199137	
0.549	0.198809	
0.550	0.198149	
0.551	0.197876	
0.552	0.198004	
0.553	0.199082	
0.554	0.199802	
0.555	0.199992	
