Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0299669	
0.001	0.0301311	
0.002	0.0301606	
0.003	0.0301492	
0.004	0.0300314	
0.005	0.0299139	
0.006	0.0299394	
0.007	0.0300435	
0.008	0.0299943	
0.009	0.0297003	
0.010	0.0294582	
0.011	0.0293779	
0.012	0.0294696	
0.013	0.0295945	
0.014	0.0293069	
0.015	0.029023	
0.016	0.0290811	
0.017	0.0291564	
0.018	0.0291608	
0.019	0.0290609	
0.020	0.0289035	
0.021	0.0289522	
0.022	0.0291947	
0.023	0.0295463	
0.024	0.0295463	
0.025	0.0295793	
0.026	0.0295793	
0.027	0.0296522	
0.028	0.0299548	
0.029	0.0301076	
0.030	0.0300423	
0.031	0.0300888	
0.032	0.0303241	
0.033	0.0303241	
0.034	0.0303916	
0.035	0.0302506	
0.036	0.0302715	
0.037	0.0302696	
0.038	0.0305079	
0.039	0.0306337	
0.040	0.0305302	
0.041	0.0302789	
0.042	0.0302772	
0.043	0.0303476	
0.044	0.0304549	
0.045	0.0305037	
0.046	0.0305037	
0.047	0.0302821	
0.048	0.0302309	
0.049	0.030249	
0.050	0.0302793	
0.051	0.0302433	
0.052	0.03005	
0.053	0.029894	
0.054	0.0298962	
0.055	0.0298733	
0.056	0.0297609	
0.057	0.0296966	
0.058	0.0294882	
0.059	0.0295697	
0.060	0.029612	
0.061	0.029539	
0.062	0.0295397	
0.063	0.0296554	
0.064	0.0296341	
0.065	0.0296921	
0.066	0.0297661	
0.067	0.0298812	
0.068	0.029797	
0.069	0.0298135	
0.070	0.0298393	
0.071	0.0299892	
0.072	0.0303658	
0.073	0.0303417	
0.074	0.0301143	
0.075	0.0301715	
0.076	0.0303046	
0.077	0.0304275	
0.078	0.0305169	
0.079	0.0307371	
0.080	0.0305309	
0.081	0.0302562	
0.082	0.0303142	
0.083	0.0305666	
0.084	0.0309805	
0.085	0.0308862	
0.086	0.0306003	
0.087	0.0302963	
0.088	0.0303363	
0.089	0.03056	
0.090	0.0307922	
0.091	0.0306739	
0.092	0.0303528	
0.093	0.0300697	
0.094	0.0300134	
0.095	0.0301687	
0.096	0.0301687	
0.097	0.0298382	
0.098	0.0295637	
0.099	0.0295637	
0.100	0.0296542	
0.101	0.0296542	
0.102	0.0298268	
0.103	0.0298268	
0.104	0.0294801	
0.105	0.0294801	
0.106	0.0296737	
0.107	0.0296737	
0.108	0.0300522	
0.109	0.0299996	
0.110	0.0298634	
0.111	0.0298912	
0.112	0.0298912	
0.113	0.0302969	
0.114	0.0303983	
0.115	0.0303866	
0.116	0.030469	
0.117	0.0302882	
0.118	0.0302443	
0.119	0.0303476	
0.120	0.0304696	
0.121	0.0306522	
0.122	0.0306611	
0.123	0.0304688	
0.124	0.0304404	
0.125	0.0304781	
0.126	0.0306886	
0.127	0.0307442	
0.128	0.0306854	
0.129	0.0305663	
0.130	0.0305079	
0.131	0.0305126	
0.132	0.0305753	
0.133	0.0306331	
0.134	0.030493	
0.135	0.0303189	
0.136	0.0302216	
0.137	0.0301835	
0.138	0.0302197	
0.139	0.0300836	
0.140	0.0299124	
0.141	0.0296909	
0.142	0.0298718	
0.143	0.0300706	
0.144	0.0298836	
0.145	0.0296467	
0.146	0.0297019	
0.147	0.0299747	
0.148	0.0300606	
0.149	0.0298821	
0.150	0.029862	
0.151	0.0299106	
0.152	0.0300261	
0.153	0.0301075	
0.154	0.029986	
0.155	0.0299694	
0.156	0.0300972	
0.157	0.0302018	
0.158	0.030265	
0.159	0.0303072	
0.160	0.0302362	
0.161	0.0300787	
0.162	0.0300336	
0.163	0.0301772	
0.164	0.0303492	
0.165	0.0303827	
0.166	0.0304328	
0.167	0.0303625	
0.168	0.0302322	
0.169	0.0303622	
0.170	0.0304527	
0.171	0.0304566	
0.172	0.0304566	
0.173	0.0303907	
0.174	0.0303285	
0.175	0.0303197	
0.176	0.0303135	
0.177	0.0299853	
0.178	0.0299538	
0.179	0.0299538	
0.180	0.0298274	
0.181	0.0298274	
0.182	0.0298348	
0.183	0.0297008	
0.184	0.0294459	
0.185	0.0294034	
0.186	0.0296219	
0.187	0.029749	
0.188	0.0296419	
0.189	0.0295701	
0.190	0.0295842	
0.191	0.0297805	
0.192	0.0300742	
0.193	0.0300208	
0.194	0.0298112	
0.195	0.0297541	
0.196	0.0299749	
0.197	0.0302563	
0.198	0.0303051	
0.199	0.0301646	
0.200	0.0299129	
0.201	0.0298542	
0.202	0.0301408	
0.203	0.0304743	
0.204	0.0303932	
0.205	0.0299865	
0.206	0.0299793	
0.207	0.0301446	
0.208	0.0302408	
0.209	0.0303503	
0.210	0.030254	
0.211	0.030184	
0.212	0.0301941	
0.213	0.0302865	
0.214	0.0304224	
0.215	0.0303344	
0.216	0.0301284	
0.217	0.0301284	
0.218	0.0301284	
0.219	0.0301284	
0.220	0.0302898	
0.221	0.0298995	
0.222	0.0298995	
0.223	0.0297594	
0.224	0.0298501	
0.225	0.0300948	
0.226	0.0303155	
0.227	0.030042	
0.228	0.0296311	
0.229	0.0296311	
0.230	0.0298844	
0.231	0.0300248	
0.232	0.0300059	
0.233	0.029971	
0.234	0.0298829	
0.235	0.0298219	
0.236	0.0298688	
0.237	0.0299529	
0.238	0.0298974	
0.239	0.0299772	
0.240	0.0300118	
0.241	0.0299924	
0.242	0.0298754	
0.243	0.0300404	
0.244	0.0300404	
0.245	0.0302049	
0.246	0.0300405	
0.247	0.0300405	
0.248	0.0300008	
0.249	0.030309	
0.250	0.030309	
0.251	0.030303	
0.252	0.030303	
0.253	0.0301371	
0.254	0.0303573	
0.255	0.0303573	
0.256	0.0305015	
0.257	0.0303512	
0.258	0.0303512	
0.259	0.0302543	
0.260	0.0302543	
0.261	0.0304826	
0.262	0.0304826	
0.263	0.0301022	
0.264	0.0298937	
0.265	0.0299741	
0.266	0.0302008	
0.267	0.0301875	
0.268	0.0301875	
0.269	0.029876	
0.270	0.0298485	
0.271	0.030016	
0.272	0.030016	
0.273	0.0301048	
0.274	0.0299643	
0.275	0.0300695	
0.276	0.0300695	
0.277	0.0302966	
0.278	0.0302966	
0.279	0.0301808	
0.280	0.0301808	
0.281	0.0301722	
0.282	0.0302909	
0.283	0.0305855	
0.284	0.0304394	
0.285	0.0299846	
0.286	0.0299846	
0.287	0.0300362	
0.288	0.0302236	
0.289	0.0305114	
0.290	0.0304129	
0.291	0.0300989	
0.292	0.0299399	
0.293	0.0300117	
0.294	0.0302616	
0.295	0.030459	
0.296	0.0302446	
0.297	0.0301405	
0.298	0.0301851	
0.299	0.0303452	
0.300	0.0305166	
0.301	0.0304094	
0.302	0.0301493	
0.303	0.0301534	
0.304	0.0303858	
0.305	0.0303917	
0.306	0.030359	
0.307	0.030294	
0.308	0.0301209	
0.309	0.0300996	
0.310	0.0303172	
0.311	0.0304989	
0.312	0.0305683	
0.313	0.0302754	
0.314	0.0301316	
0.315	0.0302489	
0.316	0.030446	
0.317	0.0304804	
0.318	0.0303659	
0.319	0.030125	
0.320	0.0302702	
0.321	0.0305143	
0.322	0.0306208	
0.323	0.0304176	
0.324	0.0300725	
0.325	0.0300799	
0.326	0.0302358	
0.327	0.0303103	
0.328	0.0304423	
0.329	0.0303198	
0.330	0.0302181	
0.331	0.0301861	
0.332	0.0302991	
0.333	0.0302894	
0.334	0.0302804	
0.335	0.0303851	
0.336	0.0304436	
0.337	0.0304436	
0.338	0.0303623	
0.339	0.0303436	
0.340	0.0302307	
0.341	0.0302307	
0.342	0.0303977	
0.343	0.0300079	
0.344	0.0300584	
0.345	0.0300584	
0.346	0.0301372	
0.347	0.0298989	
0.348	0.0300609	
0.349	0.0300609	
0.350	0.0298802	
0.351	0.0298802	
0.352	0.0300077	
0.353	0.0301807	
0.354	0.0302412	
0.355	0.0301538	
0.356	0.0300481	
0.357	0.0299737	
0.358	0.030038	
0.359	0.0303005	
