Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0303348	
0.001	0.0302781	
0.002	0.0301293	
0.003	0.0301293	
0.004	0.0302422	
0.005	0.0302714	
0.006	0.0300886	
0.007	0.0299392	
0.008	0.0299392	
0.009	0.0298903	
0.010	0.0298903	
0.011	0.0299293	
0.012	0.0296732	
0.013	0.0295053	
0.014	0.0294993	
0.015	0.0294993	
0.016	0.029471	
0.017	0.0294726	
0.018	0.0292856	
0.019	0.02908	
0.020	0.0291413	
0.021	0.02945	
0.022	0.0295348	
0.023	0.0295348	
0.024	0.0293529	
0.025	0.0293529	
0.026	0.0300052	
0.027	0.030125	
0.028	0.030125	
0.029	0.0299858	
0.030	0.0299858	
0.031	0.030243	
0.032	0.0305308	
0.033	0.0305308	
0.034	0.0303736	
0.035	0.030248	
0.036	0.030248	
0.037	0.0303777	
0.038	0.0303777	
0.039	0.0303064	
0.040	0.0303064	
0.041	0.0303649	
0.042	0.0303649	
0.043	0.0303649	
0.044	0.0300089	
0.045	0.0300089	
0.046	0.0300089	
0.047	0.0301706	
0.048	0.0301706	
0.049	0.0299474	
0.050	0.0299474	
0.051	0.0299474	
0.052	0.0300525	
0.053	0.0300525	
0.054	0.0299654	
0.055	0.0299654	
0.056	0.0299654	
0.057	0.0299337	
0.058	0.0299337	
0.059	0.0296137	
0.060	0.0296137	
0.061	0.0296137	
0.062	0.0296958	
0.063	0.0297745	
0.064	0.0295577	
0.065	0.0292881	
0.066	0.0292881	
0.067	0.0298548	
0.068	0.0298548	
0.069	0.0298548	
0.070	0.0297859	
0.071	0.0297859	
0.072	0.0298544	
0.073	0.0298544	
0.074	0.0301713	
0.075	0.0301713	
0.076	0.0300715	
0.077	0.0298704	
0.078	0.0298954	
0.079	0.0300556	
0.080	0.030317	
0.081	0.030317	
0.082	0.0304395	
0.083	0.0304395	
0.084	0.0298156	
0.085	0.0298482	
0.086	0.0300879	
0.087	0.0300879	
0.088	0.0305606	
0.089	0.0306587	
0.090	0.0301613	
0.091	0.0298503	
0.092	0.0298343	
0.093	0.0301982	
0.094	0.0301982	
0.095	0.0305737	
0.096	0.0305737	
0.097	0.0297832	
0.098	0.0297352	
0.099	0.0298683	
0.100	0.0298683	
0.101	0.0299319	
0.102	0.0297205	
0.103	0.0296206	
0.104	0.0296844	
0.105	0.029868	
0.106	0.0298018	
0.107	0.0298018	
0.108	0.0297478	
0.109	0.029744	
0.110	0.029744	
0.111	0.0300083	
0.112	0.0300083	
0.113	0.0300289	
0.114	0.0300289	
0.115	0.0297728	
0.116	0.0299771	
0.117	0.0302454	
0.118	0.0301319	
0.119	0.0301319	
0.120	0.0298088	
0.121	0.0298088	
0.122	0.0302401	
0.123	0.0299112	
0.124	0.0299112	
0.125	0.0296965	
0.126	0.0296965	
0.127	0.0299872	
0.128	0.0302362	
0.129	0.0302614	
0.130	0.0298365	
0.131	0.0299378	
0.132	0.0299378	
0.133	0.0300529	
0.134	0.0303788	
0.135	0.0303788	
0.136	0.0299701	
0.137	0.0300555	
0.138	0.0301815	
0.139	0.0301815	
0.140	0.0303747	
0.141	0.0299328	
0.142	0.0299328	
0.143	0.0296079	
0.144	0.0296079	
0.145	0.0301209	
0.146	0.0300704	
0.147	0.0299683	
0.148	0.0299683	
0.149	0.0297015	
0.150	0.0296853	
0.151	0.0300261	
0.152	0.0302988	
0.153	0.0302988	
0.154	0.0303126	
0.155	0.030062	
0.156	0.0297263	
0.157	0.0301991	
0.158	0.0301991	
0.159	0.0302581	
0.160	0.0302581	
0.161	0.0301876	
0.162	0.0303387	
0.163	0.0304036	
0.164	0.0303683	
0.165	0.0301193	
0.166	0.0301241	
0.167	0.0304453	
0.168	0.0303265	
0.169	0.0299727	
0.170	0.0299727	
0.171	0.0301139	
0.172	0.030328	
0.173	0.0302658	
0.174	0.0300438	
0.175	0.0300438	
0.176	0.03	
0.177	0.0300585	
0.178	0.0300825	
0.179	0.0299866	
0.180	0.0297602	
0.181	0.0297602	
0.182	0.0297884	
0.183	0.0298736	
0.184	0.0296001	
0.185	0.029493	
0.186	0.029366	
0.187	0.029366	
0.188	0.0297058	
0.189	0.0297026	
0.190	0.0294441	
0.191	0.0295896	
0.192	0.0295896	
0.193	0.0297967	
0.194	0.0298038	
0.195	0.0298038	
0.196	0.0298983	
0.197	0.0298983	
0.198	0.0299426	
0.199	0.0299426	
0.200	0.02998	
0.201	0.030171	
0.202	0.030171	
0.203	0.0299213	
0.204	0.0299213	
