Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0289376	
0.001	0.0289376	
0.002	0.0292749	
0.003	0.0292749	
0.004	0.0289103	
0.005	0.0290333	
0.006	0.029301	
0.007	0.0294871	
0.008	0.029552	
0.009	0.0294765	
0.010	0.0294914	
0.011	0.0296905	
0.012	0.0298096	
0.013	0.0298085	
0.014	0.0295858	
0.015	0.0295084	
0.016	0.0296631	
0.017	0.0297469	
0.018	0.0295864	
0.019	0.0291972	
0.020	0.0287968	
0.021	0.0287602	
0.022	0.0288793	
0.023	0.0288789	
0.024	0.0285128	
0.025	0.0280909	
0.026	0.0278271	
0.027	0.0279083	
0.028	0.0283158	
0.029	0.0284979	
0.030	0.0282906	
0.031	0.0278947	
0.032	0.0278947	
0.033	0.0279609	
0.034	0.0283618	
0.035	0.0288134	
0.036	0.0290511	
0.037	0.0288077	
0.038	0.0284744	
0.039	0.0284764	
0.040	0.0288542	
0.041	0.0290259	
0.042	0.0289493	
0.043	0.0285362	
0.044	0.0284592	
0.045	0.0287537	
0.046	0.0287537	
0.047	0.0286879	
0.048	0.0282854	
0.049	0.0280153	
0.050	0.0279913	
0.051	0.0280025	
0.052	0.0277462	
0.053	0.027445	
0.054	0.0274047	
0.055	0.02762	
0.056	0.0276837	
0.057	0.0276765	
0.058	0.0275701	
0.059	0.027769	
0.060	0.0280786	
0.061	0.0282495	
0.062	0.0282832	
0.063	0.0282197	
0.064	0.0281917	
0.065	0.028229	
0.066	0.0283014	
0.067	0.0284909	
0.068	0.0285215	
0.069	0.0284048	
0.070	0.0283728	
0.071	0.0283728	
0.072	0.0285069	
0.073	0.0287269	
0.074	0.0283104	
0.075	0.0283104	
0.076	0.0281809	
0.077	0.0283535	
0.078	0.0282957	
0.079	0.0280478	
0.080	0.0279346	
0.081	0.0278655	
0.082	0.027876	
0.083	0.0278237	
0.084	0.0276714	
0.085	0.0276524	
0.086	0.027637	
0.087	0.0278212	
0.088	0.0279021	
0.089	0.0279826	
0.090	0.0279594	
0.091	0.02806	
0.092	0.0282657	
0.093	0.0286231	
0.094	0.0288824	
0.095	0.0289579	
0.096	0.0289877	
0.097	0.029155	
0.098	0.0295725	
0.099	0.0297755	
0.100	0.0298012	
0.101	0.0297528	
0.102	0.0296721	
0.103	0.0299994	
0.104	0.0302075	
0.105	0.0301755	
0.106	0.0299876	
0.107	0.0296425	
0.108	0.0296163	
0.109	0.0297671	
0.110	0.0298209	
0.111	0.0296193	
0.112	0.0293763	
0.113	0.0291752	
0.114	0.0292821	
0.115	0.0295322	
0.116	0.0295759	
0.117	0.0295626	
0.118	0.0294564	
0.119	0.0295222	
0.120	0.0299522	
0.121	0.0305688	
0.122	0.0306184	
0.123	0.0304931	
0.124	0.0303924	
0.125	0.030473	
0.126	0.0307324	
0.127	0.0309299	
0.128	0.0308525	
0.129	0.0307839	
0.130	0.0306877	
0.131	0.0308204	
0.132	0.0308622	
0.133	0.0308726	
0.134	0.0307259	
0.135	0.0306583	
0.136	0.0306135	
0.137	0.0305998	
0.138	0.0306004	
0.139	0.0305986	
0.140	0.0306629	
0.141	0.0306275	
0.142	0.0306741	
0.143	0.0308406	
0.144	0.031121	
0.145	0.0312211	
0.146	0.0312491	
0.147	0.0313254	
0.148	0.0315934	
0.149	0.0319406	
0.150	0.0318976	
0.151	0.0317615	
0.152	0.0319357	
0.153	0.0321615	
0.154	0.0320944	
0.155	0.0319371	
0.156	0.0318565	
0.157	0.0319583	
0.158	0.0320188	
0.159	0.0318843	
0.160	0.0313382	
0.161	0.0311461	
0.162	0.0314501	
0.163	0.0316448	
0.164	0.0313497	
0.165	0.0308167	
0.166	0.0305702	
0.167	0.0307984	
0.168	0.0311518	
0.169	0.0312655	
0.170	0.0310298	
0.171	0.0307352	
0.172	0.0306146	
0.173	0.0311454	
0.174	0.0316001	
0.175	0.0316707	
0.176	0.0313205	
0.177	0.031071	
0.178	0.0312245	
0.179	0.031813	
0.180	0.031813	
0.181	0.0321944	
0.182	0.0320832	
0.183	0.0318084	
0.184	0.0316509	
0.185	0.0317454	
0.186	0.0319674	
0.187	0.0320721	
0.188	0.0318539	
0.189	0.0315092	
0.190	0.0314786	
0.191	0.0316222	
0.192	0.031576	
0.193	0.0313341	
0.194	0.0310268	
0.195	0.0307922	
0.196	0.0307668	
0.197	0.0310709	
0.198	0.0311039	
0.199	0.0310223	
0.200	0.0310347	
0.201	0.0311572	
0.202	0.03123	
0.203	0.0314069	
0.204	0.0313756	
0.205	0.0311602	
0.206	0.0308962	
0.207	0.0309019	
0.208	0.0311641	
0.209	0.031056	
0.210	0.0306146	
0.211	0.0303502	
0.212	0.0304486	
0.213	0.0305137	
0.214	0.0305598	
0.215	0.0303344	
0.216	0.0298945	
0.217	0.0297818	
0.218	0.0298057	
0.219	0.0299384	
0.220	0.0301316	
0.221	0.0297871	
0.222	0.0296434	
0.223	0.0297399	
0.224	0.0300828	
0.225	0.0303481	
0.226	0.0304106	
0.227	0.0303398	
0.228	0.030522	
0.229	0.0307572	
0.230	0.030726	
0.231	0.0306584	
0.232	0.0305513	
0.233	0.0304209	
0.234	0.0304586	
0.235	0.0306586	
0.236	0.0307094	
0.237	0.0304863	
0.238	0.0302922	
0.239	0.0301839	
0.240	0.030038	
0.241	0.0300592	
0.242	0.029948	
0.243	0.0295339	
0.244	0.029072	
0.245	0.0291925	
0.246	0.02916	
0.247	0.0290414	
0.248	0.0286557	
0.249	0.0284891	
0.250	0.0285035	
0.251	0.0287184	
0.252	0.028618	
0.253	0.0284289	
0.254	0.0284419	
0.255	0.0287316	
0.256	0.0289055	
0.257	0.0289844	
0.258	0.0288627	
0.259	0.028897	
0.260	0.0291105	
0.261	0.029254	
0.262	0.0292817	
0.263	0.0292728	
0.264	0.0293396	
0.265	0.029386	
0.266	0.0296064	
0.267	0.0296804	
0.268	0.0296921	
0.269	0.0294132	
0.270	0.0292328	
0.271	0.0292016	
0.272	0.0292927	
0.273	0.0291869	
0.274	0.0290022	
0.275	0.0290022	
0.276	0.0289505	
0.277	0.0288328	
0.278	0.0287632	
0.279	0.0288635	
0.280	0.0284845	
0.281	0.0284041	
0.282	0.0289444	
0.283	0.0291415	
0.284	0.0290265	
0.285	0.02899	
0.286	0.0291141	
0.287	0.0291912	
0.288	0.0293543	
0.289	0.0291559	
0.290	0.0289834	
0.291	0.0289351	
0.292	0.0290939	
0.293	0.029129	
0.294	0.0288382	
0.295	0.0287709	
0.296	0.0287935	
0.297	0.0286353	
0.298	0.0286485	
0.299	0.0284818	
0.300	0.0283183	
0.301	0.0280194	
0.302	0.02797	
0.303	0.0280283	
0.304	0.0278973	
0.305	0.0277122	
0.306	0.0276535	
0.307	0.0276808	
0.308	0.0278614	
0.309	0.0280597	
0.310	0.0280082	
0.311	0.0280759	
0.312	0.0282547	
0.313	0.0286319	
0.314	0.029069	
0.315	0.0290573	
0.316	0.0289155	
0.317	0.0288333	
0.318	0.0291199	
0.319	0.0294136	
0.320	0.0295558	
0.321	0.0294054	
0.322	0.0293446	
0.323	0.0295045	
0.324	0.0296694	
0.325	0.0296864	
0.326	0.029497	
0.327	0.0291757	
0.328	0.0288899	
0.329	0.0290083	
0.330	0.029221	
0.331	0.0291392	
0.332	0.0287123	
0.333	0.0283504	
0.334	0.028187	
0.335	0.0282915	
0.336	0.0286305	
0.337	0.0285535	
0.338	0.0283516	
0.339	0.0282061	
0.340	0.0284713	
0.341	0.0285708	
0.342	0.0287188	
0.343	0.0287266	
0.344	0.0289061	
0.345	0.0291667	
0.346	0.0293733	
0.347	0.0296449	
0.348	0.0296947	
0.349	0.0297253	
0.350	0.0299204	
0.351	0.0299761	
0.352	0.0300159	
0.353	0.0300881	
0.354	0.0301527	
0.355	0.0301759	
0.356	0.0300942	
0.357	0.0301505	
0.358	0.0302386	
0.359	0.0299913	
0.360	0.0301029	
0.361	0.0300993	
0.362	0.030117	
0.363	0.030149	
0.364	0.0300439	
0.365	0.0300025	
0.366	0.0300115	
0.367	0.0302901	
0.368	0.0306927	
0.369	0.030713	
0.370	0.0310082	
0.371	0.031155	
0.372	0.0311756	
0.373	0.0312693	
0.374	0.0314931	
0.375	0.0315082	
0.376	0.0315408	
0.377	0.0315025	
0.378	0.0313811	
0.379	0.0313652	
0.380	0.031508	
0.381	0.0312627	
0.382	0.0313263	
0.383	0.0312229	
0.384	0.0311849	
0.385	0.0310768	
0.386	0.0309077	
0.387	0.0309413	
0.388	0.030705	
0.389	0.0307154	
0.390	0.0307908	
0.391	0.0309858	
0.392	0.0310125	
0.393	0.0311598	
0.394	0.0313819	
0.395	0.0315373	
0.396	0.0316121	
0.397	0.0317667	
0.398	0.0316924	
0.399	0.0317755	
0.400	0.0319031	
0.401	0.0321553	
0.402	0.0322416	
0.403	0.0321043	
0.404	0.0323627	
0.405	0.0325663	
0.406	0.0324733	
0.407	0.0324516	
0.408	0.0324779	
0.409	0.0325163	
0.410	0.0323796	
0.411	0.0322239	
0.412	0.0321178	
0.413	0.0321178	
0.414	0.0320776	
0.415	0.0321205	
0.416	0.0319483	
0.417	0.0318077	
0.418	0.0316839	
0.419	0.0318267	
0.420	0.0319801	
0.421	0.0319801	
0.422	0.0317981	
0.423	0.0318209	
0.424	0.0318209	
0.425	0.0320918	
0.426	0.0320918	
0.427	0.0317043	
0.428	0.0317043	
0.429	0.0319885	
0.430	0.0319885	
0.431	0.032219	
0.432	0.032219	
0.433	0.0318974	
0.434	0.0318964	
0.435	0.0319142	
0.436	0.0318897	
0.437	0.0316307	
0.438	0.031369	
0.439	0.0312422	
0.440	0.0313658	
0.441	0.0314828	
0.442	0.0312263	
0.443	0.0307577	
0.444	0.030928	
0.445	0.0312945	
0.446	0.0312078	
0.447	0.0310349	
0.448	0.0312993	
0.449	0.0318906	
0.450	0.0318906	
0.451	0.0318617	
0.452	0.0316967	
0.453	0.0315301	
0.454	0.0316895	
0.455	0.031831	
0.456	0.0317178	
0.457	0.0314956	
0.458	0.0314159	
0.459	0.0313489	
0.460	0.0314308	
0.461	0.031334	
0.462	0.031334	
0.463	0.0307716	
0.464	0.0305286	
0.465	0.0305286	
0.466	0.0306456	
0.467	0.0303446	
0.468	0.0303446	
0.469	0.0300106	
0.470	0.0299899	
0.471	0.030167	
0.472	0.030167	
0.473	0.0302716	
0.474	0.0302716	
0.475	0.0303438	
0.476	0.0303438	
0.477	0.0306449	
0.478	0.030448	
0.479	0.0301848	
0.480	0.0300973	
0.481	0.0302812	
0.482	0.0304456	
0.483	0.0303794	
0.484	0.0303055	
0.485	0.030165	
0.486	0.0301166	
0.487	0.0301842	
0.488	0.0301337	
0.489	0.0300118	
0.490	0.029506	
0.491	0.029206	
0.492	0.0294085	
0.493	0.0294085	
0.494	0.0292941	
0.495	0.0289454	
0.496	0.028743	
0.497	0.0286392	
0.498	0.0289095	
0.499	0.0290675	
0.500	0.028874	
0.501	0.0286771	
0.502	0.0286778	
0.503	0.0289756	
0.504	0.0292141	
0.505	0.0292863	
0.506	0.0291253	
0.507	0.0289653	
0.508	0.0291807	
0.509	0.0296527	
0.510	0.0297919	
0.511	0.0295579	
0.512	0.0293338	
0.513	0.029393	
0.514	0.0296406	
0.515	0.0297459	
0.516	0.0295562	
0.517	0.0292055	
0.518	0.0290819	
0.519	0.0291271	
0.520	0.0291575	
0.521	0.0288492	
0.522	0.0283676	
0.523	0.028052	
0.524	0.0280971	
0.525	0.0280707	
0.526	0.0279775	
0.527	0.027844	
0.528	0.0278062	
0.529	0.0278217	
0.530	0.0278462	
0.531	0.0279754	
0.532	0.0280053	
0.533	0.0280999	
0.534	0.0280999	
0.535	0.0285212	
0.536	0.0286339	
0.537	0.0286524	
0.538	0.0285481	
0.539	0.0285481	
0.540	0.0286885	
0.541	0.0288039	
0.542	0.0287714	
0.543	0.0285946	
0.544	0.0284942	
0.545	0.028478	
0.546	0.0284879	
0.547	0.0284788	
0.548	0.0282283	
0.549	0.0280134	
0.550	0.0278889	
0.551	0.0278887	
0.552	0.0277895	
0.553	0.0276061	
0.554	0.0274156	
0.555	0.0274292	
0.556	0.0274709	
0.557	0.0276665	
0.558	0.0276207	
0.559	0.0276207	
0.560	0.0277317	
0.561	0.0280458	
0.562	0.0280458	
0.563	0.0282785	
0.564	0.0282985	
0.565	0.0281998	
0.566	0.0282059	
0.567	0.0283555	
0.568	0.0286235	
0.569	0.0286235	
0.570	0.0284708	
0.571	0.0284708	
0.572	0.0284936	
0.573	0.0284936	
0.574	0.0286453	
0.575	0.0286453	
0.576	0.028158	
0.577	0.028158	
0.578	0.0283266	
0.579	0.0281398	
0.580	0.0281398	
0.581	0.02774	
0.582	0.0277895	
0.583	0.0277389	
0.584	0.0276664	
0.585	0.0277193	
0.586	0.0278164	
0.587	0.0278401	
0.588	0.0278333	
0.589	0.0277898	
0.590	0.0279293	
0.591	0.0280875	
0.592	0.028355	
0.593	0.0286109	
0.594	0.0288047	
0.595	0.0288452	
0.596	0.0290191	
0.597	0.029414	
0.598	0.029414	
0.599	0.0296987	
0.600	0.0296848	
0.601	0.0297753	
0.602	0.0299228	
0.603	0.03021	
0.604	0.0301464	
0.605	0.0299985	
0.606	0.0299342	
0.607	0.0298442	
0.608	0.0297661	
0.609	0.0297238	
0.610	0.0297238	
0.611	0.0296815	
0.612	0.0295032	
0.613	0.029403	
0.614	0.0294582	
0.615	0.0295679	
0.616	0.0294548	
0.617	0.0295441	
0.618	0.0297583	
0.619	0.0300179	
0.620	0.0302529	
0.621	0.0304118	
0.622	0.0305971	
0.623	0.0306471	
0.624	0.0305883	
0.625	0.0305714	
0.626	0.03059	
0.627	0.0307313	
0.628	0.0309651	
0.629	0.0308799	
0.630	0.0307438	
0.631	0.0306617	
0.632	0.0307442	
0.633	0.0308774	
0.634	0.0308774	
0.635	0.030678	
0.636	0.030503	
0.637	0.0303947	
0.638	0.0304643	
0.639	0.0306511	
0.640	0.0306511	
0.641	0.0305472	
0.642	0.0306703	
0.643	0.0308617	
0.644	0.031099	
0.645	0.0312459	
0.646	0.0312737	
0.647	0.031437	
0.648	0.0316737	
0.649	0.0318918	
0.650	0.0318648	
0.651	0.031766	
0.652	0.0318261	
0.653	0.0319236	
0.654	0.0320095	
0.655	0.0319811	
0.656	0.0319578	
0.657	0.0319578	
0.658	0.0319453	
0.659	0.03182	
0.660	0.0317033	
0.661	0.0313385	
0.662	0.0313385	
0.663	0.0312778	
0.664	0.0313289	
0.665	0.0313289	
0.666	0.0306853	
0.667	0.0306853	
0.668	0.0308783	
0.669	0.0308783	
0.670	0.0309269	
0.671	0.0309269	
0.672	0.030699	
0.673	0.030699	
0.674	0.0313044	
0.675	0.0313044	
0.676	0.0313183	
0.677	0.0313183	
0.678	0.0314071	
0.679	0.0317641	
0.680	0.0319537	
0.681	0.0316296	
0.682	0.0313204	
0.683	0.0314047	
0.684	0.0319071	
0.685	0.0321013	
0.686	0.0319664	
0.687	0.0315671	
0.688	0.031317	
0.689	0.0313207	
0.690	0.0315274	
0.691	0.031539	
0.692	0.0311768	
0.693	0.0307927	
0.694	0.0305832	
0.695	0.030716	
0.696	0.0309905	
0.697	0.0308704	
0.698	0.0305621	
0.699	0.030658	
0.700	0.0309971	
0.701	0.0311952	
0.702	0.0308699	
0.703	0.0307728	
0.704	0.0308293	
0.705	0.0308149	
0.706	0.0309228	
0.707	0.0307641	
0.708	0.0304159	
0.709	0.0304373	
0.710	0.0306192	
0.711	0.0305202	
0.712	0.0303665	
0.713	0.0301096	
0.714	0.0301261	
0.715	0.0299731	
0.716	0.0300074	
0.717	0.0297433	
0.718	0.0295379	
0.719	0.0293735	
0.720	0.0295935	
0.721	0.0295883	
0.722	0.0296182	
0.723	0.0295223	
0.724	0.0296242	
0.725	0.0297562	
0.726	0.0300491	
0.727	0.0302786	
0.728	0.0302697	
0.729	0.030164	
0.730	0.030427	
0.731	0.0305262	
0.732	0.0304001	
0.733	0.0302043	
0.734	0.0302043	
