Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0321386	
0.001	0.0314121	
0.002	0.0288601	
0.003	0.0288601	
0.004	0.0290104	
0.005	0.030475	
0.006	0.0315848	
0.007	0.0308968	
0.008	0.0293303	
0.009	0.0282349	
0.010	0.0289015	
0.011	0.0306341	
0.012	0.0319722	
0.013	0.0317035	
0.014	0.0301158	
0.015	0.0289104	
0.016	0.0291211	
0.017	0.0306797	
0.018	0.0318109	
0.019	0.0316092	
0.020	0.02988	
0.021	0.0284621	
0.022	0.0286174	
0.023	0.0298808	
0.024	0.031166	
0.025	0.0311388	
0.026	0.029563	
0.027	0.0279252	
0.028	0.0278245	
0.029	0.0292748	
0.030	0.0308069	
0.031	0.0309186	
0.032	0.0296283	
0.033	0.0281134	
0.034	0.0280301	
0.035	0.0295417	
0.036	0.0311975	
0.037	0.0314985	
0.038	0.0303233	
0.039	0.0291306	
0.040	0.0293371	
0.041	0.0306707	
0.042	0.0306707	
0.043	0.032188	
0.044	0.0306508	
0.045	0.0306508	
0.046	0.0289675	
0.047	0.0296243	
0.048	0.0311704	
0.049	0.0319771	
0.050	0.0312518	
0.051	0.0296742	
0.052	0.0286553	
0.053	0.0289914	
0.054	0.0303142	
0.055	0.0307441	
0.056	0.0298727	
0.057	0.0286889	
0.058	0.0284326	
0.059	0.0291837	
0.060	0.029856	
0.061	0.0296811	
0.062	0.0285346	
0.063	0.028037	
0.064	0.0285987	
0.065	0.0293061	
0.066	0.0299617	
0.067	0.0298063	
0.068	0.0291002	
0.069	0.0289432	
0.070	0.0293159	
0.071	0.0302391	
0.072	0.0304361	
0.073	0.0302335	
0.074	0.0296923	
0.075	0.0295709	
0.076	0.0302285	
0.077	0.0306638	
0.078	0.0304658	
0.079	0.029855	
0.080	0.0296129	
0.081	0.0297817	
0.082	0.0299819	
0.083	0.0300855	
0.084	0.0299113	
0.085	0.0294525	
0.086	0.0293856	
0.087	0.0297495	
0.088	0.0298294	
0.089	0.0295684	
0.090	0.0292948	
0.091	0.0291866	
0.092	0.0293989	
0.093	0.0297598	
0.094	0.0298051	
0.095	0.0295938	
0.096	0.0296053	
0.097	0.0299292	
0.098	0.0303162	
0.099	0.0306432	
0.100	0.0304281	
0.101	0.0299225	
0.102	0.0297013	
0.103	0.0297986	
0.104	0.0301253	
0.105	0.0301099	
0.106	0.0297315	
0.107	0.0292791	
0.108	0.0291345	
0.109	0.0291368	
0.110	0.0292676	
0.111	0.0291727	
0.112	0.0288228	
0.113	0.0285952	
0.114	0.0285768	
0.115	0.0286972	
0.116	0.0287951	
0.117	0.0287913	
0.118	0.0285675	
0.119	0.0286772	
0.120	0.0288512	
0.121	0.0293762	
0.122	0.0299317	
0.123	0.0301941	
0.124	0.0301881	
0.125	0.0302048	
