Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0293809	
0.001	0.029463	
0.002	0.029463	
0.003	0.0294582	
0.004	0.0295901	
0.005	0.0298386	
0.006	0.0300316	
0.007	0.0300157	
0.008	0.0296986	
0.009	0.0296309	
0.010	0.0298182	
0.011	0.0302427	
0.012	0.0302427	
0.013	0.0303806	
0.014	0.0300221	
0.015	0.0296489	
0.016	0.0296331	
0.017	0.0299264	
0.018	0.0303153	
0.019	0.0303153	
0.020	0.0296181	
0.021	0.0296181	
0.022	0.0297154	
0.023	0.0301369	
0.024	0.0302754	
0.025	0.0300839	
0.026	0.0297729	
0.027	0.0297208	
0.028	0.0301595	
0.029	0.0303382	
0.030	0.0302485	
0.031	0.0299393	
0.032	0.0298387	
0.033	0.0299217	
0.034	0.030305	
0.035	0.030305	
0.036	0.0303182	
0.037	0.0300248	
0.038	0.0297026	
0.039	0.0298076	
0.040	0.0301012	
0.041	0.0301759	
0.042	0.0301429	
0.043	0.0298271	
0.044	0.0296522	
0.045	0.0297912	
0.046	0.0302725	
0.047	0.0302725	
0.048	0.0303788	
0.049	0.0299803	
0.050	0.0299803	
0.051	0.0301265	
0.052	0.0305898	
0.053	0.0305898	
0.054	0.0303753	
0.055	0.0300727	
0.056	0.0299727	
0.057	0.0299727	
0.058	0.0305791	
0.059	0.0305791	
0.060	0.0303221	
0.061	0.0303221	
0.062	0.0302132	
0.063	0.0302132	
0.064	0.030477	
0.065	0.030351	
0.066	0.0301733	
0.067	0.0301588	
0.068	0.0301588	
0.069	0.0303824	
0.070	0.0303604	
0.071	0.0303604	
0.072	0.0301191	
0.073	0.0301191	
0.074	0.0303308	
0.075	0.0303308	
0.076	0.0301492	
0.077	0.0301492	
0.078	0.0300668	
0.079	0.0301366	
0.080	0.030006	
0.081	0.0298655	
0.082	0.0298318	
0.083	0.029939	
0.084	0.0300391	
0.085	0.0300349	
0.086	0.0299511	
0.087	0.0298671	
0.088	0.0300006	
0.089	0.0302925	
0.090	0.0302925	
0.091	0.0302223	
0.092	0.0300536	
0.093	0.0301121	
0.094	0.0303394	
0.095	0.0304878	
0.096	0.0303047	
0.097	0.0300565	
0.098	0.0299258	
0.099	0.0299089	
0.100	0.0301075	
0.101	0.0302888	
0.102	0.0302142	
0.103	0.0298889	
0.104	0.0297336	
0.105	0.0299792	
0.106	0.0302565	
0.107	0.0303374	
0.108	0.0302687	
0.109	0.0301704	
0.110	0.0300094	
0.111	0.0300445	
0.112	0.0300445	
0.113	0.0305127	
0.114	0.0305417	
0.115	0.0303549	
0.116	0.0302192	
0.117	0.030338	
0.118	0.0304195	
0.119	0.0304195	
0.120	0.0305495	
0.121	0.0305495	
0.122	0.0299989	
0.123	0.0298606	
0.124	0.02995	
0.125	0.0300498	
0.126	0.0301169	
0.127	0.0300156	
0.128	0.0296972	
0.129	0.0295485	
0.130	0.029757	
0.131	0.0299724	
0.132	0.0299526	
0.133	0.0299672	
0.134	0.0297745	
0.135	0.0296163	
0.136	0.029887	
0.137	0.0301039	
0.138	0.0300841	
0.139	0.029898	
0.140	0.0297974	
0.141	0.0297508	
0.142	0.0298381	
0.143	0.0301063	
0.144	0.0303989	
0.145	0.0302751	
0.146	0.0299589	
0.147	0.029981	
0.148	0.0301052	
0.149	0.0304116	
0.150	0.0304605	
0.151	0.0303345	
0.152	0.0301023	
0.153	0.0302155	
0.154	0.0303558	
0.155	0.0303916	
0.156	0.0303522	
0.157	0.0301657	
0.158	0.0300841	
0.159	0.0300167	
0.160	0.0302959	
0.161	0.0302191	
0.162	0.0300002	
0.163	0.0298751	
0.164	0.0296597	
0.165	0.0296241	
0.166	0.02977	
0.167	0.0299193	
0.168	0.0297817	
0.169	0.0297817	
0.170	0.02956	
0.171	0.0295632	
0.172	0.0297497	
0.173	0.0300754	
0.174	0.0301091	
0.175	0.029877	
0.176	0.0296599	
0.177	0.0295996	
0.178	0.0298546	
0.179	0.0299351	
0.180	0.029986	
0.181	0.0296946	
0.182	0.0294138	
0.183	0.0293133	
0.184	0.0296912	
0.185	0.030035	
0.186	0.0299221	
0.187	0.029725	
0.188	0.0295758	
0.189	0.0297399	
0.190	0.0301271	
0.191	0.0304041	
0.192	0.0303534	
0.193	0.0299091	
