Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 8.2402	
0.001	 8.2402	
0.002	  7.975	
0.003	  7.975	
0.004	 7.8207	
0.005	 7.8207	
0.006	 9.4684	
0.007	 9.4684	
0.008	 10.578	
0.009	 10.578	
0.010	 10.729	
0.011	 10.729	
0.012	 10.908	
0.013	 10.908	
0.014	 9.8498	
0.015	 9.8498	
0.016	 8.0869	
0.017	 8.0869	
0.018	 7.4886	
0.019	 7.4886	
0.020	 7.2296	
0.021	 7.2296	
0.022	 8.1846	
0.023	 8.1846	
0.024	 9.7855	
0.025	 9.7855	
0.026	 10.391	
0.027	 10.391	
0.028	  10.41	
0.029	  10.41	
0.030	 10.047	
0.031	 10.047	
0.032	 8.3833	
0.033	 8.3833	
0.034	 7.4928	
0.035	 7.4928	
0.036	 7.3876	
0.037	 7.3876	
0.038	 8.0349	
0.039	 8.0349	
0.040	 9.6382	
0.041	 9.6382	
0.042	 10.652	
0.043	 10.652	
0.044	 10.856	
0.045	 10.856	
0.046	 10.722	
0.047	 10.722	
0.048	 9.2552	
0.049	 9.2552	
0.050	 7.9259	
0.051	 7.9259	
0.052	 7.3128	
0.053	 7.3128	
0.054	 7.2632	
0.055	 8.3792	
0.056	 8.3792	
0.057	 9.7068	
0.058	 10.223	
0.059	 10.514	
0.060	 10.514	
0.061	 10.578	
0.062	  10.62	
0.063	 10.189	
0.064	 9.3654	
0.065	 8.6429	
0.066	 8.1611	
0.067	 7.8794	
0.068	 7.6979	
0.069	 7.5126	
0.070	 7.4489	
0.071	 8.0783	
0.072	  8.979	
0.073	 9.7719	
0.074	 10.308	
0.075	 10.581	
0.076	 10.719	
0.077	  10.84	
0.078	 10.941	
0.079	 10.829	
0.080	 10.063	
0.081	 9.2257	
0.082	 8.6443	
0.083	 8.2862	
0.084	 7.9965	
0.085	 7.7512	
0.086	 7.6048	
0.087	  7.924	
0.088	 8.7584	
0.089	 9.4969	
0.090	 9.9985	
0.091	 10.316	
0.092	 10.516	
0.093	 10.638	
0.094	 10.681	
