Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 6.8427	
0.001	 6.8442	
0.002	 7.0051	
0.003	 7.7104	
0.004	 8.5738	
0.005	 9.3504	
0.006	   9.87	
0.007	 10.096	
0.008	 10.156	
0.009	 10.224	
0.010	 10.364	
0.011	 10.299	
0.012	 9.5959	
0.013	 8.7277	
0.014	      8	
0.015	 7.5675	
0.016	 7.4106	
0.017	 7.3789	
0.018	 7.3143	
0.019	 8.4075	
0.020	 8.4075	
0.021	 10.024	
0.022	 10.024	
0.023	 10.509	
0.024	 10.509	
0.025	 10.536	
0.026	 10.536	
0.027	 10.375	
0.028	 10.375	
0.029	 8.4109	
0.030	 8.4109	
0.031	 7.1566	
0.032	 7.1566	
0.033	 7.0163	
0.034	 6.8271	
0.035	 6.8271	
0.036	 8.1888	
0.037	 8.1888	
0.038	 9.5095	
0.039	 9.5095	
0.040	 10.416	
0.041	 10.416	
0.042	  10.82	
0.043	  10.82	
0.044	 10.062	
0.045	 10.062	
0.046	 8.5147	
0.047	 8.5147	
0.048	 8.0155	
0.049	 7.3369	
0.050	 7.3369	
0.051	 7.2972	
0.052	 7.5192	
0.053	 8.3384	
0.054	 9.1743	
0.055	 10.099	
0.056	 10.099	
0.057	 10.403	
0.058	   10.7	
0.059	 10.974	
0.060	 11.181	
0.061	 10.992	
0.062	 10.096	
0.063	 9.1786	
0.064	 8.6332	
0.065	 8.4144	
0.066	 8.3241	
0.067	 8.1684	
0.068	 8.0972	
0.069	 8.0972	
0.070	 8.8286	
0.071	 9.6678	
0.072	 10.303	
0.073	 10.574	
0.074	 10.645	
0.075	 10.716	
0.076	 10.769	
0.077	 10.802	
0.078	 10.338	
0.079	 9.4019	
0.080	  8.586	
0.081	 8.0205	
0.082	 7.6444	
0.083	 7.4098	
0.084	 7.2557	
0.085	 7.2045	
0.086	 7.7925	
0.087	 8.6742	
0.088	 9.4218	
0.089	 9.9437	
0.090	 10.381	
0.091	 10.732	
0.092	 10.976	
0.093	 11.028	
0.094	 10.892	
0.095	 10.193	
0.096	 9.3654	
0.097	 8.7057	
0.098	 8.2182	
0.099	 7.8174	
0.100	 7.5158	
0.101	 7.3935	
0.102	 7.5613	
0.103	 8.3911	
0.104	 9.2913	
0.105	 9.9024	
0.106	 10.264	
0.107	 10.556	
0.108	  10.76	
0.109	  10.78	
0.110	 10.677	
0.111	 10.513	
0.112	  9.875	
0.113	  9.109	
0.114	 8.4237	
0.115	 7.8099	
0.116	 7.3609	
0.117	 7.1765	
0.118	 7.1859	
0.119	 7.4915	
0.120	 8.2043	
0.121	 8.8543	
0.122	 9.4056	
0.123	  9.962	
0.124	 10.425	
0.125	 10.766	
0.126	 10.928	
0.127	 10.887	
0.128	 10.426	
0.129	 9.6252	
0.130	 8.9688	
0.131	  8.549	
0.132	 8.1735	
0.133	 7.7448	
0.134	 7.3433	
0.135	 7.1562	
0.136	 7.6954	
0.137	 8.7004	
0.138	 9.6446	
