Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 7.6578	
0.001	 7.6578	
0.002	  8.544	
0.003	  8.544	
0.004	 8.8519	
0.005	 8.8519	
0.006	 8.7306	
0.007	 8.7306	
0.008	 7.1013	
0.009	 7.1013	
0.010	 5.9862	
0.011	 5.9862	
0.012	 5.5738	
0.013	 5.5738	
0.014	 6.1848	
0.015	 6.1848	
0.016	 7.7918	
0.017	 7.7918	
0.018	 8.7072	
0.019	 8.7072	
0.020	 9.2923	
0.021	 9.2923	
0.022	 9.3738	
0.023	 9.3738	
0.024	 8.2111	
0.025	 8.2111	
0.026	 6.6909	
0.027	 6.6909	
0.028	 5.8381	
0.029	 5.8381	
0.030	  5.445	
0.031	  5.445	
0.032	 6.7853	
0.033	 6.7853	
0.034	 8.0385	
0.035	 8.0385	
0.036	 8.5101	
0.037	 8.5101	
0.038	  8.893	
0.039	  8.893	
0.040	 8.3895	
0.041	 8.3895	
0.042	 6.9577	
0.043	 6.9577	
0.044	 6.0609	
0.045	 6.0609	
0.046	 5.6379	
0.047	 5.6379	
0.048	 6.3918	
0.049	 6.3918	
0.050	 8.1617	
0.051	 8.1617	
0.052	 8.9634	
0.053	 8.9634	
0.054	 9.4246	
0.055	 9.4246	
0.056	  9.414	
0.057	  9.414	
0.058	 8.7057	
0.059	 7.8923	
0.060	 7.1811	
0.061	  6.643	
0.062	 6.3835	
0.063	 6.3735	
0.064	 6.4032	
0.065	 6.5812	
0.066	 7.1893	
0.067	 8.5784	
0.068	 8.5784	
0.069	  9.156	
0.070	   9.46	
0.071	 9.4714	
0.072	 9.3414	
0.073	 9.1898	
0.074	 8.9849	
0.075	 8.2772	
0.076	  7.397	
0.077	  6.585	
0.078	 5.9678	
0.079	 5.6396	
0.080	 5.5949	
0.081	 5.5888	
0.082	  5.855	
0.083	 6.6441	
0.084	 7.4909	
0.085	 8.1233	
0.086	 8.5309	
0.087	 8.7449	
0.088	 8.8432	
0.089	 8.9844	
0.090	 9.1113	
0.091	 8.7505	
0.092	 7.8949	
0.093	 7.0568	
0.094	 6.4449	
0.095	 6.0882	
0.096	 5.9317	
0.097	 5.9134	
0.098	 5.9428	
0.099	  6.491	
0.100	 7.3007	
0.101	 8.1551	
0.102	 8.8474	
0.103	 9.3094	
0.104	 9.5174	
0.105	 9.5274	
0.106	  9.542	
0.107	 9.6391	
0.108	  9.207	
0.109	 8.3212	
0.110	 7.3595	
0.111	 6.6203	
0.112	 6.1781	
0.113	 6.0441	
0.114	  6.035	
0.115	 6.0689	
0.116	  6.532	
0.117	 7.1534	
0.118	 7.7525	
0.119	 8.3351	
0.120	 8.7847	
0.121	 8.9875	
0.122	 8.9771	
0.123	 8.9424	
0.124	 8.8401	
0.125	 8.1479	
0.126	 7.3416	
0.127	 6.7029	
0.128	 6.2682	
0.129	 5.9814	
0.130	 5.8165	
0.131	 5.6894	
0.132	  5.923	
0.133	 6.7238	
0.134	 7.5887	
0.135	 8.3026	
0.136	 8.7579	
0.137	  9.003	
0.138	 9.1475	
0.139	 9.2794	
0.140	 9.4005	
0.141	 9.1943	
