Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-125.76	
0.001	-125.76	
0.002	-125.78	
0.003	-125.78	
0.004	-123.66	
0.005	-123.66	
0.006	-120.45	
0.007	-120.45	
0.008	-119.35	
0.009	-119.35	
0.010	-119.54	
0.011	-119.54	
0.012	-121.93	
0.013	-121.93	
0.014	-124.71	
0.015	-124.71	
0.016	 -126.1	
0.017	 -126.1	
0.018	-126.45	
0.019	-126.45	
0.020	-124.13	
0.021	-124.13	
0.022	-121.05	
0.023	-121.05	
0.024	-119.98	
0.025	-119.98	
0.026	-120.12	
0.027	-120.12	
0.028	-122.68	
0.029	-122.68	
0.030	-127.13	
0.031	-127.13	
0.032	-127.13	
0.033	-128.56	
0.034	-128.56	
0.035	-129.02	
0.036	-129.02	
0.037	-126.53	
0.038	-126.53	
0.039	 -124.4	
0.040	 -124.4	
0.041	-124.25	
0.042	-124.25	
0.043	-125.58	
0.044	-125.58	
0.045	-128.57	
0.046	-128.57	
0.047	-130.69	
0.048	-130.69	
0.049	-131.85	
0.050	-131.85	
0.051	-131.15	
0.052	-131.15	
0.053	-128.22	
0.054	-128.22	
0.055	-125.38	
0.056	-125.38	
0.057	-124.37	
0.058	-124.37	
0.059	-124.54	
0.060	-124.54	
0.061	-126.85	
0.062	-126.85	
0.063	-130.16	
0.064	-130.16	
0.065	-132.19	
0.066	-132.19	
0.067	-133.35	
0.068	-133.35	
0.069	-132.74	
0.070	-132.74	
0.071	 -129.7	
0.072	 -129.7	
0.073	-127.72	
0.074	-127.72	
0.075	-126.79	
0.076	-126.79	
0.077	-126.96	
0.078	-126.96	
0.079	 -129.7	
0.080	 -129.7	
0.081	-131.84	
0.082	-131.84	
0.083	 -133.6	
0.084	 -133.6	
0.085	-133.74	
0.086	-133.74	
0.087	-131.43	
0.088	-131.43	
0.089	-128.53	
0.090	-128.53	
0.091	 -127.1	
0.092	 -127.1	
0.093	-126.94	
0.094	-126.94	
0.095	   -128	
0.096	   -128	
0.097	-130.82	
0.098	-130.82	
0.099	-132.76	
0.100	-132.76	
0.101	-133.63	
0.102	-133.63	
0.103	-133.67	
0.104	-133.67	
0.105	-130.64	
0.106	-130.64	
0.107	-128.01	
0.108	-128.01	
0.109	-126.76	
0.110	-126.76	
0.111	-126.38	
0.112	-126.38	
0.113	-128.65	
0.114	-128.65	
0.115	-131.46	
0.116	-131.46	
0.117	-133.49	
0.118	-133.49	
0.119	-134.49	
0.120	-134.49	
0.121	-134.08	
0.122	-134.08	
0.123	-131.31	
0.124	-131.31	
