Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.29939	
0.001	0.299686	
0.002	0.301225	
0.003	0.301751	
0.004	0.300346	
0.005	0.299774	
0.006	0.300757	
0.007	0.302016	
0.008	0.301693	
0.009	0.30074	
0.010	0.301104	
0.011	0.301962	
0.012	0.301616	
0.013	0.30028	
0.014	0.299622	
0.015	0.300345	
0.016	0.301035	
0.017	0.300573	
0.018	0.299386	
0.019	0.299399	
0.020	0.300112	
0.021	0.300052	
0.022	0.299154	
0.023	0.298726	
0.024	0.299264	
0.025	0.299758	
0.026	0.299599	
0.027	0.298727	
0.028	0.298849	
0.029	0.299766	
0.030	0.300159	
0.031	0.299135	
0.032	0.298296	
0.033	0.299093	
0.034	0.30011	
0.035	0.300136	
0.036	0.299025	
0.037	0.298415	
0.038	0.299374	
0.039	0.300276	
0.040	0.299451	
0.041	0.29826	
0.042	0.298631	
0.043	0.299709	
0.044	0.300449	
0.045	0.298867	
0.046	0.298421	
0.047	0.29974	
0.048	0.301018	
0.049	0.30041	
0.050	0.29924	
0.051	0.299631	
0.052	0.300921	
0.053	0.301406	
0.054	0.300415	
0.055	0.299961	
0.056	0.30124	
0.057	0.302183	
0.058	0.301504	
0.059	0.300447	
0.060	0.300775	
0.061	0.301836	
0.062	0.301764	
0.063	0.300413	
0.064	0.299881	
0.065	0.300752	
0.066	0.301424	
0.067	0.300626	
0.068	0.29956	
0.069	0.299569	
0.070	0.300214	
0.071	0.300142	
0.072	0.299212	
0.073	0.299201	
0.074	0.299201	
0.075	0.300361	
0.076	0.299882	
0.077	0.298789	
0.078	0.29866	
0.079	0.300069	
0.080	0.300389	
0.081	0.299491	
0.082	0.298665	
0.083	0.299397	
0.084	0.300673	
0.085	0.300506	
0.086	0.29919	
0.087	0.298317	
0.088	0.299871	
0.089	0.299871	
0.090	0.299831	
0.091	0.298713	
0.092	0.298713	
0.093	0.30012	
0.094	0.299474	
0.095	0.299474	
0.096	0.29886	
0.097	0.29886	
0.098	0.300834	
0.099	0.300355	
0.100	0.299244	
0.101	0.299769	
0.102	0.301323	
0.103	0.301654	
0.104	0.300018	
0.105	0.300018	
0.106	0.301393	
0.107	0.302028	
0.108	0.302028	
0.109	0.300745	
0.110	0.300745	
0.111	0.302048	
0.112	0.302048	
0.113	0.299768	
0.114	0.299768	
0.115	0.300945	
0.116	0.300945	
0.117	0.300098	
0.118	0.300098	
0.119	0.299818	
0.120	0.30014	
0.121	0.30014	
0.122	0.298954	
0.123	0.298954	
0.124	0.299727	
0.125	0.299768	
0.126	0.299081	
0.127	0.298735	
0.128	0.29968	
0.129	0.300324	
0.130	0.299826	
0.131	0.299826	
0.132	0.29843	
0.133	0.299638	
0.134	0.300742	
0.135	0.299859	
0.136	0.298434	
0.137	0.298434	
0.138	0.30009	
0.139	0.300373	
0.140	0.298896	
0.141	0.297969	
0.142	0.298691	
0.143	0.300375	
0.144	0.300041	
0.145	0.298782	
0.146	0.298854	
0.147	0.300373	
0.148	0.300816	
0.149	0.299736	
0.150	0.299133	
0.151	0.300392	
0.152	0.301304	
0.153	0.300885	
0.154	0.299944	
0.155	0.300139	
0.156	0.301779	
0.157	0.302176	
0.158	0.301026	
0.159	0.300434	
0.160	0.301153	
0.161	0.30176	
0.162	0.301079	
0.163	0.30001	
0.164	0.300169	
0.165	0.301187	
0.166	0.30112	
0.167	0.30006	
0.168	0.299347	
0.169	0.299967	
0.170	0.300279	
0.171	0.299783	
0.172	0.298871	
0.173	0.299085	
0.174	0.300115	
0.175	0.300249	
0.176	0.299283	
0.177	0.298663	
0.178	0.299254	
0.179	0.300317	
0.180	0.300183	
0.181	0.29908	
0.182	0.299107	
0.183	0.299973	
0.184	0.300786	
0.185	0.299881	
0.186	0.298643	
0.187	0.298652	
0.188	0.29976	
0.189	0.300443	
0.190	0.299284	
0.191	0.298236	
0.192	0.29967	
0.193	0.300586	
0.194	0.299792	
0.195	0.298372	
0.196	0.29857	
0.197	0.300101	
0.198	0.300838	
0.199	0.299951	
0.200	0.299239	
0.201	0.300551	
0.202	0.301829	
0.203	0.301829	
0.204	0.301033	
0.205	0.299755	
0.206	0.300202	
0.207	0.301445	
0.208	0.302104	
0.209	0.301057	
0.210	0.300581	
0.211	0.301427	
0.212	0.30213	
0.213	0.3013	
0.214	0.299894	
0.215	0.299783	
0.216	0.300696	
0.217	0.300905	
0.218	0.300098	
0.219	0.299467	
0.220	0.29992	
0.221	0.300181	
0.222	0.299519	
0.223	0.298661	
0.224	0.298932	
0.225	0.299749	
0.226	0.300066	
0.227	0.299426	
0.228	0.299292	
0.229	0.299292	
0.230	0.30016	
0.231	0.300107	
0.232	0.298829	
0.233	0.29866	
0.234	0.299678	
0.235	0.300404	
0.236	0.299913	
0.237	0.298567	
0.238	0.298573	
0.239	0.299933	
0.240	0.300351	
0.241	0.299273	
0.242	0.298076	
0.243	0.299251	
0.244	0.300341	
0.245	0.299764	
0.246	0.298437	
0.247	0.298849	
0.248	0.300318	
0.249	0.300827	
0.250	0.299756	
0.251	0.299048	
0.252	0.300144	
0.253	0.301305	
0.254	0.301007	
0.255	0.299798	
0.256	0.300252	
0.257	0.301952	
0.258	0.302103	
0.259	0.300997	
0.260	0.300488	
0.261	0.301225	
0.262	0.301957	
0.263	0.301257	
0.264	0.300259	
0.265	0.300321	
0.266	0.30128	
0.267	0.301259	
0.268	0.29996	
0.269	0.299404	
0.270	0.299896	
0.271	0.300369	
0.272	0.299984	
0.273	0.299062	
0.274	0.299247	
0.275	0.300103	
0.276	0.300186	
0.277	0.299383	
0.278	0.29885	
0.279	0.299438	
0.280	0.300167	
0.281	0.299924	
0.282	0.299006	
0.283	0.29916	
0.284	0.300208	
0.285	0.300718	
0.286	0.299917	
0.287	0.298309	
0.288	0.298309	
0.289	0.30019	
0.290	0.30019	
0.291	0.298594	
0.292	0.298594	
0.293	0.299832	
0.294	0.299832	
0.295	0.299364	
0.296	0.299364	
0.297	0.298722	
0.298	0.300242	
0.299	0.300403	
0.300	0.29921	
0.301	0.29921	
0.302	0.300535	
0.303	0.301805	
0.304	0.301138	
0.305	0.299581	
0.306	0.299581	
0.307	0.302083	
0.308	0.301847	
0.309	0.301847	
0.310	0.300882	
0.311	0.301704	
0.312	0.301701	
0.313	0.30065	
0.314	0.299939	
0.315	0.300621	
0.316	0.300944	
0.317	0.300251	
0.318	0.29933	
0.319	0.299739	
0.320	0.300493	
0.321	0.300449	
0.322	0.299014	
0.323	0.298463	
0.324	0.299192	
0.325	0.300066	
0.326	0.300035	
0.327	0.298993	
0.328	0.298747	
0.329	0.299564	
0.330	0.299909	
0.331	0.299729	
0.332	0.298768	
0.333	0.29913	
0.334	0.300225	
0.335	0.300213	
0.336	0.298837	
0.337	0.298529	
0.338	0.299588	
0.339	0.299588	
0.340	0.299315	
0.341	0.298458	
0.342	0.298365	
0.343	0.299607	
0.344	0.300374	
0.345	0.299326	
0.346	0.29831	
0.347	0.29942	
0.348	0.300715	
0.349	0.300318	
0.350	0.299093	
0.351	0.299611	
0.352	0.301104	
0.353	0.301525	
0.354	0.300149	
0.355	0.299797	
0.356	0.300953	
0.357	0.302258	
0.358	0.301574	
0.359	0.300536	
0.360	0.300547	
0.361	0.301604	
0.362	0.301665	
0.363	0.300672	
0.364	0.300006	
0.365	0.300718	
0.366	0.301024	
0.367	0.300574	
0.368	0.299805	
0.369	0.299839	
0.370	0.300295	
0.371	0.300071	
0.372	0.299076	
0.373	0.298863	
0.374	0.299788	
0.375	0.300536	
0.376	0.300092	
0.377	0.299039	
0.378	0.298607	
0.379	0.299866	
0.380	0.300346	
0.381	0.299664	
0.382	0.298937	
0.383	0.29941	
0.384	0.300583	
0.385	0.300394	
0.386	0.299188	
0.387	0.298523	
0.388	0.299234	
0.389	0.300308	
0.390	0.29972	
0.391	0.298196	
0.392	0.298747	
0.393	0.300241	
0.394	0.300252	
0.395	0.299193	
0.396	0.298195	
0.397	0.29923	
0.398	0.300588	
0.399	0.300507	
0.400	0.299314	
0.401	0.299743	
0.402	0.301137	
0.403	0.301616	
0.404	0.300508	
0.405	0.299886	
0.406	0.30086	
0.407	0.301886	
0.408	0.3016	
0.409	0.300662	
0.410	0.301036	
0.411	0.302144	
