Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.301005	
0.001	0.300242	
0.002	0.298577	
0.003	0.29869	
0.004	0.300514	
0.005	0.300754	
0.006	0.29934	
0.007	0.298244	
0.008	0.299344	
0.009	0.300737	
0.010	0.30013	
0.011	0.299112	
0.012	0.298674	
0.013	0.299561	
0.014	0.300066	
0.015	0.299164	
0.016	0.298174	
0.017	0.298411	
0.018	0.299145	
0.019	0.299318	
0.020	0.298648	
0.021	0.297601	
0.022	0.297983	
0.023	0.298805	
0.024	0.299886	
0.025	0.299183	
0.026	0.298254	
0.027	0.298697	
0.028	0.300265	
0.029	0.300941	
0.030	0.300001	
0.031	0.299706	
0.032	0.300457	
0.033	0.301414	
0.034	0.300945	
0.035	0.300362	
0.036	0.301431	
0.037	0.302745	
0.038	0.301995	
0.039	0.300613	
0.040	0.300572	
0.041	0.301822	
0.042	0.302016	
0.043	0.300468	
0.044	0.299662	
0.045	0.300795	
0.046	0.301495	
0.047	0.300318	
0.048	0.299028	
0.049	0.29953	
0.050	0.300764	
0.051	0.30015	
0.052	0.298712	
0.053	0.298712	
0.054	0.300776	
0.055	0.300776	
0.056	0.301193	
0.057	0.298334	
0.058	0.298334	
0.059	0.299507	
0.060	0.300944	
0.061	0.300469	
0.062	0.299186	
0.063	0.299059	
0.064	0.300136	
0.065	0.30062	
0.066	0.299719	
0.067	0.298555	
0.068	0.298503	
0.069	0.299573	
0.070	0.299198	
0.071	0.299198	
0.072	0.298021	
0.073	0.298375	
0.074	0.299182	
0.075	0.300175	
0.076	0.299236	
0.077	0.298297	
0.078	0.298877	
0.079	0.300428	
0.080	0.301179	
0.081	0.300381	
0.082	0.300001	
0.083	0.300897	
0.084	0.301768	
0.085	0.301312	
0.086	0.300606	
0.087	0.301732	
0.088	0.301732	
0.089	0.302045	
0.090	0.300924	
0.091	0.301086	
0.092	0.30219	
0.093	0.301997	
0.094	0.300194	
0.095	0.299378	
0.096	0.30057	
0.097	0.301768	
0.098	0.30026	
0.099	0.298805	
0.100	0.299643	
0.101	0.301157	
0.102	0.299472	
0.103	0.299472	
0.104	0.299395	
0.105	0.300943	
0.106	0.300321	
0.107	0.298697	
0.108	0.298697	
0.109	0.300581	
0.110	0.300562	
0.111	0.299132	
0.112	0.298071	
0.113	0.299233	
0.114	0.300198	
0.115	0.299823	
0.116	0.298575	
0.117	0.298317	
0.118	0.298685	
0.119	0.299144	
0.120	0.299315	
0.121	0.298169	
0.122	0.297217	
0.123	0.298272	
0.124	0.299644	
0.125	0.299592	
0.126	0.298412	
0.127	0.298131	
0.128	0.299473	
0.129	0.301075	
0.130	0.300768	
0.131	0.299537	
0.132	0.299942	
0.133	0.301169	
0.134	0.301474	
0.135	0.30101	
0.136	0.301087	
0.137	0.301813	
0.138	0.302251	
0.139	0.301392	
0.140	0.30056	
0.141	0.301467	
0.142	0.302248	
0.143	0.301057	
0.144	0.299762	
0.145	0.300303	
0.146	0.301525	
0.147	0.301056	
0.148	0.299335	
0.149	0.298866	
0.150	0.300276	
0.151	0.301017	
0.152	0.299516	
0.153	0.298561	
0.154	0.299864	
0.155	0.301253	
0.156	0.300805	
0.157	0.299132	
0.158	0.298642	
0.159	0.300367	
0.160	0.300833	
0.161	0.299793	
0.162	0.298873	
0.163	0.299876	
0.164	0.300617	
0.165	0.300127	
0.166	0.298914	
0.167	0.298186	
0.168	0.298869	
0.169	0.299637	
0.170	0.299098	
0.171	0.298331	
0.172	0.297814	
0.173	0.29833	
0.174	0.30022	
0.175	0.299294	
0.176	0.297985	
0.177	0.297856	
0.178	0.299284	
0.179	0.300801	
0.180	0.300879	
0.181	0.299862	
0.182	0.299654	
0.183	0.301233	
0.184	0.301616	
0.185	0.300574	
0.186	0.300639	
0.187	0.301766	
0.188	0.302242	
0.189	0.301435	
0.190	0.300731	
0.191	0.30134	
0.192	0.302356	
0.193	0.301303	
0.194	0.299341	
0.195	0.299703	
0.196	0.301155	
0.197	0.300868	
0.198	0.299327	
0.199	0.299073	
0.200	0.300352	
0.201	0.300807	
0.202	0.299412	
0.203	0.298291	
0.204	0.299669	
0.205	0.301055	
0.206	0.300098	
0.207	0.298511	
0.208	0.29894	
0.209	0.300688	
0.210	0.300799	
0.211	0.29956	
0.212	0.298191	
0.213	0.299097	
0.214	0.300046	
0.215	0.299822	
0.216	0.298791	
0.217	0.298295	
0.218	0.298608	
0.219	0.299147	
0.220	0.29913	
0.221	0.298186	
0.222	0.297842	
0.223	0.298274	
0.224	0.299175	
0.225	0.299468	
0.226	0.29891	
0.227	0.29862	
0.228	0.299952	
0.229	0.30097	
0.230	0.300092	
0.231	0.299444	
0.232	0.300238	
0.233	0.301593	
0.234	0.30168	
0.235	0.300611	
0.236	0.30024	
0.237	0.30188	
0.238	0.302634	
0.239	0.301294	
0.240	0.300395	
0.241	0.301152	
0.242	0.301853	
0.243	0.301301	
0.244	0.299878	
0.245	0.300098	
0.246	0.301427	
0.247	0.300968	
0.248	0.299234	
0.249	0.299263	
0.250	0.300607	
0.251	0.300796	
0.252	0.299453	
0.253	0.298572	
0.254	0.300095	
0.255	0.30124	
0.256	0.300691	
0.257	0.29867	
0.258	0.298387	
0.259	0.300414	
0.260	0.300927	
0.261	0.29957	
0.262	0.298962	
0.263	0.299657	
0.264	0.3008	
0.265	0.300605	
0.266	0.298872	
0.267	0.298197	
0.268	0.299039	
0.269	0.299564	
0.270	0.299361	
0.271	0.298342	
0.272	0.29834	
0.273	0.298615	
0.274	0.299472	
0.275	0.299639	
0.276	0.298733	
0.277	0.298218	
0.278	0.299392	
0.279	0.300785	
0.280	0.300741	
0.281	0.300099	
0.282	0.30021	
0.283	0.301376	
0.284	0.301882	
0.285	0.30058	
0.286	0.30058	
0.287	0.301996	
0.288	0.302663	
0.289	0.30167	
0.290	0.300676	
0.291	0.301524	
0.292	0.302459	
0.293	0.300469	
0.294	0.300469	
0.295	0.300577	
0.296	0.301338	
0.297	0.30023	
0.298	0.30023	
0.299	0.299863	
0.300	0.299863	
0.301	0.300397	
0.302	0.298583	
0.303	0.298583	
0.304	0.300439	
0.305	0.301181	
0.306	0.301181	
0.307	0.298442	
0.308	0.299333	
0.309	0.300871	
0.310	0.300479	
0.311	0.298669	
0.312	0.298568	
0.313	0.299761	
0.314	0.299761	
0.315	0.299116	
0.316	0.299116	
0.317	0.298542	
0.318	0.298542	
0.319	0.299344	
0.320	0.298594	
0.321	0.298047	
0.322	0.297534	
0.323	0.299095	
0.324	0.299611	
0.325	0.298982	
0.326	0.298392	
0.327	0.298679	
0.328	0.300224	
0.329	0.300224	
0.330	0.30029	
0.331	0.299815	
0.332	0.300724	
0.333	0.301385	
0.334	0.301042	
0.335	0.300509	
0.336	0.301709	
0.337	0.302895	
0.338	0.302272	
0.339	0.300926	
0.340	0.300949	
0.341	0.302135	
0.342	0.302147	
0.343	0.300609	
0.344	0.29989	
0.345	0.301028	
0.346	0.301738	
0.347	0.300607	
0.348	0.299322	
0.349	0.299619	
0.350	0.300782	
0.351	0.300426	
0.352	0.299172	
0.353	0.299334	
0.354	0.300858	
0.355	0.301193	
0.356	0.299714	
0.357	0.298688	
0.358	0.299766	
0.359	0.300913	
0.360	0.300726	
0.361	0.299148	
0.362	0.299164	
0.363	0.300249	
0.364	0.30086	
0.365	0.299659	
0.366	0.298288	
0.367	0.298384	
0.368	0.29921	
0.369	0.299332	
0.370	0.298621	
0.371	0.297997	
0.372	0.298562	
0.373	0.299253	
0.374	0.299801	
0.375	0.298743	
0.376	0.29795	
0.377	0.298707	
0.378	0.300332	
0.379	0.300988	
0.380	0.300026	
0.381	0.29966	
0.382	0.300737	
0.383	0.301846	
0.384	0.301178	
0.385	0.300184	
0.386	0.300979	
0.387	0.302414	
0.388	0.302269	
0.389	0.300887	
0.390	0.300698	
0.391	0.301992	
0.392	0.302168	
0.393	0.300368	
0.394	0.299259	
0.395	0.300247	
0.396	0.301246	
0.397	0.300186	
0.398	0.298913	
0.399	0.29959	
0.400	0.300736	
0.401	0.300083	
0.402	0.298499	
0.403	0.298588	
0.404	0.300362	
0.405	0.300799	
0.406	0.299367	
0.407	0.298246	
0.408	0.299588	
0.409	0.301016	
0.410	0.300235	
0.411	0.298474	
0.412	0.298571	
0.413	0.299705	
