Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 61.923	
0.001	 61.923	
0.002	 62.008	
0.003	 62.008	
0.004	 61.744	
0.005	 61.744	
0.006	 61.927	
0.007	 61.927	
0.008	 61.738	
0.009	 61.738	
0.010	  62.03	
0.011	  62.03	
0.012	 61.979	
0.013	 61.979	
0.014	 62.141	
0.015	 62.141	
0.016	 62.201	
0.017	 62.201	
0.018	 62.386	
0.019	 62.386	
0.020	 62.478	
0.021	 62.478	
0.022	 62.833	
0.023	 62.833	
0.024	 62.721	
0.025	 62.721	
0.026	 62.774	
0.027	 62.774	
0.028	 62.995	
0.029	 62.995	
0.030	  63.06	
0.031	  63.06	
0.032	 63.032	
0.033	 63.032	
0.034	  62.89	
0.035	  62.89	
0.036	 62.795	
0.037	 62.795	
0.038	 62.685	
0.039	 62.685	
0.040	 62.742	
0.041	 62.742	
0.042	 62.447	
0.043	 62.447	
0.044	  62.57	
0.045	  62.57	
0.046	 62.208	
0.047	 62.208	
0.048	 62.313	
0.049	 62.313	
0.050	 62.173	
0.051	 62.173	
0.052	 62.112	
0.053	 62.112	
0.054	 61.936	
0.055	 61.936	
0.056	 62.103	
0.057	 62.103	
0.058	 61.892	
0.059	 61.892	
0.060	 62.223	
0.061	 62.223	
0.062	 62.189	
0.063	 62.189	
0.064	  62.19	
0.065	  62.19	
0.066	  62.42	
0.067	  62.42	
0.068	 62.665	
0.069	 62.665	
0.070	 62.547	
0.071	 62.547	
0.072	 62.586	
0.073	 62.939	
0.074	 63.113	
0.075	 62.916	
0.076	 62.916	
0.077	 63.065	
0.078	 63.065	
0.079	 63.036	
0.080	 63.005	
0.081	 63.119	
0.082	 62.976	
0.083	 62.969	
0.084	 62.816	
0.085	 62.786	
0.086	 62.944	
0.087	 62.673	
0.088	 62.503	
0.089	 62.396	
0.090	 62.366	
0.091	 62.312	
0.092	 62.312	
0.093	 62.346	
0.094	 62.289	
0.095	 62.102	
0.096	 61.947	
0.097	 61.822	
0.098	 62.114	
0.099	 62.149	
0.100	 61.907	
0.101	 61.756	
0.102	  61.65	
0.103	 61.811	
0.104	 61.742	
0.105	 61.717	
0.106	 61.894	
0.107	 61.898	
0.108	 61.811	
0.109	 61.556	
0.110	 61.556	
0.111	 61.696	
0.112	  61.74	
0.113	 61.888	
0.114	 61.893	
0.115	 62.099	
0.116	 62.229	
0.117	 62.079	
0.118	  62.29	
0.119	 62.315	
0.120	 62.346	
0.121	 62.414	
0.122	 62.312	
0.123	 62.626	
0.124	 62.766	
0.125	  62.72	
0.126	  62.79	
0.127	 62.804	
0.128	 62.934	
0.129	 62.848	
0.130	 62.795	
0.131	 62.992	
0.132	 63.076	
0.133	 62.807	
0.134	 62.807	
0.135	 62.857	
0.136	 62.857	
0.137	 62.668	
0.138	 62.668	
0.139	 62.665	
0.140	 62.651	
0.141	 62.651	
0.142	 62.454	
0.143	 62.509	
0.144	 62.542	
0.145	 62.437	
0.146	 62.226	
0.147	   62.4	
0.148	 62.383	
0.149	 62.208	
0.150	 62.175	
0.151	 62.183	
0.152	 62.305	
0.153	 62.097	
0.154	 61.957	
0.155	 62.083	
0.156	 62.119	
0.157	  62.23	
0.158	  62.23	
0.159	  61.96	
0.160	 62.077	
0.161	 61.973	
0.162	 62.056	
0.163	 62.136	
0.164	 62.136	
0.165	 62.455	
0.166	 62.313	
0.167	 62.426	
0.168	 62.569	
0.169	 62.609	
0.170	 62.609	
0.171	 62.621	
0.172	 62.874	
0.173	 62.938	
