Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0308564	
0.001	0.0310367	
0.002	0.0307023	
0.003	0.0305588	
0.004	0.0306378	
0.005	0.0305053	
0.006	0.0303546	
0.007	0.0305501	
0.008	0.0305333	
0.009	0.0302306	
0.010	0.030212	
0.011	0.030206	
0.012	0.0303905	
0.013	0.0303011	
0.014	0.0301139	
0.015	0.0299838	
0.016	0.0299742	
0.017	0.0300588	
0.018	0.03014	
0.019	0.0301864	
0.020	0.0300887	
0.021	0.02997	
0.022	0.0299304	
0.023	0.0299304	
0.024	0.0302297	
0.025	0.0302021	
0.026	0.0298492	
0.027	0.0297067	
0.028	0.0300038	
0.029	0.0304124	
0.030	0.0304124	
0.031	0.0304349	
0.032	0.0304349	
0.033	0.0300595	
0.034	0.030331	
0.035	0.0305073	
0.036	0.0304637	
0.037	0.0307193	
0.038	0.0307193	
0.039	0.0305109	
0.040	0.0305599	
0.041	0.0305599	
0.042	0.030736	
0.043	0.0304656	
0.044	0.0304396	
0.045	0.0305746	
0.046	0.0305746	
0.047	0.030352	
0.048	0.030352	
0.049	0.0299865	
0.050	0.0299865	
0.051	0.0304347	
0.052	0.0304347	
0.053	0.0301152	
0.054	0.0301152	
0.055	0.0298208	
0.056	0.0298208	
0.057	0.0300816	
0.058	0.0300816	
0.059	0.0298822	
0.060	0.0298822	
0.061	0.029631	
0.062	0.0295502	
0.063	0.0296073	
0.064	0.0296837	
0.065	0.029511	
0.066	0.0294482	
0.067	0.0294482	
0.068	0.0297944	
0.069	0.02988	
0.070	0.0298688	
0.071	0.0297588	
0.072	0.0297052	
0.073	0.0301306	
0.074	0.0306635	
0.075	0.0306846	
0.076	0.0305003	
0.077	0.0304553	
0.078	0.0304332	
0.079	0.030529	
0.080	0.0309048	
0.081	0.0312671	
0.082	0.0309111	
0.083	0.0305968	
0.084	0.0307692	
0.085	0.0306716	
0.086	0.0306706	
0.087	0.0305804	
0.088	0.0307376	
0.089	0.030531	
0.090	0.0302097	
0.091	0.0300663	
0.092	0.0302697	
0.093	0.0303896	
0.094	0.0302748	
0.095	0.0299238	
0.096	0.0297572	
0.097	0.0298507	
0.098	0.0301246	
0.099	0.0300911	
0.100	0.0298784	
0.101	0.0296766	
0.102	0.0296859	
0.103	0.0297493	
0.104	0.0298156	
0.105	0.02977	
0.106	0.0296276	
0.107	0.029649	
0.108	0.0296424	
0.109	0.0295889	
0.110	0.0296197	
0.111	0.0298201	
0.112	0.0299235	
0.113	0.0297639	
0.114	0.0297013	
0.115	0.0299217	
0.116	0.0302383	
0.117	0.0303626	
0.118	0.0301649	
0.119	0.0299679	
0.120	0.03003	
0.121	0.0303183	
0.122	0.0305833	
0.123	0.0304489	
0.124	0.0302491	
0.125	0.0303707	
0.126	0.0306052	
0.127	0.0305912	
0.128	0.0303729	
0.129	0.0303677	
0.130	0.0304963	
0.131	0.0305399	
0.132	0.0305111	
0.133	0.0304093	
0.134	0.0304413	
0.135	0.0305595	
0.136	0.0305206	
0.137	0.0302592	
0.138	0.0301073	
0.139	0.0302475	
0.140	0.0303214	
0.141	0.0302374	
0.142	0.029994	
0.143	0.0298237	
0.144	0.0298649	
0.145	0.0298512	
0.146	0.0298185	
0.147	0.0297896	
0.148	0.0296332	
0.149	0.0293713	
0.150	0.0293366	
0.151	0.0295674	
0.152	0.0297588	
0.153	0.0295902	
0.154	0.0295667	
0.155	0.0296663	
0.156	0.0297688	
0.157	0.0299606	
0.158	0.0301329	
0.159	0.0302009	
0.160	0.030233	
0.161	0.0301704	
0.162	0.0304414	
0.163	0.0308017	
0.164	0.0306361	
0.165	0.0304716	
0.166	0.0304955	
0.167	0.0305973	
0.168	0.0307233	
0.169	0.0306479	
0.170	0.0304346	
0.171	0.0304354	
0.172	0.0306815	
0.173	0.0306205	
0.174	0.0305417	
0.175	0.0303507	
0.176	0.0302481	
0.177	0.0303554	
0.178	0.0305516	
0.179	0.0305778	
0.180	0.0303491	
0.181	0.0300809	
0.182	0.0300951	
0.183	0.0301891	
0.184	0.0302614	
0.185	0.0302668	
0.186	0.030025	
0.187	0.0297272	
0.188	0.0298599	
0.189	0.0298599	
0.190	0.0299551	
0.191	0.0297121	
0.192	0.0295008	
0.193	0.0295986	
0.194	0.029729	
0.195	0.0297958	
0.196	0.0298068	
0.197	0.0297808	
0.198	0.0296195	
0.199	0.0296898	
0.200	0.0298887	
0.201	0.030023	
0.202	0.0300715	
0.203	0.0299281	
0.204	0.0299172	
0.205	0.0302003	
0.206	0.0304454	
0.207	0.0304226	
0.208	0.0302312	
0.209	0.0301088	
0.210	0.0301429	
0.211	0.0305103	
0.212	0.0308168	
0.213	0.0308192	
0.214	0.030315	
0.215	0.0300378	
0.216	0.0301881	
0.217	0.0305337	
0.218	0.0308494	
0.219	0.0308118	
0.220	0.0305045	
0.221	0.0300264	
0.222	0.0300264	
0.223	0.0302474	
0.224	0.0305749	
0.225	0.0304745	
0.226	0.0299757	
0.227	0.0299757	
0.228	0.0296107	
0.229	0.0299319	
0.230	0.0299319	
0.231	0.0297654	
