Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0316634	
0.001	0.0314807	
0.002	0.0315268	
0.003	0.031774	
0.004	0.03212	
0.005	0.0320411	
0.006	0.0316137	
0.007	0.0312323	
0.008	0.031177	
0.009	0.0312157	
0.010	0.0309797	
0.011	0.030453	
0.012	0.029904	
0.013	0.0295325	
0.014	0.0295643	
0.015	0.0298233	
0.016	0.0298957	
0.017	0.0295016	
0.018	0.0290659	
0.019	0.0290561	
0.020	0.0294335	
0.021	0.0297014	
0.022	0.0295956	
0.023	0.0291758	
0.024	0.0289921	
0.025	0.0296473	
0.026	0.0304495	
0.027	0.0304811	
0.028	0.0301083	
0.029	0.0302671	
0.030	0.0308068	
0.031	0.0314054	
0.032	0.0315258	
0.033	0.03147	
0.034	0.0314977	
0.035	0.0315965	
0.036	0.031561	
0.037	0.0312667	
0.038	0.0310908	
0.039	0.0308351	
0.040	0.0306106	
0.041	0.0302935	
0.042	0.0297503	
0.043	0.0291916	
0.044	0.0290305	
0.045	0.029004	
0.046	0.0286172	
0.047	0.0279997	
0.048	0.0276634	
0.049	0.0275879	
0.050	0.0277311	
0.051	0.0279688	
0.052	0.0281715	
0.053	0.0285203	
0.054	0.0286472	
0.055	0.0290228	
0.056	0.0297341	
0.057	0.0305488	
0.058	0.0312277	
0.059	0.0313635	
0.060	0.0312927	
0.061	0.0311077	
0.062	0.0311421	
0.063	0.0315958	
0.064	0.0317194	
0.065	0.0311687	
0.066	0.0303208	
0.067	0.0297772	
0.068	0.0298055	
0.069	0.0298443	
0.070	0.0294696	
0.071	0.0288064	
0.072	0.0284264	
0.073	0.0283456	
0.074	0.0285935	
0.075	0.0290406	
0.076	0.0292435	
0.077	0.0290633	
0.078	0.0290703	
0.079	0.0293445	
0.080	0.0298627	
0.081	0.0305392	
0.082	0.0308559	
0.083	0.0308697	
0.084	0.0307199	
0.085	0.0308315	
0.086	0.0312502	
0.087	0.0316892	
0.088	0.0316638	
0.089	0.0312536	
0.090	0.0309694	
0.091	0.0308619	
0.092	0.0309308	
0.093	0.0306609	
0.094	0.0302716	
0.095	0.0298273	
0.096	0.0295001	
0.097	0.0295096	
0.098	0.0297807	
0.099	0.0299744	
0.100	0.0297059	
0.101	0.0293387	
0.102	0.0292051	
0.103	0.0294872	
0.104	0.0297833	
0.105	0.0298346	
0.106	0.0297562	
0.107	0.0298178	
0.108	0.0298704	
0.109	0.0298184	
0.110	0.0301189	
0.111	0.0305514	
0.112	0.030704	
0.113	0.0306172	
0.114	0.0306874	
0.115	0.0309381	
0.116	0.0312726	
0.117	0.0313847	
0.118	0.0311404	
0.119	0.0309265	
0.120	0.0309204	
0.121	0.0311313	
0.122	0.0311177	
0.123	0.0307226	
0.124	0.0302683	
0.125	0.0302315	
0.126	0.0302353	
0.127	0.0302327	
0.128	0.0299167	
0.129	0.0295755	
0.130	0.0294323	
0.131	0.0292999	
0.132	0.0293402	
0.133	0.0295747	
0.134	0.0297811	
0.135	0.0295782	
0.136	0.0296146	
0.137	0.0299853	
0.138	0.0307384	
0.139	0.0313251	
0.140	0.0314482	
