Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-3.6528	
0.001	-3.6528	
0.002	-4.5835	
0.003	-4.5835	
0.004	-4.9546	
0.005	-4.9546	
0.006	-4.7217	
0.007	-4.7217	
0.008	-3.5911	
0.009	-3.5911	
0.010	-2.8123	
0.011	-2.8123	
0.012	-2.3147	
0.013	-2.3147	
0.014	-2.4152	
0.015	-2.4152	
0.016	-3.1078	
0.017	-3.1078	
0.018	-4.1955	
0.019	-4.1955	
0.020	-4.8648	
0.021	-4.8648	
0.022	-4.8827	
0.023	-4.8827	
0.024	-3.9484	
0.025	-3.9484	
0.026	-3.1349	
0.027	-3.1349	
0.028	-2.5524	
0.029	-2.5524	
0.030	-2.3225	
0.031	-2.3225	
0.032	-2.7477	
0.033	-2.7477	
0.034	-3.9845	
0.035	-3.9845	
0.036	-4.8698	
0.037	-4.8698	
0.038	-5.2708	
0.039	-5.2708	
0.040	-4.6582	
0.041	-4.6582	
0.042	-3.3789	
0.043	-3.3789	
0.044	-2.8402	
0.045	-2.8402	
0.046	-2.3562	
0.047	-2.3562	
0.048	-2.1724	
0.049	-2.1724	
0.050	-3.4718	
0.051	-3.4718	
0.052	-4.1947	
0.053	-4.1947	
0.054	  -4.49	
0.055	  -4.49	
0.056	-4.6573	
0.057	-4.6573	
0.058	-3.3391	
0.059	-3.3391	
0.060	-2.5462	
0.061	-2.5462	
0.062	-2.4556	
0.063	-2.4556	
0.064	 -2.191	
0.065	 -2.191	
0.066	-2.8847	
0.067	-2.8847	
0.068	-4.2542	
0.069	-4.2542	
0.070	-4.6636	
0.071	-4.6636	
0.072	-4.9336	
0.073	-4.9336	
0.074	-4.2151	
0.075	-4.2151	
0.076	-3.1198	
0.077	-3.1198	
0.078	-2.9501	
0.079	-2.9501	
0.080	-2.8583	
0.081	-2.8583	
0.082	-2.9636	
0.083	-2.9636	
0.084	-4.2829	
0.085	-4.2829	
0.086	-4.6978	
0.087	-4.6978	
0.088	-4.4915	
0.089	-4.4915	
0.090	-3.8768	
0.091	-3.8768	
0.092	 -2.602	
0.093	 -2.602	
0.094	-1.7596	
0.095	-1.7596	
0.096	-1.6602	
0.097	-1.6602	
0.098	-1.6484	
0.099	-1.6484	
0.100	 -2.986	
0.101	 -2.986	
0.102	-4.1624	
0.103	-4.1624	
0.104	-4.5772	
0.105	-4.5772	
0.106	-4.7966	
0.107	-4.7966	
0.108	-3.7289	
0.109	-3.7289	
0.110	-2.9622	
0.111	-2.9622	
0.112	-2.8096	
0.113	-2.8096	
0.114	-2.6569	
0.115	-2.6569	
0.116	-3.5105	
0.117	-3.5105	
0.118	-4.6909	
0.119	-4.6909	
0.120	-5.0496	
0.121	-5.0496	
0.122	-5.2047	
0.123	-5.2047	
0.124	-4.1287	
0.125	-4.1287	
0.126	-3.0159	
0.127	-3.0159	
0.128	-2.5422	
0.129	-2.5422	
0.130	-2.1657	
0.131	-2.1657	
0.132	-2.4434	
0.133	-2.4434	
0.134	-3.7732	
0.135	-3.7732	
0.136	-4.2435	
0.137	-4.2435	
0.138	-4.4045	
0.139	-4.4045	
0.140	-3.8185	
0.141	-3.8185	
0.142	-2.4529	
0.143	-2.4529	
0.144	-1.8988	
0.145	-1.8988	
0.146	-1.7536	
0.147	-1.7536	
0.148	-1.6943	
0.149	-1.6943	
0.150	-3.1216	
0.151	-3.1216	
0.152	-4.0961	
0.153	-4.0961	
0.154	-4.5412	
0.155	-4.5412	
0.156	-4.5986	
0.157	-4.5986	
0.158	 -3.565	
0.159	 -3.565	
0.160	 -3.034	
0.161	 -3.034	
0.162	-2.7246	
0.163	-2.7246	
0.164	 -2.584	
0.165	 -2.584	
0.166	-3.5765	
0.167	-3.5765	
0.168	 -4.389	
0.169	 -4.389	
0.170	-4.7796	
0.171	-4.7796	
0.172	-4.7762	
0.173	-4.7762	
0.174	-3.4617	
0.175	-3.4617	
0.176	-2.9573	
0.177	-2.6899	
0.178	-2.4944	
0.179	-2.2632	
0.180	-2.0357	
0.181	 -1.879	
0.182	-1.9498	
0.183	-2.5998	
0.184	-3.3373	
0.185	-3.8343	
0.186	 -4.096	
0.187	-4.2216	
0.188	-4.3463	
0.189	-4.5047	
0.190	-4.4299	
0.191	-3.7907	
0.192	-3.1093	
0.193	-2.6139	
0.194	-2.3711	
0.195	-2.2443	
0.196	-2.0903	
0.197	-1.9546	
0.198	-1.9398	
0.199	-2.9211	
0.200	-3.5914	
0.201	-4.0538	
0.202	-4.3576	
0.203	-4.6437	
0.204	-4.8943	
0.205	-4.9999	
0.206	-4.6434	
0.207	  -3.96	
0.208	-3.3385	
0.209	-2.9193	
0.210	-2.6695	
0.211	-2.4724	
0.212	 -2.274	
0.213	-2.0845	
0.214	-1.9592	
0.215	-2.3402	
0.216	-3.0611	
0.217	-3.6815	
0.218	-4.0318	
0.219	-4.2352	
0.220	-4.3872	
0.221	-4.4959	
0.222	-4.4613	
0.223	 -3.907	
0.224	-3.2585	
0.225	-2.7066	
0.226	-2.3428	
0.227	 -2.101	
0.228	-1.9131	
0.229	-1.8021	
