Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 101.08	
0.001	 101.08	
0.002	 101.92	
0.003	 101.92	
0.004	 103.69	
0.005	 103.69	
0.006	 104.64	
0.007	 104.64	
0.008	  104.5	
0.009	  104.5	
0.010	 103.54	
0.011	 103.54	
0.012	 101.65	
0.013	 101.65	
0.014	 99.596	
0.015	 99.596	
0.016	 98.328	
0.017	 98.328	
0.018	 98.047	
0.019	 98.047	
0.020	  98.84	
0.021	  98.84	
0.022	 100.18	
0.023	 100.18	
0.024	 101.86	
0.025	 101.86	
0.026	 102.26	
0.027	 102.26	
0.028	 102.18	
0.029	 102.18	
0.030	 101.37	
0.031	 101.37	
0.032	 100.35	
0.033	 100.35	
0.034	 100.15	
0.035	 100.15	
0.036	 100.74	
0.037	 100.74	
0.038	 101.67	
0.039	 101.67	
0.040	    102	
0.041	    102	
0.042	 102.27	
0.043	 102.27	
0.044	 101.76	
0.045	 101.76	
0.046	 100.64	
0.047	 100.64	
0.048	 99.863	
0.049	 99.863	
0.050	 100.03	
0.051	 100.03	
0.052	    101	
0.053	    101	
0.054	 102.58	
0.055	 102.58	
0.056	 103.56	
0.057	 103.56	
0.058	 104.05	
0.059	 104.05	
0.060	 104.26	
0.061	 104.26	
0.062	 102.46	
0.063	 102.46	
0.064	    101	
0.065	    101	
0.066	 100.28	
0.067	 100.28	
0.068	 99.498	
0.069	 99.498	
0.070	 100.64	
0.071	 100.64	
0.072	 101.21	
0.073	 101.21	
0.074	 101.44	
0.075	 101.44	
0.076	 102.47	
0.077	 102.47	
0.078	 102.09	
0.079	 102.09	
0.080	 102.02	
0.081	 102.02	
0.082	 102.63	
0.083	 102.63	
0.084	 103.06	
0.085	 103.06	
0.086	 104.56	
0.087	 104.56	
0.088	 105.69	
0.089	 105.69	
0.090	 105.59	
0.091	 105.59	
0.092	 105.46	
0.093	 105.46	
0.094	 104.08	
0.095	 104.08	
0.096	 102.23	
0.097	 102.23	
0.098	 101.79	
0.099	 101.79	
0.100	 101.26	
0.101	 101.26	
0.102	 102.35	
0.103	 102.35	
0.104	 103.94	
0.105	 103.94	
0.106	 104.72	
0.107	 104.72	
0.108	 105.61	
0.109	 105.61	
0.110	  105.4	
0.111	  105.4	
0.112	 104.31	
0.113	 104.31	
0.114	 104.14	
0.115	 104.14	
0.116	 103.66	
0.117	 103.66	
0.118	 104.56	
0.119	 104.56	
0.120	 105.61	
0.121	 105.61	
0.122	 105.61	
0.123	 105.61	
0.124	 105.94	
0.125	 105.94	
0.126	 105.65	
0.127	 105.65	
0.128	 103.79	
0.129	 103.79	
0.130	 102.93	
0.131	 102.93	
0.132	 102.67	
0.133	 102.67	
0.134	 103.25	
0.135	 103.25	
0.136	 105.14	
0.137	 105.14	
0.138	 106.17	
0.139	 106.17	
0.140	 106.88	
0.141	 106.88	
0.142	 107.01	
0.143	 107.01	
0.144	 104.99	
0.145	 104.99	
0.146	  103.6	
0.147	  103.6	
0.148	 102.31	
0.149	 102.31	
0.150	 101.31	
0.151	 101.31	
0.152	 102.37	
0.153	 102.37	
0.154	 102.57	
0.155	 102.57	
0.156	 102.98	
0.157	 102.98	
0.158	 103.92	
0.159	 103.92	
0.160	 103.64	
0.161	 103.64	
0.162	 103.59	
0.163	 103.59	
0.164	 104.02	
