Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 100.15	
0.001	 99.862	
0.002	 100.01	
0.003	 100.39	
0.004	 100.77	
0.005	 101.31	
0.006	 101.85	
0.007	 102.51	
0.008	 103.13	
0.009	 103.43	
0.010	  103.3	
0.011	 102.88	
0.012	  102.5	
0.013	 102.33	
0.014	 101.81	
0.015	 101.05	
0.016	 99.988	
0.017	 98.871	
0.018	 98.131	
0.019	 97.962	
0.020	   98.1	
0.021	  98.42	
0.022	 98.966	
0.023	 99.434	
0.024	 100.05	
0.025	 100.77	
0.026	 101.29	
0.027	 101.41	
0.028	 101.31	
0.029	 101.32	
0.030	  101.2	
0.031	 100.72	
0.032	  100.1	
0.033	 99.408	
0.034	 98.911	
0.035	  98.87	
0.036	 99.144	
0.037	 99.397	
0.038	 99.917	
0.039	  100.5	
0.040	 101.15	
0.041	 101.98	
0.042	 102.65	
0.043	 102.87	
0.044	 102.66	
0.045	 102.26	
0.046	 102.14	
0.047	 101.97	
0.048	 101.42	
0.049	 100.49	
0.050	 99.397	
0.051	 98.619	
0.052	 98.449	
0.053	 98.704	
0.054	 99.031	
0.055	 99.554	
0.056	 100.04	
0.057	 100.58	
0.058	 101.48	
0.059	 102.52	
0.060	 103.05	
0.061	 102.84	
0.062	  102.4	
0.063	 102.27	
0.064	 101.93	
0.065	 101.43	
0.066	 100.65	
0.067	 99.684	
0.068	 98.894	
0.069	 98.618	
0.070	  98.78	
0.071	 99.173	
0.072	 99.757	
0.073	 100.15	
0.074	 100.55	
0.075	 101.16	
0.076	 101.81	
0.077	 102.19	
0.078	 102.27	
0.079	 102.32	
0.080	 102.44	
0.081	  102.2	
0.082	 101.82	
0.083	 101.33	
0.084	 100.93	
0.085	 100.93	
0.086	 101.36	
0.087	 101.75	
0.088	 102.19	
0.089	 102.78	
0.090	 103.54	
0.091	 104.33	
0.092	 104.98	
0.093	 105.22	
0.094	 105.06	
0.095	 104.78	
0.096	 104.62	
0.097	 104.27	
0.098	 103.64	
0.099	 102.81	
0.100	 101.87	
0.101	 101.12	
0.102	 100.87	
0.103	 100.98	
0.104	 101.24	
0.105	 101.83	
0.106	 102.39	
0.107	 103.03	
0.108	  103.8	
0.109	 104.54	
0.110	 104.92	
0.111	 104.94	
0.112	 104.94	
0.113	 104.79	
0.114	 104.36	
0.115	 103.86	
0.116	 103.24	
0.117	 102.76	
0.118	 102.68	
0.119	 102.95	
0.120	 103.31	
0.121	 104.03	
0.122	 104.72	
0.123	 105.38	
0.124	    106	
0.125	 106.53	
0.126	 106.73	
0.127	 106.65	
0.128	 106.44	
0.129	 106.26	
0.130	 105.71	
0.131	 105.71	
0.132	 104.04	
0.133	 103.15	
0.134	 102.56	
0.135	  102.5	
0.136	 102.74	
0.137	 103.03	
0.138	 103.69	
0.139	 104.25	
0.140	 104.87	
0.141	 105.62	
0.142	 105.62	
0.143	 106.55	
0.144	  106.4	
0.145	  106.4	
0.146	 105.76	
0.147	 105.76	
0.148	 103.91	
0.149	 103.91	
0.150	 102.33	
0.151	 102.33	
0.152	 101.61	
0.153	 101.61	
0.154	  101.8	
0.155	  101.8	
0.156	 102.98	
0.157	 102.98	
0.158	 103.85	
0.159	 103.85	
0.160	 104.55	
0.161	 104.55	
0.162	 104.92	
0.163	 104.92	
0.164	 104.02	
0.165	 104.02	
0.166	 103.37	
0.167	 103.37	
0.168	 103.22	
0.169	 103.22	
0.170	 103.61	
0.171	 103.61	
0.172	 105.28	
0.173	 105.28	
0.174	 106.65	
0.175	 106.65	
0.176	 106.53	
0.177	 106.53	
0.178	 106.17	
0.179	 106.17	
0.180	 105.07	
0.181	 105.07	
0.182	 102.93	
0.183	 102.93	
0.184	 101.66	
0.185	 101.66	
0.186	 101.41	
0.187	 101.41	
0.188	 102.15	
0.189	 102.15	
0.190	 103.56	
0.191	 103.56	
0.192	  104.6	
0.193	  104.6	
0.194	 104.89	
0.195	 104.89	
0.196	 104.78	
0.197	 104.78	
0.198	 103.35	
0.199	 103.35	
0.200	 102.57	
0.201	 102.57	
0.202	 102.43	
0.203	 102.43	
0.204	 103.02	
0.205	 103.02	
0.206	 104.69	
0.207	 104.69	
0.208	  105.1	
0.209	  105.1	
0.210	 105.23	
0.211	 105.23	
0.212	 105.19	
0.213	 105.19	
0.214	 103.36	
0.215	 103.36	
0.216	 102.18	
0.217	 102.18	
0.218	 101.25	
0.219	 101.25	
0.220	 100.42	
0.221	 100.42	
0.222	 102.08	
0.223	 102.08	
0.224	 103.09	
0.225	 103.09	
0.226	 103.43	
0.227	 103.43	
0.228	 103.97	
0.229	 103.97	
0.230	 103.03	
0.231	 103.03	
0.232	 101.01	
0.233	 101.01	
0.234	 99.675	
0.235	 99.675	
0.236	 98.478	
0.237	 98.478	
0.238	 98.601	
0.239	 98.601	
0.240	 99.715	
0.241	 99.715	
