Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0306246	
0.001	0.0305829	
0.002	0.0305311	
0.003	0.0303927	
0.004	0.0303179	
0.005	0.0304756	
0.006	0.0305611	
0.007	0.0303948	
0.008	0.0301821	
0.009	0.0300916	
0.010	0.0301147	
0.011	0.0303055	
0.012	0.0302584	
0.013	0.0301324	
0.014	0.0297709	
0.015	0.0296806	
0.016	0.0299464	
0.017	0.0299422	
0.018	0.029884	
0.019	0.0297156	
0.020	0.0294634	
0.021	0.0294106	
0.022	0.0294685	
0.023	0.0296026	
0.024	0.0295291	
0.025	0.0293239	
0.026	0.0292225	
0.027	0.0293231	
0.028	0.0294327	
0.029	0.0296057	
0.030	0.0294608	
0.031	0.0294395	
0.032	0.0296182	
0.033	0.0296182	
0.034	0.0298488	
0.035	0.0299883	
0.036	0.029993	
0.037	0.0299415	
0.038	0.0301007	
0.039	0.0302251	
0.040	0.0303211	
0.041	0.0303764	
0.042	0.0303368	
0.043	0.0304143	
0.044	0.0305259	
0.045	0.0305249	
0.046	0.0305109	
0.047	0.0305208	
0.048	0.0305208	
0.049	0.0304319	
0.050	0.0304319	
0.051	0.0304895	
0.052	0.0304895	
0.053	0.0304733	
0.054	0.0304733	
0.055	0.0303715	
0.056	0.0303715	
0.057	0.0302848	
0.058	0.0302848	
0.059	0.0301432	
0.060	0.0299344	
0.061	0.0299344	
0.062	0.0297392	
0.063	0.0297392	
0.064	0.0297988	
0.065	0.0297988	
0.066	0.0295458	
0.067	0.0294869	
0.068	0.0295417	
0.069	0.0294942	
0.070	0.0294827	
0.071	0.0294967	
0.072	0.0294278	
0.073	0.0294278	
0.074	0.0296501	
0.075	0.029752	
0.076	0.0298643	
0.077	0.0299056	
0.078	0.029809	
0.079	0.0298837	
0.080	0.0299967	
0.081	0.0301864	
0.082	0.0302977	
0.083	0.0302254	
0.084	0.0301199	
0.085	0.0301909	
0.086	0.0303851	
0.087	0.0304939	
0.088	0.0304244	
0.089	0.0302272	
0.090	0.0303155	
0.091	0.030355	
0.092	0.0303984	
0.093	0.0305019	
0.094	0.0303183	
0.095	0.0301652	
0.096	0.0301058	
0.097	0.0303195	
0.098	0.0302057	
0.099	0.0301283	
0.100	0.0300172	
0.101	0.0298563	
0.102	0.0298815	
0.103	0.0298392	
0.104	0.0297548	
0.105	0.0296307	
0.106	0.0294961	
0.107	0.0295091	
0.108	0.0294503	
0.109	0.0293647	
0.110	0.0293605	
0.111	0.0293566	
0.112	0.0293512	
0.113	0.029359	
0.114	0.0293447	
0.115	0.0293834	
0.116	0.0295131	
0.117	0.0296824	
0.118	0.0296712	
0.119	0.0296612	
0.120	0.0296797	
0.121	0.0298253	
0.122	0.0299646	
0.123	0.0300521	
0.124	0.0301789	
0.125	0.0301333	
0.126	0.029987	
0.127	0.0300793	
0.128	0.030274	
0.129	0.0304433	
0.130	0.0304399	
0.131	0.0302482	
0.132	0.0302482	
0.133	0.0303246	
0.134	0.0305179	
0.135	0.0304505	
0.136	0.0304608	
0.137	0.03031	
0.138	0.0303229	
0.139	0.0303382	
0.140	0.0304068	
0.141	0.0302742	
0.142	0.0302742	
0.143	0.0299741	
0.144	0.0299741	
0.145	0.0301115	
0.146	0.0300312	
0.147	0.0298713	
0.148	0.0297191	
0.149	0.0297191	
0.150	0.0297191	
0.151	0.0296882	
0.152	0.0296732	
0.153	0.0297044	
0.154	0.0295913	
0.155	0.0295804	
0.156	0.0295953	
0.157	0.0296808	
0.158	0.0296884	
0.159	0.0297513	
0.160	0.0297451	
0.161	0.0296422	
0.162	0.029701	
0.163	0.0299001	
0.164	0.0299954	
0.165	0.0300317	
0.166	0.0298844	
0.167	0.0297907	
0.168	0.0299242	
0.169	0.0301506	
0.170	0.0301506	
0.171	0.0301506	
0.172	0.030092	
0.173	0.0301076	
0.174	0.0301811	
0.175	0.0303737	
0.176	0.0303478	
0.177	0.0302612	
0.178	0.0301852	
0.179	0.0301831	
0.180	0.03023	
0.181	0.0303808	
0.182	0.0303808	
0.183	0.0302745	
0.184	0.0299956	
0.185	0.0299871	
0.186	0.0300622	
0.187	0.0301522	
0.188	0.0300451	
0.189	0.029873	
0.190	0.0296788	
0.191	0.0296809	
0.192	0.0297645	
0.193	0.0297645	
0.194	0.0295955	
0.195	0.0295955	
0.196	0.0294507	
0.197	0.0294507	
0.198	0.0297384	
0.199	0.0297384	
0.200	0.0296321	
0.201	0.0296321	
0.202	0.0296252	
0.203	0.0296252	
0.204	0.0298997	
0.205	0.0298997	
0.206	0.0298253	
0.207	0.0297087	
0.208	0.0297087	
0.209	0.0301332	
0.210	0.0300386	
0.211	0.0300081	
0.212	0.0300398	
0.213	0.0300839	
0.214	0.0300947	
0.215	0.0302118	
0.216	0.0302737	
0.217	0.0301625	
0.218	0.0302057	
0.219	0.0303118	
0.220	0.0303436	
0.221	0.0303451	
