Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)
0	0.0296516
0.001	0.0301038
0.002	0.0308614
0.003	0.0309423
0.004	0.0301754
0.005	0.0295819
0.006	0.0292928
0.007	0.0298612
0.008	0.0303675
0.009	0.0302695
0.01	0.029682
0.011	0.0292932
0.012	0.0294486
0.013	0.03025
0.014	0.0310718
0.015	0.0311233
0.016	0.0299492
0.017	0.0299492
0.018	0.0301013
0.019	0.0301013
0.02	0.0308306
0.021	0.030622
0.022	0.0299072
0.023	0.0294097
0.024	0.0295374
0.025	0.0299122
0.026	0.0301647
0.027	0.0295668
0.028	0.0295668
0.029	0.0289817
0.03	0.0294893
0.031	0.0294893
0.032	0.0295577
0.033	0.0295577
0.034	0.0291153
0.035	0.0291153
0.036	0.0299855
0.037	0.0299855
0.038	0.0302644
0.039	0.0302159
0.04	0.0302733
0.041	0.0307069
0.042	0.0308473
0.043	0.0308619
0.044	0.0305122
0.045	0.0304202
0.046	0.0303986
0.047	0.0306151
0.048	0.0306035
0.049	0.0304975
0.05	0.0300082
0.051	0.0300082
0.052	0.0300604
0.053	0.030235
0.054	0.0299387
0.055	0.0294773
0.056	0.0291188
0.057	0.0292305
0.058	0.0294939
0.059	0.0293752
0.06	0.0288282
0.061	0.0284265
0.062	0.0287322
0.063	0.0292187
0.064	0.0295725
0.065	0.0291608
0.066	0.0289276
0.067	0.028967
0.068	0.0294022
0.069	0.0299207
0.07	0.0300583
0.071	0.0297779
0.072	0.0297779
0.073	0.029849
0.074	0.0303129
0.075	0.0305848
0.076	0.0305016
0.077	0.0301272
0.078	0.0298281
0.079	0.030219
0.08	0.0304158
0.081	0.0304039
0.082	0.0301941
0.083	0.0298774
0.084	0.0296163
0.085	0.0297696
0.086	0.029939
0.087	0.0298578
0.088	0.0294741
0.089	0.0292113
0.09	0.0292733
0.091	0.0295115
0.092	0.0299277
0.093	0.029767
0.094	0.029234
0.095	0.0292525
0.096	0.0299191
0.097	0.0304597
0.098	0.030637
0.099	0.0303059
0.1	0.0298349
0.101	0.0298399
0.102	0.0300774
0.103	0.0302291
0.104	0.0299975
0.105	0.0295996
0.106	0.0292704
0.107	0.0293471
0.108	0.0294793
0.109	0.0294218
0.11	0.0290674
0.111	0.0286449
0.112	0.0286731
0.113	0.0288021
0.114	0.028836
0.115	0.0287229
0.116	0.0285534
0.117	0.028485
0.118	0.0287146
0.119	0.0291378
0.12	0.0293805
0.121	0.0295071
0.122	0.0296384
0.123	0.0300228
0.124	0.0302822
0.125	0.0306051
0.126	0.0306856
0.127	0.0306854
0.128	0.0305159
0.129	0.0305534
0.13	0.0306846
0.131	0.0306662
0.132	0.0306417
0.133	0.0305619
0.134	0.0302781
0.135	0.0301707
0.136	0.030245
0.137	0.0302925
0.138	0.0300176
0.139	0.0293789
0.14	0.0290624
0.141	0.029211
0.142	0.0296683
0.143	0.0297092
0.144	0.0290097
0.145	0.0285828
0.146	0.0286793
0.147	0.0292647
0.148	0.0297153
0.149	0.0296374
0.15	0.0292227
0.151	0.0291735
0.152	0.0296632
0.153	0.0302187
0.154	0.0305006
0.155	0.030172
0.156	0.0299519
0.157	0.0301626
0.158	0.0305906
0.159	0.030324
0.16	0.030324
0.161	0.0297528
0.162	0.0297971
0.163	0.0303935
0.164	0.030925
0.165	0.030868
0.166	0.0299944
0.167	0.0295238
0.168	0.0297091
0.169	0.0303302
0.17	0.030472
0.171	0.0302287
0.172	0.0302287
0.173	0.029288
0.174	0.0298161
0.175	0.0303877
0.176	0.0305597
0.177	0.0301891
0.178	0.0301891
0.179	0.0301687
0.18	0.0308783
0.181	0.031699
0.182	0.0315757
0.183	0.0309158
0.184	0.0306245
0.185	0.0307083
0.186	0.0313806
0.187	0.0316264
0.188	0.0311852
0.189	0.0303994
0.19	0.0303547
0.191	0.0307522
0.192	0.0309262
0.193	0.0308634
0.194	0.0301702
0.195	0.0296839
0.196	0.0297626
0.197	0.0302634
