Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
80.000	0.0302602	
80.001	0.0302602	
80.002	0.0302602	
80.003	0.0300486	
80.004	0.0299445	
80.005	0.0298984	
80.006	0.0296724	
80.007	0.0297309	
80.008	0.0297471	
80.009	0.0297784	
80.010	0.0297302	
80.011	0.0296774	
80.012	0.0296002	
80.013	0.0297347	
80.014	0.0297148	
80.015	0.0297289	
80.016	0.0297278	
80.017	0.0297308	
80.018	0.0299578	
80.019	0.0300522	
80.020	0.0298852	
80.021	0.0299298	
80.022	0.0300773	
80.023	0.0301933	
80.024	0.030237	
80.025	0.0301076	
80.026	0.0300863	
80.027	0.0301776	
80.028	0.0304116	
80.029	0.0305046	
80.030	0.0304051	
80.031	0.0301922	
80.032	0.030109	
80.033	0.0303124	
80.034	0.0305798	
80.035	0.0307274	
80.036	0.0303451	
80.037	0.0301243	
80.038	0.0301774	
80.039	0.030386	
80.040	0.0305119	
80.041	0.0302159	
80.042	0.0299879	
80.043	0.0298911	
80.044	0.0300486	
80.045	0.0301227	
80.046	0.0299783	
80.047	0.0297682	
80.048	0.0296527	
80.049	0.0296578	
80.050	0.0298758	
80.051	0.0299214	
80.052	0.0297299	
80.053	0.0296176	
80.054	0.0296263	
80.055	0.0298117	
80.056	0.0298529	
80.057	0.0298001	
80.058	0.0297012	
80.059	0.029728	
80.060	0.029728	
80.061	0.0298437	
80.062	0.0300958	
80.063	0.0299783	
80.064	0.0298993	
80.065	0.0298418	
80.066	0.0300686	
80.067	0.0302658	
80.068	0.0303086	
80.069	0.0301062	
80.070	0.0299204	
80.071	0.0300473	
80.072	0.0304029	
80.073	0.0305501	
80.074	0.0304153	
80.075	0.0302503	
80.076	0.0302688	
80.077	0.0303548	
80.078	0.0305455	
80.079	0.0307161	
80.080	0.0304826	
80.081	0.0302195	
80.082	0.030215	
80.083	0.0303644	
80.084	0.0304541	
80.085	0.0305051	
80.086	0.0302726	
80.087	0.0300297	
80.088	0.0300519	
80.089	0.0302034	
80.090	0.0302109	
80.091	0.0300795	
80.092	0.0299027	
80.093	0.0297994	
80.094	0.0299056	
80.095	0.0300146	
80.096	0.0299143	
80.097	0.0297529	
80.098	0.0298162	
80.099	0.0299068	
80.100	0.0299806	
80.101	0.0299198	
80.102	0.0299449	
80.103	0.0298414	
80.104	0.0299772	
80.105	0.0300461	
80.106	0.0300513	
80.107	0.0299489	
80.108	0.0299999	
80.109	0.0301315	
80.110	0.0300377	
80.111	0.0298879	
80.112	0.0298459	
80.113	0.0299803	
80.114	0.0302297	
80.115	0.0302587	
80.116	0.030147	
80.117	0.0300205	
80.118	0.0299627	
80.119	0.0301197	
80.120	0.0303281	
80.121	0.0303281	
80.122	0.030117	
80.123	0.0300582	
80.124	0.0300582	
80.125	0.0300991	
80.126	0.0302807	
80.127	0.0301561	
80.128	0.0300134	
80.129	0.0299533	
80.130	0.0298791	
80.131	0.029916	
80.132	0.0299468	
80.133	0.0299121	
80.134	0.029738	
80.135	0.0297507	
80.136	0.0297507	
80.137	0.0298115	
80.138	0.029931	
80.139	0.0299826	
80.140	0.0297744	
80.141	0.0297574	
80.142	0.03	
80.143	0.0301302	
80.144	0.0301116	
80.145	0.0299807	
80.146	0.0298859	
80.147	0.0300633	
80.148	0.0301345	
80.149	0.0301089	
80.150	0.0301089	
80.151	0.0300638	
80.152	0.0300638	
80.153	0.0301846	
80.154	0.0301846	
80.155	0.0300629	
80.156	0.0300896	
80.157	0.0301973	
80.158	0.0302216	
80.159	0.0301789	
80.160	0.0301789	
80.161	0.030067	
80.162	0.030067	
80.163	0.0300947	
80.164	0.0300947	
80.165	0.0302471	
80.166	0.0302471	
80.167	0.029927	
80.168	0.029927	
80.169	0.0299894	
80.170	0.0299894	
80.171	0.0300381	
80.172	0.0300381	
80.173	0.0297196	
80.174	0.0297196	
80.175	0.029893	
80.176	0.030002	
80.177	0.0299242	
80.178	0.0299242	
80.179	0.029711	
80.180	0.0298798	
80.181	0.0299989	
80.182	0.0300525	
80.183	0.0300525	
80.184	0.0299069	
80.185	0.0299069	
80.186	0.0302054	
80.187	0.0302054	
80.188	0.0300282	
80.189	0.0298923	
80.190	0.0299758	
80.191	0.0301149	
80.192	0.0301318	
80.193	0.0299533	
80.194	0.0299533	
80.195	0.0299136	
80.196	0.0299644	
80.197	0.0300666	
80.198	0.0300345	
80.199	0.0299703	
80.200	0.0299278	
80.201	0.0298314	
80.202	0.0298952	
80.203	0.0299312	
80.204	0.029914	
80.205	0.0299012	
80.206	0.0298621	
80.207	0.0298404	
80.208	0.0298316	
80.209	0.029772	
80.210	0.0297764	
80.211	0.0298359	
80.212	0.0296634	
80.213	0.0296689	
80.214	0.0296411	
80.215	0.029738	
80.216	0.0296776	
80.217	0.029694	
80.218	0.0295662	
80.219	0.0296119	
80.220	0.029806	
80.221	0.0298586	
80.222	0.0297423	
80.223	0.0298003	
80.224	0.0298639	
80.225	0.0299918	
80.226	0.0299124	
80.227	0.0299635	
80.228	0.0301198	
80.229	0.03013	
80.230	0.0301176	
80.231	0.0301044	
80.232	0.0299831	
80.233	0.0299634	
80.234	0.0301868	
80.235	0.0301868	
80.236	0.0300142	
80.237	0.029904	
80.238	0.0299233	
80.239	0.029964	
80.240	0.0299798	
80.241	0.0300003	
80.242	0.0300003	
80.243	0.0298002	
80.244	0.0299212	
80.245	0.0299961	
