Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0297991	
0.001	0.0299894	
0.002	0.0302833	
0.003	0.0301352	
0.004	0.029818	
0.005	0.0295673	
0.006	0.0296546	
0.007	0.0299443	
0.008	0.0301994	
0.009	0.0301994	
0.010	0.0298859	
0.011	0.0296867	
0.012	0.0298556	
0.013	0.0300859	
0.014	0.0301174	
0.015	0.0302891	
0.016	0.0302586	
0.017	0.0302574	
0.018	0.0303536	
0.019	0.0305977	
0.020	0.0308134	
0.021	0.0308665	
0.022	0.0307289	
0.023	0.0306376	
0.024	0.0307569	
0.025	0.0310047	
0.026	0.0311191	
0.027	0.0309337	
0.028	0.0304662	
0.029	0.0304744	
0.030	0.030767	
0.031	0.0308271	
0.032	0.0307694	
0.033	0.0304685	
0.034	0.0302426	
0.035	0.0300475	
0.036	0.0301669	
0.037	0.0304384	
0.038	0.0304384	
0.039	0.029891	
0.040	0.029891	
0.041	0.0298093	
0.042	0.0302019	
0.043	0.0302019	
0.044	0.029844	
0.045	0.029844	
0.046	0.0296964	
0.047	0.0296964	
0.048	0.0304392	
0.049	0.0304392	
0.050	0.0298769	
0.051	0.0298769	
0.052	0.0294912	
0.053	0.0300562	
0.054	0.030419	
0.055	0.030419	
0.056	0.030341	
0.057	0.030341	
0.058	0.0300232	
0.059	0.0300232	
0.060	0.0307739	
0.061	0.0307613	
0.062	0.0307613	
0.063	0.0303655	
0.064	0.0304028	
0.065	0.0307771	
0.066	0.031168	
0.067	0.0310021	
0.068	0.0310021	
0.069	0.0305319	
0.070	0.0305142	
0.071	0.0305893	
0.072	0.0305893	
0.073	0.0304548	
0.074	0.0304548	
0.075	0.0301499	
0.076	0.0303962	
0.077	0.0304579	
0.078	0.0301058	
0.079	0.029767	
0.080	0.0297468	
0.081	0.0298702	
0.082	0.0300332	
0.083	0.0302003	
0.084	0.0299566	
0.085	0.0295776	
0.086	0.0295393	
0.087	0.0297854	
0.088	0.0299082	
0.089	0.0296418	
0.090	0.0293374	
0.091	0.0291845	
0.092	0.029357	
0.093	0.0297276	
0.094	0.0297504	
0.095	0.0296271	
0.096	0.0295069	
0.097	0.0294211	
0.098	0.0296984	
0.099	0.0299659	
0.100	0.0302474	
0.101	0.0300928	
0.102	0.0299772	
0.103	0.030114	
0.104	0.0304316	
0.105	0.0307027	
0.106	0.0308055	
0.107	0.0307555	
0.108	0.030469	
0.109	0.030469	
0.110	0.0305839	
0.111	0.0308748	
0.112	0.0310532	
0.113	0.0307876	
0.114	0.030399	
0.115	0.0303442	
0.116	0.0304537	
0.117	0.0306061	
0.118	0.0305685	
0.119	0.0301974	
0.120	0.0300983	
0.121	0.0301465	
0.122	0.0302674	
0.123	0.0301474	
0.124	0.0299635	
0.125	0.0298157	
0.126	0.0299874	
0.127	0.0300495	
0.128	0.0299143	
0.129	0.0296178	
0.130	0.0294609	
0.131	0.0297044	
0.132	0.0297685	
0.133	0.0295372	
0.134	0.0294533	
0.135	0.0294382	
0.136	0.0296695	
0.137	0.0296472	
0.138	0.029566	
0.139	0.0295612	
0.140	0.0296553	
0.141	0.0298532	
0.142	0.0299058	
0.143	0.0298654	
0.144	0.0299471	
0.145	0.0299494	
0.146	0.0300925	
0.147	0.0302654	
0.148	0.0303561	
0.149	0.0302806	
0.150	0.0302448	
0.151	0.0302745	
0.152	0.0303442	
0.153	0.0304187	
0.154	0.0303312	
0.155	0.0304245	
0.156	0.0303046	
0.157	0.0303046	
0.158	0.0301793	
0.159	0.0301573	
0.160	0.0303882	
0.161	0.0304305	
0.162	0.0301526	
0.163	0.0297457	
0.164	0.0299312	
0.165	0.0302174	
0.166	0.0302698	
0.167	0.0301939	
0.168	0.0299566	
0.169	0.029574	
0.170	0.0294396	
0.171	0.0296438	
0.172	0.0298817	
0.173	0.029767	
0.174	0.0294333	
0.175	0.0292518	
0.176	0.0293132	
0.177	0.02954	
0.178	0.0297258	
0.179	0.0295717	
0.180	0.0292899	
0.181	0.0293888	
0.182	0.0296323	
0.183	0.029833	
0.184	0.0301303	
0.185	0.0300932	
0.186	0.0298644	
0.187	0.0300081	
0.188	0.0303843	
0.189	0.0307455	
0.190	0.0307062	
0.191	0.0304206	
0.192	0.0303266	
0.193	0.0305298	
0.194	0.0309397	
0.195	0.0309397	
0.196	0.0310563	
0.197	0.0305552	
0.198	0.0302966	
0.199	0.0304191	
0.200	0.030663	
0.201	0.0309007	
0.202	0.0307431	
0.203	0.0303823	
0.204	0.0300707	
0.205	0.0302977	
0.206	0.0306332	
0.207	0.0306582	
0.208	0.0304468	
0.209	0.0302662	
0.210	0.0300394	
0.211	0.0300394	
0.212	0.0302472	
0.213	0.0302472	
0.214	0.0301535	
0.215	0.0299898	
0.216	0.0299033	
0.217	0.0297589	
0.218	0.0297858	
0.219	0.029772	
0.220	0.0295708	
0.221	0.0295708	
0.222	0.0296471	
0.223	0.0296471	
0.224	0.0296043	
0.225	0.0296043	
0.226	0.0296575	
0.227	0.0296575	
0.228	0.0299365	
0.229	0.0298138	
0.230	0.0298138	
0.231	0.0298442	
0.232	0.0298442	
0.233	0.0302399	
0.234	0.0302399	
0.235	0.0300346	
0.236	0.0300599	
0.237	0.0300599	
0.238	0.030264	
0.239	0.030264	
0.240	0.0303849	
0.241	0.0303849	
0.242	0.0302144	
0.243	0.0299782	
0.244	0.0299782	
0.245	0.0303748	
0.246	0.0304765	
0.247	0.0303964	
0.248	0.030069	
0.249	0.030069	
0.250	0.0302777	
0.251	0.0303782	
0.252	0.0303454	
0.253	0.0300425	
0.254	0.0300425	
0.255	0.02965	
0.256	0.02965	
0.257	0.0298958	
0.258	0.0298958	
0.259	0.0294468	
0.260	0.0292972	
0.261	0.0292938	
0.262	0.0295825	
0.263	0.0296592	
0.264	0.0294312	
0.265	0.0292352	
0.266	0.0293067	
0.267	0.0296103	
0.268	0.0299011	
0.269	0.0298861	
0.270	0.0296333	
0.271	0.0294547	
0.272	0.0296826	
0.273	0.030061	
0.274	0.0303872	
0.275	0.0302381	
0.276	0.029925	
0.277	0.0296335	
0.278	0.0296352	
0.279	0.0301938	
0.280	0.0303831	
0.281	0.0301275	
0.282	0.0298848	
0.283	0.0298627	
0.284	0.0300148	
0.285	0.030155	
0.286	0.0302154	
0.287	0.0301117	
0.288	0.0299007	
0.289	0.029865	
0.290	0.0301857	
0.291	0.0305692	
0.292	0.0306165	
0.293	0.0302017	
0.294	0.0297536	
0.295	0.0296208	
0.296	0.0298899	
0.297	0.0303269	
0.298	0.0304872	
0.299	0.0302904	
0.300	0.0296762	
0.301	0.0295062	
0.302	0.0295423	
0.303	0.0297873	
0.304	0.0300778	
0.305	0.030013	
0.306	0.0297507	
0.307	0.0294114	
0.308	0.0293525	
0.309	0.0297022	
0.310	0.0300237	
0.311	0.0299132	
0.312	0.0297052	
0.313	0.0294751	
0.314	0.0294163	
0.315	0.0297498	
0.316	0.0301705	
0.317	0.0300108	
0.318	0.0296444	
0.319	0.0293842	
0.320	0.0295013	
0.321	0.0298731	
0.322	0.0300744	
0.323	0.0297734	
0.324	0.0295747	
0.325	0.0296176	
0.326	0.0297542	
0.327	0.0299471	
0.328	0.0299993	
0.329	0.029804	
0.330	0.0296932	
0.331	0.0298387	
0.332	0.0301001	
0.333	0.0301356	
0.334	0.0299991	
0.335	0.0298019	
0.336	0.0297452	
0.337	0.0299158	
0.338	0.0301236	
0.339	0.0300415	
0.340	0.029669	
0.341	0.0293899	
0.342	0.0294765	
0.343	0.0297987	
0.344	0.0299519	
0.345	0.0298899	
0.346	0.0296021	
0.347	0.0293621	
0.348	0.0295182	
0.349	0.0299027	
0.350	0.0302378	
0.351	0.0301003	
0.352	0.0297288	
0.353	0.0296459	
0.354	0.0298711	
0.355	0.0302333	
0.356	0.0304208	
0.357	0.0301955	
0.358	0.0301186	
0.359	0.0300979	
0.360	0.0301335	
0.361	0.0301288	
0.362	0.0301946	
0.363	0.0300806	
0.364	0.0300806	
0.365	0.0299433	
0.366	0.0297291	
0.367	0.0296499	
0.368	0.0297732	
0.369	0.0300306	
0.370	0.0301049	
0.371	0.0298119	
0.372	0.0295821	
0.373	0.0296793	
0.374	0.0298239	
0.375	0.0299923	
0.376	0.0299895	
0.377	0.0298483	
0.378	0.0298589	
0.379	0.0299601	
0.380	0.0299538	
0.381	0.0300139	
0.382	0.0300328	
0.383	0.029978	
0.384	0.0301406	
0.385	0.0300295	
0.386	0.0298312	
0.387	0.0297676	
0.388	0.0299083	
0.389	0.0300095	
0.390	0.0301577	
0.391	0.0300761	
0.392	0.0298663	
0.393	0.0297522	
0.394	0.0300351	
0.395	0.0303044	
0.396	0.0303736	
0.397	0.0300708	
0.398	0.0297486	
0.399	0.0297473	
0.400	0.0300193	
0.401	0.030301	
0.402	0.0302391	
0.403	0.0298558	
0.404	0.0296608	
0.405	0.0298251	
0.406	0.0301162	
0.407	0.0301162	
0.408	0.0298349	
0.409	0.0297348	
0.410	0.0297348	
0.411	0.0300877	
0.412	0.0300877	
0.413	0.0300126	
0.414	0.0297581	
0.415	0.0297234	
0.416	0.0297234	
0.417	0.0301953	
0.418	0.0300683	
0.419	0.0298152	
0.420	0.0297021	
0.421	0.0298685	
0.422	0.0301574	
0.423	0.0301574	
0.424	0.0298696	
0.425	0.0295045	
0.426	0.0297186	
0.427	0.0300043	
0.428	0.0302399	
0.429	0.0301461	
0.430	0.0297267	
0.431	0.029565	
0.432	0.0298545	
0.433	0.0302702	
0.434	0.0304692	
0.435	0.0303079	
0.436	0.0299928	
0.437	0.0300757	
0.438	0.0304015	
0.439	0.0306145	
0.440	0.0306165	
0.441	0.0302606	
0.442	0.0299984	
0.443	0.0300804	
0.444	0.0303564	
0.445	0.0305181	
0.446	0.0304375	
0.447	0.0300917	
0.448	0.029589	
0.449	0.0295279	
0.450	0.0299079	
0.451	0.0303073	
0.452	0.0303489	
0.453	0.0299513	
0.454	0.0294944	
0.455	0.0294588	
0.456	0.0296677	
0.457	0.029994	
0.458	0.0300955	
0.459	0.0298425	
0.460	0.0296546	
0.461	0.0297447	
0.462	0.0300062	
0.463	0.0301029	
0.464	0.0300916	
0.465	0.0298861	
0.466	0.0297319	
0.467	0.0299573	
0.468	0.0302278	
0.469	0.030184	
0.470	0.0300885	
0.471	0.0299793	
0.472	0.0301166	
0.473	0.0304036	
0.474	0.030351	
0.475	0.0302533	
0.476	0.0303465	
0.477	0.0304028	
0.478	0.0304164	
0.479	0.0302674	
0.480	0.0302339	
0.481	0.0303561	
0.482	0.0304136	
0.483	0.0305131	
0.484	0.030463	
0.485	0.030309	
0.486	0.0300625	
0.487	0.0302579	
0.488	0.0303996	
0.489	0.0303298	
0.490	0.0302572	
0.491	0.0299718	
0.492	0.0299059	
0.493	0.0300597	
0.494	0.0302282	
0.495	0.0300485	
0.496	0.0299078	
0.497	0.0298069	
0.498	0.029917	
0.499	0.0300037	
0.500	0.0299259	
0.501	0.0298203	
0.502	0.0296485	
0.503	0.0297381	
0.504	0.0297377	
0.505	0.0298936	
0.506	0.02986	
0.507	0.0297183	
0.508	0.0296381	
0.509	0.0296633	
0.510	0.0296633	
0.511	0.0300169	
0.512	0.0302266	
0.513	0.0299065	
0.514	0.0298319	
0.515	0.0299967	
0.516	0.0303152	
0.517	0.0306228	
0.518	0.0307741	
0.519	0.030552	
0.520	0.0303908	
0.521	0.0304537	
0.522	0.0306943	
0.523	0.0309799	
0.524	0.0310508	
0.525	0.030898	
0.526	0.0305499	
0.527	0.0305421	
0.528	0.0305911	
0.529	0.0309195	
0.530	0.0309296	
0.531	0.0306653	
0.532	0.0301112	
0.533	0.0299783	
0.534	0.0301091	
0.535	0.030347	
0.536	0.0304477	
0.537	0.0302453	
0.538	0.0298967	
0.539	0.0298038	
0.540	0.029865	
0.541	0.0301228	
0.542	0.0302656	
0.543	0.0300032	
0.544	0.0297044	
0.545	0.0296021	
0.546	0.0299789	
0.547	0.0302473	
0.548	0.0301354	
0.549	0.0298483	
0.550	0.029622	
0.551	0.0299076	
0.552	0.0302698	
0.553	0.0302866	
0.554	0.0300455	
0.555	0.0298985	
0.556	0.0299396	
0.557	0.0302893	
0.558	0.0305772	
0.559	0.0306401	
0.560	0.0303369	
0.561	0.0302915	
0.562	0.0305051	
0.563	0.0305051	
0.564	0.0306141	
0.565	0.0307534	
0.566	0.0307973	
0.567	0.0305632	
0.568	0.0304521	
0.569	0.0304079	
0.570	0.0306834	
0.571	0.0307127	
0.572	0.0306964	
0.573	0.0304408	
0.574	0.030387	
0.575	0.0301751	
0.576	0.0302897	
0.577	0.0303038	
0.578	0.0301959	
0.579	0.0300823	
0.580	0.0300013	
0.581	0.0297688	
0.582	0.0299171	
0.583	0.0300258	
0.584	0.0298877	
0.585	0.0296726	
0.586	0.0296632	
0.587	0.0297951	
0.588	0.0297454	
0.589	0.0295965	
0.590	0.0294599	
0.591	0.0294116	
0.592	0.0294911	
0.593	0.0297575	
0.594	0.029634	
0.595	0.0295216	
0.596	0.0296259	
0.597	0.0295661	
0.598	0.0295661	
0.599	0.0300432	
0.600	0.0300432	
0.601	0.0298824	
0.602	0.0298824	
0.603	0.0304689	
0.604	0.0304689	
0.605	0.0306154	
0.606	0.0306154	
0.607	0.0303653	
0.608	0.0303653	
0.609	0.030829	
0.610	0.030829	
0.611	0.0306883	
0.612	0.0303515	
0.613	0.0303544	
0.614	0.0304537	
0.615	0.03083	
0.616	0.0307797	
0.617	0.0303167	
0.618	0.0299876	
0.619	0.0300544	
0.620	0.0301879	
0.621	0.0301823	
0.622	0.0300104	
0.623	0.0298274	
0.624	0.0298274	
0.625	0.0296831	
0.626	0.0296831	
0.627	0.0298465	
0.628	0.0295336	
0.629	0.0293826	
0.630	0.0292701	
0.631	0.029453	
0.632	0.0294544	
0.633	0.0294854	
0.634	0.0293057	
0.635	0.0291183	
0.636	0.0291645	
0.637	0.029519	
0.638	0.0294831	
0.639	0.0293585	
0.640	0.0294179	
0.641	0.0295719	
0.642	0.0297364	
0.643	0.0298043	
0.644	0.0298212	
0.645	0.0298919	
0.646	0.0299738	
0.647	0.0300144	
0.648	0.0302093	
0.649	0.0303615	
0.650	0.0303621	
0.651	0.0302842	
0.652	0.0302202	
0.653	0.0303238	
0.654	0.0304789	
0.655	0.0304541	
0.656	0.0301561	
0.657	0.0302564	
0.658	0.0303782	
0.659	0.0302904	
0.660	0.0301538	
0.661	0.0301963	
0.662	0.0300541	
0.663	0.0299982	
0.664	0.0300332	
0.665	0.0301402	
0.666	0.0300866	
0.667	0.0299473	
0.668	0.0297456	
0.669	0.0297413	
0.670	0.0298252	
0.671	0.0298206	
0.672	0.029539	
0.673	0.0294909	
0.674	0.0294392	
0.675	0.0293785	
0.676	0.029408	
0.677	0.0293906	
0.678	0.0294229	
0.679	0.0293971	
0.680	0.029338	
0.681	0.0293849	
0.682	0.0295981	
0.683	0.0299265	
0.684	0.0299528	
0.685	0.0298384	
0.686	0.0297501	
0.687	0.0299239	
0.688	0.0302958	
0.689	0.0304793	
0.690	0.0305094	
0.691	0.0303784	
0.692	0.0303702	
0.693	0.0305738	
0.694	0.0307393	
0.695	0.0304567	
0.696	0.030312	
0.697	0.0304658	
0.698	0.030513	
0.699	0.0304501	
0.700	0.030349	
0.701	0.0301489	
0.702	0.0302956	
0.703	0.0303601	
0.704	0.0302434	
0.705	0.0299636	
0.706	0.0298812	
0.707	0.0300463	
0.708	0.0301945	
0.709	0.0300914	
0.710	0.0299299	
0.711	0.0297785	
0.712	0.0296894	
0.713	0.0298716	
0.714	0.0298692	
0.715	0.0296703	
0.716	0.029435	
0.717	0.0295181	
0.718	0.0296293	
0.719	0.0295761	
0.720	0.0294337	
0.721	0.0293887	
0.722	0.0294571	
0.723	0.0294732	
0.724	0.0295266	
0.725	0.0295822	
0.726	0.0296118	
0.727	0.0296118	
0.728	0.0296151	
0.729	0.0296749	
0.730	0.0297326	
0.731	0.0298174	
0.732	0.0299035	
0.733	0.029939	
0.734	0.0299525	
0.735	0.0300625	
0.736	0.0300817	
0.737	0.0300775	
0.738	0.0301082	
0.739	0.0301502	
0.740	0.0301837	
0.741	0.0303027	
0.742	0.0302561	
0.743	0.0302432	
0.744	0.0301202	
0.745	0.0301357	
0.746	0.0302064	
0.747	0.030237	
0.748	0.0301082	
0.749	0.0300809	
0.750	0.030042	
0.751	0.0299825	
0.752	0.0299709	
0.753	0.0298028	
0.754	0.0296541	
0.755	0.02959	
0.756	0.0295865	
0.757	0.0295749	
0.758	0.0295613	
0.759	0.0294031	
0.760	0.0292243	
0.761	0.0293087	
0.762	0.0294741	
0.763	0.0294783	
0.764	0.0292987	
0.765	0.0293083	
0.766	0.0295	
0.767	0.0296926	
0.768	0.0296959	
0.769	0.0295169	
0.770	0.029441	
0.771	0.0296862	
0.772	0.0300543	
0.773	0.0300959	
0.774	0.0300321	
0.775	0.0298909	
0.776	0.0296713	
0.777	0.0296713	
0.778	0.0299988	
0.779	0.0302504	
0.780	0.0302783	
0.781	0.0301054	
0.782	0.02987	
