Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 9.1747	
0.001	 9.5605	
0.002	  9.766	
0.003	 9.8959	
0.004	 9.9896	
0.005	 10.095	
0.006	 9.7304	
0.007	 9.0132	
0.008	 8.2358	
0.009	 7.5505	
0.010	 7.0808	
0.011	 6.8799	
0.012	 6.8509	
0.013	 7.0341	
0.014	 7.8173	
0.015	 8.6395	
0.016	 9.2521	
0.017	 9.7082	
0.018	 10.076	
0.019	  10.33	
0.020	 10.389	
0.021	 10.327	
0.022	 10.101	
0.023	 9.3513	
0.024	 8.5761	
0.025	 7.9334	
0.026	 7.4279	
0.027	 7.0862	
0.028	  6.963	
0.029	 6.9904	
0.030	 7.3412	
0.031	 8.0153	
0.032	 8.6607	
0.033	 9.2054	
0.034	 9.5667	
0.035	 9.6858	
0.036	 9.6489	
0.037	 9.6292	
0.038	 9.6945	
0.039	 9.3055	
0.040	 8.4375	
0.041	 7.5701	
0.042	 6.9355	
0.043	  6.629	
0.044	 6.5665	
0.045	 6.6083	
0.046	 6.6925	
0.047	 7.2147	
0.048	 7.8818	
0.049	 8.5256	
0.050	 9.1555	
0.051	 9.7101	
0.052	 10.115	
0.053	  10.24	
0.054	 10.173	
0.055	 9.9106	
0.056	 9.1367	
0.057	 8.3555	
0.058	 7.7873	
0.059	 7.4158	
0.060	 7.1185	
0.061	 6.8539	
0.062	 6.6323	
0.063	 6.8572	
0.064	 7.7521	
0.065	 8.7793	
0.066	 9.5755	
0.067	 9.9518	
0.068	 10.041	
0.069	 10.021	
0.070	 10.082	
0.071	  10.15	
0.072	  10.15	
0.073	 9.2779	
0.074	 8.1853	
0.075	 6.6401	
0.076	 6.4074	
0.077	 6.2773	
0.078	 6.2773	
0.079	 6.1086	
0.080	 6.2461	
0.081	 6.9413	
0.082	 7.7967	
0.083	 8.5427	
0.084	 9.0426	
0.085	 9.3418	
0.086	 9.4527	
0.087	 9.4527	
0.088	 9.3293	
0.089	 8.5082	
0.090	 7.7128	
0.091	 7.1636	
0.092	   6.78	
0.093	 6.4741	
0.094	 6.2433	
0.095	 6.1299	
0.096	 6.6995	
0.097	 7.5892	
0.098	 8.3758	
0.099	 8.8851	
0.100	 9.1554	
0.101	 9.2778	
0.102	  9.378	
0.103	 9.5322	
0.104	 9.6042	
0.105	 9.0405	
0.106	 8.2042	
0.107	 7.4493	
0.108	 6.9603	
0.109	 6.7547	
0.110	 6.6653	
0.111	 6.4656	
0.112	 6.6068	
0.113	  7.345	
0.114	 8.1896	
0.115	 8.8551	
0.116	 9.2598	
0.117	 9.4512	
0.118	  9.492	
0.119	 9.5301	
0.120	 9.6725	
0.121	 9.3957	
0.122	 9.3957	
0.123	 7.5922	
0.124	 7.5922	
0.125	 6.6271	
0.126	 6.6271	
0.127	 6.3111	
0.128	 6.3111	
0.129	 6.7675	
0.130	 6.7675	
0.131	 8.3445	
0.132	 8.3445	
0.133	 9.2253	
0.134	 9.2253	
0.135	  9.182	
0.136	  9.182	
0.137	 9.3381	
0.138	 9.3381	
0.139	 8.0125	
0.140	 8.0125	
0.141	 6.6192	
0.142	 6.6192	
0.143	 6.3402	
0.144	 6.3402	
0.145	 6.4608	
0.146	 6.4608	
0.147	  7.822	
0.148	  7.822	
0.149	 9.1035	
0.150	 9.1035	
0.151	 9.5568	
0.152	 9.5568	
0.153	 9.4787	
0.154	 9.4787	
0.155	   8.55	
0.156	   8.55	
0.157	 6.9335	
0.158	 6.9335	
0.159	 5.9462	
0.160	 5.9462	
0.161	 5.8093	
0.162	 5.8093	
0.163	 7.0578	
0.164	 7.0578	
0.165	 8.4137	
0.166	 8.4137	
0.167	 9.3184	
0.168	 9.3184	
0.169	 9.6839	
0.170	 9.8436	
0.171	 9.8436	
0.172	 9.3082	
0.173	 7.7928	
0.174	 7.7928	
0.175	 7.3043	
0.176	 6.9222	
0.177	 6.5952	
0.178	 6.2587	
0.179	 6.0393	
0.180	 6.5989	
0.181	  7.486	
0.182	   8.27	
0.183	 8.7081	
0.184	 8.8703	
0.185	 8.8926	
0.186	 8.9328	
0.187	 9.0804	
0.188	 9.2132	
0.189	 8.7639	
0.190	 8.0091	
0.191	 7.2625	
0.192	 6.7313	
0.193	 6.4804	
0.194	 6.3186	
0.195	 6.2027	
0.196	 6.4174	
0.197	 7.2106	
0.198	 7.9924	
0.199	 8.5746	
0.200	 8.9986	
0.201	  9.244	
0.202	 9.3943	
0.203	 9.5144	
0.204	 9.5572	
0.205	 9.2536	
0.206	 8.3795	
0.207	 7.4787	
0.208	 6.7981	
0.209	 6.4324	
0.210	 6.2439	
0.211	 6.0405	
0.212	 5.8562	
0.213	 6.1942	
0.214	 7.0214	
0.215	  7.852	
0.216	 8.5464	
0.217	 9.0075	
0.218	 9.2121	
0.219	 9.2396	
0.220	 9.1863	
0.221	 9.1422	
0.222	  8.742	
0.223	 7.9483	
0.224	 7.1493	
0.225	 6.5103	
0.226	 6.0899	
0.227	 5.8763	
0.228	 5.8277	
0.229	 5.8534	
0.230	 6.3925	
0.231	 7.1462	
0.232	 7.8308	
0.233	 8.3497	
0.234	 8.6899	
0.235	 8.8763	
0.236	 8.9551	
0.237	 8.9293	
0.238	 8.8409	
0.239	 8.2402	
0.240	 7.3137	
0.241	 6.5414	
0.242	 6.0809	
0.243	 5.8306	
0.244	 5.6413	
0.245	  5.469	
0.246	 5.4631	
0.247	 6.1483	
0.248	 7.1188	
0.249	 8.0059	
0.250	 8.6362	
0.251	 8.9135	
0.252	 9.0103	
0.253	 9.1221	
0.254	 9.3085	
0.255	 9.3427	
0.256	 8.7206	
0.257	   7.86	
0.258	 7.0425	
0.259	 6.4455	
0.260	 6.1494	
0.261	 6.1218	
0.262	 6.1221	
0.263	 6.2865	
0.264	 6.8975	
0.265	 7.5672	
0.266	 8.2091	
0.267	 8.7646	
0.268	 9.1402	
0.269	 9.2871	
0.270	  9.272	
0.271	  9.207	
0.272	 9.0208	
0.273	 8.3716	
0.274	 7.6345	
0.275	  6.915	
0.276	 6.3511	
0.277	 6.0012	
0.278	 5.8675	
0.279	 5.8587	
0.280	 6.1347	
0.281	 6.7564	
0.282	 7.3571	
0.283	 7.8986	
0.284	 8.3535	
0.285	 8.5374	
0.286	  8.463	
0.287	 8.3183	
0.288	 8.2682	
0.289	 8.0874	
0.290	 7.3354	
0.291	 6.5008	
0.292	 5.8169	
0.293	 5.3759	
0.294	 5.2143	
0.295	 5.1988	
0.296	 5.2623	
0.297	 5.8574	
0.298	  6.802	
0.299	 7.6205	
0.300	 8.2127	
0.301	 8.6197	
0.302	 8.9563	
0.303	 9.2484	
0.304	 9.3518	
0.305	 9.2902	
0.306	  8.791	
0.307	 7.9065	
0.308	 6.5243	
0.309	 6.0638	
0.310	  5.686	
0.311	  5.686	
0.312	 5.4016	
0.313	 5.7495	
0.314	 6.5664	
0.315	 7.2459	
0.316	 7.6457	
0.317	 7.8405	
0.318	 8.0204	
0.319	 8.2222	
0.320	 8.2786	
0.321	 8.1496	
0.322	 7.4868	
0.323	 7.4868	
0.324	 5.9457	
0.325	 5.4495	
0.326	 5.0935	
0.327	 4.8465	
0.328	  4.753	
0.329	  4.982	
0.330	 5.8526	
0.331	 6.8296	
0.332	 7.5374	
0.333	 8.0323	
0.334	 8.3998	
0.335	 8.7122	
0.336	 8.9833	
0.337	 9.1815	
0.338	 9.1155	
0.339	 8.4274	
0.340	 7.6203	
0.341	 6.9639	
0.342	 6.5038	
0.343	 6.1546	
0.344	 5.9082	
0.345	  5.719	
0.346	 5.9795	
0.347	 6.7756	
0.348	 7.5929	
0.349	 8.1694	
0.350	 8.5114	
0.351	 8.7156	
0.352	  8.854	
0.353	 8.9514	
0.354	 8.9846	
0.355	 8.6714	
0.356	 7.8031	
0.357	 6.9777	
0.358	 6.4161	
