Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	0.91872	
0.001	0.91872	
0.002	0.37025	
0.003	 0.2718	
0.004	0.22535	
0.005	0.20882	
0.006	0.29251	
0.007	0.70905	
0.008	0.70905	
0.009	 1.4519	
0.010	  1.658	
0.011	  1.658	
0.012	 1.9127	
0.013	 1.9127	
0.014	 1.9679	
0.015	 1.9679	
0.016	 1.5848	
0.017	 1.1465	
0.018	 1.1465	
0.019	0.52224	
0.020	0.52224	
0.021	0.25004	
0.022	0.25004	
0.023	0.27119	
0.024	0.27119	
0.025	 0.9843	
0.026	 0.9843	
0.027	 1.3896	
0.028	 1.3896	
0.029	 1.5804	
0.030	 1.5804	
0.031	 1.7098	
0.032	 1.7098	
0.033	 1.1338	
0.034	 1.1338	
0.035	 0.4687	
0.036	0.29843	
0.037	 0.1982	
0.038	 0.1601	
0.039	0.16974	
0.040	0.43226	
0.041	0.80491	
0.042	 1.1558	
0.043	 1.4289	
0.044	 1.6441	
0.045	 1.7681	
0.046	 1.8202	
0.047	 1.8646	
0.048	 1.8646	
0.049	 1.7507	
0.050	 1.7507	
0.051	0.99342	
0.052	0.99342	
0.053	0.60019	
0.054	0.60019	
0.055	0.52804	
0.056	0.52804	
0.057	0.78971	
0.058	0.78971	
0.059	 1.4333	
0.060	 1.4333	
0.061	 1.6996	
0.062	 1.6996	
0.063	 1.6931	
0.064	 1.6931	
0.065	 1.7115	
0.066	 1.7115	
0.067	0.88702	
0.068	0.88702	
0.069	 0.2226	
0.070	 0.2226	
0.071	0.10262	
0.072	0.10262	
0.073	0.13193	
0.074	0.13193	
0.075	0.83044	
0.076	0.83044	
0.077	 1.4041	
0.078	 1.4041	
0.079	 1.5296	
0.080	 1.5296	
0.081	 1.6583	
0.082	 1.6583	
0.083	 1.1921	
0.084	 1.1921	
0.085	0.40491	
0.086	0.23208	
0.087	0.23208	
0.088	0.24748	
0.089	0.24748	
0.090	0.84491	
0.091	0.84491	
0.092	 1.5076	
0.093	 1.5076	
0.094	 1.7745	
0.095	 1.7745	
0.096	 1.8489	
0.097	 1.8489	
0.098	 1.6662	
0.099	 1.6662	
0.100	0.74529	
0.101	0.74529	
0.102	0.26199	
0.103	0.26199	
0.104	0.13124	
0.105	0.13124	
0.106	0.35015	
0.107	0.35015	
0.108	  1.078	
0.109	  1.078	
0.110	 1.4481	
0.111	 1.4481	
0.112	 1.6304	
0.113	 1.6304	
0.114	 1.7296	
0.115	 1.7296	
0.116	0.97757	
0.117	0.97757	
0.118	0.48966	
0.119	0.48966	
0.120	0.32563	
0.121	0.32563	
0.122	0.33998	
0.123	0.33998	
0.124	 1.1311	
0.125	 1.1311	
0.126	 1.6141	
0.127	 1.6141	
0.128	 1.8477	
0.129	 1.8477	
0.130	 1.9618	
0.131	 1.9618	
0.132	 1.5375	
0.133	 1.5375	
0.134	0.87288	
0.135	0.87288	
0.136	0.66264	
0.137	0.54417	
0.138	0.49359	
0.139	0.47482	
0.140	0.65284	
0.141	 1.0126	
0.142	 1.3052	
0.143	 1.5092	
0.144	 1.6364	
0.145	 1.7107	
0.146	  1.739	
0.147	 1.7278	
0.148	 1.6951	
0.149	 1.4879	
0.150	 1.0422	
0.151	0.65442	
0.152	0.40345	
0.153	0.24493	
0.154	0.17505	
0.155	0.16042	
0.156	0.17116	
0.157	0.46846	
0.158	0.86814	
0.159	 1.2268	
