Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.119469	
0.001	0.119469	
0.002	0.120826	
0.003	0.120826	
0.004	0.121628	
0.005	0.121664	
0.006	0.121664	
0.007	0.122578	
0.008	0.122401	
0.009	0.122401	
0.010	0.122705	
0.011	0.122705	
0.012	0.121983	
0.013	0.121983	
0.014	0.121177	
0.015	0.121177	
0.016	0.120112	
0.017	0.11984	
0.018	0.119032	
0.019	0.118476	
0.020	0.118476	
0.021	0.116815	
0.022	0.116299	
0.023	0.116416	
0.024	0.116341	
0.025	0.116323	
0.026	0.116274	
0.027	0.116399	
0.028	0.116592	
0.029	0.11721	
0.030	0.117983	
0.031	0.119182	
0.032	0.119999	
0.033	0.121148	
0.034	0.121534	
0.035	0.121544	
0.036	0.12177	
0.037	0.121833	
0.038	0.12205	
0.039	0.122049	
0.040	0.12256	
0.041	0.122885	
0.042	0.122473	
0.043	0.121542	
0.044	0.1214	
0.045	0.120875	
0.046	0.120419	
0.047	0.120797	
0.048	0.120291	
0.049	0.119682	
0.050	0.119009	
0.051	0.118473	
0.052	0.117987	
0.053	0.11814	
0.054	0.117998	
0.055	0.117998	
0.056	0.118725	
0.057	0.119276	
0.058	0.119227	
0.059	0.119609	
0.060	0.12036	
0.061	0.120538	
0.062	0.121186	
0.063	0.121528	
0.064	0.121414	
0.065	0.121177	
0.066	0.120806	
0.067	0.120503	
0.068	0.120262	
0.069	0.120197	
0.070	0.119644	
0.071	0.119379	
0.072	0.11898	
0.073	0.117596	
0.074	0.116906	
0.075	0.116833	
0.076	0.116497	
0.077	0.115608	
0.078	0.115685	
0.079	0.115776	
0.080	0.115608	
0.081	0.115102	
0.082	0.115179	
0.083	0.116096	
0.084	0.116551	
0.085	0.11804	
0.086	0.118961	
0.087	0.119591	
0.088	0.119865	
0.089	0.12097	
0.090	0.121766	
0.091	0.122125	
0.092	0.122609	
0.093	0.123563	
0.094	0.123822	
0.095	0.124054	
0.096	0.123841	
0.097	0.123596	
0.098	0.123352	
0.099	0.122887	
0.100	0.122791	
0.101	0.122791	
0.102	0.122689	
0.103	0.122259	
0.104	0.121159	
0.105	0.120439	
0.106	0.120182	
0.107	0.119803	
0.108	0.119631	
0.109	0.119555	
0.110	0.119579	
0.111	0.119624	
0.112	0.119426	
0.113	0.119472	
0.114	0.119589	
0.115	0.120274	
0.116	0.121172	
0.117	0.121392	
0.118	0.121763	
0.119	0.12128	
0.120	0.121475	
0.121	0.121636	
0.122	0.121488	
0.123	0.121495	
0.124	0.121418	
0.125	0.121103	
0.126	0.120456	
0.127	0.119633	
0.128	0.118955	
0.129	0.118298	
0.130	0.117846	
0.131	0.11739	
0.132	0.116877	
0.133	0.116312	
0.134	0.115667	
0.135	0.115156	
0.136	0.114787	
0.137	0.115325	
0.138	0.115385	
0.139	0.115835	
0.140	0.116295	
0.141	0.117417	
0.142	0.11793	
0.143	0.118304	
0.144	0.118917	
0.145	0.119815	
0.146	0.120802	
0.147	0.121206	
0.148	0.121918	
0.149	0.122377	
0.150	0.122348	
0.151	0.122287	
0.152	0.122609	
0.153	0.122436	
0.154	0.122724	
0.155	0.122505	
0.156	0.122505	
0.157	0.121761	
0.158	0.121137	
0.159	0.120594	
0.160	0.119836	
0.161	0.119262	
0.162	0.119262	
0.163	0.11855	
0.164	0.118841	
0.165	0.118338	
0.166	0.117654	
0.167	0.117725	
0.168	0.117725	
0.169	0.11942	
0.170	0.11942	
0.171	0.120195	
0.172	0.120195	
0.173	0.120483	
0.174	0.120773	
0.175	0.120999	
0.176	0.120861	
0.177	0.121226	
0.178	0.121332	
0.179	0.121102	
0.180	0.120043	
0.181	0.120043	
0.182	0.119694	
0.183	0.119384	
0.184	0.119143	
0.185	0.119143	
0.186	0.118226	
0.187	0.118226	
0.188	0.116987	
0.189	0.116987	
0.190	0.116202	
0.191	0.116202	
0.192	0.116763	
0.193	0.11676	
0.194	0.11676	
0.195	0.117015	
0.196	0.117015	
0.197	0.118118	
0.198	0.118118	
0.199	0.120661	
0.200	0.120661	
0.201	0.122502	
0.202	0.122697	
0.203	0.122902	
0.204	0.122961	
0.205	0.122918	
0.206	0.123608	
0.207	0.123763	
0.208	0.123476	
0.209	0.123553	
0.210	0.122672	
0.211	0.122037	
0.212	0.121496	
0.213	0.121206	
0.214	0.121156	
0.215	0.120645	
0.216	0.11964	
0.217	0.119273	
0.218	0.118616	
0.219	0.118093	
0.220	0.117673	
0.221	0.117598	
0.222	0.117651	
0.223	0.118171	
0.224	0.118047	
0.225	0.118327	
0.226	0.118633	
0.227	0.118845	
0.228	0.119344	
0.229	0.120141	
0.230	0.120609	
0.231	0.120823	
0.232	0.120909	
0.233	0.120622	
0.234	0.120357	
0.235	0.120044	
0.236	0.119831	
0.237	0.119641	
0.238	0.119442	
0.239	0.118737	
0.240	0.118132	
0.241	0.117351	
0.242	0.116894	
0.243	0.116288	
0.244	0.116308	
0.245	0.115926	
0.246	0.116007	
0.247	0.115923	
0.248	0.115629	
0.249	0.115931	
0.250	0.115888	
0.251	0.116738	
0.252	0.117403	
0.253	0.118606	
0.254	0.119741	
0.255	0.120297	
0.256	0.121029	
0.257	0.121706	
0.258	0.122225	
0.259	0.122786	
0.260	0.12374	
0.261	0.123943	
0.262	0.124536	
0.263	0.124313	
0.264	0.124177	
0.265	0.123762	
0.266	0.123177	
0.267	0.123522	
0.268	0.123256	
0.269	0.122387	
0.270	0.121653	
0.271	0.120907	
0.272	0.120442	
0.273	0.119851	
0.274	0.119707	
0.275	0.11986	
0.276	0.119864	
0.277	0.11963	
0.278	0.119486	
0.279	0.119354	
0.280	0.119601	
0.281	0.119931	
0.282	0.12076	
0.283	0.121412	
0.284	0.121601	
0.285	0.121997	
0.286	0.12165	
0.287	0.121608	
0.288	0.121326	
0.289	0.121363	
0.290	0.121585	
0.291	0.1213	
0.292	0.121388	
0.293	0.120703	
0.294	0.12003	
0.295	0.119188	
0.296	0.118421	
0.297	0.118652	
0.298	0.118229	
0.299	0.118181	
0.300	0.11733	
0.301	0.116554	
0.302	0.116984	
0.303	0.116647	
0.304	0.117162	
0.305	0.117648	
0.306	0.118138	
0.307	0.118866	
0.308	0.119958	
0.309	0.120434	
0.310	0.120881	
0.311	0.121562	
0.312	0.122589	
0.313	0.123143	
0.314	0.123923	
0.315	0.124272	
0.316	0.124072	
0.317	0.12397	
0.318	0.123652	
0.319	0.123993	
0.320	0.123713	
0.321	0.123641	
0.322	0.123324	
0.323	0.122637	
0.324	0.121791	
0.325	0.121301	
0.326	0.120557	
0.327	0.119986	
0.328	0.119202	
0.329	0.119301	
0.330	0.118773	
0.331	0.11826	
0.332	0.118301	
0.333	0.118049	
0.334	0.118646	
0.335	0.119379	
0.336	0.119289	
0.337	0.120424	
0.338	0.120424	
0.339	0.120699	
0.340	0.120922	
0.341	0.120762	
0.342	0.121115	
0.343	0.121881	
0.344	0.121899	
0.345	0.121669	
0.346	0.121164	
0.347	0.120774	
0.348	0.120462	
0.349	0.12038	
0.350	0.120357	
0.351	0.119987	
0.352	0.119668	
0.353	0.118975	
0.354	0.118285	
0.355	0.11791	
0.356	0.11766	
0.357	0.117505	
0.358	0.117852	
0.359	0.117952	
0.360	0.118282	
0.361	0.118323	
0.362	0.118892	
0.363	0.119285	
0.364	0.11998	
0.365	0.121237	
0.366	0.122377	
0.367	0.123083	
0.368	0.123083	
0.369	0.123333	
0.370	0.123333	
0.371	0.123462	
0.372	0.123462	
0.373	0.123703	
0.374	0.123703	
0.375	0.123228	
0.376	0.122311	
0.377	0.121498	
0.378	0.120611	
0.379	0.12067	
0.380	0.120371	
0.381	0.120086	
0.382	0.120086	
0.383	0.118165	
0.384	0.11723	
0.385	0.11723	
0.386	0.116996	
0.387	0.116461	
0.388	0.116928	
0.389	0.117695	
0.390	0.117435	
0.391	0.117844	
0.392	0.118564	
0.393	0.118624	
0.394	0.118897	
0.395	0.11964	
0.396	0.120166	
0.397	0.120473	
0.398	0.120566	
0.399	0.120116	
0.400	0.120185	
0.401	0.119851	
0.402	0.120016	
0.403	0.119815	
0.404	0.119747	
0.405	0.119284	
0.406	0.118583	
0.407	0.117736	
0.408	0.117441	
0.409	0.117066	
0.410	0.117179	
0.411	0.116992	
0.412	0.117223	
0.413	0.117879	
0.414	0.117409	
0.415	0.117469	
0.416	0.117976	
0.417	0.118731	
0.418	0.119582	
0.419	0.120367	
0.420	0.121616	
0.421	0.122357	
0.422	0.122586	
0.423	0.123064	
0.424	0.123705	
0.425	0.124385	
0.426	0.125147	
0.427	0.125394	
0.428	0.124934	
0.429	0.124959	
0.430	0.124371	
0.431	0.123972	
0.432	0.123825	
0.433	0.123463	
0.434	0.123048	
0.435	0.122264	
0.436	0.120956	
0.437	0.120529	
0.438	0.119783	
0.439	0.119097	
0.440	0.119155	
0.441	0.118903	
0.442	0.118828	
0.443	0.118507	
0.444	0.118428	
0.445	0.118239	
0.446	0.118617	
0.447	0.119164	
0.448	0.119965	
0.449	0.12045	
0.450	0.12091	
0.451	0.121186	
0.452	0.120979	
0.453	0.120892	
0.454	0.120997	
0.455	0.121311	
0.456	0.121412	
0.457	0.121301	
0.458	0.120989	
0.459	0.120694	
0.460	0.120383	
0.461	0.119532	
0.462	0.118847	
0.463	0.11846	
0.464	0.118277	
0.465	0.118064	
0.466	0.117917	
0.467	0.117397	
0.468	0.116773	
0.469	0.116773	
0.470	0.117217	
0.471	0.117579	
0.472	0.118413	
0.473	0.1193	
0.474	0.1201	
0.475	0.120424	
0.476	0.120908	
0.477	0.121483	
0.478	0.121483	
0.479	0.122349	
0.480	0.122968	
0.481	0.123235	
