Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0230329	
0.001	0.0224847	
0.002	0.0221127	
0.003	0.0214517	
0.004	0.0211845	
0.005	0.0205392	
0.006	0.02005	
0.007	0.0195594	
0.008	0.0190952	
0.009	0.0185355	
0.010	0.0179866	
0.011	0.0177154	
0.012	0.0171316	
0.013	0.016653	
0.014	0.0163688	
0.015	0.0161886	
0.016	0.0157398	
0.017	0.0154169	
0.018	0.0150991	
0.019	0.0150192	
0.020	0.014803	
0.021	0.0144373	
0.022	0.014258	
0.023	0.0139126	
0.024	0.0135232	
0.025	0.0133819	
0.026	0.0133819	
0.027	0.01295	
0.028	0.0130138	
0.029	0.0129167	
0.030	0.0126685	
0.031	0.0127333	
0.032	0.0126648	
0.033	0.0124453	
0.034	0.0122397	
0.035	0.0121475	
0.036	0.0119749	
0.037	0.0117723	
0.038	0.0116542	
0.039	0.0117737	
0.040	0.0117463	
0.041	0.0116154	
0.042	0.0111495	
0.043	0.0107824	
0.044	0.0108305	
0.045	0.0107169	
0.046	0.0108218	
0.047	0.0106691	
0.048	0.0108928	
0.049	0.010947	
0.050	0.0109957	
0.051	0.0111012	
0.052	0.0112602	
0.053	0.0114413	
0.054	0.0113931	
0.055	0.011321	
0.056	0.0115282	
0.057	0.0115351	
0.058	0.0114308	
0.059	0.0113891	
0.060	0.011494	
0.061	0.0115137	
0.062	0.0113269	
0.063	0.0116841	
0.064	0.011804	
0.065	0.0117432	
0.066	0.0117407	
0.067	0.0121382	
0.068	0.0122355	
0.069	0.0122355	
0.070	0.012531	
0.071	0.012531	
0.072	0.0134745	
0.073	0.0134745	
0.074	0.0139783	
0.075	0.0139783	
0.076	0.0148572	
0.077	0.0148572	
0.078	0.0157764	
0.079	0.0157764	
0.080	0.0166268	
0.081	0.0166268	
0.082	0.0171601	
0.083	0.0171601	
0.084	0.0179244	
0.085	0.0179244	
0.086	0.0186754	
0.087	0.0186754	
0.088	0.0190711	
0.089	0.0190711	
0.090	0.0195091	
0.091	0.0198396	
0.092	0.0199823	
0.093	0.0202927	
0.094	0.0204532	
0.095	0.0208825	
0.096	0.0208825	
0.097	0.0217324	
0.098	0.0217324	
0.099	0.0225851	
0.100	0.0234571	
0.101	0.0238891	
0.102	0.0245584	
0.103	0.0247788	
0.104	0.0252577	
0.105	0.0260356	
0.106	0.0264146	
0.107	0.0272176	
0.108	0.0279016	
0.109	0.0281646	
0.110	0.0280564	
0.111	0.0282557	
0.112	0.0283496	
0.113	0.0286367	
0.114	0.0290005	
0.115	0.0293401	
0.116	0.0294061	
0.117	0.0296626	
0.118	0.0300836	
0.119	0.0303715	
0.120	0.0307762	
0.121	0.0309653	
0.122	0.0308022	
0.123	0.030841	
0.124	0.0312797	
0.125	0.0315083	
0.126	0.0315745	
0.127	0.0316225	
0.128	0.0318027	
0.129	0.0319623	
0.130	0.0315743	
0.131	0.031662	
0.132	0.0316737	
0.133	0.0318479	
0.134	0.0314525	
0.135	0.0314045	
0.136	0.0312091	
0.137	0.0309754	
0.138	0.0309078	
0.139	0.0310137	
0.140	0.0311065	
0.141	0.0307784	
0.142	0.0307784	
0.143	0.0307784	
0.144	0.0310761	
0.145	0.0310761	
0.146	0.0313557	
0.147	0.031438	
0.148	0.0313459	
0.149	0.0311877	
0.150	0.0308172	
0.151	0.0306086	
0.152	0.0301946	
0.153	0.0300575	
0.154	0.0297918	
0.155	0.0289933	
0.156	0.0283971	
0.157	0.0282038	
