Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.0816978	
0.001	0.0812439	
0.002	0.080955	
0.003	0.0804686	
0.004	0.0798704	
0.005	0.0798759	
0.006	0.0789265	
0.007	0.0784237	
0.008	0.0786743	
0.009	0.0775968	
0.010	0.0778411	
0.011	0.0775564	
0.012	0.0773927	
0.013	0.0764739	
0.014	0.0767526	
0.015	0.0769321	
0.016	0.0765493	
0.017	0.0767944	
0.018	0.0768381	
0.019	0.0774943	
0.020	0.078092	
0.021	0.0779522	
0.022	0.0784422	
0.023	0.0788812	
0.024	0.0788821	
0.025	0.0796649	
0.026	0.0799052	
0.027	0.080514	
0.028	0.0812551	
0.029	0.0819818	
0.030	0.0819301	
0.031	0.0827974	
0.032	0.0826232	
0.033	0.0828964	
0.034	0.0828082	
0.035	0.0825546	
0.036	0.0834814	
0.037	0.0834537	
0.038	0.0837416	
0.039	0.0841258	
0.040	0.0837469	
0.041	0.0839865	
0.042	0.0835964	
0.043	0.0830831	
0.044	0.0824663	
0.045	0.0824569	
0.046	0.0818186	
0.047	0.0808991	
0.048	0.0802673	
0.049	0.0794722	
0.050	0.0798161	
0.051	0.0794308	
0.052	0.0791013	
0.053	0.0788449	
0.054	0.0785694	
0.055	0.0780004	
0.056	0.0777845	
0.057	0.0775079	
0.058	0.0773134	
0.059	0.0776742	
0.060	0.0778395	
0.061	0.0778945	
0.062	0.0786712	
0.063	0.0792236	
0.064	0.0789836	
0.065	0.0796552	
0.066	0.0800457	
0.067	0.0802353	
0.068	0.0805412	
0.069	0.0804937	
0.070	0.0805724	
0.071	0.0804921	
0.072	0.0808594	
0.073	0.081027	
0.074	0.081498	
0.075	0.0814537	
0.076	0.0817372	
0.077	0.0819449	
0.078	0.0817264	
0.079	0.0817264	
0.080	0.0819801	
0.081	0.0818019	
0.082	0.0811477	
0.083	0.0809972	
0.084	0.0817632	
0.085	0.0817632	
0.086	0.0802633	
0.087	0.0805485	
0.088	0.0796991	
0.089	0.079332	
0.090	0.0786094	
0.091	0.0782447	
0.092	0.0774826	
0.093	0.0774148	
0.094	0.0774148	
0.095	0.0765458	
0.096	0.0765458	
0.097	0.0770895	
0.098	0.0770895	
0.099	0.0768995	
0.100	0.0769238	
0.101	0.0769238	
0.102	0.0771242	
0.103	0.0771242	
0.104	0.0769759	
0.105	0.0777061	
0.106	0.0777061	
0.107	0.0789866	
0.108	0.0789866	
0.109	0.0796719	
0.110	0.0799387	
0.111	0.0799387	
0.112	0.0803905	
0.113	0.0806951	
0.114	0.0808802	
0.115	0.0810091	
0.116	0.0806838	
0.117	0.0810856	
0.118	0.0815562	
0.119	0.0817369	
0.120	0.0817369	
0.121	0.081815	
0.122	0.0818142	
0.123	0.0816785	
0.124	0.0814221	
0.125	0.0814221	
0.126	0.0807036	
0.127	0.0809701	
0.128	0.079786	
0.129	0.0790725	
0.130	0.0787657	
0.131	0.0788727	
0.132	0.0781646	
0.133	0.0771585	
0.134	0.0772455	
0.135	0.0765155	
0.136	0.0760252	
0.137	0.0758409	
0.138	0.0753735	
0.139	0.075264	
0.140	0.0755257	
0.141	0.075935	
0.142	0.0762424	
0.143	0.0760204	
0.144	0.0760848	
0.145	0.0763508	
0.146	0.0769348	
0.147	0.0771268	
0.148	0.077771	
0.149	0.0779953	
0.150	0.0778915	
0.151	0.0785512	
0.152	0.0785422	
0.153	0.0794259	
0.154	0.0801542	
0.155	0.0802165	
0.156	0.0805709	
0.157	0.081264	
0.158	0.0816561	
0.159	0.0813884	
0.160	0.0815658	
0.161	0.0813902	
0.162	0.0822872	
0.163	0.0823592	
0.164	0.0827879	
0.165	0.0826802	
0.166	0.0824064	
0.167	0.0826497	
0.168	0.0823594	
0.169	0.0819718	
0.170	0.0814578	
0.171	0.0811765	
0.172	0.0809455	
0.173	0.0802489	
0.174	0.0806228	
0.175	0.0799833	
0.176	0.079353	
0.177	0.0794791	
0.178	0.0795306	
0.179	0.0791347	
0.180	0.078452	
0.181	0.078456	
0.182	0.0787172	
0.183	0.0788202	
0.184	0.0788008	
0.185	0.0787269	
0.186	0.0790548	
0.187	0.0797305	
0.188	0.0799562	
0.189	0.0804954	
0.190	0.0809587	
0.191	0.0814304	
0.192	0.081619	
0.193	0.0816277	
0.194	0.0820382	
0.195	0.0824269	
0.196	0.08301	
0.197	0.0832415	
0.198	0.0832415	
0.199	0.0834717	
0.200	0.0844786	
0.201	0.0844229	
0.202	0.0840712	
0.203	0.0840079	
0.204	0.0837306	
0.205	0.0842831	
0.206	0.0837641	
0.207	0.0840981	
0.208	0.0834985	
0.209	0.0829053	
0.210	0.0834465	
0.211	0.0830008	
0.212	0.0821102	
0.213	0.0810549	
0.214	0.0807157	
0.215	0.0800418	
0.216	0.0791284	
0.217	0.0782673	
0.218	0.0781565	
0.219	0.0775897	
0.220	0.0774302	
0.221	0.0772077	
0.222	0.0770935	
0.223	0.0772482	
0.224	0.0770043	
0.225	0.0773439	
0.226	0.0771827	
0.227	0.0775487	
0.228	0.0775332	
0.229	0.0772655	
0.230	0.0777895	
0.231	0.0778802	
0.232	0.0785612	
0.233	0.0790582	
0.234	0.0792987	
0.235	0.079413	
0.236	0.0799172	
0.237	0.0803706	
0.238	0.0802639	
0.239	0.0805179	
0.240	0.0805019	
0.241	0.0806452	
0.242	0.0809656	
0.243	0.0812098	
0.244	0.0815078	
0.245	0.0818217	
0.246	0.0823035	
0.247	0.0823671	
0.248	0.082561	
0.249	0.082552	
0.250	0.0815803	
0.251	0.0814618	
0.252	0.0811635	
0.253	0.0809218	
0.254	0.0805827	
0.255	0.0799827	
0.256	0.0794128	
0.257	0.0793619	
0.258	0.0790376	
0.259	0.0786394	
0.260	0.0784862	
0.261	0.0776581	
0.262	0.0775876	
0.263	0.0775876	
0.264	0.0775685	
0.265	0.0772793	
0.266	0.0776352	
0.267	0.0776589	
0.268	0.0781384	
0.269	0.0780055	
0.270	0.0785078	
0.271	0.0788864	
0.272	0.0791374	
0.273	0.0793745	
0.274	0.0794531	
0.275	0.0801717	
0.276	0.0805732	
0.277	0.0813232	
0.278	0.0814752	
0.279	0.0818957	
0.280	0.0826618	
0.281	0.0831953	
0.282	0.0832654	
0.283	0.0831343	
0.284	0.0834586	
0.285	0.0835724	
0.286	0.0834463	
0.287	0.0836108	
0.288	0.0839973	
0.289	0.0841169	
0.290	0.0840177	
