Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)	
0.000	0.159183	
0.001	0.158734	
0.002	0.15786	
0.003	0.15786	
0.004	0.15786	
0.005	0.157601	
0.006	0.157601	
0.007	0.157601	
0.008	0.157979	
0.009	0.158523	
0.010	0.158952	
0.011	0.15903	
0.012	0.159477	
0.013	0.161034	
0.014	0.16111	
0.015	0.160915	
0.016	0.161615	
0.017	0.161753	
0.018	0.161573	
0.019	0.161371	
0.020	0.161158	
0.021	0.160341	
0.022	0.159809	
0.023	0.160077	
0.024	0.160077	
0.025	0.16015	
0.026	0.16015	
0.027	0.159755	
0.028	0.159908	
0.029	0.159908	
0.030	0.161884	
0.031	0.161884	
0.032	0.162219	
0.033	0.162155	
0.034	0.162155	
0.035	0.16334	
0.036	0.16334	
0.037	0.162581	
0.038	0.162581	
0.039	0.16138	
0.040	0.16138	
0.041	0.160388	
0.042	0.160388	
0.043	0.158601	
0.044	0.157392	
0.045	0.157392	
0.046	0.15685	
0.047	0.157349	
0.048	0.157454	
0.049	0.157478	
0.050	0.157671	
0.051	0.158021	
0.052	0.158718	
0.053	0.159434	
0.054	0.159751	
0.055	0.159863	
0.056	0.159618	
0.057	0.159978	
0.058	0.160434	
0.059	0.160434	
0.060	0.160047	
0.061	0.160047	
0.062	0.158724	
0.063	0.158568	
0.064	0.158256	
0.065	0.158256	
0.066	0.157973	
0.067	0.157724	
0.068	0.158371	
0.069	0.159084	
0.070	0.159508	
0.071	0.160407	
0.072	0.160921	
0.073	0.161316	
0.074	0.162213	
0.075	0.162476	
0.076	0.162301	
0.077	0.162301	
0.078	0.162301	
0.079	0.162301	
0.080	0.162301	
0.081	0.162301	
0.082	0.160884	
0.083	0.160884	
0.084	0.160057	
0.085	0.159628	
0.086	0.159271	
0.087	0.158921	
0.088	0.158921	
0.089	0.158106	
0.090	0.158106	
0.091	0.158612	
0.092	0.159647	
0.093	0.160183	
0.094	0.160183	
0.095	0.160159	
0.096	0.159798	
0.097	0.160817	
0.098	0.160934	
0.099	0.161048	
0.100	0.160326	
0.101	0.160008	
0.102	0.159572	
0.103	0.159578	
0.104	0.159578	
0.105	0.158467	
0.106	0.158467	
0.107	0.157067	
0.108	0.157306	
0.109	0.157306	
0.110	0.158003	
0.111	0.158007	
0.112	0.15829	
0.113	0.158969	
0.114	0.159845	
0.115	0.159845	
0.116	0.16109	
0.117	0.161112	
0.118	0.161142	
0.119	0.161354	
0.120	0.161388	
0.121	0.161259	
0.122	0.160888	
0.123	0.160888	
0.124	0.160888	
0.125	0.158759	
0.126	0.158595	
0.127	0.158148	
0.128	0.15769	
0.129	0.157302	
0.130	0.156821	
0.131	0.157584	
0.132	0.157584	
0.133	0.158409	
0.134	0.158801	
0.135	0.158801	
0.136	0.159846	
0.137	0.159846	
0.138	0.159846	
0.139	0.161539	
0.140	0.162042	
0.141	0.161829	
0.142	0.161829	
0.143	0.162051	
0.144	0.161615	
0.145	0.161063	
0.146	0.160366	
0.147	0.160068	
0.148	0.159663	
0.149	0.160071	
0.150	0.160169	
0.151	0.159831	
0.152	0.159695	
0.153	0.159774	
0.154	0.160645	
0.155	0.161637	
0.156	0.162273	
0.157	0.162076	
0.158	0.163112	
0.159	0.163112	
0.160	0.163112	
0.161	0.163326	
0.162	0.16273	
0.163	0.162387	
0.164	0.161077	
0.165	0.160289	
0.166	0.160138	
0.167	0.159838	
0.168	0.158859	
0.169	0.15783	
0.170	0.15783	
0.171	0.156845	
0.172	0.157229	
0.173	0.157582	
0.174	0.157571	
0.175	0.157047	
0.176	0.158142	
0.177	0.158822	
0.178	0.15942	
0.179	0.159985	
0.180	0.159613	
0.181	0.159731	
0.182	0.160028	
0.183	0.160524	
0.184	0.160504	
0.185	0.1601	
0.186	0.159495	
0.187	0.159074	
0.188	0.158861	
0.189	0.158842	
0.190	0.158311	
0.191	0.158237	
0.192	0.158038	
0.193	0.158483	
0.194	0.158972	
0.195	0.159747	
0.196	0.160761	
0.197	0.161271	
0.198	0.161553	
0.199	0.162049	
0.200	0.162487	
0.201	0.163244	
0.202	0.162915	
0.203	0.162686	
0.204	0.162486	
0.205	0.162468	
0.206	0.161945	
0.207	0.161945	
