Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.301795	
0.001	0.301315	
0.002	0.30024	
0.003	0.300436	
0.004	0.301327	
0.005	0.300318	
0.006	0.300318	
0.007	0.299412	
0.008	0.299685	
0.009	0.30045	
0.010	0.300585	
0.011	0.299441	
0.012	0.298611	
0.013	0.298611	
0.014	0.299909	
0.015	0.299216	
0.016	0.298397	
0.017	0.299243	
0.018	0.300476	
0.019	0.299324	
0.020	0.299324	
0.021	0.299167	
0.022	0.299167	
0.023	0.300938	
0.024	0.300938	
0.025	0.299052	
0.026	0.299052	
0.027	0.30089	
0.028	0.300523	
0.029	0.300523	
0.030	0.29971	
0.031	0.29971	
0.032	0.300173	
0.033	0.299143	
0.034	0.299125	
0.035	0.300379	
0.036	0.300554	
0.037	0.299275	
0.038	0.298765	
0.039	0.299466	
0.040	0.300366	
0.041	0.300707	
0.042	0.30026	
0.043	0.299769	
0.044	0.30049	
0.045	0.301141	
0.046	0.301475	
0.047	0.301189	
0.048	0.301006	
0.049	0.301402	
0.050	0.301381	
0.051	0.300872	
0.052	0.300704	
0.053	0.30144	
0.054	0.301855	
0.055	0.300863	
0.056	0.299737	
0.057	0.299585	
0.058	0.300242	
0.059	0.300458	
0.060	0.299489	
0.061	0.298425	
0.062	0.299006	
0.063	0.300221	
0.064	0.299805	
0.065	0.298128	
0.066	0.297878	
0.067	0.29951	
0.068	0.300418	
0.069	0.299364	
0.070	0.298173	
0.071	0.299066	
0.072	0.300595	
0.073	0.301055	
0.074	0.299521	
0.075	0.298601	
0.076	0.299703	
0.077	0.30055	
0.078	0.300227	
0.079	0.299449	
0.080	0.299609	
0.081	0.29996	
0.082	0.299997	
0.083	0.299232	
0.084	0.299072	
0.085	0.299882	
0.086	0.300281	
0.087	0.299378	
0.088	0.299101	
0.089	0.299983	
0.090	0.299983	
0.091	0.300708	
0.092	0.300601	
0.093	0.300041	
0.094	0.300284	
0.095	0.300741	
0.096	0.30118	
0.097	0.300689	
0.098	0.300863	
0.099	0.301485	
0.100	0.301755	
0.101	0.301225	
0.102	0.300133	
0.103	0.300312	
0.104	0.301344	
0.105	0.301381	
0.106	0.300242	
0.107	0.299361	
0.108	0.299721	
0.109	0.300675	
0.110	0.300469	
0.111	0.299305	
0.112	0.298604	
0.113	0.299249	
0.114	0.30004	
0.115	0.299402	
0.116	0.298468	
0.117	0.29948	
0.118	0.300559	
0.119	0.299935	
0.120	0.298651	
0.121	0.298398	
0.122	0.300203	
0.123	0.301301	
0.124	0.299302	
0.125	0.299302	
0.126	0.300025	
0.127	0.300025	
0.128	0.300386	
0.129	0.300386	
0.130	0.299286	
0.131	0.299286	
0.132	0.300008	
