Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0301747	
0.001	0.0301747	
0.002	0.0302592	
0.003	0.0302592	
0.004	0.0304836	
0.005	0.0305708	
0.006	0.0305708	
0.007	0.0305365	
0.008	0.0305463	
0.009	0.0306064	
0.010	0.0305709	
0.011	0.0305768	
0.012	0.0305414	
0.013	0.0305091	
0.014	0.0307019	
0.015	0.0308292	
0.016	0.0307455	
0.017	0.0304889	
0.018	0.0303947	
0.019	0.0305709	
0.020	0.0308363	
0.021	0.0309657	
0.022	0.0307084	
0.023	0.0304915	
0.024	0.030302	
0.025	0.0303737	
0.026	0.0304685	
0.027	0.0304813	
0.028	0.0301698	
0.029	0.0299139	
0.030	0.0297625	
0.031	0.029836	
0.032	0.0300496	
0.033	0.0301336	
0.034	0.0299141	
0.035	0.0295638	
0.036	0.0294154	
0.037	0.0295915	
0.038	0.0299371	
0.039	0.0301444	
0.040	0.029987	
0.041	0.0298944	
0.042	0.0297382	
0.043	0.0298324	
0.044	0.0301102	
0.045	0.0304284	
0.046	0.0304951	
0.047	0.0303818	
0.048	0.0302632	
0.049	0.0303057	
0.050	0.0305465	
0.051	0.0306205	
0.052	0.0307199	
0.053	0.030528	
0.054	0.030446	
0.055	0.0303671	
0.056	0.0306411	
0.057	0.0308411	
0.058	0.0308634	
0.059	0.0305369	
0.060	0.0304686	
0.061	0.0303515	
0.062	0.0304435	
0.063	0.0307015	
0.064	0.0306189	
0.065	0.0302968	
0.066	0.0301873	
0.067	0.0300761	
0.068	0.030064	
0.069	0.0301668	
0.070	0.0301261	
0.071	0.0300558	
0.072	0.0298549	
0.073	0.0297658	
0.074	0.0296806	
0.075	0.0297643	
0.076	0.0298515	
0.077	0.029941	
0.078	0.0298377	
0.079	0.029635	
0.080	0.0295786	
0.081	0.0296136	
0.082	0.0298096	
0.083	0.0300184	
0.084	0.0298587	
0.085	0.0297503	
0.086	0.0297986	
0.087	0.0299226	
0.088	0.0298861	
0.089	0.029845	
0.090	0.0298824	
0.091	0.0299048	
0.092	0.0297261	
0.093	0.0296695	
0.094	0.029759	
0.095	0.0297619	
0.096	0.0297683	
0.097	0.0298986	
0.098	0.0299219	
0.099	0.0299219	
0.100	0.0297741	
0.101	0.0297701	
0.102	0.029747	
0.103	0.0299194	
0.104	0.0300941	
0.105	0.0299959	
0.106	0.029804	
0.107	0.0296585	
0.108	0.0295782	
0.109	0.0296791	
0.110	0.0297389	
0.111	0.029619	
0.112	0.029447	
0.113	0.029064	
0.114	0.0289969	
0.115	0.0290825	
0.116	0.0292112	
0.117	0.0290914	
0.118	0.0288382	
0.119	0.0286676	
0.120	0.0286225	
0.121	0.0287893	
0.122	0.028965	
0.123	0.0290268	
0.124	0.0289859	
0.125	0.0289198	
0.126	0.0288988	
0.127	0.0289226	
0.128	0.0289406	
0.129	0.0291145	
0.130	0.0292942	
0.131	0.0293353	
0.132	0.0292997	
0.133	0.0292245	
0.134	0.0292206	
0.135	0.0293051	
0.136	0.0294231	
0.137	0.0294921	
0.138	0.0294636	
0.139	0.0292923	
0.140	0.0293843	
0.141	0.0294246	
0.142	0.0293585	
0.143	0.0293585	
0.144	0.0295318	
0.145	0.0295318	
0.146	0.0294971	
0.147	0.0294474	
0.148	0.0295956	
0.149	0.0295653	
0.150	0.0295931	
0.151	0.0295429	
0.152	0.0294544	
0.153	0.0292955	
0.154	0.0293777	
0.155	0.0293717	
0.156	0.0293841	
0.157	0.0293664	
0.158	0.0292527	
0.159	0.0291905	
0.160	0.0291303	
0.161	0.0291044	
0.162	0.0292679	
0.163	0.0293675	
0.164	0.0292761	
0.165	0.0291993	
0.166	0.0290198	
0.167	0.0289923	
0.168	0.0292038	
0.169	0.0292661	
0.170	0.0294468	
0.171	0.0294303	
0.172	0.0292869	
0.173	0.0292489	
0.174	0.0294139	
0.175	0.0294403	
0.176	0.0294516	
0.177	0.0294198	
0.178	0.0292197	
0.179	0.0291817	
0.180	0.0292504	
0.181	0.0293041	
0.182	0.0293803	
0.183	0.0294534	
0.184	0.0293091	
0.185	0.0293091	
0.186	0.0292194	
0.187	0.0292194	
0.188	0.0298081	
0.189	0.0298081	
0.190	0.0295975	
0.191	0.0295975	
0.192	0.0295089	
0.193	0.0295089	
0.194	0.0298884	
0.195	0.0298884	
0.196	0.029695	
0.197	0.029695	
0.198	0.029358	
0.199	0.0294538	
0.200	0.0295422	
0.201	0.0296088	
0.202	0.0294805	
0.203	0.0293063	
0.204	0.0292444	
0.205	0.0291836	
0.206	0.0294297	
0.207	0.0295499	
0.208	0.0295598	
0.209	0.0294373	
0.210	0.0293623	
0.211	0.0294807	
0.212	0.029631	
0.213	0.0297978	
0.214	0.0298814	
0.215	0.0299294	
0.216	0.0298131	
0.217	0.0299044	
0.218	0.0299533	
0.219	0.0301153	
0.220	0.0301514	
0.221	0.030102	
0.222	0.0300252	
0.223	0.0299058	
0.224	0.029933	
0.225	0.0301094	
0.226	0.030155	
0.227	0.0301015	
0.228	0.0300175	
0.229	0.0300265	
0.230	0.0301057	
0.231	0.0302164	
0.232	0.0303807	
0.233	0.0303773	
0.234	0.0303122	
0.235	0.0302425	
0.236	0.0301052	
0.237	0.0302298	
0.238	0.0304326	
0.239	0.0304018	
0.240	0.030254	
0.241	0.0302086	
0.242	0.0302723	
0.243	0.0304675	
0.244	0.0305147	
0.245	0.0304608	
0.246	0.0303411	
0.247	0.0302836	
0.248	0.0303673	
0.249	0.0304643	
0.250	0.0307049	
0.251	0.0307892	
0.252	0.0306909	
0.253	0.0306627	
0.254	0.0306804	
0.255	0.0307541	
0.256	0.030891	
0.257	0.0308112	
0.258	0.0307235	
0.259	0.0306317	
0.260	0.0305633	
0.261	0.0306419	
0.262	0.0308045	
0.263	0.0307923	
0.264	0.0306104	
0.265	0.0304239	
0.266	0.0304466	
0.267	0.030526	
0.268	0.0306773	
0.269	0.0307782	
0.270	0.0307463	
0.271	0.0306335	
0.272	0.030667	
0.273	0.0306719	
0.274	0.0307991	
0.275	0.0308913	
0.276	0.0308207	
0.277	0.0305972	
0.278	0.0305304	
0.279	0.0306192	
