Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0319197	
0.001	0.0320467	
0.002	0.0315175	
0.003	0.0305708	
0.004	0.0301225	
0.005	0.0305874	
0.006	0.0312966	
0.007	0.0314862	
0.008	0.0307367	
0.009	0.0307367	
0.010	0.0305258	
0.011	0.0307023	
0.012	0.0314142	
0.013	0.0314142	
0.014	0.0311058	
0.015	0.0311058	
0.016	0.0311046	
0.017	0.0308518	
0.018	0.0308264	
0.019	0.0310251	
0.020	0.0310346	
0.021	0.0305774	
0.022	0.0305774	
0.023	0.0301133	
0.024	0.0301936	
0.025	0.0301936	
0.026	0.0297894	
0.027	0.0297894	
0.028	0.0290006	
0.029	0.0290006	
0.030	0.0298425	
0.031	0.0298425	
0.032	0.0290083	
0.033	0.0290083	
0.034	0.0284225	
0.035	0.0284225	
0.036	0.0300952	
0.037	0.0300952	
0.038	0.0304669	
0.039	0.0304669	
0.040	0.0293422	
0.041	0.0293422	
0.042	0.0303509	
0.043	0.0303509	
0.044	0.0305851	
0.045	0.0305851	
0.046	0.0298197	
0.047	0.0298197	
0.048	0.0301809	
0.049	0.0301809	
0.050	0.03017	
0.051	0.0298256	
0.052	0.0298215	
0.053	0.0298913	
0.054	0.029714	
0.055	0.0297562	
0.056	0.0298421	
0.057	0.0298825	
0.058	0.0298717	
0.059	0.0298717	
0.060	0.029578	
0.061	0.0292892	
0.062	0.0296358	
0.063	0.0301337	
0.064	0.0303374	
0.065	0.0301182	
0.066	0.0296333	
0.067	0.0298753	
0.068	0.0301823	
0.069	0.03055	
0.070	0.0307013	
0.071	0.030474	
0.072	0.030299	
0.073	0.0301283	
0.074	0.0303614	
0.075	0.0306413	
0.076	0.0306965	
0.077	0.0303052	
0.078	0.0296048	
0.079	0.0293849	
0.080	0.02994	
0.081	0.030516	
0.082	0.0304243	
0.083	0.0297864	
0.084	0.0293596	
0.085	0.0293585	
0.086	0.0299759	
0.087	0.0307996	
0.088	0.0308053	
0.089	0.0303108	
0.090	0.0301468	
0.091	0.0304579	
0.092	0.0309879	
0.093	0.0312562	
0.094	0.0311956	
0.095	0.0306187	
0.096	0.0303266	
0.097	0.0307275	
0.098	0.0316619	
0.099	0.032102	
0.100	0.0313706	
0.101	0.0301098	
0.102	0.0294743	
0.103	0.0301356	
0.104	0.0312205	
0.105	0.0316241	
0.106	0.0310623	
0.107	0.0298845	
0.108	0.029013	
0.109	0.0291739	
0.110	0.0300476	
0.111	0.0304811	
0.112	0.0305575	
0.113	0.030261	
0.114	0.0294732	
0.115	0.0287229	
0.116	0.028531	
0.117	0.0293515	
0.118	0.0308418	
0.119	0.0313055	
0.120	0.0302322	
0.121	0.028888	
0.122	0.028741	
0.123	0.0299458	
0.124	0.0314298	
