Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-78.439	
0.001	 -78.34	
0.002	-78.495	
0.003	-78.555	
0.004	-78.533	
0.005	-78.386	
0.006	-78.478	
0.007	-78.742	
0.008	 -78.59	
0.009	-78.275	
0.010	 -78.07	
0.011	-78.273	
0.012	-78.632	
0.013	-78.636	
0.014	-78.515	
0.015	 -78.33	
0.016	-78.291	
0.017	-78.542	
0.018	-78.738	
0.019	-78.844	
0.020	-78.741	
0.021	-78.564	
0.022	-78.595	
0.023	-78.753	
0.024	-78.997	
0.025	-79.003	
0.026	-78.844	
0.027	-78.867	
0.028	-78.832	
0.029	-78.756	
0.030	-78.699	
0.031	-78.793	
0.032	-79.004	
0.033	-78.837	
0.034	-78.519	
0.035	-78.341	
0.036	-78.391	
0.037	-78.553	
0.038	-78.472	
0.039	-78.358	
0.040	-78.273	
0.041	-78.236	
0.042	-78.359	
0.043	-78.413	
0.044	-78.486	
0.045	-78.472	
0.046	-78.402	
0.047	-78.465	
0.048	-78.545	
0.049	-78.694	
0.050	-78.644	
0.051	-78.526	
0.052	-78.719	
0.053	 -78.81	
0.054	-78.747	
0.055	-78.643	
0.056	-78.643	
0.057	-78.899	
0.058	-78.751	
0.059	 -78.45	
0.060	-78.339	
0.061	-78.512	
0.062	-78.779	
0.063	-78.708	
0.064	-78.512	
0.065	-78.264	
0.066	-78.206	
0.067	-78.485	
0.068	-78.713	
0.069	-78.768	
0.070	-78.598	
0.071	-78.442	
0.072	-78.442	
0.073	-78.677	
0.074	-78.884	
0.075	-78.739	
0.076	-78.559	
0.077	-78.639	
0.078	-78.654	
0.079	-78.647	
0.080	-78.515	
0.081	-78.561	
0.082	-78.746	
0.083	-78.448	
0.084	-78.075	
0.085	 -77.95	
0.086	-78.075	
0.087	 -78.36	
0.088	 -78.36	
0.089	-78.059	
0.090	-78.059	
0.091	-78.086	
0.092	-78.086	
0.093	-78.086	
0.094	-78.477	
0.095	-78.477	
0.096	-78.238	
0.097	-78.403	
0.098	-78.403	
0.099	-78.399	
0.100	-78.399	
0.101	-78.466	
0.102	-78.466	
0.103	-78.711	
0.104	-78.711	
0.105	-78.365	
0.106	-78.365	
0.107	-78.532	
0.108	-78.532	
0.109	-78.035	
0.110	-78.035	
0.111	-78.406	
0.112	-78.406	
0.113	-78.414	
0.114	-78.414	
0.115	-78.191	
0.116	-78.191	
0.117	-78.687	
0.118	-78.687	
0.119	-78.832	
0.120	-78.832	
0.121	-78.656	
0.122	-78.656	
0.123	-79.075	
0.124	-79.075	
0.125	-78.959	
0.126	-78.959	
0.127	-78.968	
0.128	-78.968	
0.129	-78.892	
0.130	-78.892	
0.131	-79.074	
0.132	-79.074	
0.133	-78.541	
0.134	-78.541	
0.135	-78.569	
0.136	-78.569	
0.137	-78.661	
0.138	-78.661	
0.139	-78.301	
0.140	-78.301	
0.141	-78.385	
0.142	-78.385	
0.143	-78.632	
0.144	-78.632	
0.145	-78.252	
0.146	-78.252	
0.147	-78.424	
0.148	-78.424	
0.149	-78.685	
0.150	-78.685	
0.151	-78.481	
0.152	-78.481	
0.153	 -78.62	
0.154	 -78.62	
0.155	-78.583	
0.156	-78.583	
0.157	-78.719	
0.158	-78.719	
0.159	-78.325	
0.160	-78.325	
0.161	-78.612	
0.162	-78.612	
0.163	-78.649	
0.164	-78.649	
0.165	-78.358	
0.166	-78.358	
0.167	-78.665	
0.168	-78.665	
0.169	-78.692	
0.170	-78.692	
0.171	-78.533	
0.172	-78.533	
0.173	-78.933	
0.174	-78.933	
0.175	-78.692	
0.176	-78.692	
0.177	-78.708	
0.178	-78.708	
0.179	-78.545	
0.180	-78.545	
0.181	-78.677	
0.182	-78.677	
0.183	-78.257	
0.184	-78.257	
0.185	-78.192	
0.186	-78.192	
0.187	-78.318	
0.188	-78.318	
0.189	-78.188	
0.190	-78.188	
0.191	 -78.12	
0.192	 -78.12	
0.193	-78.468	
0.194	-78.468	
0.195	-78.275	
0.196	-78.275	
0.197	-78.298	
0.198	-78.298	
0.199	-78.534	
0.200	-78.534	
0.201	-78.493	
0.202	-78.493	
0.203	-78.557	
0.204	-78.557	
0.205	-78.646	
0.206	-78.646	
0.207	-78.541	
0.208	-78.541	
0.209	-78.433	
0.210	-78.433	
0.211	-78.773	
0.212	-78.773	
0.213	-78.392	
0.214	-78.392	
0.215	-78.628	
0.216	-78.628	
0.217	-78.875	
0.218	-78.875	
0.219	-78.699	
0.220	-78.699	
0.221	-78.925	
0.222	-78.925	
0.223	-79.103	
0.224	-79.103	
0.225	-78.862	
0.226	-78.862	
0.227	-79.264	
0.228	-79.264	
0.229	-78.997	
0.230	-78.997	
0.231	-78.922	
0.232	-78.922	
0.233	-78.752	
0.234	-78.752	
0.235	-78.395	
0.236	-78.395	
0.237	-78.502	
0.238	-78.502	
0.239	-78.524	
0.240	-78.524	
0.241	-78.212	
0.242	-78.212	
0.243	-78.666	
0.244	-78.666	
0.245	-78.522	
0.246	-78.522	
0.247	-78.321	
0.248	-78.321	
0.249	-78.786	
0.250	-78.786	
0.251	-78.578	
0.252	-78.578	
0.253	-78.469	
0.254	-78.469	
0.255	 -78.62	
0.256	 -78.62	
0.257	-78.459	
0.258	-78.459	
0.259	-77.949	
0.260	-77.949	
0.261	-78.522	
0.262	-78.522	
0.263	-78.412	
0.264	-78.412	
0.265	-78.027	
0.266	-78.027	
0.267	-78.615	
0.268	-78.615	
0.269	-78.581	
0.270	-78.581	
0.271	-78.365	
0.272	-78.365	
0.273	-78.946	
0.274	-78.946	
0.275	-78.598	
0.276	-78.598	
0.277	-78.655	
0.278	-78.655	
0.279	-78.665	
0.280	-78.665	
0.281	-78.809	
0.282	-78.809	
0.283	-78.283	
0.284	-78.283	
0.285	-78.279	
0.286	-78.279	
0.287	-78.274	
0.288	-78.274	
0.289	-78.198	
0.290	-78.198	
0.291	-78.229	
0.292	-78.229	
0.293	-78.398	
0.294	-78.398	
0.295	-78.197	
0.296	-78.197	
0.297	 -78.28	
0.298	 -78.28	
0.299	-78.649	
0.300	-78.649	
0.301	-78.537	
0.302	-78.537	
0.303	-78.673	
0.304	-78.673	
0.305	-78.791	
0.306	-78.791	
0.307	-78.681	
0.308	-78.681	
0.309	-78.387	
0.310	-78.387	
0.311	-78.839	
0.312	-78.839	
0.313	-78.526	
0.314	-78.526	
0.315	 -78.48	
0.316	 -78.48	
0.317	 -78.78	
0.318	 -78.78	
0.319	-78.623	
0.320	-78.623	
0.321	-78.656	
0.322	-78.656	
0.323	-79.011	
0.324	-79.011	
0.325	-78.724	
0.326	-78.724	
0.327	-78.961	
0.328	-78.961	
0.329	 -78.85	
0.330	 -78.85	
0.331	-79.076	
0.332	-79.076	
0.333	-78.944	
0.334	-78.658	
0.335	-78.473	
0.336	-78.546	
0.337	-78.736	
0.338	-78.642	
0.339	-78.503	
0.340	-78.325	
0.341	-78.196	
0.342	-78.332	
0.343	-78.448	
0.344	-78.518	
0.345	-78.399	
0.346	-78.185	
0.347	-78.221	
0.348	-78.341	
0.349	-78.523	
0.350	-78.472	
0.351	 -78.33	
0.352	 -78.33	
0.353	-78.614	
0.354	-78.584	
0.355	-78.449	
0.356	-78.449	
0.357	-78.643	
0.358	-78.517	
0.359	-78.263	
0.360	-78.158	
0.361	-78.272	
0.362	-78.504	
0.363	-78.504	
0.364	-78.451	
0.365	-78.451	
0.366	-78.263	
0.367	-78.263	
0.368	-78.591	
0.369	-78.591	
0.370	-78.648	
0.371	-78.648	
0.372	-78.665	
0.373	-78.665	
0.374	-78.665	
0.375	-78.868	
0.376	-78.868	
0.377	-78.777	
0.378	-78.777	
0.379	-78.777	
0.380	-78.579	
0.381	-78.868	
0.382	-78.868	
0.383	-78.194	
0.384	-78.194	
0.385	-78.343	
0.386	-78.343	
0.387	-78.401	
0.388	-78.401	
0.389	-77.996	
0.390	-77.996	
0.391	-78.213	
0.392	-78.213	
0.393	-78.312	
0.394	-78.312	
0.395	-78.082	
0.396	-78.082	
0.397	-78.381	
0.398	-78.381	
0.399	-78.476	
0.400	-78.476	
0.401	 -78.56	
0.402	 -78.56	
0.403	-78.528	
0.404	-78.528	
0.405	-78.462	
0.406	-78.462	
0.407	-78.495	
0.408	-78.495	
0.409	-78.229	
0.410	-78.229	
0.411	-78.706	
0.412	-78.706	
0.413	-78.442	
0.414	-78.442	
0.415	-78.327	
0.416	-78.327	
0.417	-78.615	
0.418	-78.615	
0.419	 -78.75	
0.420	 -78.75	
0.421	-78.623	
0.422	-78.623	
0.423	-78.937	
0.424	-78.937	
0.425	-78.838	
0.426	-78.838	
0.427	-78.871	
0.428	-78.871	
0.429	-78.771	
0.430	-78.771	
0.431	-79.013	
0.432	-79.013	
0.433	-78.475	
0.434	-78.475	
0.435	-78.447	
0.436	-78.447	
0.437	-78.626	
0.438	-78.626	
0.439	-78.313	
0.440	-78.313	
0.441	-78.408	
0.442	-78.408	
0.443	 -78.59	
0.444	 -78.59	
0.445	-78.422	
0.446	-78.422	
0.447	-78.621	
0.448	-78.621	
0.449	-78.741	
0.450	-78.741	
0.451	-78.633	
0.452	-78.633	
0.453	-78.666	
0.454	-78.666	
0.455	 -78.64	
0.456	 -78.64	
0.457	-78.752	
0.458	-78.752	
0.459	-78.192	
0.460	-78.192	
0.461	-78.668	
0.462	-78.668	
0.463	-78.678	
0.464	-78.678	
0.465	-78.258	
0.466	-78.258	
0.467	-78.659	
0.468	-78.659	
0.469	-78.691	
0.470	-78.691	
0.471	-78.515	
0.472	-78.515	
0.473	-78.953	
0.474	-78.953	
0.475	-78.754	
0.476	-78.754	
0.477	-78.713	
0.478	-78.713	
0.479	-78.567	
0.480	-78.567	
0.481	-78.884	
0.482	-78.884	
0.483	-78.327	
0.484	-78.327	
0.485	-78.315	
0.486	-78.315	
0.487	-78.521	
0.488	-78.521	
0.489	-78.076	
0.490	-78.076	
0.491	 -78.19	
0.492	 -78.19	
0.493	-78.442	
0.494	-78.442	
0.495	 -78.14	
0.496	 -78.14	
0.497	 -78.38	
0.498	 -78.38	
0.499	-78.495	
0.500	-78.495	
0.501	-78.428	
0.502	-78.428	
0.503	-78.528	
0.504	-78.528	
0.505	-78.558	
0.506	-78.558	
0.507	-78.567	
0.508	-78.567	
0.509	-78.114	
0.510	-78.114	
0.511	-78.607	
0.512	-78.607	
0.513	-78.571	
0.514	-78.571	
0.515	-78.315	
0.516	-78.315	
0.517	-78.756	
0.518	-78.756	
0.519	-78.775	
0.520	-78.775	
0.521	-78.764	
0.522	-78.764	
0.523	-79.005	
0.524	-79.005	
0.525	-78.793	
0.526	-78.793	
0.527	-78.967	
0.528	-78.967	
0.529	-78.751	
0.530	-78.751	
0.531	-78.918	
0.532	-78.918	
0.533	-78.421	
0.534	-78.421	
0.535	 -78.42	
0.536	 -78.42	
0.537	 -78.57	
0.538	 -78.57	
0.539	-78.293	
0.540	-78.293	
0.541	-78.324	
0.542	-78.324	
0.543	-78.638	
0.544	-78.638	
0.545	-78.295	
0.546	-78.295	
0.547	-78.438	
0.548	-78.438	
0.549	-78.704	
0.550	-78.704	
0.551	-78.522	
0.552	-78.522	
0.553	  -78.6	
0.554	  -78.6	
0.555	-78.556	
0.556	-78.556	
0.557	-78.588	
0.558	-78.588	
0.559	-78.275	
0.560	-78.275	
0.561	-78.824	
0.562	-78.824	
0.563	-78.555	
0.564	-78.555	
0.565	-78.212	
0.566	-78.212	
0.567	-78.737	
0.568	-78.737	
0.569	-78.618	
0.570	-78.618	
0.571	-78.403	
0.572	-78.403	
0.573	-78.936	
0.574	-78.936	
0.575	-78.639	
0.576	-78.639	
0.577	-78.726	
0.578	-78.726	
0.579	-78.793	
0.580	-78.688	
0.581	-78.791	
0.582	-78.791	
0.583	-78.439	
0.584	-78.439	
0.585	-78.487	
0.586	-78.487	
0.587	-78.456	
0.588	-78.456	
0.589	-78.248	
0.590	-78.248	
0.591	-78.365	
0.592	-78.365	
0.593	-78.393	
0.594	-78.393	
0.595	-78.256	
0.596	-78.256	
0.597	-78.349	
0.598	-78.349	
0.599	-78.483	
0.600	-78.483	
0.601	 -78.52	
0.602	 -78.52	
0.603	-78.568	
0.604	-78.568	
0.605	-78.568	
0.606	-78.568	
0.607	-78.716	
0.608	-78.716	
0.609	-78.294	
0.610	-78.294	
0.611	-78.627	
0.612	-78.627	
0.613	-78.577	
0.614	-78.577	
0.615	-78.387	
0.616	-78.387	
0.617	  -78.7	
0.618	  -78.7	
0.619	-78.816	
0.620	-78.816	
0.621	-78.706	
0.622	-78.706	
0.623	-79.005	
0.624	-79.005	
0.625	-78.857	
0.626	-78.857	
0.627	-78.914	
0.628	-78.914	
0.629	-78.818	
0.630	-78.818	
0.631	-78.896	
0.632	-78.896	
0.633	-78.392	
0.634	-78.392	
0.635	-78.476	
0.636	-78.476	
0.637	-78.468	
0.638	-78.468	
0.639	-78.223	
0.640	-78.223	
0.641	-78.308	
0.642	-78.383	
0.643	-78.383	
0.644	-78.477	
0.645	-78.423	
0.646	-78.318	
0.647	-78.375	
0.648	-78.491	
0.649	-78.703	
0.650	-78.664	
0.651	-78.486	
0.652	-78.608	
0.653	-78.703	
0.654	-78.674	
0.655	-78.549	
0.656	-78.591	
0.657	-78.844	
0.658	-78.821	
0.659	-78.605	
0.660	-78.407	
0.661	-78.466	
0.662	-78.707	
0.663	-78.786	
0.664	-78.778	
0.665	-78.568	
0.666	-78.394	
0.667	-78.529	
0.668	-78.727	
0.669	 -78.89	
0.670	-78.779	
0.671	-78.584	
0.672	-78.509	
0.673	-78.577	
0.674	-78.833	
0.675	-78.825	
0.676	-78.733	
0.677	-78.778	
0.678	-78.703	
0.679	-78.631	
0.680	-78.498	
0.681	-78.591	
0.682	-78.818	
0.683	 -78.58	
0.684	 -78.58	
0.685	-78.118	
0.686	-78.118	
0.687	-78.504	
0.688	-78.504	
0.689	-78.185	
0.690	-78.185	
0.691	-78.058	
0.692	-78.058	
0.693	-78.355	
0.694	-78.231	
0.695	-78.231	
0.696	-78.236	
0.697	-78.236	
0.698	-78.503	
0.699	-78.503	
0.700	 -78.37	
0.701	 -78.37	
0.702	-78.597	
0.703	-78.597	
0.704	-78.419	
0.705	-78.419	
0.706	-78.692	
0.707	-78.692	
0.708	-78.227	
0.709	-78.227	
0.710	-78.328	
0.711	-78.328	
0.712	-78.419	
0.713	-78.419	
0.714	-78.327	
0.715	-78.327	
0.716	 -78.48	
0.717	 -78.48	
0.718	-78.694	
0.719	-78.694	
0.720	-78.702	
0.721	-78.702	
0.722	-78.758	
0.723	-78.758	
0.724	-78.996	
0.725	-78.996	
0.726	-79.043	
0.727	-79.043	
0.728	-78.951	
0.729	-78.951	
0.730	-78.958	
0.731	-78.958	
0.732	-78.897	
0.733	-78.897	
0.734	-78.258	
0.735	-78.258	
0.736	-78.745	
0.737	-78.745	
0.738	-78.498	
0.739	-78.498	
0.740	-77.972	
0.741	-77.972	
0.742	-78.467	
0.743	-78.467	
0.744	-78.442	
0.745	-78.442	
0.746	-78.035	
0.747	-78.035	
0.748	-78.639	
0.749	-78.639	
0.750	-78.492	
0.751	-78.492	
0.752	-78.421	
0.753	-78.421	
0.754	 -78.58	
0.755	 -78.58	
0.756	-78.842	
0.757	-78.842	
0.758	-78.193	
0.759	-78.193	
0.760	-78.213	
0.761	-78.213	
0.762	 -78.69	
0.763	 -78.69	
0.764	-78.223	
0.765	-78.223	
0.766	-78.441	
0.767	-78.441	
0.768	-78.808	
0.769	-78.808	
0.770	-78.407	
0.771	-78.407	
0.772	-78.678	
0.773	-78.678	
0.774	-78.812	
0.775	-78.812	
0.776	-78.653	
0.777	-78.653	
0.778	-78.779	
0.779	-78.779	
0.780	-78.617	
0.781	-78.617	
0.782	-78.539	
0.783	-78.539	
0.784	-78.244	
0.785	-78.244	
0.786	 -78.47	
0.787	 -78.47	
0.788	-78.304	
0.789	-78.304	
0.790	-78.168	
0.791	-78.168	
0.792	-78.336	
0.793	-78.336	
0.794	-78.385	
0.795	-78.385	
0.796	-78.209	
0.797	-78.209	
0.798	-78.596	
0.799	-78.596	
0.800	-78.472	
0.801	-78.472	
0.802	-78.639	
0.803	-78.639	
0.804	-78.558	
0.805	-78.558	
0.806	-78.786	
0.807	-78.786	
0.808	-78.287	
0.809	-78.287	
0.810	-78.433	
0.811	-78.433	
0.812	-78.587	
0.813	-78.587	
0.814	-78.284	
0.815	-78.284	
0.816	-78.508	
0.817	-78.508	
0.818	-78.718	
0.819	-78.718	
0.820	-78.553	
0.821	-78.553	
0.822	 -78.78	
0.823	 -78.78	
0.824	-78.984	
0.825	-78.984	
0.826	-78.872	
0.827	-78.872	
0.828	-78.927	
0.829	-78.927	
0.830	-78.712	
0.831	-78.712	
0.832	-78.679	
0.833	-78.679	
0.834	-78.395	
0.835	-78.395	
0.836	-78.534	
0.837	-78.534	
0.838	-78.388	
0.839	-78.388	
0.840	-78.199	
0.841	-78.199	
0.842	-78.293	
0.843	-78.293	
0.844	-78.512	
0.845	-78.512	
0.846	-78.344	
0.847	-78.344	
0.848	-78.601	
0.849	-78.601	
0.850	-78.458	
0.851	-78.458	
0.852	-78.699	
0.853	-78.699	
0.854	-78.571	
0.855	-78.571	
0.856	-78.762	
0.857	-78.762	
0.858	-78.327	
0.859	-78.327	
0.860	 -78.37	
0.861	 -78.37	
0.862	-78.557	
0.863	-78.557	
0.864	-78.281	
0.865	-78.281	
0.866	-78.499	
0.867	-78.499	
0.868	 -78.78	
0.869	 -78.78	
0.870	-78.491	
0.871	-78.491	
0.872	-78.699	
0.873	-78.699	
0.874	-78.808	
0.875	-78.808	
