Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-77.863	
0.001	-77.863	
0.002	-77.489	
0.003	-77.489	
0.004	 -77.32	
0.005	 -77.32	
0.006	-77.272	
0.007	-77.272	
0.008	-77.667	
0.009	-77.667	
0.010	-78.272	
0.011	-78.272	
0.012	-78.505	
0.013	-78.505	
0.014	-78.509	
0.015	-78.509	
0.016	-77.864	
0.017	-77.864	
0.018	-77.181	
0.019	-77.181	
0.020	-77.058	
0.021	-77.058	
0.022	-76.709	
0.023	-76.709	
0.024	 -76.72	
0.025	 -76.72	
0.026	-77.287	
0.027	-77.287	
0.028	 -77.08	
0.029	 -77.08	
0.030	-76.972	
0.031	-76.972	
0.032	-76.604	
0.033	-76.604	
0.034	 -75.89	
0.035	 -75.89	
0.036	-75.637	
0.037	-75.637	
0.038	-75.519	
0.039	-75.519	
0.040	-75.751	
0.041	-75.751	
0.042	-76.524	
0.043	-76.524	
0.044	-76.875	
0.045	-76.875	
0.046	-77.077	
0.047	-77.077	
0.048	-76.918	
0.049	-76.918	
0.050	-76.343	
0.051	-76.343	
0.052	-76.185	
0.053	-76.185	
0.054	-76.137	
0.055	-76.137	
0.056	-76.128	
0.057	-76.128	
0.058	-76.786	
0.059	-76.786	
0.060	-77.124	
0.061	-77.124	
0.062	-76.892	
0.063	-76.892	
0.064	-76.392	
0.065	-76.392	
0.066	 -75.44	
0.067	 -75.44	
0.068	 -74.74	
0.069	 -74.74	
0.070	-74.508	
0.071	-74.508	
0.072	-74.477	
0.073	-74.477	
0.074	-75.204	
0.075	-75.204	
0.076	-75.661	
0.077	-75.661	
0.078	-75.607	
0.079	-75.607	
0.080	-75.553	
0.081	-75.553	
0.082	 -74.88	
0.083	 -74.88	
0.084	-74.504	
0.085	-74.504	
0.086	-74.521	
0.087	-74.521	
0.088	-74.511	
0.089	-74.511	
0.090	-75.317	
0.091	-75.317	
0.092	-75.764	
0.093	-75.764	
0.094	-75.861	
0.095	-75.861	
0.096	-75.883	
0.097	-75.668	
0.098	-75.337	
0.099	 -74.76	
0.100	 -74.76	
0.101	-74.632	
0.102	-74.632	
0.103	-74.531	
0.104	-74.403	
0.105	-74.534	
0.106	-74.763	
0.107	-74.931	
0.108	-74.975	
0.109	-74.975	
0.110	-74.929	
0.111	-74.921	
0.112	-74.862	
0.113	-74.608	
0.114	 -74.29	
0.115	-73.985	
0.116	-73.821	
0.117	-73.927	
0.118	-73.927	
0.119	-73.994	
0.120	-74.252	
0.121	-74.252	
0.122	-74.724	
0.123	-75.231	
0.124	-75.624	
0.125	-75.822	
0.126	-75.935	
0.127	-76.084	
0.128	-76.249	
0.129	-76.152	
0.130	-75.958	
0.131	-75.803	
0.132	-75.763	
0.133	-75.796	
0.134	-75.836	
0.135	-75.851	
0.136	-75.872	
0.137	-75.958	
0.138	-76.319	
0.139	-76.756	
0.140	-77.047	
0.141	 -77.21	
0.142	-77.345	
0.143	-77.481	
0.144	-77.528	
0.145	-77.375	
0.146	-76.898	
0.147	-76.486	
0.148	-76.266	
0.149	-76.107	
0.150	-75.886	
0.151	-75.653	
0.152	-75.538	
0.153	-75.599	
0.154	-75.729	
0.155	-76.033	
0.156	-76.377	
