Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.298318	
0.001	0.298318	
0.002	0.300216	
0.003	0.300896	
0.004	0.300896	
0.005	0.298885	
0.006	0.298885	
0.007	0.300972	
0.008	0.300972	
0.009	0.299373	
0.010	0.299146	
0.011	0.299146	
0.012	0.300198	
0.013	0.300198	
0.014	0.299288	
0.015	0.300098	
0.016	0.299866	
0.017	0.298837	
0.018	0.298872	
0.019	0.29933	
0.020	0.300363	
0.021	0.300531	
0.022	0.299837	
0.023	0.299776	
0.024	0.300502	
0.025	0.301136	
0.026	0.301212	
0.027	0.300817	
0.028	0.300671	
0.029	0.301273	
0.030	0.301626	
0.031	0.300824	
0.032	0.300391	
0.033	0.300942	
0.034	0.301469	
0.035	0.300915	
0.036	0.299845	
0.037	0.299135	
0.038	0.299803	
0.039	0.300325	
0.040	0.299443	
0.041	0.29842	
0.042	0.298697	
0.043	0.299677	
0.044	0.299898	
0.045	0.298912	
0.046	0.298108	
0.047	0.299298	
0.048	0.300117	
0.049	0.299307	
0.050	0.298607	
0.051	0.29938	
0.052	0.300803	
0.053	0.300717	
0.054	0.299062	
0.055	0.298756	
0.056	0.300387	
0.057	0.300969	
0.058	0.300172	
0.059	0.298918	
0.060	0.298918	
0.061	0.300574	
0.062	0.300527	
0.063	0.299558	
0.064	0.29878	
0.065	0.299957	
0.066	0.300321	
0.067	0.299983	
0.068	0.299485	
0.069	0.299863	
0.070	0.300342	
0.071	0.301004	
0.072	0.300457	
0.073	0.300236	
0.074	0.300541	
0.075	0.301018	
0.076	0.301241	
0.077	0.30135	
0.078	0.301077	
0.079	0.301748	
0.080	0.301417	
0.081	0.301417	
0.082	0.300215	
0.083	0.301047	
0.084	0.30176	
0.085	0.300562	
0.086	0.299523	
0.087	0.299648	
0.088	0.300654	
0.089	0.300438	
0.090	0.299312	
0.091	0.298616	
0.092	0.29936	
0.093	0.299961	
0.094	0.299479	
0.095	0.298452	
0.096	0.299082	
0.097	0.300108	
0.098	0.300241	
0.099	0.299279	
0.100	0.298759	
0.101	0.300322	
0.102	0.300322	
0.103	0.300928	
0.104	0.300065	
0.105	0.299416	
0.106	0.299949	
0.107	0.30083	
0.108	0.300652	
0.109	0.299889	
0.110	0.299601	
0.111	0.300211	
0.112	0.299918	
0.113	0.299562	
0.114	0.299147	
0.115	0.299747	
0.116	0.300491	
0.117	0.300292	
0.118	0.298958	
0.119	0.299059	
0.120	0.299977	
0.121	0.30081	
0.122	0.300565	
0.123	0.299995	
0.124	0.300077	
0.125	0.300854	
0.126	0.301435	
0.127	0.301384	
0.128	0.300871	
0.129	0.300976	
0.130	0.301402	
0.131	0.301402	
0.132	0.300752	
0.133	0.300752	
0.134	0.301895	
0.135	0.301895	
0.136	0.299698	
0.137	0.299698	
0.138	0.299993	
0.139	0.299993	
0.140	0.299955	
0.141	0.299955	
0.142	0.298454	
0.143	0.298454	
0.144	0.299891	
0.145	0.299891	
0.146	0.298058	
0.147	0.298058	
0.148	0.299998	
0.149	0.299998	
0.150	0.298155	
0.151	0.298155	
0.152	0.300798	
0.153	0.300798	
0.154	0.299448	
0.155	0.29884	
0.156	0.299747	
0.157	0.300473	
0.158	0.300021	
0.159	0.299099	
0.160	0.299374	
0.161	0.300469	
0.162	0.300469	
0.163	0.299323	
0.164	0.299323	
0.165	0.299411	
0.166	0.299925	
0.167	0.299704	
0.168	0.299321	
0.169	0.299872	
0.170	0.300706	
0.171	0.300856	
0.172	0.300244	
0.173	0.299966	
0.174	0.300421	
0.175	0.300931	
0.176	0.301226	
0.177	0.301071	
0.178	0.300984	
0.179	0.30157	
0.180	0.301888	
0.181	0.301199	
0.182	0.30025	
0.183	0.300929	
0.184	0.301605	
0.185	0.30113	
0.186	0.300025	
0.187	0.299588	
0.188	0.300362	
0.189	0.300735	
0.190	0.299898	
0.191	0.29874	
0.192	0.298776	
0.193	0.299838	
0.194	0.299868	
0.195	0.298546	
0.196	0.298376	
0.197	0.299726	
0.198	0.300475	
0.199	0.299163	
0.200	0.298292	
0.201	0.298572	
0.202	0.300526	
0.203	0.300921	
0.204	0.299594	
0.205	0.298769	
0.206	0.2996	
0.207	0.30045	
0.208	0.300108	
0.209	0.29924	
0.210	0.299427	
0.211	0.299914	
0.212	0.299849	
0.213	0.298923	
0.214	0.29953	
0.215	0.299682	
0.216	0.300184	
0.217	0.299624	
0.218	0.29918	
0.219	0.299589	
0.220	0.300353	
0.221	0.300504	
0.222	0.30034	
0.223	0.299953	
0.224	0.300614	
0.225	0.301388	
0.226	0.301438	
0.227	0.300793	
0.228	0.300468	
0.229	0.301248	
0.230	0.301789	
0.231	0.301168	
0.232	0.300339	
0.233	0.300744	
0.234	0.301549	
0.235	0.301046	
0.236	0.299873	
0.237	0.299201	
0.238	0.299668	
0.239	0.300313	
0.240	0.29978	
0.241	0.298952	
0.242	0.298882	
0.243	0.299736	
0.244	0.299587	
0.245	0.298375	
0.246	0.298272	
0.247	0.2996	
0.248	0.300225	
0.249	0.299001	
0.250	0.298063	
0.251	0.299009	
0.252	0.300749	
0.253	0.300882	
0.254	0.298821	
0.255	0.298406	
0.256	0.299457	
0.257	0.300375	
0.258	0.300017	
0.259	0.29925	
0.260	0.29879	
0.261	0.300117	
0.262	0.299996	
0.263	0.299347	
0.264	0.298575	
0.265	0.299659	
0.266	0.299684	
0.267	0.299382	
0.268	0.298927	
0.269	0.299515	
0.270	0.300349	
0.271	0.300652	
0.272	0.300147	
0.273	0.299537	
0.274	0.300133	
0.275	0.300799	
0.276	0.301075	
0.277	0.300807	
0.278	0.300836	
0.279	0.301338	
0.280	0.301717	
0.281	0.300858	
0.282	0.300211	
0.283	0.300794	
0.284	0.301397	
0.285	0.301397	
0.286	0.299818	
0.287	0.299458	
0.288	0.300149	
0.289	0.300527	
0.290	0.299868	
0.291	0.298628	
0.292	0.298656	
0.293	0.299533	
0.294	0.299798	
0.295	0.298772	
0.296	0.29864	
0.297	0.299737	
0.298	0.300415	
0.299	0.299713	
0.300	0.298415	
0.301	0.299035	
0.302	0.300973	
0.303	0.300973	
0.304	0.299752	
0.305	0.299517	
0.306	0.300686	
0.307	0.300686	
0.308	0.300547	
0.309	0.299628	
0.310	0.300058	
0.311	0.300058	
0.312	0.299537	
0.313	0.299537	
0.314	0.299765	
0.315	0.299765	
0.316	0.299794	
0.317	0.299794	
0.318	0.298962	
0.319	0.298962	
0.320	0.300854	
0.321	0.300854	
0.322	0.300175	
0.323	0.300175	
0.324	0.301043	
0.325	0.301483	
0.326	0.301664	
0.327	0.301664	
0.328	0.301024	
0.329	0.301715	
0.330	0.301815	
0.331	0.300972	
0.332	0.300951	
0.333	0.300951	
0.334	0.301669	
0.335	0.300677	
0.336	0.299502	
0.337	0.299582	
0.338	0.299582	
0.339	0.300389	
