Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.299524	
0.001	0.300166	
0.002	0.301296	
0.003	0.301395	
0.004	0.300882	
0.005	0.300797	
0.006	0.301487	
0.007	0.301415	
0.008	0.300899	
0.009	0.301092	
0.010	0.301727	
0.011	0.30182	
0.012	0.300939	
0.013	0.299746	
0.014	0.299627	
0.015	0.300668	
0.016	0.300954	
0.017	0.299685	
0.018	0.298772	
0.019	0.299052	
0.020	0.299716	
0.021	0.299422	
0.022	0.298387	
0.023	0.29839	
0.024	0.299547	
0.025	0.299868	
0.026	0.298603	
0.027	0.297772	
0.028	0.298815	
0.029	0.300534	
0.030	0.300561	
0.031	0.298909	
0.032	0.298017	
0.033	0.299449	
0.034	0.300865	
0.035	0.300137	
0.036	0.298948	
0.037	0.29904	
0.038	0.300015	
0.039	0.300316	
0.040	0.299332	
0.041	0.298673	
0.042	0.299781	
0.043	0.300291	
0.044	0.299498	
0.045	0.298799	
0.046	0.299482	
0.047	0.30049	
0.048	0.300972	
0.049	0.3001	
0.050	0.29928	
0.051	0.300447	
0.052	0.301285	
0.053	0.300709	
0.054	0.300485	
0.055	0.300896	
0.056	0.301544	
0.057	0.30184	
0.058	0.301072	
0.059	0.300552	
0.060	0.300552	
0.061	0.301381	
0.062	0.300726	
0.063	0.300726	
0.064	0.300184	
0.065	0.300184	
0.066	0.301108	
0.067	0.300312	
0.068	0.29898	
0.069	0.298773	
0.070	0.299464	
0.071	0.299704	
0.072	0.298847	
0.073	0.298262	
0.074	0.2991	
0.075	0.299964	
0.076	0.299179	
0.077	0.298203	
0.078	0.298922	
0.079	0.300613	
0.080	0.300499	
0.081	0.299227	
0.082	0.299147	
0.083	0.300386	
0.084	0.301475	
0.085	0.300475	
0.086	0.298637	
0.087	0.299328	
0.088	0.300817	
0.089	0.300972	
0.090	0.3	
0.091	0.299186	
0.092	0.299186	
0.093	0.30066	
0.094	0.300356	
0.095	0.298928	
0.096	0.299173	
0.097	0.300107	
0.098	0.300683	
0.099	0.300583	
0.100	0.300539	
0.101	0.300682	
0.102	0.301039	
0.103	0.300889	
0.104	0.300474	
0.105	0.301161	
0.106	0.302226	
0.107	0.301397	
0.108	0.301397	
0.109	0.301005	
0.110	0.301005	
0.111	0.30193	
