Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0296447	
0.001	0.029961	
0.002	0.0300494	
0.003	0.0298815	
0.004	0.0297744	
0.005	0.0298475	
0.006	0.029996	
0.007	0.0300935	
0.008	0.0300935	
0.009	0.0298846	
0.010	0.0295635	
0.011	0.0294958	
0.012	0.0295293	
0.013	0.0295846	
0.014	0.02943	
0.015	0.0291855	
0.016	0.0291133	
0.017	0.029314	
0.018	0.0294114	
0.019	0.0295098	
0.020	0.0299131	
0.021	0.0301134	
0.022	0.0302805	
0.023	0.0302371	
0.024	0.0302392	
0.025	0.0302392	
0.026	0.0303266	
0.027	0.030379	
0.028	0.0303759	
0.029	0.030488	
0.030	0.0306735	
0.031	0.0307003	
0.032	0.0306256	
0.033	0.0305275	
0.034	0.0303715	
0.035	0.0305168	
0.036	0.0306054	
0.037	0.0305757	
0.038	0.0303898	
0.039	0.0302429	
0.040	0.0301897	
0.041	0.0303759	
0.042	0.030458	
0.043	0.0305512	
0.044	0.0304773	
0.045	0.0305574	
0.046	0.0307726	
0.047	0.0311464	
0.048	0.0315066	
0.049	0.031532	
0.050	0.0312813	
0.051	0.0312774	
0.052	0.0314334	
0.053	0.0316886	
0.054	0.031809	
0.055	0.0316436	
0.056	0.0316789	
0.057	0.0317942	
0.058	0.0319196	
0.059	0.0319867	
0.060	0.0319832	
0.061	0.0317574	
0.062	0.0314655	
0.063	0.031409	
0.064	0.0315577	
0.065	0.0316724	
0.066	0.0314903	
0.067	0.0310535	
0.068	0.0307945	
0.069	0.030832	
0.070	0.0311271	
0.071	0.0313356	
0.072	0.0314028	
0.073	0.0311824	
0.074	0.0310066	
0.075	0.0310099	
0.076	0.0312383	
0.077	0.0316067	
0.078	0.0317068	
0.079	0.0317448	
0.080	0.0317406	
0.081	0.031869	
0.082	0.0322004	
0.083	0.0324896	
0.084	0.0325596	
0.085	0.0324089	
0.086	0.0321762	
0.087	0.0321604	
0.088	0.0322293	
0.089	0.0323864	
0.090	0.0324684	
0.091	0.0323534	
0.092	0.0320689	
0.093	0.0318459	
0.094	0.0317722	
0.095	0.0318948	
0.096	0.0318603	
0.097	0.0316983	
0.098	0.0315364	
0.099	0.0315459	
0.100	0.0318664	
0.101	0.0321987	
0.102	0.0322388	
0.103	0.0321635	
0.104	0.0320205	
0.105	0.0318707	
0.106	0.0319621	
0.107	0.0321954	
0.108	0.0320789	
0.109	0.0319287	
0.110	0.031721	
0.111	0.0318001	
0.112	0.0317134	
0.113	0.0317821	
0.114	0.0316261	
0.115	0.0314181	
0.116	0.0309168	
0.117	0.0311513	
0.118	0.0312522	
0.119	0.0311394	
0.120	0.0309466	
0.121	0.030688	
0.122	0.0308495	
0.123	0.0311754	
0.124	0.0316104	
0.125	0.0317076	
0.126	0.0316054	
0.127	0.0315459	
0.128	0.0315366	
0.129	0.0317234	
0.130	0.0321255	
0.131	0.0320828	
0.132	0.0317247	
0.133	0.0315546	
0.134	0.0316678	
0.135	0.0318435	
0.136	0.0320519	
0.137	0.0319963	
0.138	0.0317128	
0.139	0.0313607	
0.140	0.031102	
0.141	0.0310644	
0.142	0.0310243	
0.143	0.0310035	
0.144	0.0307116	
0.145	0.0307116	
0.146	0.0300635	
0.147	0.0300028	
0.148	0.0300367	
0.149	0.0301763	
0.150	0.0301527	
0.151	0.029803	
0.152	0.0296419	
0.153	0.0298651	
0.154	0.0301364	
0.155	0.0302554	
0.156	0.0301062	
0.157	0.0299219	
0.158	0.0299219	
0.159	0.0298692	
0.160	0.0303079	
0.161	0.0307723	
0.162	0.0306973	
0.163	0.0304618	
0.164	0.0302427	
0.165	0.0304964	
0.166	0.030728	
0.167	0.0310058	
0.168	0.0310969	
0.169	0.0306033	
0.170	0.0301438	
0.171	0.0301268	
0.172	0.030246	
0.173	0.0303525	
0.174	0.0303173	
0.175	0.0300018	
0.176	0.0297668	
0.177	0.0297415	
0.178	0.029911	
0.179	0.0299945	
0.180	0.0297683	
0.181	0.029882	
0.182	0.0299094	
0.183	0.030016	
0.184	0.0303564	
0.185	0.0305614	
0.186	0.0303331	
0.187	0.0299065	
0.188	0.0297061	
0.189	0.0297234	
0.190	0.029941	
0.191	0.0301064	
0.192	0.0299165	
0.193	0.029477	
0.194	0.0292107	
0.195	0.0291865	
0.196	0.0293269	
0.197	0.0291724	
0.198	0.0288652	
0.199	0.0283809	
0.200	0.0280586	
0.201	0.0283317	
0.202	0.0283317	
0.203	0.0284133	
0.204	0.0280583	
0.205	0.0280583	
0.206	0.02788	
0.207	0.0283191	
0.208	0.0286578	
0.209	0.0287418	
0.210	0.0287852	
0.211	0.0287608	
0.212	0.0289229	
0.213	0.0291425	
0.214	0.0292161	
0.215	0.0291714	
0.216	0.0293706	
0.217	0.0295143	
0.218	0.0296418	
0.219	0.0295844	
0.220	0.0296206	
0.221	0.0294433	
0.222	0.0294024	
0.223	0.02931	
0.224	0.0290394	
0.225	0.0288922	
0.226	0.0286864	
0.227	0.0288418	
0.228	0.0287731	
0.229	0.0284869	
0.230	0.028115	
0.231	0.0279471	
0.232	0.0280289	
0.233	0.0281905	
0.234	0.0282674	
0.235	0.0281408	
0.236	0.0279536	
0.237	0.0278781	
0.238	0.0281942	
0.239	0.0284514	
0.240	0.0285861	
0.241	0.0286622	
0.242	0.0285944	
0.243	0.0286788	
0.244	0.0288115	
0.245	0.0290874	
0.246	0.0291822	
0.247	0.0291452	
0.248	0.0290991	
0.249	0.0293065	
0.250	0.0295559	
0.251	0.0294706	
0.252	0.0294161	
0.253	0.0291467	
0.254	0.0291307	
0.255	0.0291307	
0.256	0.0292942	
0.257	0.0293109	
0.258	0.0290528	
0.259	0.0288573	
0.260	0.0288328	
0.261	0.028769	
0.262	0.0288988	
0.263	0.0290146	
0.264	0.0290435	
0.265	0.0292059	
0.266	0.0293494	
0.267	0.0295793	
0.268	0.0297628	
0.269	0.0298921	
0.270	0.0300389	
