Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0260533	
0.001	0.0260533	
0.002	0.0265236	
0.003	0.0264609	
0.004	0.0267513	
0.005	0.0273092	
0.006	0.0274231	
0.007	0.0274231	
0.008	0.0274031	
0.009	0.0274961	
0.010	0.0275564	
0.011	0.0278581	
0.012	0.0281435	
0.013	0.028034	
0.014	0.0278406	
0.015	0.0278324	
0.016	0.0279986	
0.017	0.0279925	
0.018	0.0276913	
0.019	0.027313	
0.020	0.0272611	
0.021	0.027422	
0.022	0.0272275	
0.023	0.0268485	
0.024	0.0267354	
0.025	0.0266057	
0.026	0.026842	
0.027	0.026979	
0.028	0.0268831	
0.029	0.0268587	
0.030	0.027132	
0.031	0.0274875	
0.032	0.0279604	
0.033	0.0282276	
0.034	0.0282883	
0.035	0.0285652	
0.036	0.0292437	
0.037	0.029967	
0.038	0.0302854	
0.039	0.0303426	
0.040	0.0306253	
0.041	0.0309469	
0.042	0.0312785	
0.043	0.0317163	
0.044	0.031685	
0.045	0.0317675	
0.046	0.0317764	
0.047	0.0318188	
0.048	0.0317125	
0.049	0.031301	
0.050	0.0313017	
0.051	0.0311289	
0.052	0.0311558	
0.053	0.0313351	
0.054	0.0308938	
0.055	0.0306421	
0.056	0.0305193	
0.057	0.0305998	
0.058	0.0309086	
0.059	0.031295	
0.060	0.0314733	
0.061	0.0315788	
0.062	0.0323824	
0.063	0.0327092	
0.064	0.03255	
0.065	0.03255	
0.066	0.0323732	
0.067	0.0328222	
0.068	0.0331911	
0.069	0.0331911	
0.070	0.0327411	
0.071	0.0325652	
0.072	0.0324789	
0.073	0.0329623	
0.074	0.0328298	
0.075	0.0322389	
0.076	0.0317513	
0.077	0.0317513	
0.078	0.0318119	
0.079	0.031746	
0.080	0.0316297	
0.081	0.0313191	
0.082	0.031372	
0.083	0.0317131	
0.084	0.0321192	
0.085	0.0322676	
0.086	0.0322484	
0.087	0.0325162	
0.088	0.0327156	
0.089	0.033055	
0.090	0.0331617	
0.091	0.0331653	
0.092	0.0331645	
0.093	0.0332956	
0.094	0.0334737	
0.095	0.0334754	
0.096	0.0335101	
0.097	0.0334618	
0.098	0.0333247	
0.099	0.0329917	
0.100	0.0329188	
0.101	0.0328179	
0.102	0.032704	
0.103	0.0323523	
0.104	0.0320148	
0.105	0.0318772	
0.106	0.0320178	
0.107	0.031888	
0.108	0.0317416	
0.109	0.0315152	
0.110	0.031516	
0.111	0.0318504	
0.112	0.0322	
0.113	0.0323238	
0.114	0.0322906	
0.115	0.0321696	
0.116	0.0325376	
0.117	0.0329961	
0.118	0.0332588	
0.119	0.0330308	
0.120	0.0329156	
0.121	0.0330267	
0.122	0.0332634	
0.123	0.0334365	
0.124	0.0331336	
0.125	0.03265	
0.126	0.0323154	
0.127	0.0322609	
0.128	0.0320644	
0.129	0.0316497	
0.130	0.031058	
0.131	0.0305498	
0.132	0.0304812	
0.133	0.0303887	
0.134	0.0302855	
0.135	0.02983	
0.136	0.0294419	
0.137	0.0297748	
0.138	0.0302749	
0.139	0.0303965	
0.140	0.0302933	
0.141	0.030322	
0.142	0.0303653	
0.143	0.0307318	
0.144	0.0307757	
0.145	0.0305597	
0.146	0.0303712	
0.147	0.0303849	
0.148	0.0304803	
0.149	0.0304772	
0.150	0.0300677	
0.151	0.0295124	
0.152	0.0291485	
0.153	0.029086	
0.154	0.0290254	
0.155	0.0285682	
0.156	0.0280005	
0.157	0.0275781	
0.158	0.0275472	
0.159	0.027595	
0.160	0.0274404	
0.161	0.027004	
0.162	0.0266931	
0.163	0.0268111	
0.164	0.0270952	
0.165	0.0273805	
0.166	0.0274747	
0.167	0.0273101	
0.168	0.0272025	
0.169	0.0274838	
0.170	0.0278527	
0.171	0.0279745	
0.172	0.0275777	
0.173	0.0271615	
0.174	0.0273936	
0.175	0.0277413	
0.176	0.0278066	
0.177	0.027584	
0.178	0.0274428	
0.179	0.0273828	
0.180	0.0273175	
0.181	0.0270137	
0.182	0.0270137	
0.183	0.0267126	
0.184	0.0264066	
0.185	0.0262511	
0.186	0.0260955	
0.187	0.0258088	
0.188	0.0256794	
0.189	0.0257043	
0.190	0.025521	
0.191	0.0254532	
0.192	0.0254726	
0.193	0.0254874	
0.194	0.0255888	
0.195	0.0258074	
0.196	0.0261027	
0.197	0.0264157	
0.198	0.026605	
0.199	0.0269814	
0.200	0.0271941	
0.201	0.0276114	
0.202	0.0280586	
0.203	0.0281966	
0.204	0.028456	
0.205	0.0288756	
0.206	0.0293953	
0.207	0.0295309	
0.208	0.0293488	
0.209	0.0293272	
0.210	0.0295146	
0.211	0.0297312	
0.212	0.0296602	
0.213	0.029063	
0.214	0.029063	
0.215	0.0288833	
0.216	0.0288145	
0.217	0.028386	
0.218	0.0279701	
0.219	0.0276557	
0.220	0.0274393	
0.221	0.027215	
0.222	0.0269943	
0.223	0.0266348	
0.224	0.0265081	
0.225	0.0267574	
0.226	0.0269819	
0.227	0.0269848	
0.228	0.0270895	
0.229	0.0273756	
0.230	0.0278828	
0.231	0.0278828	
0.232	0.028107	
0.233	0.028107	
0.234	0.0281934	
0.235	0.0281934	
0.236	0.0285851	
0.237	0.0285851	
0.238	0.0281219	
0.239	0.0281219	
0.240	0.0283542	
0.241	0.0283542	
0.242	0.0278106	
0.243	0.0272722	
0.244	0.0270384	
0.245	0.0270384	
0.246	0.02712	
0.247	0.0266285	
0.248	0.0263003	
0.249	0.0263003	
0.250	0.0260695	
0.251	0.0260788	
0.252	0.02604	
0.253	0.0259413	
0.254	0.0258946	
0.255	0.0258946	
0.256	0.0266788	
0.257	0.0267654	
0.258	0.0267703	
0.259	0.0269173	
0.260	0.0272949	
0.261	0.0277073	
0.262	0.0276554	
0.263	0.0275905	
0.264	0.0277484	
0.265	0.0279398	
