Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0303872	
0.001	0.0303848	
0.002	0.0299555	
0.003	0.0295729	
0.004	0.0298105	
0.005	0.0302953	
0.006	0.0303693	
0.007	0.0300595	
0.008	0.029746	
0.009	0.0299851	
0.010	0.0305233	
0.011	0.0307584	
0.012	0.0305457	
0.013	0.0303175	
0.014	0.0300592	
0.015	0.0301796	
0.016	0.0305486	
0.017	0.0307791	
0.018	0.0306862	
0.019	0.0305002	
0.020	0.0304146	
0.021	0.0302834	
0.022	0.0302834	
0.023	0.0303976	
0.024	0.0303976	
0.025	0.030659	
0.026	0.0306775	
0.027	0.0302298	
0.028	0.0297309	
0.029	0.0297336	
0.030	0.0303717	
0.031	0.0307563	
0.032	0.0306746	
0.033	0.0302112	
0.034	0.029659	
0.035	0.0296815	
0.036	0.0301061	
0.037	0.0303123	
0.038	0.0303123	
0.039	0.0297684	
0.040	0.0297684	
0.041	0.0301648	
0.042	0.0301648	
0.043	0.0299677	
0.044	0.0297476	
0.045	0.0301487	
0.046	0.0301487	
0.047	0.0298833	
0.048	0.0298833	
0.049	0.0297108	
0.050	0.0297108	
0.051	0.0301472	
0.052	0.0301472	
0.053	0.0294533	
0.054	0.0294533	
0.055	0.0296067	
0.056	0.0296067	
0.057	0.0298126	
0.058	0.0293674	
0.059	0.0292413	
0.060	0.029458	
0.061	0.0297869	
0.062	0.0300674	
0.063	0.0301326	
0.064	0.0299313	
0.065	0.0296771	
0.066	0.0296571	
0.067	0.0301743	
0.068	0.0307098	
0.069	0.0307064	
0.070	0.0301256	
0.071	0.0296932	
0.072	0.0299716	
0.073	0.0305776	
0.074	0.0307662	
0.075	0.0302369	
0.076	0.0295857	
0.077	0.029586	
0.078	0.0302162	
0.079	0.0306601	
0.080	0.0303187	
0.081	0.0298485	
0.082	0.0299465	
0.083	0.0299465	
0.084	0.0304096	
0.085	0.0306763	
0.086	0.0306013	
0.087	0.0306013	
0.088	0.0300739	
0.089	0.0302443	
0.090	0.0307993	
0.091	0.0310557	
0.092	0.0308034	
0.093	0.0301491	
0.094	0.0298165	
0.095	0.0299838	
0.096	0.0304926	
0.097	0.0305575	
0.098	0.0302928	
0.099	0.0298766	
0.100	0.0298056	
0.101	0.0298558	
0.102	0.0298538	
0.103	0.0298985	
0.104	0.0298923	
0.105	0.0299695	
0.106	0.030089	
0.107	0.0300255	
0.108	0.029853	
0.109	0.0298814	
0.110	0.0300162	
0.111	0.0302798	
0.112	0.0304817	
0.113	0.0303751	
0.114	0.0300252	
0.115	0.0296588	
0.116	0.0297885	
0.117	0.0302421	
0.118	0.0305503	
0.119	0.0304034	
0.120	0.030063	
0.121	0.0296501	
0.122	0.0295186	
0.123	0.0298285	
0.124	0.0303388	
0.125	0.0306352	
0.126	0.030433	
0.127	0.029717	
0.128	0.0291058	
0.129	0.029427	
0.130	0.0302855	
0.131	0.0309642	
0.132	0.0306685	
0.133	0.0296996	
0.134	0.0290177	
0.135	0.0294854	
0.136	0.0304583	
0.137	0.0308235	
0.138	0.0302978	
0.139	0.0295614	
0.140	0.0294319	
0.141	0.0298483	
0.142	0.0304533	
0.143	0.0303925	
0.144	0.0299024	
0.145	0.0295924	
0.146	0.0298514	
0.147	0.0301724	
0.148	0.0302867	
0.149	0.0300835	
0.150	0.0296752	
0.151	0.0294924	
0.152	0.0296443	
0.153	0.0299145	
0.154	0.0299437	
0.155	0.029859	
0.156	0.029761	
0.157	0.029539	
0.158	0.0293996	
0.159	0.0295374	
0.160	0.0296979	
0.161	0.029762	
0.162	0.0297604	
0.163	0.0297352	
0.164	0.0297549	
0.165	0.0298614	
0.166	0.0299847	
0.167	0.0300748	
0.168	0.0297287	
0.169	0.0295543	
0.170	0.0298744	
0.171	0.0304928	
0.172	0.030644	
0.173	0.0299311	
0.174	0.0292269	
0.175	0.0292931	
0.176	0.0299732	
0.177	0.0305777	
0.178	0.0303683	
0.179	0.0295952	
0.180	0.0290049	
0.181	0.029476	
0.182	0.0302341	
0.183	0.0302341	
0.184	0.0295334	
0.185	0.0290763	
0.186	0.0292846	
0.187	0.0298	
0.188	0.0300479	
0.189	0.0298048	
0.190	0.0294084	
0.191	0.0294389	
0.192	0.0297894	
0.193	0.0300112	
0.194	0.0298461	
0.195	0.0297089	
0.196	0.0298627	
0.197	0.0300883	
0.198	0.0300463	
0.199	0.0297393	
0.200	0.029529	
0.201	0.0298103	
0.202	0.0302306	
0.203	0.030283	
0.204	0.0298448	
0.205	0.0294587	
0.206	0.0296127	
0.207	0.0301198	
0.208	0.0303953	
0.209	0.03013	
0.210	0.0296113	
0.211	0.0294771	
0.212	0.0299746	
0.213	0.0306266	
0.214	0.0304624	
0.215	0.0299242	
0.216	0.029729	
0.217	0.0300762	
0.218	0.0304916	
0.219	0.0303729	
0.220	0.0299898	
0.221	0.0297764	
0.222	0.0298659	
0.223	0.0301459	
0.224	0.0300904	
0.225	0.0297681	
0.226	0.0295369	
0.227	0.0294769	
0.228	0.0296109	
0.229	0.0298622	
0.230	0.029956	
0.231	0.0296102	
0.232	0.029177	
0.233	0.0293411	
0.234	0.029767	
0.235	0.0302576	
0.236	0.0301292	
0.237	0.029659	
0.238	0.029224	
0.239	0.0295989	
0.240	0.0303051	
0.241	0.0305504	
0.242	0.0299499	
0.243	0.0294519	
0.244	0.0294812	
0.245	0.0301039	
0.246	0.030616	
0.247	0.0303837	
0.248	0.0298448	
0.249	0.0295459	
0.250	0.0300136	
0.251	0.0305655	
0.252	0.0305592	
0.253	0.0302836	
0.254	0.0301657	
0.255	0.0302985	
0.256	0.030518	
0.257	0.0305936	
0.258	0.0303871	
0.259	0.0302502	
0.260	0.0307347	
0.261	0.0309658	
0.262	0.0307643	
0.263	0.03053	
0.264	0.0303673	
0.265	0.0302867	
0.266	0.030554	
0.267	0.0307578	
0.268	0.0307203	
0.269	0.0302945	
0.270	0.0303085	
0.271	0.030157	
0.272	0.0300868	
0.273	0.0300617	
0.274	0.0302398	
0.275	0.0302768	
0.276	0.0300755	
0.277	0.0295079	
0.278	0.0289855	
0.279	0.0294937	
0.280	0.0303309	
0.281	0.0305777	
0.282	0.0294495	
0.283	0.0294495	
0.284	0.0291204	
0.285	0.0293553	
0.286	0.0301877	
0.287	0.0304826	
0.288	0.0300867	
0.289	0.0296289	
0.290	0.0296575	
0.291	0.0300362	
0.292	0.0302773	
0.293	0.0303695	
0.294	0.0304525	
0.295	0.0302876	
0.296	0.0301113	
0.297	0.0299589	
0.298	0.0300502	
0.299	0.0306137	
0.300	0.0307601	
0.301	0.0304437	
0.302	0.0298351	
0.303	0.0295621	
0.304	0.0299534	
0.305	0.0304548	
0.306	0.0305196	
0.307	0.0300099	
0.308	0.0294385	
0.309	0.0292314	
0.310	0.0297718	
0.311	0.0303263	
0.312	0.0304965	
0.313	0.0302116	
0.314	0.0295545	
0.315	0.0291231	
0.316	0.0294698	
0.317	0.0302679	
0.318	0.0308489	
0.319	0.0305308	
0.320	0.0295553	
0.321	0.0290513	
0.322	0.029579	
0.323	0.0303654	
0.324	0.0305779	
0.325	0.0301358	
0.326	0.0291639	
