Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.030347	
0.001	0.0300758	
0.002	0.0303229	
0.003	0.0304999	
0.004	0.030418	
0.005	0.0302081	
0.006	0.0301264	
0.007	0.030091	
0.008	0.0300798	
0.009	0.029894	
0.010	0.0298173	
0.011	0.0298651	
0.012	0.029959	
0.013	0.0297678	
0.014	0.0293643	
0.015	0.0291057	
0.016	0.0293258	
0.017	0.0297204	
0.018	0.0297895	
0.019	0.0296039	
0.020	0.0292184	
0.021	0.0290931	
0.022	0.0293743	
0.023	0.0297192	
0.024	0.0298707	
0.025	0.0298727	
0.026	0.0297426	
0.027	0.0297488	
0.028	0.0298936	
0.029	0.0300963	
0.030	0.0302344	
0.031	0.0304889	
0.032	0.0304276	
0.033	0.0302758	
0.034	0.0302758	
0.035	0.0301145	
0.036	0.0302799	
0.037	0.0306234	
0.038	0.0305688	
0.039	0.0302924	
0.040	0.0300124	
0.041	0.0299687	
0.042	0.0301711	
0.043	0.0304236	
0.044	0.0302736	
0.045	0.0300415	
0.046	0.029774	
0.047	0.0298309	
0.048	0.030016	
0.049	0.0301635	
0.050	0.0301635	
0.051	0.0297853	
0.052	0.0297853	
0.053	0.0294858	
0.054	0.029602	
0.055	0.0297412	
0.056	0.0297412	
0.057	0.0296936	
0.058	0.0296936	
0.059	0.0293481	
0.060	0.0293481	
0.061	0.0295154	
0.062	0.0297832	
0.063	0.0297832	
0.064	0.0297465	
0.065	0.0297465	
0.066	0.0296839	
0.067	0.0296839	
0.068	0.030089	
0.069	0.030089	
0.070	0.0303138	
0.071	0.0303138	
0.072	0.0298874	
0.073	0.0301813	
0.074	0.0301813	
0.075	0.0305351	
0.076	0.0305351	
0.077	0.030341	
0.078	0.030341	
0.079	0.0304033	
0.080	0.0304033	
0.081	0.0306094	
0.082	0.0306094	
0.083	0.0301832	
0.084	0.0300885	
0.085	0.0302943	
0.086	0.0302943	
0.087	0.0302808	
0.088	0.0302477	
0.089	0.030134	
0.090	0.0300924	
0.091	0.0299971	
0.092	0.0298932	
0.093	0.029925	
0.094	0.0299743	
0.095	0.0298269	
0.096	0.0297957	
0.097	0.0297165	
0.098	0.0298203	
0.099	0.0297137	
0.100	0.0296553	
0.101	0.029672	
0.102	0.0295816	
0.103	0.0296894	
0.104	0.0297783	
0.105	0.0296287	
0.106	0.0297095	
0.107	0.0298201	
0.108	0.0298733	
0.109	0.0299288	
0.110	0.0298858	
0.111	0.0299188	
0.112	0.0299535	
0.113	0.0299574	
0.114	0.0301414	
0.115	0.0302093	
0.116	0.0302714	
0.117	0.0303039	
0.118	0.0301797	
0.119	0.0303092	
0.120	0.0305057	
0.121	0.0305413	
0.122	0.0302955	
0.123	0.030176	
0.124	0.0302832	
0.125	0.0304256	
0.126	0.030511	
0.127	0.0304149	
0.128	0.030073	
0.129	0.0299854	
0.130	0.0301594	
0.131	0.0304194	
0.132	0.0304636	
0.133	0.0303171	
0.134	0.0299625	
0.135	0.0297974	
0.136	0.0298981	
0.137	0.0300495	
0.138	0.0300467	
0.139	0.0299145	
0.140	0.0297407	
0.141	0.0294738	
0.142	0.029594	
0.143	0.0297957	
0.144	0.0298406	
0.145	0.0296492	
0.146	0.0295736	
0.147	0.0294961	
0.148	0.0296283	
0.149	0.0297568	
0.150	0.0297142	
0.151	0.0296939	
0.152	0.0297634	
0.153	0.0298264	
0.154	0.0300461	
0.155	0.0301053	
0.156	0.0301767	
0.157	0.0299493	
0.158	0.0298574	
0.159	0.0299956	
0.160	0.0302729	
0.161	0.0305313	
0.162	0.0306114	
0.163	0.0304988	
0.164	0.0301368	
0.165	0.0299684	
0.166	0.0300437	
0.167	0.03054	
0.168	0.0307115	
0.169	0.0307245	
0.170	0.0303445	
0.171	0.0299296	
0.172	0.0299994	
0.173	0.0303986	
0.174	0.0306931	
0.175	0.0307027	
0.176	0.0302724	
0.177	0.0299871	
0.178	0.0299871	
0.179	0.0300879	
0.180	0.0301664	
0.181	0.0301311	
0.182	0.0301173	
0.183	0.0299375	
0.184	0.0299375	
0.185	0.0297694	
0.186	0.0295748	
0.187	0.0295541	
0.188	0.0296684	
0.189	0.0299079	
0.190	0.0298329	
0.191	0.0296162	
0.192	0.0293559	
0.193	0.0295375	
0.194	0.0299572	
0.195	0.0300764	
0.196	0.0298005	
0.197	0.0295624	
0.198	0.0296617	
0.199	0.0298998	
0.200	0.0300978	
0.201	0.0300742	
0.202	0.0300558	
0.203	0.0299266	
0.204	0.0299086	
0.205	0.0299611	
0.206	0.0299438	
0.207	0.029939	
0.208	0.0301208	
0.209	0.0301545	
0.210	0.0301799	
0.211	0.0299755	
0.212	0.0298444	
0.213	0.0298772	
0.214	0.0300039	
0.215	0.0300508	
0.216	0.0300212	
0.217	0.0299782	
0.218	0.0300208	
0.219	0.0300374	
0.220	0.029876	
0.221	0.0297758	
0.222	0.0296665	
0.223	0.0297517	
0.224	0.029845	
0.225	0.029874	
0.226	0.0298662	
0.227	0.0297509	
0.228	0.0297297	
0.229	0.0297947	
0.230	0.0297947	
0.231	0.0297901	
0.232	0.0297901	
0.233	0.0299212	
0.234	0.0298594	
0.235	0.0298594	
0.236	0.0299116	
0.237	0.0299116	
0.238	0.0298447	
0.239	0.0298447	
0.240	0.0299827	
0.241	0.0301232	
0.242	0.0301461	
0.243	0.0301461	
0.244	0.0298363	
0.245	0.0298363	
0.246	0.0303214	
0.247	0.0303214	
0.248	0.030281	
0.249	0.030281	
0.250	0.0299371	
0.251	0.0299371	
0.252	0.0305308	
0.253	0.0305308	
0.254	0.030152	
0.255	0.0300959	
0.256	0.0303631	
0.257	0.0303631	
0.258	0.0303086	
0.259	0.030112	
0.260	0.0300509	
0.261	0.030138	
0.262	0.0302548	
0.263	0.0299953	
0.264	0.0298176	
0.265	0.0296838	
0.266	0.0299816	
0.267	0.0300128	
0.268	0.029791	
0.269	0.0296419	
0.270	0.0295325	
0.271	0.0297343	
0.272	0.0299638	
0.273	0.0299293	
0.274	0.029609	
0.275	0.0295095	
0.276	0.0297372	
0.277	0.0299301	
0.278	0.0299301	
0.279	0.0300405	
0.280	0.0298452	
0.281	0.0298452	
0.282	0.0297766	
0.283	0.0301368	
0.284	0.0301368	
0.285	0.0299374	
0.286	0.0297167	
0.287	0.0296864	
0.288	0.0297696	
0.289	0.0298364	
0.290	0.029834	
0.291	0.0297663	
0.292	0.0298365	
0.293	0.0298307	
0.294	0.0297299	
0.295	0.0297379	
0.296	0.0297281	
0.297	0.0298877	
0.298	0.0301223	
0.299	0.0301223	
0.300	0.0300907	
0.301	0.0298179	
0.302	0.0298179	
0.303	0.0298276	
0.304	0.0300431	
0.305	0.0301488	
0.306	0.0300893	
0.307	0.0300893	
0.308	0.0297632	
0.309	0.0297632	
0.310	0.029901	
0.311	0.029901	
0.312	0.0301801	
0.313	0.0301645	
0.314	0.0301645	
0.315	0.0298488	
0.316	0.0298996	
0.317	0.0298996	
0.318	0.0305515	
0.319	0.0304103	
0.320	0.0300846	
0.321	0.0297831	
0.322	0.0297831	
0.323	0.0300704	
0.324	0.0300704	
0.325	0.0303627	
0.326	0.0303627	
0.327	0.0297239	
0.328	0.0297239	
0.329	0.0300549	
0.330	0.0302974	
0.331	0.0302288	
0.332	0.0299166	
0.333	0.0299166	
0.334	0.0296508	
0.335	0.0298744	
0.336	0.0300654	
0.337	0.0300867	
0.338	0.029961	
0.339	0.0298387	
0.340	0.0297239	
0.341	0.0297761	
0.342	0.0300128	
0.343	0.0300871	
0.344	0.0299747	
0.345	0.0297033	
0.346	0.0297451	
0.347	0.0298785	
0.348	0.0298785	
