Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0304181	
0.001	0.0299445	
0.002	0.0294859	
0.003	0.0295101	
0.004	0.0299405	
0.005	0.0303511	
0.006	0.0301084	
0.007	0.0296015	
0.008	0.0291934	
0.009	0.0293212	
0.010	0.029685	
0.011	0.0300823	
0.012	0.0302389	
0.013	0.0300242	
0.014	0.0296432	
0.015	0.0294122	
0.016	0.029695	
0.017	0.02993	
0.018	0.0300654	
0.019	0.030166	
0.020	0.0301236	
0.021	0.0302081	
0.022	0.030289	
0.023	0.0303199	
0.024	0.0302832	
0.025	0.0301052	
0.026	0.0300867	
0.027	0.0301276	
0.028	0.0302019	
0.029	0.0301662	
0.030	0.0299352	
0.031	0.0298941	
0.032	0.0301568	
0.033	0.0302244	
0.034	0.0299338	
0.035	0.0293906	
0.036	0.0294326	
0.037	0.0299274	
0.038	0.0302563	
0.039	0.0300373	
0.040	0.0292996	
0.041	0.0290475	
0.042	0.0292739	
0.043	0.0298331	
0.044	0.030166	
0.045	0.0299541	
0.046	0.0295881	
0.047	0.0295881	
0.048	0.0293023	
0.049	0.0295599	
0.050	0.0300663	
0.051	0.030234	
0.052	0.0301601	
0.053	0.0298933	
0.054	0.0298552	
0.055	0.0298869	
0.056	0.0299207	
0.057	0.0301887	
0.058	0.0302785	
0.059	0.0301293	
0.060	0.0299209	
0.061	0.029834	
0.062	0.0297819	
0.063	0.0302535	
0.064	0.0302617	
0.065	0.0297955	
0.066	0.0294546	
0.067	0.029736	
0.068	0.030245	
0.069	0.0305759	
0.070	0.030488	
0.071	0.0302175	
0.072	0.0302175	
0.073	0.029977	
0.074	0.0303994	
0.075	0.0302957	
0.076	0.030351	
0.077	0.0305746	
0.078	0.030708	
0.079	0.030427	
0.080	0.030266	
0.081	0.0301173	
0.082	0.0300957	
0.083	0.0303918	
0.084	0.0305862	
0.085	0.0301066	
0.086	0.0297632	
0.087	0.0299511	
0.088	0.0302718	
0.089	0.0303619	
0.090	0.0299993	
0.091	0.0297105	
0.092	0.0298226	
0.093	0.0301497	
0.094	0.0304315	
0.095	0.0303529	
0.096	0.0299229	
0.097	0.0296845	
0.098	0.0298353	
0.099	0.0301514	
0.100	0.0304467	
0.101	0.0303168	
0.102	0.0300548	
0.103	0.0299528	
0.104	0.0301794	
0.105	0.0304096	
0.106	0.0304959	
0.107	0.0304786	
0.108	0.0301192	
0.109	0.0298836	
0.110	0.0299205	
0.111	0.0300607	
0.112	0.0302834	
0.113	0.0303099	
0.114	0.030156	
0.115	0.0297513	
0.116	0.0295496	
0.117	0.0299043	
0.118	0.0305384	
0.119	0.0307091	
0.120	0.0303061	
0.121	0.0296782	
0.122	0.0294438	
0.123	0.0297957	
0.124	0.0303299	
0.125	0.0304941	
0.126	0.0300239	
0.127	0.0294399	
0.128	0.0295309	
0.129	0.029904	
0.130	0.0299353	
0.131	0.02959	
0.132	0.0293471	
0.133	0.0296454	
0.134	0.0299215	
0.135	0.0298894	
0.136	0.0296393	
0.137	0.0294675	
0.138	0.0297398	
0.139	0.0303038	
0.140	0.0301291	
0.141	0.0297511	
0.142	0.0295653	
0.143	0.0298003	
0.144	0.030158	
0.145	0.030281	
0.146	0.0301368	
0.147	0.0301368	
0.148	0.029835	
0.149	0.0296002	
0.150	0.0299297	
0.151	0.0302889	
0.152	0.0303432	
0.153	0.030152	
0.154	0.0299453	
0.155	0.0298778	
0.156	0.0299115	
0.157	0.0301389	
0.158	0.0304213	
0.159	0.0304059	
0.160	0.0302746	
0.161	0.0300607	
0.162	0.0301702	
0.163	0.0300259	
0.164	0.0298438	
0.165	0.0299863	
0.166	0.0302509	
0.167	0.0302965	
0.168	0.0300521	
0.169	0.0297909	
0.170	0.0296704	
0.171	0.0297445	
0.172	0.0299673	
0.173	0.0300789	
0.174	0.0298024	
0.175	0.0295382	
0.176	0.0295193	
0.177	0.029651	
0.178	0.0297427	
0.179	0.0297173	
0.180	0.0295639	
0.181	0.0294391	
0.182	0.0294037	
0.183	0.0296063	
0.184	0.0298539	
0.185	0.029993	
0.186	0.0297958	
0.187	0.0295938	
0.188	0.0296617	
0.189	0.030057	
0.190	0.0303829	
0.191	0.0301812	
0.192	0.0298467	
0.193	0.0296665	
0.194	0.0298011	
0.195	0.0301009	
0.196	0.0305785	
0.197	0.0308024	
0.198	0.0306201	
0.199	0.0300331	
0.200	0.0296763	
0.201	0.0299491	
0.202	0.0307589	
0.203	0.0311646	
0.204	0.0307588	
0.205	0.0300501	
0.206	0.0298102	
0.207	0.0299459	
0.208	0.0302444	
0.209	0.0301977	
0.210	0.0299333	
0.211	0.0296265	
0.212	0.0296455	
0.213	0.0295116	
0.214	0.0292128	
0.215	0.029053	
0.216	0.0293685	
0.217	0.0297628	
0.218	0.0298305	
0.219	0.0293305	
0.220	0.0288719	
0.221	0.0288488	
0.222	0.0293894	
0.223	0.0297553	
0.224	0.0294882	
0.225	0.0290553	
0.226	0.0292019	
0.227	0.0297451	
0.228	0.0301732	
0.229	0.0301789	
0.230	0.0298175	
0.231	0.0296074	
0.232	0.0296046	
0.233	0.0300292	
0.234	0.030383	
0.235	0.0303466	
0.236	0.0302345	
0.237	0.0301181	
0.238	0.0301266	
0.239	0.0299125	
0.240	0.0297095	
0.241	0.0299367	
0.242	0.0304123	
0.243	0.0307379	
0.244	0.0304846	
0.245	0.0299756	
0.246	0.0295999	
0.247	0.0295999	
0.248	0.0297534	
0.249	0.0302879	
0.250	0.0306383	
0.251	0.0305892	
0.252	0.0300438	
0.253	0.0293935	
0.254	0.0292542	
0.255	0.0296056	
0.256	0.0301392	
0.257	0.030197	
0.258	0.0297408	
0.259	0.0292074	
0.260	0.0289832	
0.261	0.0292786	
0.262	0.0297561	
0.263	0.0298511	
0.264	0.0294939	
0.265	0.0290596	
0.266	0.0290887	
0.267	0.0293175	
0.268	0.0295779	
0.269	0.0295779	
0.270	0.0295857	
0.271	0.0294964	
0.272	0.0295128	
0.273	0.0297842	
0.274	0.029715	
0.275	0.0294926	
0.276	0.0292626	
0.277	0.0293937	
0.278	0.0295479	
0.279	0.0296079	
0.280	0.0293782	
0.281	0.0292905	
0.282	0.0295404	
0.283	0.0298785	
0.284	0.0298625	
0.285	0.0295625	
0.286	0.0291937	
0.287	0.0292709	
0.288	0.0292709	
0.289	0.0303218	
0.290	0.0301259	
0.291	0.0293848	
0.292	0.0293848	
0.293	0.0290622	
0.294	0.029424	
0.295	0.0305035	
0.296	0.0305035	
0.297	0.0303843	
0.298	0.0298418	
0.299	0.0293762	
0.300	0.0294941	
0.301	0.0301027	
0.302	0.0305314	
0.303	0.0305928	
0.304	0.0302848	
0.305	0.029837	
0.306	0.0295749	
0.307	0.0295982	
0.308	0.0299702	
0.309	0.0303231	
0.310	0.0302922	
0.311	0.0299552	
0.312	0.0294266	
0.313	0.0292959	
0.314	0.0295526	
0.315	0.0298767	
0.316	0.0298268	
0.317	0.0294958	
0.318	0.0292771	
0.319	0.0292771	
0.320	0.0300839	
0.321	0.0300839	
0.322	0.0299216	
0.323	0.0297249	
0.324	0.0296632	
0.325	0.0298618	
0.326	0.0301246	
0.327	0.0301246	
0.328	0.0300486	
0.329	0.0300486	
0.330	0.0305323	
0.331	0.0305323	
0.332	0.0301084	
0.333	0.0301084	
0.334	0.0303167	
0.335	0.0303167	
0.336	0.0306088	
0.337	0.0303384	
0.338	0.0303384	
0.339	0.0304001	
0.340	0.0306579	
0.341	0.0305851	
0.342	0.0303325	
0.343	0.0303325	
0.344	0.0304262	
0.345	0.0308249	
0.346	0.0308269	
0.347	0.0306043	
0.348	0.0302224	
0.349	0.0302224	
0.350	0.0306095	
0.351	0.0307582	
0.352	0.0306147	
0.353	0.0304147	
0.354	0.0304147	
0.355	0.0301314	
0.356	0.0302546	
0.357	0.0304408	
0.358	0.0305168	
0.359	0.0301645	
0.360	0.0301645	
0.361	0.0297303	
0.362	0.0297445	
0.363	0.0299534	
0.364	0.0300077	
0.365	0.0298291	
0.366	0.0294856	
0.367	0.0294698	
0.368	0.0298722	
0.369	0.0303583	
0.370	0.0304537	
0.371	0.029982	
0.372	0.0295146	
0.373	0.0296288	
0.374	0.0301572	
0.375	0.0305648	
0.376	0.0303369	
0.377	0.0299934	
0.378	0.0299723	
0.379	0.0301687	
0.380	0.0303344	
0.381	0.0301393	
0.382	0.0297654	
0.383	0.0299266	
0.384	0.0305738	
0.385	0.0307385	
0.386	0.0305122	
0.387	0.030059	
0.388	0.0301413	
0.389	0.0303954	
0.390	0.0307717	
0.391	0.0306525	
0.392	0.0302995	
0.393	0.030263	
0.394	0.0305037	
0.395	0.0305832	
0.396	0.0305886	
0.397	0.0304674	
0.398	0.030149	
0.399	0.0298657	
0.400	0.0299929	
0.401	0.0304414	
0.402	0.0304579	
0.403	0.0302459	
0.404	0.030032	
0.405	0.0298226	
0.406	0.0297966	
0.407	0.0299659	
0.408	0.0302133	
0.409	0.0302169	
0.410	0.0301021	
0.411	0.0300015	
0.412	0.0298805	
0.413	0.0297355	
0.414	0.0296816	
0.415	0.0298234	
0.416	0.0301661	
0.417	0.0302507	
0.418	0.0301661	
0.419	0.0297355	
0.420	0.0295529	
0.421	0.0298529	
0.422	0.0302192	
0.423	0.0303534	
0.424	0.0300152	
0.425	0.0297751	
0.426	0.0297914	
0.427	0.0299844	
0.428	0.0303887	
0.429	0.030471	
0.430	0.030066	
0.431	0.0298128	
0.432	0.0299063	
0.433	0.0302009	
0.434	0.0306022	
0.435	0.0306241	
0.436	0.0303736	
0.437	0.0299695	
0.438	0.0300465	
0.439	0.0304285	
0.440	0.0307967	
0.441	0.0307543	
0.442	0.0304291	
0.443	0.0300113	
0.444	0.0299211	
0.445	0.0302626	
0.446	0.0305888	
0.447	0.0305888	
0.448	0.0308006	
0.449	0.0304479	
0.450	0.0297807	
0.451	0.0296966	
0.452	0.0300816	
0.453	0.0307884	
0.454	0.0307884	
0.455	0.0300429	
0.456	0.0298378	
0.457	0.0299174	
0.458	0.0300359	
0.459	0.0300498	
0.460	0.0298511	
0.461	0.0295171	
0.462	0.0295947	
0.463	0.0298615	
0.464	0.0297214	
0.465	0.0293032	
0.466	0.0292467	
0.467	0.0296618	
0.468	0.0301037	
0.469	0.0300513	
0.470	0.0300513	
