Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-50.884	
0.001	-50.879	
0.002	 -50.85	
0.003	-50.794	
0.004	 -50.61	
0.005	-50.647	
0.006	-50.692	
0.007	-50.828	
0.008	-51.001	
0.009	-50.872	
0.010	-50.724	
0.011	-50.597	
0.012	-50.619	
0.013	-50.782	
0.014	-50.779	
0.015	-50.664	
0.016	-50.574	
0.017	-50.632	
0.018	-50.665	
0.019	-50.636	
0.020	-50.627	
0.021	-50.521	
0.022	 -50.48	
0.023	-50.383	
0.024	-50.317	
0.025	-50.472	
0.026	-50.445	
0.027	-50.432	
0.028	-50.449	
0.029	-50.323	
0.030	-50.385	
0.031	-50.459	
0.032	-50.649	
0.033	 -50.88	
0.034	-50.808	
0.035	-50.661	
0.036	-50.499	
0.037	-50.587	
0.038	 -50.89	
0.039	-50.985	
0.040	-50.956	
0.041	-50.837	
0.042	-50.873	
0.043	-51.027	
0.044	  -51.1	
0.045	-51.182	
0.046	-51.077	
0.047	-50.926	
0.048	-50.837	
0.049	 -50.83	
0.050	-51.024	
0.051	-51.125	
0.052	-51.053	
0.053	-50.904	
0.054	-50.668	
0.055	-50.685	
0.056	-50.855	
0.057	-51.092	
0.058	-51.219	
0.059	-51.011	
0.060	-50.785	
0.061	-50.639	
0.062	 -50.74	
0.063	-50.984	
0.064	 -50.92	
0.065	-50.737	
0.066	-50.545	
0.067	-50.588	
0.068	-50.843	
0.069	 -50.89	
0.070	-50.869	
0.071	-50.663	
0.072	-50.437	
0.073	 -50.45	
0.074	-50.526	
0.075	-50.735	
0.076	-50.761	
0.077	-50.598	
0.078	-50.498	
0.079	-50.385	
0.080	-50.448	
0.081	-50.585	
0.082	-50.776	
0.083	-50.924	
0.084	-50.814	
0.085	-50.673	
0.086	-50.577	
0.087	-50.701	
0.088	-50.942	
0.089	-50.915	
0.090	-50.803	
0.091	-50.692	
0.092	-50.793	
0.093	-51.003	
0.094	-51.019	
0.095	-51.031	
0.096	-50.926	
0.097	-50.843	
0.098	-50.798	
0.099	-50.772	
0.100	-50.908	
0.101	-50.902	
0.102	 -50.86	
0.103	-50.798	
0.104	-50.629	
0.105	-50.671	
0.106	-50.705	
0.107	-50.834	
0.108	-51.002	
0.109	-50.827	
0.110	 -50.64	
0.111	-50.518	
0.112	-50.566	
0.113	-50.776	
0.114	-50.757	
0.115	-50.579	
0.116	-50.425	
0.117	-50.477	
0.118	-50.602	
0.119	-50.675	
0.120	-50.671	
0.121	-50.501	
0.122	-50.432	
0.123	-50.369	
0.124	-50.378	
0.125	-50.543	
0.126	 -50.48	
0.127	-50.442	
0.128	-50.459	
0.129	-50.362	
0.130	-50.457	
0.131	-50.525	
0.132	-50.681	
0.133	-50.892	
0.134	-50.855	
0.135	-50.761	
0.136	-50.579	
0.137	-50.607	
0.138	-50.837	
0.139	-50.914	
0.140	-50.937	
0.141	 -50.89	
0.142	-50.948	
0.143	-51.037	
0.144	 -51.04	
0.145	-51.121	
0.146	-51.071	
0.147	-50.984	
0.148	-50.923	
0.149	-50.911	
0.150	-51.065	
0.151	-51.107	
0.152	-51.029	
0.153	-50.918	
0.154	-50.726	
0.155	-50.746	
0.156	-50.852	
0.157	-50.852	
0.158	-51.185	
0.159	-51.034	
0.160	-51.034	
0.161	 -50.74	
0.162	-50.779	
0.163	-50.779	
0.164	-50.917	
0.165	-50.917	
0.166	-50.701	
0.167	-50.701	
0.168	-50.913	
0.169	-50.889	
0.170	-50.889	
0.171	-50.694	
0.172	-50.694	
0.173	-50.593	
0.174	-50.593	
0.175	-50.696	
0.176	-50.696	
0.177	-50.523	
0.178	-50.523	
0.179	-50.401	
0.180	-50.401	
0.181	-50.603	
0.182	-50.603	
0.183	-50.859	
0.184	-50.859	
0.185	-50.559	
0.186	-50.559	
0.187	-50.528	
0.188	-50.528	
0.189	-50.827	
0.190	-50.827	
0.191	-50.656	
0.192	-50.656	
0.193	-50.871	
0.194	-50.871	
0.195	 -50.82	
0.196	 -50.82	
0.197	-50.758	
0.198	-50.758	
0.199	-50.824	
0.200	-50.925	
0.201	-50.806	
0.202	 -50.69	
0.203	-50.684	
0.204	-50.648	
0.205	-50.762	
0.206	-50.719	
0.207	-50.754	
0.208	-50.906	
0.209	-50.831	
0.210	-50.763	
0.211	-50.713	
0.212	-50.703	
0.213	-50.753	
0.214	-50.684	
0.215	-50.565	
0.216	-50.535	
0.217	-50.659	
0.218	-50.713	
0.219	-50.667	
0.220	-50.583	
0.221	-50.391	
0.222	-50.376	
0.223	-50.381	
0.224	-50.422	
0.225	-50.589	
0.226	-50.507	
0.227	-50.442	
0.228	 -50.43	
0.229	-50.347	
0.230	-50.458	
0.231	-50.512	
0.232	-50.649	
0.233	 -50.85	
0.234	  -50.8	
0.235	-50.717	
0.236	-50.607	
0.237	-50.707	
0.238	-50.964	
0.239	-51.021	
0.240	-50.991	
0.241	-50.891	
0.242	-50.937	
0.243	-51.056	
0.244	 -51.06	
0.245	-51.104	
0.246	-51.036	
0.247	 -50.97	
0.248	-50.914	
0.249	-50.862	
0.250	-50.984	
0.251	-51.049	
0.252	-51.021	
0.253	-50.952	
0.254	-50.775	
0.255	-50.775	
0.256	 -50.85	
0.257	-51.004	
0.258	-51.146	
0.259	-51.013	
0.260	-50.856	
0.261	-50.681	
0.262	-50.702	
0.263	-50.905	
0.264	-50.926	
0.265	-50.891	
0.266	-50.745	
0.267	-50.741	
0.268	-50.887	
0.269	-50.838	
0.270	-50.804	
0.271	-50.693	
0.272	-50.577	
0.273	-50.566	
0.274	 -50.53	
0.275	-50.625	
0.276	-50.651	
0.277	-50.569	
0.278	-50.524	
0.279	-50.395	
0.280	-50.403	
