Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-78.889	
0.001	-78.889	
0.002	-78.406	
0.003	-78.188	
0.004	-78.188	
0.005	-78.537	
0.006	-78.537	
0.007	 -78.38	
0.008	 -78.38	
0.009	 -78.07	
0.010	 -78.07	
0.011	-78.322	
0.012	-78.322	
0.013	-78.435	
0.014	-78.435	
0.015	-78.223	
0.016	-78.223	
0.017	-78.542	
0.018	-78.542	
0.019	-78.438	
0.020	-78.438	
0.021	-78.712	
0.022	-78.712	
0.023	-78.697	
0.024	-78.697	
0.025	-78.641	
0.026	-78.641	
0.027	-78.538	
0.028	-78.538	
0.029	-78.425	
0.030	-78.425	
0.031	 -78.46	
0.032	 -78.46	
0.033	-78.445	
0.034	-78.445	
0.035	-78.385	
0.036	-78.385	
0.037	-78.716	
0.038	-78.716	
0.039	-78.487	
0.040	-78.487	
0.041	-78.545	
0.042	-78.545	
0.043	-78.818	
0.044	-78.818	
0.045	-78.565	
0.046	-78.565	
0.047	-78.657	
0.048	-78.657	
0.049	-78.701	
0.050	-78.701	
0.051	-78.483	
0.052	-78.483	
0.053	-78.223	
0.054	-78.223	
0.055	-78.575	
0.056	-78.575	
0.057	-78.218	
0.058	-78.218	
0.059	-78.085	
0.060	-78.085	
0.061	-78.284	
0.062	-78.284	
0.063	-78.162	
0.064	-78.162	
0.065	-78.069	
0.066	-78.069	
0.067	-78.562	
0.068	-78.562	
0.069	-78.256	
0.070	-78.256	
0.071	-78.422	
0.072	-78.422	
0.073	-78.404	
0.074	-78.404	
0.075	-78.578	
0.076	-78.578	
0.077	-78.442	
0.078	-78.442	
0.079	 -78.45	
0.080	 -78.45	
0.081	-78.587	
0.082	-78.587	
0.083	-78.476	
0.084	-78.476	
0.085	-78.535	
0.086	-78.535	
0.087	-78.793	
0.088	-78.793	
0.089	-78.749	
0.090	-78.749	
0.091	-78.787	
0.092	-78.787	
0.093	 -78.83	
0.094	 -78.83	
0.095	 -78.86	
0.096	 -78.86	
0.097	-78.997	
0.098	-78.997	
0.099	-78.729	
0.100	-78.729	
0.101	-78.678	
0.102	-78.678	
0.103	-78.399	
0.104	-78.399	
0.105	-78.495	
0.106	-78.495	
0.107	-78.392	
0.108	-78.392	
0.109	 -78.24	
0.110	 -78.24	
0.111	-78.368	
0.112	-78.368	
0.113	-78.456	
0.114	-78.456	
0.115	-78.333	
0.116	-78.333	
0.117	-78.597	
0.118	-78.597	
0.119	-78.387	
0.120	-78.387	
0.121	 -78.56	
0.122	 -78.56	
0.123	-78.401	
0.124	-78.401	
0.125	-78.563	
0.126	-78.563	
0.127	-78.409	
0.128	-78.409	
0.129	-78.241	
0.130	-78.241	
0.131	-78.532	
0.132	-78.532	
0.133	-78.297	
0.134	-78.297	
0.135	-78.267	
0.136	-78.267	
0.137	-78.708	
0.138	-78.708	
0.139	-78.597	
0.140	-78.597	
0.141	-78.648	
0.142	-78.648	
0.143	-78.761	
0.144	-78.761	
0.145	-78.758	
0.146	-78.758	
0.147	-78.896	
0.148	-78.896	
0.149	-78.612	
0.150	-78.612	
0.151	-78.606	
0.152	-78.606	
0.153	-78.295	
0.154	-78.295	
0.155	 -78.31	
0.156	 -78.31	
0.157	-78.182	
0.158	-78.182	
0.159	-78.149	
0.160	-78.149	
0.161	-78.173	
0.162	-78.173	
0.163	-78.371	
0.164	-78.371	
0.165	-78.206	
0.166	-78.206	
0.167	-78.503	
0.168	-78.503	
0.169	-78.473	
0.170	-78.473	
0.171	-78.519	
0.172	-78.519	
0.173	-78.399	
0.174	-78.399	
0.175	-78.699	
0.176	-78.699	
0.177	-78.377	
0.178	-78.377	
0.179	-78.364	
0.180	-78.364	
0.181	-78.582	
0.182	-78.582	
0.183	-78.368	
0.184	-78.368	
0.185	-78.566	
0.186	-78.566	
0.187	-78.819	
0.188	-78.819	
0.189	-78.604	
0.190	-78.604	
0.191	-78.753	
0.192	-78.753	
0.193	-78.959	
0.194	-78.959	
0.195	-78.837	
0.196	 -78.87	
0.197	-78.874	
0.198	-78.874	
0.199	-78.809	
0.200	-78.871	
0.201	-78.871	
0.202	-78.505	
0.203	-78.505	
0.204	-78.374	
0.205	-78.466	
0.206	-78.589	
0.207	-78.386	
0.208	-78.386	
0.209	-78.278	
0.210	-78.265	
0.211	-78.369	
0.212	-78.396	
0.213	-78.501	
0.214	-78.471	
0.215	-78.381	
0.216	-78.362	
0.217	 -78.42	
0.218	-78.654	
0.219	-78.663	
0.220	-78.566	
0.221	 -78.61	
0.222	-78.676	
0.223	-78.749	
0.224	 -78.66	
0.225	-78.623	
0.226	-78.698	
0.227	-78.657	
0.228	-78.562	
0.229	  -78.4	
0.230	-78.398	
0.231	-78.501	
0.232	-78.565	
0.233	-78.641	
0.234	-78.505	
0.235	-78.378	
0.236	-78.414	
0.237	-78.581	
0.238	-78.828	
0.239	 -78.73	
0.240	-78.524	
0.241	-78.429	
0.242	-78.596	
0.243	-78.952	
0.244	-78.855	
0.245	-78.666	
0.246	-78.624	
0.247	-78.609	
0.248	-78.708	
0.249	-78.671	
0.250	-78.678	
0.251	-78.733	
0.252	-78.541	
0.253	-78.329	
0.254	-78.314	
0.255	 -78.49	
0.256	-78.555	
0.257	-78.439	
0.258	-78.314	
0.259	 -78.21	
0.260	 -78.22	
0.261	-78.236	
0.262	-78.274	
0.263	-78.367	
0.264	-78.246	
0.265	-78.154	
0.266	-78.103	
0.267	 -78.21	
0.268	-78.521	
0.269	-78.467	
0.270	-78.364	
0.271	-78.418	
0.272	-78.475	
0.273	-78.536	
0.274	-78.438	
0.275	-78.493	
0.276	-78.657	
0.277	  -78.6	
0.278	-78.494	
0.279	-78.381	
0.280	-78.457	
0.281	-78.557	
0.282	-78.523	
0.283	-78.528	
0.284	-78.445	
0.285	-78.392	
0.286	-78.465	
0.287	-78.564	
0.288	 -78.74	
0.289	-78.616	
0.290	-78.608	
0.291	-78.666	
0.292	-78.873	
0.293	-78.854	
0.294	-78.775	
0.295	-78.789	
0.296	-78.758	
0.297	-78.788	
0.298	-78.748	
