Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-49.925	
0.001	-49.925	
0.002	-50.036	
0.003	-50.036	
0.004	-50.236	
0.005	-50.089	
0.006	-50.089	
0.007	-49.484	
0.008	-49.484	
0.009	-49.349	
0.010	-49.349	
0.011	-49.473	
0.012	-49.473	
0.013	-49.453	
0.014	-49.453	
0.015	-50.363	
0.016	-50.363	
0.017	-51.024	
0.018	-51.024	
0.019	-51.092	
0.020	-51.092	
0.021	-51.205	
0.022	-51.205	
0.023	-50.453	
0.024	-50.453	
0.025	 -49.85	
0.026	 -49.85	
0.027	 -49.67	
0.028	 -49.67	
0.029	-49.411	
0.030	-49.411	
0.031	-49.768	
0.032	-49.768	
0.033	-50.736	
0.034	-50.736	
0.035	-51.123	
0.036	-51.123	
0.037	-51.437	
0.038	-51.437	
0.039	-51.458	
0.040	-51.458	
0.041	-50.809	
0.042	-50.809	
0.043	-50.589	
0.044	-50.589	
0.045	-50.321	
0.046	-50.321	
0.047	-50.353	
0.048	-50.353	
0.049	-50.765	
0.050	-50.765	
0.051	-51.449	
0.052	-51.449	
0.053	-52.185	
0.054	-52.185	
0.055	-52.424	
0.056	-52.424	
0.057	-52.369	
0.058	-52.369	
0.059	-51.979	
0.060	-51.979	
0.061	-51.444	
0.062	-51.444	
0.063	 -51.33	
0.064	 -51.33	
0.065	-51.211	
0.066	-51.211	
0.067	-51.316	
0.068	-51.316	
0.069	-51.963	
0.070	-51.963	
0.071	-52.116	
0.072	-52.116	
0.073	-52.002	
0.074	-52.002	
0.075	-51.843	
0.076	-51.843	
0.077	-51.215	
0.078	-51.215	
0.079	-50.769	
0.080	-50.769	
0.081	-50.698	
0.082	-50.698	
0.083	-50.602	
0.084	-50.602	
0.085	-51.047	
0.086	-51.047	
0.087	-51.745	
0.088	-51.745	
0.089	-52.072	
0.090	-52.072	
0.091	-52.192	
0.092	-52.192	
0.093	-51.937	
0.094	-51.937	
0.095	-51.311	
0.096	-51.311	
0.097	-51.169	
0.098	-51.169	
0.099	-51.188	
0.100	-51.188	
0.101	-51.104	
0.102	-51.104	
0.103	-51.802	
0.104	-51.802	
0.105	-52.402	
0.106	-52.402	
0.107	-52.482	
0.108	-52.482	
0.109	-52.462	
0.110	-52.462	
0.111	-51.747	
0.112	-51.747	
0.113	-50.921	
0.114	-50.921	
0.115	-50.515	
0.116	-50.515	
0.117	-50.167	
0.118	-50.167	
0.119	-50.305	
0.120	-50.305	
0.121	-51.088	
0.122	-51.088	
0.123	-51.418	
0.124	-51.418	
0.125	-51.745	
0.126	-51.745	
0.127	-51.735	
0.128	-51.735	
0.129	-50.942	
0.130	-50.942	
0.131	-50.483	
0.132	-50.483	
0.133	-50.042	
0.134	-50.042	
0.135	-49.935	
0.136	-49.935	
0.137	-50.229	
0.138	-50.229	
0.139	-50.806	
0.140	-50.806	
0.141	-51.372	
0.142	-51.372	
0.143	-51.558	
0.144	-51.558	
0.145	-51.213	
0.146	-51.213	
0.147	-50.955	
0.148	-50.481	
0.149	-50.481	
0.150	-50.035	
0.151	-50.035	
0.152	-49.971	
0.153	-49.921	
0.154	-49.864	
0.155	-50.058	
0.156	-50.455	
0.157	-50.455	
0.158	-50.565	
0.159	-50.639	
0.160	-50.648	
0.161	-50.608	
0.162	-50.362	
0.163	-49.962	
0.164	-49.591	
0.165	-49.278	
0.166	 -49.04	
0.167	-48.894	
0.168	-48.809	
0.169	-48.728	
0.170	-48.713	
0.171	-48.992	
0.172	-49.333	
0.173	-49.637	
0.174	 -49.84	
0.175	-49.912	
0.176	-49.885	
0.177	-49.827	
0.178	-49.564	
0.179	-49.245	
0.180	 -48.97	
0.181	-48.738	
0.182	-48.543	
0.183	-48.437	
0.184	-48.491	
0.185	-48.657	
