Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-13.383	
0.001	-13.383	
0.002	-13.852	
0.003	-13.852	
0.004	 -14.28	
0.005	 -14.28	
0.006	-14.108	
0.007	-14.108	
0.008	-13.125	
0.009	-13.125	
0.010	-12.817	
0.011	-12.817	
0.012	 -12.64	
0.013	 -12.64	
0.014	-12.392	
0.015	-12.392	
0.016	-13.244	
0.017	-13.244	
0.018	-14.032	
0.019	-14.032	
0.020	-14.292	
0.021	-14.292	
0.022	-14.772	
0.023	-14.772	
0.024	-14.306	
0.025	-14.306	
0.026	-13.496	
0.027	-13.496	
0.028	-13.525	
0.029	-13.525	
0.030	-13.556	
0.031	-13.556	
0.032	-13.539	
0.033	-13.539	
0.034	 -14.35	
0.035	 -14.35	
0.036	-14.635	
0.037	-14.635	
0.038	-14.611	
0.039	-14.611	
0.040	-14.361	
0.041	-14.361	
0.042	-13.532	
0.043	-13.532	
0.044	-13.199	
0.045	-13.199	
0.046	 -13.06	
0.047	 -13.06	
0.048	-13.143	
0.049	-13.143	
0.050	-13.912	
0.051	-13.912	
0.052	-14.372	
0.053	-14.372	
0.054	-14.409	
0.055	-14.409	
0.056	 -14.16	
0.057	 -14.16	
0.058	-13.469	
0.059	-13.469	
0.060	-13.035	
0.061	-13.035	
0.062	-12.726	
0.063	-12.726	
0.064	-12.849	
0.065	-12.849	
0.066	  -13.4	
0.067	  -13.4	
0.068	 -13.89	
0.069	 -13.89	
0.070	-14.501	
0.071	-14.501	
0.072	-14.525	
0.073	-14.525	
0.074	-13.511	
0.075	-13.511	
0.076	-13.105	
0.077	-13.105	
0.078	-12.787	
0.079	-12.787	
0.080	-12.551	
0.081	-12.551	
0.082	-12.881	
0.083	-12.881	
0.084	-13.721	
0.085	-13.721	
0.086	-14.058	
0.087	-14.302	
0.088	-14.429	
0.089	-14.315	
0.090	-14.315	
0.091	-13.882	
0.092	-13.417	
0.093	-13.027	
0.094	-12.697	
0.095	-12.394	
0.096	-12.176	
0.097	-12.078	
0.098	-12.059	
0.099	-12.652	
0.100	-12.652	
0.101	-13.116	
0.102	 -13.46	
0.103	-13.797	
0.104	-13.797	
