Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-12.731	
0.001	-12.813	
0.002	-12.773	
0.003	-12.756	
0.004	-12.794	
0.005	-12.618	
0.006	 -12.23	
0.007	-11.827	
0.008	-11.457	
0.009	 -11.21	
0.010	-11.135	
0.011	-11.164	
0.012	-11.187	
0.013	 -11.14	
0.014	-11.269	
0.015	-11.559	
0.016	-11.866	
0.017	-12.133	
0.018	-12.319	
0.019	-12.387	
0.020	-12.356	
0.021	-12.313	
0.022	-12.141	
0.023	-12.005	
0.024	-11.882	
0.025	-11.659	
0.026	-11.408	
0.027	 -11.24	
0.028	-11.211	
0.029	-11.225	
0.030	 -11.23	
0.031	-11.476	
0.032	-11.836	
0.033	 -12.19	
0.034	-12.427	
0.035	-12.486	
0.036	 -12.49	
0.037	-12.619	
0.038	-12.683	
0.039	-12.526	
0.040	-12.253	
0.041	-11.911	
0.042	-11.707	
0.043	-11.629	
0.044	-11.593	
0.045	-11.485	
0.046	-11.319	
0.047	-11.413	
0.048	-11.776	
0.049	-12.149	
0.050	-12.444	
0.051	-12.571	
0.052	-12.494	
0.053	 -12.37	
0.054	-12.378	
0.055	-12.232	
0.056	-12.036	
0.057	-11.857	
0.058	-11.682	
0.059	-11.507	
0.060	-11.358	
0.061	-11.308	
0.062	-11.333	
0.063	-11.457	
0.064	-11.857	
0.065	-12.262	
0.066	-12.552	
0.067	-12.552	
0.068	 -12.54	
0.069	-12.623	
0.070	-12.795	
0.071	-12.851	
0.072	-12.561	
0.073	-12.155	
0.074	-11.791	
0.075	-11.791	
0.076	-11.546	
0.077	-11.546	
0.078	-11.441	
0.079	-11.297	
0.080	-11.297	
0.081	-11.762	
0.082	-11.762	
0.083	-12.666	
0.084	-12.666	
0.085	-12.898	
0.086	-12.898	
0.087	-13.072	
0.088	-13.072	
0.089	-12.798	
0.090	-12.798	
0.091	-12.048	
0.092	-12.048	
0.093	-11.745	
0.094	-11.745	
0.095	-11.839	
0.096	-11.839	
0.097	-11.917	
0.098	-11.917	
0.099	-12.638	
0.100	-12.638	
0.101	-13.391	
0.102	-13.391	
0.103	-13.434	
0.104	-13.434	
0.105	-12.796	
0.106	-12.796	
0.107	-12.245	
0.108	-12.245	
0.109	-11.762	
0.110	-11.762	
0.111	-11.528	
0.112	-11.528	
0.113	-11.518	
0.114	-11.518	
0.115	-12.216	
0.116	-12.216	
0.117	-12.863	
0.118	-12.863	
0.119	-12.953	
0.120	-12.953	
0.121	-13.144	
0.122	-13.144	
0.123	-12.781	
0.124	-12.781	
0.125	-12.362	
0.126	-12.362	
0.127	-12.281	
0.128	-12.281	
0.129	-12.016	
0.130	-12.016	
0.131	-12.757	
0.132	-12.757	
0.133	-13.729	
0.134	-13.729	
0.135	-13.729	
0.136	-13.543	
0.137	-13.543	
0.138	-12.868	
0.139	-12.868	
0.140	-12.388	
0.141	-12.388	
0.142	-11.825	
0.143	-11.825	
0.144	-11.624	
0.145	-11.624	
0.146	-12.273	
0.147	-12.273	
0.148	 -12.98	
0.149	 -12.98	
0.150	-13.068	
0.151	-13.068	
0.152	-13.301	
0.153	-13.301	
0.154	-12.882	
0.155	-12.882	
0.156	-11.954	
0.157	-11.954	
0.158	-11.612	
0.159	-11.612	
0.160	-11.474	
0.161	-11.474	
0.162	-11.378	
0.163	-11.378	
0.164	-12.411	
0.165	-12.411	
0.166	-13.307	
0.167	-13.307	
0.168	-13.423	
0.169	-13.423	
0.170	-13.099	
0.171	-13.099	
0.172	-12.369	
0.173	-12.369	
0.174	-12.026	
0.175	-12.026	
0.176	-11.997	
0.177	-11.997	
0.178	-11.897	
0.179	-11.897	
0.180	-12.383	
0.181	-12.383	
0.182	-12.926	
0.183	-12.926	
0.184	-13.079	
0.185	-13.079	
0.186	-13.281	
0.187	-13.281	
0.188	-12.456	
0.189	-12.456	
0.190	-11.954	
0.191	-11.954	
0.192	-11.754	
0.193	-11.754	
0.194	-11.333	
0.195	-11.333	
0.196	-11.741	
0.197	-11.741	
0.198	-12.838	
0.199	-12.838	
0.200	 -13.21	
0.201	 -13.21	
0.202	-13.393	
0.203	-13.393	
0.204	-13.417	
0.205	-13.417	
0.206	-12.633	
0.207	-12.633	
0.208	-11.923	
0.209	-11.923	
0.210	-11.815	
0.211	-11.815	
0.212	-11.731	
0.213	-11.731	
0.214	-12.187	
0.215	-12.187	
0.216	-12.727	
0.217	-12.727	
0.218	-12.781	
0.219	-12.781	
0.220	-12.748	
0.221	-12.748	
0.222	-12.501	
0.223	-12.501	
0.224	-12.261	
0.225	-12.261	
0.226	-11.971	
0.227	-11.971	
0.228	 -11.75	
0.229	 -11.75	
0.230	-12.328	
0.231	-12.328	
0.232	-13.027	
0.233	-13.027	
0.234	-13.023	
0.235	-13.023	
0.236	-13.024	
0.237	-13.024	
0.238	-12.274	
0.239	-12.274	
0.240	-11.544	
0.241	-11.544	
0.242	-11.421	
0.243	-11.421	
0.244	-11.278	
0.245	-11.278	
0.246	-11.636	
0.247	-11.636	
0.248	-12.544	
0.249	-12.544	
0.250	-12.793	
0.251	-12.793	
0.252	-12.927	
0.253	-12.927	
0.254	-12.644	
0.255	-12.644	
0.256	-11.777	
0.257	-11.777	
0.258	-11.369	
0.259	-11.369	
0.260	-11.279	
0.261	-11.279	
0.262	-11.164	
0.263	-11.164	
0.264	-11.724	
0.265	-11.724	
