Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-74.085	
0.001	-74.085	
0.002	-74.333	
0.003	-74.333	
0.004	-75.332	
0.005	-75.332	
0.006	-75.856	
0.007	-75.856	
0.008	-75.943	
0.009	-75.943	
0.010	-75.939	
0.011	-75.027	
0.012	-75.027	
0.013	 -74.56	
0.014	-74.352	
0.015	 -74.07	
0.016	 -74.07	
0.017	-73.588	
0.018	-73.588	
0.019	-74.072	
0.020	-74.072	
0.021	-74.886	
0.022	-74.886	
0.023	-75.054	
0.024	-75.054	
0.025	-76.034	
0.026	-76.034	
0.027	-75.809	
0.028	-75.809	
0.029	-74.726	
0.030	-74.726	
0.031	-74.579	
0.032	-74.579	
0.033	-74.098	
0.034	-74.098	
0.035	-74.425	
0.036	-74.425	
0.037	-75.423	
0.038	-75.423	
0.039	-75.444	
0.040	-75.444	
0.041	 -75.11	
0.042	 -75.11	
0.043	-75.085	
0.044	-75.085	
0.045	 -74.64	
0.046	-73.708	
0.047	-73.708	
0.048	-73.688	
0.049	-73.925	
0.050	-73.925	
0.051	-73.984	
0.052	-74.099	
0.053	-74.533	
0.054	-75.194	
0.055	-75.833	
0.056	-76.294	
0.057	-76.622	
0.058	 -76.99	
0.059	-77.389	
0.060	-77.664	
0.061	-77.521	
0.062	 -77.29	
0.063	-77.297	
0.064	-77.462	
0.065	-77.551	
0.066	 -77.56	
0.067	 -77.59	
0.068	 -77.64	
0.069	-77.732	
0.070	-77.943	
0.071	-78.056	
0.072	-78.062	
0.073	 -78.04	
0.074	-77.996	
0.075	-77.761	
0.076	-77.353	
0.077	-76.801	
0.078	-76.399	
0.079	-76.214	
0.080	 -76.13	
0.081	-76.021	
0.082	-75.903	
0.083	-75.918	
0.084	-76.054	
0.085	 -76.07	
0.086	-76.135	
0.087	-76.423	
0.088	-77.018	
0.089	-77.682	
0.090	-78.084	
0.091	-78.135	
0.092	-78.006	
0.093	-77.884	
0.094	-77.696	
0.095	-77.487	
0.096	-77.154	
0.097	-76.759	
0.098	-76.445	
0.099	  -76.3	
0.100	-76.507	
0.101	-76.642	
0.102	-77.085	
0.103	-77.685	
0.104	-78.086	
0.105	-78.072	
0.106	-77.828	
0.107	-77.642	
0.108	-77.706	
0.109	 -77.77	
0.110	-77.628	
0.111	-77.276	
0.112	-76.997	
0.113	-77.008	
0.114	-77.126	
0.115	-77.085	
0.116	-76.893	
0.117	-76.733	
0.118	 -76.99	
0.119	-77.504	
0.120	-77.933	
0.121	-78.092	
0.122	-78.071	
0.123	 -78.06	
0.124	 -78.06	
0.125	-77.808	
0.126	-77.292	
0.127	-77.292	
0.128	-76.489	
0.129	-76.489	
0.130	-75.723	
0.131	-75.452	
0.132	-75.452	
0.133	-75.496	
0.134	-75.496	
0.135	-76.217	
0.136	-76.217	
0.137	-77.253	
0.138	-77.253	
0.139	-78.208	
0.140	-78.208	
0.141	-78.573	
0.142	-78.573	
0.143	 -78.18	
