Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.299593	
0.001	0.298605	
0.002	0.299171	
0.003	0.30025	
0.004	0.299962	
0.005	0.299172	
0.006	0.298687	
0.007	0.299271	
0.008	0.300528	
0.009	0.299979	
0.010	0.298796	
0.011	0.299144	
0.012	0.300648	
0.013	0.300889	
0.014	0.30018	
0.015	0.299602	
0.016	0.300281	
0.017	0.300983	
0.018	0.300883	
0.019	0.300449	
0.020	0.301061	
0.021	0.301997	
0.022	0.301876	
0.023	0.300903	
0.024	0.300395	
0.025	0.301247	
0.026	0.301836	
0.027	0.300367	
0.028	0.300367	
0.029	0.300004	
0.030	0.301148	
0.031	0.301179	
0.032	0.300029	
0.033	0.299298	
0.034	0.300028	
0.035	0.300028	
0.036	0.299478	
0.037	0.298809	
0.038	0.298809	
0.039	0.300324	
0.040	0.300324	
0.041	0.298358	
0.042	0.298358	
0.043	0.300003	
0.044	0.300944	
0.045	0.300944	
0.046	0.298715	
0.047	0.298715	
0.048	0.300596	
0.049	0.300596	
0.050	0.299304	
0.051	0.299304	
0.052	0.299505	
0.053	0.299505	
0.054	0.299843	
0.055	0.298911	
0.056	0.298911	
0.057	0.300614	
0.058	0.30032	
0.059	0.298809	
0.060	0.298266	
0.061	0.299537	
0.062	0.300815	
0.063	0.300445	
0.064	0.299626	
0.065	0.300115	
0.066	0.30114	
0.067	0.301298	
0.068	0.300423	
0.069	0.300107	
0.070	0.301204	
0.071	0.301757	
0.072	0.301386	
0.073	0.300746	
0.074	0.300961	
0.075	0.301865	
0.076	0.301682	
0.077	0.300325	
0.078	0.299574	
0.079	0.300273	
0.080	0.301013	
0.081	0.300448	
0.082	0.299302	
0.083	0.299189	
0.084	0.299189	
0.085	0.300036	
0.086	0.299719	
0.087	0.298759	
0.088	0.298721	
0.089	0.299441	
0.090	0.29942	
0.091	0.29942	
0.092	0.298658	
0.093	0.299396	
0.094	0.300135	
0.095	0.299847	
0.096	0.298609	
0.097	0.298842	
0.098	0.300121	
0.099	0.300488	
0.100	0.299535	
0.101	0.298843	
0.102	0.299748	
0.103	0.300445	
0.104	0.300128	
0.105	0.299287	
0.106	0.298618	
0.107	0.299499	
0.108	0.300569	
0.109	0.299943	
0.110	0.299031	
0.111	0.299246	
0.112	0.300432	
0.113	0.300907	
0.114	0.300079	
0.115	0.299803	
0.116	0.300489	
0.117	0.30137	
0.118	0.300788	
0.119	0.300312	
0.120	0.300993	
0.121	0.302349	
0.122	0.301616	
0.123	0.301616	
0.124	0.30044	
0.125	0.30044	
0.126	0.301761	
0.127	0.301761	
0.128	0.299766	
0.129	0.299766	
0.130	0.301107	
0.131	0.301107	
0.132	0.299854	
0.133	0.299304	
0.134	0.299304	
0.135	0.299818	
0.136	0.299818	
0.137	0.298654	
0.138	0.298654	
0.139	0.300321	
0.140	0.300321	
0.141	0.298653	
0.142	0.298653	
0.143	0.30015	
0.144	0.300325	
0.145	0.299888	
0.146	0.298651	
0.147	0.2998	
0.148	0.300828	
0.149	0.300538	
0.150	0.299097	
0.151	0.298723	
0.152	0.29965	
0.153	0.300369	
0.154	0.300083	
0.155	0.29863	
0.156	0.298993	
0.157	0.300242	
0.158	0.300532	
0.159	0.299478	
0.160	0.298595	
0.161	0.29947	
0.162	0.30055	
0.163	0.300427	
0.164	0.299769	
0.165	0.299978	
0.166	0.301217	
0.167	0.301406	
0.168	0.300525	
0.169	0.30013	
0.170	0.301252	
0.171	0.301928	
0.172	0.301432	
0.173	0.300591	
0.174	0.300857	
0.175	0.301741	
0.176	0.301558	
0.177	0.300432	
0.178	0.299672	
0.179	0.300204	
0.180	0.300713	
0.181	0.300083	
0.182	0.299125	
0.183	0.299259	
0.184	0.299259	
0.185	0.300183	
0.186	0.299321	
0.187	0.298289	
0.188	0.298375	
0.189	0.299683	
0.190	0.299823	
0.191	0.299122	
0.192	0.298348	
0.193	0.298862	
0.194	0.300224	
0.195	0.299965	
0.196	0.298978	
0.197	0.298459	
0.198	0.299782	
0.199	0.300368	
0.200	0.299038	
0.201	0.298993	
0.202	0.299674	
0.203	0.300536	
0.204	0.299561	
0.205	0.29846	
0.206	0.298776	
0.207	0.30053	
0.208	0.298551	
0.209	0.298551	
0.210	0.298551	
0.211	0.299673	
0.212	0.300864	
0.213	0.300743	
0.214	0.299676	
0.215	0.299768	
0.216	0.301007	
0.217	0.300984	
0.218	0.300533	
0.219	0.300432	
0.220	0.301554	
0.221	0.302322	
0.222	0.301572	
0.223	0.300467	
0.224	0.300881	
0.225	0.301842	
0.226	0.30181	
0.227	0.300459	
0.228	0.299863	
0.229	0.300755	
0.230	0.30136	
0.231	0.300565	
0.232	0.29917	
0.233	0.29934	
0.234	0.300404	
0.235	0.300253	
0.236	0.299039	
0.237	0.29848	
0.238	0.29962	
0.239	0.300616	
0.240	0.299985	
0.241	0.29864	
0.242	0.298444	
0.243	0.299746	
0.244	0.300661	
0.245	0.300069	
0.246	0.298887	
0.247	0.299652	
0.248	0.300507	
0.249	0.300255	
0.250	0.299106	
0.251	0.298962	
0.252	0.299903	
0.253	0.300489	
0.254	0.29967	
0.255	0.298611	
0.256	0.299396	
0.257	0.300724	
0.258	0.300576	
0.259	0.299023	
0.260	0.298117	
0.261	0.299397	
0.262	0.300768	
0.263	0.300586	
0.264	0.299786	
0.265	0.300289	
0.266	0.301111	
0.267	0.301163	
0.268	0.300299	
0.269	0.300023	
0.270	0.30135	
0.271	0.302185	
0.272	0.301505	
0.273	0.300609	
0.274	0.300926	
0.275	0.30189	
0.276	0.301054	
0.277	0.301054	
0.278	0.299528	
0.279	0.30025	
0.280	0.300877	
0.281	0.300256	
0.282	0.299069	
0.283	0.299113	
0.284	0.299113	
0.285	0.30023	
0.286	0.298905	
0.287	0.298905	
0.288	0.298895	
0.289	0.298895	
0.290	0.299599	
0.291	0.299216	
0.292	0.298934	
0.293	0.298934	
0.294	0.300248	
0.295	0.299267	
0.296	0.299267	
0.297	0.298583	
0.298	0.298583	
0.299	0.300209	
0.300	0.299009	
0.301	0.298766	
0.302	0.299676	
0.303	0.300338	
0.304	0.299614	
0.305	0.298412	
0.306	0.299094	
0.307	0.300139	
0.308	0.300248	
0.309	0.299068	
0.310	0.298564	
0.311	0.299808	
0.312	0.300956	
0.313	0.300473	
0.314	0.299596	
0.315	0.299618	
0.316	0.30073	
0.317	0.301402	
0.318	0.300402	
0.319	0.300426	
0.320	0.30117	
0.321	0.301894	
0.322	0.30144	
0.323	0.300567	
0.324	0.300865	
0.325	0.301714	
0.326	0.30163	
0.327	0.300297	
0.328	0.299686	
0.329	0.300535	
0.330	0.301328	
0.331	0.300659	
0.332	0.299524	
0.333	0.299377	
0.334	0.300118	
0.335	0.2999	
0.336	0.298867	
0.337	0.298647	
0.338	0.299822	
