Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0305874	
0.001	0.0306043	
0.002	0.0303386	
0.003	0.0303386	
0.004	0.0300966	
0.005	0.0300966	
0.006	0.0301809	
0.007	0.0301809	
0.008	0.0300012	
0.009	0.0300012	
0.010	0.0298371	
0.011	0.0298371	
0.012	0.0298767	
0.013	0.0298767	
0.014	0.029795	
0.015	0.029795	
0.016	0.0295138	
0.017	0.0295138	
0.018	0.0295149	
0.019	0.0295811	
0.020	0.0295811	
0.021	0.0292042	
0.022	0.0292042	
0.023	0.029285	
0.024	0.0292764	
0.025	0.02931	
0.026	0.0294129	
0.027	0.0294577	
0.028	0.0294272	
0.029	0.0296198	
0.030	0.0297013	
0.031	0.0297664	
0.032	0.029628	
0.033	0.0297605	
0.034	0.0300723	
0.035	0.0301402	
0.036	0.0302379	
0.037	0.0302379	
0.038	0.0302398	
0.039	0.0303291	
0.040	0.0304237	
0.041	0.0304237	
0.042	0.0301361	
0.043	0.0300655	
0.044	0.0301848	
0.045	0.030105	
0.046	0.030205	
0.047	0.0300322	
0.048	0.0299842	
0.049	0.0299859	
0.050	0.030047	
0.051	0.0300257	
0.052	0.0297596	
0.053	0.0297596	
0.054	0.0299756	
0.055	0.0300626	
0.056	0.0298148	
0.057	0.0298274	
0.058	0.0297313	
0.059	0.0297835	
0.060	0.029736	
0.061	0.0296193	
0.062	0.0293492	
0.063	0.0293803	
0.064	0.0294651	
0.065	0.029332	
0.066	0.0293458	
0.067	0.0291617	
0.068	0.0290587	
0.069	0.0290587	
0.070	0.029342	
0.071	0.0294959	
0.072	0.0294314	
0.073	0.0292789	
0.074	0.0293686	
0.075	0.0294904	
0.076	0.0296863	
0.077	0.0297632	
0.078	0.029815	
0.079	0.0299158	
0.080	0.0301195	
0.081	0.0303486	
0.082	0.0303454	
0.083	0.0302919	
0.084	0.0305906	
0.085	0.030374	
0.086	0.030374	
0.087	0.030469	
0.088	0.0305338	
0.089	0.0305106	
0.090	0.0304994	
0.091	0.0306439	
0.092	0.0305037	
0.093	0.0305037	
0.094	0.0305058	
0.095	0.0305058	
0.096	0.0305992	
0.097	0.0304825	
0.098	0.0304825	
0.099	0.03029	
0.100	0.03029	
0.101	0.0303021	
0.102	0.030045	
0.103	0.0300684	
0.104	0.0300684	
0.105	0.0300013	
0.106	0.0301008	
0.107	0.0301008	
0.108	0.0298187	
0.109	0.0299426	
0.110	0.0299426	
0.111	0.0299539	
0.112	0.0299749	
0.113	0.029933	
0.114	0.0299103	
0.115	0.0299779	
0.116	0.0300068	
0.117	0.0301958	
0.118	0.0302656	
0.119	0.030359	
0.120	0.0304025	
0.121	0.0304025	
0.122	0.0305284	
0.123	0.0305779	
0.124	0.0305657	
0.125	0.0306823	
0.126	0.0306902	
0.127	0.0305921	
0.128	0.0305749	
0.129	0.0305474	
0.130	0.0306114	
0.131	0.0306051	
0.132	0.0307192	
0.133	0.0306911	
0.134	0.0306038	
0.135	0.0305498	
0.136	0.0305674	
0.137	0.0308003	
0.138	0.030903	
0.139	0.0307402	
0.140	0.030491	
0.141	0.0304967	
0.142	0.0306539	
0.143	0.0306154	
0.144	0.0305368	
0.145	0.0303308	
0.146	0.03019	
0.147	0.0302135	
0.148	0.030216	
0.149	0.0300177	
0.150	0.0297607	
0.151	0.0298017	
0.152	0.0298685	
0.153	0.0299878	
0.154	0.0298823	
0.155	0.0297529	
0.156	0.0296653	
0.157	0.0297472	
0.158	0.0299842	
0.159	0.030142	
0.160	0.0301675	
0.161	0.0300084	
0.162	0.0301408	
0.163	0.0303405	
0.164	0.0303581	
0.165	0.0305059	
0.166	0.0304571	
0.167	0.0304177	
0.168	0.0305963	
0.169	0.0306737	
0.170	0.0306031	
0.171	0.0305224	
0.172	0.0307358	
0.173	0.0307747	
