Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0296767	
0.001	0.0298484	
0.002	0.0300905	
0.003	0.0301184	
0.004	0.0298686	
0.005	0.0297128	
0.006	0.0298558	
0.007	0.029985	
0.008	0.029983	
0.009	0.0301012	
0.010	0.0300024	
0.011	0.0299986	
0.012	0.0300996	
0.013	0.0301596	
0.014	0.0301596	
0.015	0.0302209	
0.016	0.0302474	
0.017	0.0302473	
0.018	0.0302473	
0.019	0.0300143	
0.020	0.0299996	
0.021	0.0302636	
0.022	0.0302636	
0.023	0.030344	
0.024	0.0302855	
0.025	0.0301292	
0.026	0.0301292	
0.027	0.0302251	
0.028	0.0302773	
0.029	0.0302312	
0.030	0.0302312	
0.031	0.0302475	
0.032	0.0302475	
0.033	0.0301715	
0.034	0.0301032	
0.035	0.0300457	
0.036	0.0299448	
0.037	0.0299462	
0.038	0.0299374	
0.039	0.0298993	
0.040	0.0298808	
0.041	0.0297788	
0.042	0.0298002	
0.043	0.0297349	
0.044	0.0297944	
0.045	0.0298084	
0.046	0.029825	
0.047	0.029825	
0.048	0.0298075	
0.049	0.0299101	
0.050	0.0299236	
0.051	0.0299293	
0.052	0.0299972	
0.053	0.0300303	
0.054	0.0299062	
0.055	0.029956	
0.056	0.0300895	
0.057	0.0300917	
0.058	0.0301742	
0.059	0.0301513	
0.060	0.0301173	
0.061	0.0300682	
0.062	0.0300062	
0.063	0.0300554	
0.064	0.0301784	
0.065	0.0301936	
0.066	0.0302561	
0.067	0.0301606	
0.068	0.0300669	
0.069	0.0300722	
0.070	0.0300732	
0.071	0.0302095	
0.072	0.0302177	
0.073	0.0301241	
0.074	0.0301241	
0.075	0.0298918	
0.076	0.0298918	
0.077	0.0300838	
0.078	0.0300838	
0.079	0.0298626	
0.080	0.0298626	
0.081	0.0297083	
0.082	0.0297083	
0.083	0.0298738	
0.084	0.0299062	
0.085	0.0298096	
0.086	0.0298096	
0.087	0.0297387	
0.088	0.0297387	
0.089	0.0299373	
0.090	0.0299632	
0.091	0.0298848	
0.092	0.0299269	
0.093	0.0299731	
0.094	0.0298672	
0.095	0.0299131	
0.096	0.0300692	
0.097	0.0301041	
0.098	0.0301041	
0.099	0.0299931	
0.100	0.0298284	
0.101	0.0298543	
0.102	0.0300119	
0.103	0.0301326	
0.104	0.0300891	
0.105	0.0299533	
0.106	0.029753	
0.107	0.0297441	
0.108	0.0299954	
0.109	0.0302655	
0.110	0.0302378	
0.111	0.029919	
0.112	0.0296542	
0.113	0.0297184	
0.114	0.0297184	
0.115	0.0301631	
0.116	0.0300527	
0.117	0.0298019	
0.118	0.0298019	
0.119	0.029533	
0.120	0.0297678	
0.121	0.0299357	
0.122	0.0299834	
0.123	0.0297674	
0.124	0.0297674	
0.125	0.0295036	
0.126	0.0296372	
0.127	0.0299838	
0.128	0.0299556	
0.129	0.0299055	
0.130	0.0297309	
0.131	0.0296198	
0.132	0.0298172	
0.133	0.0298172	
0.134	0.030205	
0.135	0.0299783	
0.136	0.0298065	
0.137	0.0297771	
0.138	0.0300148	
0.139	0.0302136	
0.140	0.0301647	
0.141	0.0298878	
0.142	0.0297694	
0.143	0.0298527	
0.144	0.0299575	
0.145	0.0301248	
0.146	0.0300374	
0.147	0.0298339	
0.148	0.0295733	
0.149	0.0296832	
0.150	0.0299796	
0.151	0.0300021	
0.152	0.0299656	
0.153	0.0298286	
0.154	0.0294912	
0.155	0.0295929	
0.156	0.0299629	
0.157	0.0299435	
0.158	0.0298747	
0.159	0.0296143	
0.160	0.029577	
0.161	0.0296294	
0.162	0.0297814	
0.163	0.0300234	
0.164	0.0297406	
0.165	0.0296082	
0.166	0.0295145	
0.167	0.0295723	
0.168	0.0297345	
0.169	0.029884	
0.170	0.030003	
0.171	0.0298995	
0.172	0.0298592	
0.173	0.0298592	
0.174	0.0300601	
0.175	0.0300482	
0.176	0.0300358	
0.177	0.0301596	
0.178	0.0302443	
0.179	0.0304116	
0.180	0.030421	
0.181	0.0303197	
0.182	0.0300743	
0.183	0.0302019	
0.184	0.0304307	
0.185	0.0304763	
0.186	0.0302767	
0.187	0.0300783	
0.188	0.0298871	
0.189	0.0300426	
0.190	0.0302389	
0.191	0.0303309	
0.192	0.0302012	
0.193	0.0299068	
0.194	0.0297279	
0.195	0.0297366	
0.196	0.0298374	
0.197	0.0300907	
0.198	0.0299507	
0.199	0.0297887	
0.200	0.0295945	
0.201	0.0296173	
0.202	0.0297956	
0.203	0.029832	
0.204	0.0297102	
0.205	0.0295007	
0.206	0.0295728	
0.207	0.0297207	
0.208	0.0297284	
0.209	0.0298428	
0.210	0.029801	
0.211	0.0298259	
0.212	0.0297257	
0.213	0.0297124	
0.214	0.0299661	
0.215	0.030177	
0.216	0.0301258	
0.217	0.0301048	
0.218	0.030151	
0.219	0.0303593	
0.220	0.030354	
0.221	0.030393	
0.222	0.0304416	
0.223	0.0303512	
0.224	0.0302569	
0.225	0.0304877	
0.226	0.0306115	
0.227	0.0305771	
0.228	0.0304269	
0.229	0.0302598	
0.230	0.030267	
0.231	0.030267	
0.232	0.030405	
0.233	0.030232	
0.234	0.030232	
0.235	0.0300068	
