Time [s]	gt_FA2TC_data.n_meas(W:0000EF94h)	
0.000	0.0283992	
0.001	0.0291406	
0.002	0.0304927	
0.003	0.0310052	
0.004	0.0301685	
0.005	0.0293012	
0.006	0.0292034	
0.007	0.0303124	
0.008	0.0311705	
0.009	0.0314257	
0.010	0.0308031	
0.011	0.0299812	
0.012	0.0303823	
0.013	0.0303823	
0.014	0.0309404	
0.015	0.0308259	
0.016	0.0307766	
0.017	0.0305406	
0.018	0.0302452	
0.019	0.0298972	
0.020	0.0295218	
0.021	0.0298697	
0.022	0.0303199	
0.023	0.0300236	
0.024	0.0289975	
0.025	0.0289975	
0.026	0.0297132	
0.027	0.0307272	
0.028	0.0309016	
0.029	0.0302275	
0.030	0.0295824	
0.031	0.0299588	
0.032	0.0310863	
0.033	0.0316717	
0.034	0.0310605	
0.035	0.0300384	
0.036	0.0299115	
0.037	0.0305489	
0.038	0.0314126	
0.039	0.0315603	
0.040	0.0309653	
0.041	0.0304766	
0.042	0.0303593	
0.043	0.0306893	
0.044	0.0306969	
0.045	0.0304287	
0.046	0.0305206	
0.047	0.0308778	
0.048	0.0307073	
0.049	0.0300174	
0.050	0.0295596	
0.051	0.0296602	
0.052	0.0302196	
0.053	0.0304365	
0.054	0.030135	
0.055	0.0295889	
0.056	0.0294498	
0.057	0.0299467	
0.058	0.0302147	
0.059	0.0299324	
0.060	0.0294675	
0.061	0.0296026	
0.062	0.0300909	
0.063	0.0307022	
0.064	0.0308501	
0.065	0.0304511	
0.066	0.0298247	
0.067	0.0297115	
0.068	0.0302352	
0.069	0.0309549	
0.070	0.0309395	
0.071	0.0302952	
0.072	0.0295163	
0.073	0.0292826	
0.074	0.0296155	
0.075	0.0300607	
0.076	0.0302581	
0.077	0.029725	
0.078	0.0288997	
0.079	0.0282146	
0.080	0.0284626	
0.081	0.029303	
0.082	0.0298696	
0.083	0.0298659	
0.084	0.0291537	
0.085	0.0286285	
0.086	0.0285004	
0.087	0.0291854	
0.088	0.0301058	
0.089	0.0305942	
0.090	0.0303595	
0.091	0.0295817	
0.092	0.028891	
0.093	0.0289658	
0.094	0.0297737	
0.095	0.030494	
0.096	0.0304879	
0.097	0.0296023	
0.098	0.028755	
0.099	0.0289632	
0.100	0.0297772	
0.101	0.0300412	
0.102	0.0293375	
0.103	0.0284783	
0.104	0.0282762	
0.105	0.0290028	
0.106	0.0296944	
0.107	0.0295294	
0.108	0.0287518	
0.109	0.0281973	
0.110	0.0289291	
0.111	0.0300696	
0.112	0.0300881	
0.113	0.0292183	
0.114	0.0287692	
0.115	0.0294467	
0.116	0.0303851	
0.117	0.0307769	
0.118	0.0301024	
0.119	0.0292621	
0.120	0.0291978	
0.121	0.0299415	
0.122	0.0308509	
0.123	0.0308509	
0.124	0.0302585	
0.125	0.0296976	
0.126	0.0297373	
0.127	0.0302814	
0.128	0.0304855	
0.129	0.0300651	
0.130	0.0296216	
0.131	0.0298843	
0.132	0.030265	
0.133	0.0301312	
0.134	0.029882	
0.135	0.0295119	
0.136	0.029461	
0.137	0.0298243	
0.138	0.0301467	
0.139	0.0300878	
0.140	0.0297525	
0.141	0.0295107	
0.142	0.0299283	
0.143	0.0305165	
0.144	0.0306615	
0.145	0.0304145	
0.146	0.0299974	
0.147	0.0300595	
0.148	0.0306451	
0.149	0.0311603	
0.150	0.0307043	
0.151	0.0298955	
0.152	0.0296379	
0.153	0.0299655	
0.154	0.0303612	
0.155	0.0305383	
0.156	0.0297701	
0.157	0.0297701	
0.158	0.0283272	
0.159	0.0283272	
0.160	0.0293297	
0.161	0.0300228	
0.162	0.0296451	
0.163	0.0286108	
0.164	0.0278602	
0.165	0.0284173	
0.166	0.0284173	
0.167	0.0293169	
0.168	0.0293796	
0.169	0.0289178	
0.170	0.0286892	
0.171	0.0290646	
0.172	0.0296225	
0.173	0.0299125	
0.174	0.0295014	
0.175	0.0289115	
0.176	0.0289251	
0.177	0.0293877	
0.178	0.0298941	
0.179	0.0298941	
0.180	0.0294219	
0.181	0.029173	
0.182	0.0293879	
0.183	0.0293879	
0.184	0.0293948	
0.185	0.0290417	
0.186	0.0288243	
0.187	0.0290348	
0.188	0.0290348	
0.189	0.0289499	
0.190	0.0286806	
0.191	0.0285309	
0.192	0.028696	
0.193	0.0290464	
0.194	0.0289303	
0.195	0.0288961	
0.196	0.0288468	
0.197	0.0293222	
0.198	0.0296662	
0.199	0.0293871	
0.200	0.0293871	
0.201	0.0291952	
0.202	0.0296277	
0.203	0.0298726	
0.204	0.0296474	
0.205	0.0296474	
0.206	0.0292972	
0.207	0.0296035	
0.208	0.0300196	
0.209	0.0300196	
0.210	0.0294595	
0.211	0.0289843	
0.212	0.0287832	
0.213	0.0290218	
0.214	0.0290218	
0.215	0.0288276	
0.216	0.0282734	
0.217	0.0277841	
0.218	0.0277841	
0.219	0.0281497	
0.220	0.0279971	
0.221	0.0275429	
0.222	0.0273715	
0.223	0.0279365	
0.224	0.028546	
0.225	0.0285017	
0.226	0.0275887	
0.227	0.0271741	
0.228	0.0278487	
0.229	0.0290433	
0.230	0.0296045	
0.231	0.0291707	
0.232	0.0281476	
0.233	0.0279592	
0.234	0.0289739	
0.235	0.0301339	
0.236	0.0303428	
0.237	0.0295204	
0.238	0.0288224	
0.239	0.0289204	
0.240	0.0298431	
0.241	0.0305982	
0.242	0.0301696	
0.243	0.0292341	
0.244	0.0290022	
0.245	0.0294104	
0.246	0.0296379	
0.247	0.0293009	
0.248	0.0285921	
0.249	0.0288692	
0.250	0.0288692	
0.251	0.0292919	
0.252	0.0289224	
0.253	0.0286199	
0.254	0.0291599	
0.255	0.0301737	
0.256	0.0300315	
0.257	0.0300315	
0.258	0.0290655	
0.259	0.0293942	
0.260	0.0306207	
0.261	0.0314369	
0.262	0.0311532	
0.263	0.0303014	
0.264	0.0298416	
0.265	0.0309208	
0.266	0.0309208	
0.267	0.0316262	
0.268	0.0309788	
0.269	0.0306058	
0.270	0.0308263	
0.271	0.0310782	
0.272	0.030708	
0.273	0.0303358	
0.274	0.0303126	
0.275	0.0307236	
0.276	0.0308807	
0.277	0.030516	
0.278	0.0300152	
0.279	0.030443	
0.280	0.0313395	
0.281	0.0318245	
0.282	0.0310025	
0.283	0.0310025	
0.284	0.0315479	
0.285	0.0315479	
0.286	0.0324773	
0.287	0.0318463	
0.288	0.0311225	
0.289	0.0311428	
0.290	0.0320223	
0.291	0.0320223	
0.292	0.0317395	
0.293	0.0317395	
0.294	0.0315034	
0.295	0.0315034	
0.296	0.0314941	
0.297	0.0307263	
0.298	0.0307263	
0.299	0.0317458	
0.300	0.0317458	
0.301	0.03099	
0.302	0.0297515	
0.303	0.0297515	
0.304	0.0306721	
0.305	0.0306721	
0.306	0.030834	
0.307	0.030834	
0.308	0.0300421	
0.309	0.0300421	
0.310	0.0307138	
0.311	0.0307138	
0.312	0.0305341	
0.313	0.0307577	
0.314	0.0309944	
0.315	0.0311558	
0.316	0.0314646	
0.317	0.0313312	
0.318	0.0313312	
0.319	0.0310805	
0.320	0.0313675	
0.321	0.0316988	
0.322	0.0318321	
0.323	0.0315174	
0.324	0.0315174	
0.325	0.0311022	
0.326	0.031201	
0.327	0.0312884	
0.328	0.0312951	
0.329	0.0310142	
0.330	0.0302702	
0.331	0.0299732	
0.332	0.0302791	
0.333	0.0307753	
0.334	0.0311047	
0.335	0.0308996	
0.336	0.0303204	
0.337	0.0300516	
0.338	0.0302578	
0.339	0.0308576	
0.340	0.0313488	
0.341	0.0311091	
0.342	0.0304814	
0.343	0.0295899	
0.344	0.0296227	
0.345	0.0303007	
0.346	0.0309525	
0.347	0.0308637	
0.348	0.0299438	
0.349	0.0293324	
0.350	0.0294628	
0.351	0.0301082	
0.352	0.0304773	
0.353	0.0299718	
0.354	0.029253	
0.355	0.0291746	
0.356	0.0298875	
0.357	0.030238	
0.358	0.0299698	
0.359	0.0295293	
0.360	0.0298469	
0.361	0.0308183	
0.362	0.0310426	
0.363	0.0305208	
0.364	0.0301491	
0.365	0.0305373	
0.366	0.0314964	
0.367	0.0321757	
0.368	0.0316201	
0.369	0.030841	
0.370	0.0306002	
0.371	0.0310349	
0.372	0.0318254	
0.373	0.0322009	
0.374	0.0317086	
0.375	0.0313091	
0.376	0.0313439	
0.377	0.031374	
0.378	0.0311954	
0.379	0.0310592	
0.380	0.0312195	
0.381	0.031252	
0.382	0.0310829	
0.383	0.0306794	
0.384	0.0303773	
0.385	0.0304202	
