Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	-79.599	
0.001	-79.948	
0.002	-79.916	
0.003	-79.466	
0.004	-79.301	
0.005	-79.596	
0.006	-79.856	
0.007	-79.601	
0.008	-79.601	
0.009	-79.814	
0.010	-79.918	
0.011	-79.802	
0.012	-79.802	
0.013	-79.443	
0.014	-79.308	
0.015	-79.479	
0.016	-79.812	
0.017	-80.212	
0.018	-80.114	
0.019	-79.796	
0.020	-79.596	
0.021	 -79.71	
0.022	 -79.71	
0.023	-79.505	
0.024	-79.285	
0.025	-79.623	
0.026	-79.782	
0.027	-79.782	
0.028	-79.624	
0.029	-79.544	
0.030	-79.653	
0.031	-79.719	
0.032	-79.785	
0.033	-79.916	
0.034	-79.996	
0.035	-79.892	
0.036	-79.744	
0.037	-79.581	
0.038	 -79.64	
0.039	-79.734	
0.040	-79.851	
0.041	-80.057	
0.042	-80.004	
0.043	-79.894	
0.044	 -79.73	
0.045	-79.647	
0.046	-79.657	
0.047	-79.296	
0.048	 -79.12	
0.049	-79.437	
0.050	-79.782	
0.051	-79.791	
0.052	-79.337	
0.053	-79.153	
0.054	-79.477	
0.055	-79.685	
0.056	-79.583	
0.057	-79.349	
0.058	-79.357	
0.059	-79.565	
0.060	-79.642	
0.061	 -79.46	
0.062	-79.147	
0.063	-79.135	
0.064	 -79.24	
0.065	 -79.36	
0.066	-79.523	
0.067	-79.522	
0.068	-79.601	
0.069	-79.606	
0.070	-79.533	
0.071	-79.473	
0.072	-79.245	
0.073	-79.286	
0.074	-79.599	
0.075	  -79.8	
0.076	-79.726	
0.077	-79.403	
0.078	 -79.47	
0.079	-79.826	
0.080	-79.879	
0.081	-79.766	
0.082	-79.688	
0.083	-79.888	
0.084	-80.134	
0.085	-80.059	
0.086	-79.806	
0.087	-79.806	
0.088	-79.658	
0.089	-79.658	
0.090	-80.162	
0.091	-80.162	
0.092	-80.233	
0.093	-80.233	
0.094	-80.063	
0.095	-80.021	
0.096	-79.951	
0.097	-79.951	
0.098	-79.418	
0.099	-79.418	
0.100	-80.085	
0.101	-80.085	
0.102	-79.652	
0.103	-79.652	
0.104	-79.628	
0.105	-79.628	
0.106	-79.899	
0.107	-79.899	
0.108	-79.664	
0.109	-79.664	
0.110	-79.847	
0.111	 -79.76	
0.112	 -79.76	
0.113	-79.363	
0.114	-79.363	
0.115	-79.635	
0.116	-79.635	
0.117	-79.862	
0.118	-79.862	
0.119	-79.501	
0.120	-79.501	
0.121	-79.529	
0.122	-79.529	
0.123	-79.202	
0.124	-79.202	
0.125	 -79.71	
0.126	 -79.71	
0.127	-79.497	
0.128	-79.497	
0.129	 -79.54	
0.130	 -79.54	
0.131	-79.717	
0.132	-79.717	
0.133	-79.817	
0.134	-79.817	
0.135	-79.853	
0.136	-79.853	
0.137	 -79.62	
0.138	 -79.62	
0.139	-79.621	
0.140	-79.621	
0.141	  -80.1	
0.142	  -80.1	
0.143	-79.907	
0.144	-79.907	
0.145	-79.584	
0.146	-79.584	
0.147	-79.402	
0.148	-79.402	
0.149	-79.364	
0.150	-79.364	
0.151	-79.678	
0.152	-79.678	
0.153	-79.202	
0.154	-79.202	
0.155	-79.668	
0.156	-79.668	
0.157	-79.516	
0.158	-79.516	
0.159	-79.736	
0.160	-79.736	
0.161	-79.489	
0.162	-79.489	
0.163	-79.376	
0.164	-79.376	
0.165	-79.528	
0.166	-79.528	
0.167	 -79.53	
0.168	 -79.53	
0.169	-79.768	
0.170	-79.768	
0.171	-79.396	
0.172	-79.396	
0.173	-79.184	
0.174	-79.184	
0.175	-79.854	
0.176	-79.854	
0.177	-79.449	
0.178	-79.449	
0.179	-79.812	
0.180	-79.812	
0.181	-79.793	
0.182	-79.793	
0.183	-79.892	
0.184	-79.892	
0.185	-80.055	
0.186	-80.055	
0.187	-79.547	
0.188	-79.547	
0.189	-79.987	
0.190	-79.987	
0.191	 -80.29	
0.192	 -80.29	
0.193	-80.045	
0.194	-80.045	
0.195	    -80	
0.196	    -80	
0.197	-79.518	
0.198	-79.518	
0.199	-79.453	
0.200	-79.453	
0.201	-79.917	
0.202	-79.917	
0.203	-79.343	
0.204	-79.343	
0.205	-79.766	
0.206	-79.766	
0.207	-79.615	
0.208	-79.615	
0.209	-79.751	
0.210	-79.751	
0.211	-79.656	
