Time [s]	163.05 NAIO-03 ch1 torq.(P:00A305h)	
0.000	 -49.01	
0.001	 -49.01	
0.002	 -48.99	
0.003	-48.899	
0.004	-48.899	
0.005	-48.366	
0.006	-48.366	
0.007	-47.917	
0.008	-47.917	
0.009	-47.687	
0.010	-47.687	
0.011	-47.732	
0.012	-47.732	
0.013	-48.022	
0.014	-48.453	
0.015	-48.798	
0.016	-49.026	
0.017	-49.188	
0.018	 -49.32	
0.019	-49.449	
0.020	-49.483	
0.021	-49.202	
0.022	-48.875	
0.023	-48.666	
0.024	-48.592	
0.025	-48.571	
0.026	-48.539	
0.027	-48.532	
0.028	-48.588	
0.029	-48.845	
0.030	-49.336	
0.031	-49.757	
0.032	-49.998	
0.033	-50.095	
0.034	-50.117	
0.035	-50.102	
0.036	-50.059	
0.037	-49.741	
0.038	 -49.31	
0.039	 -48.94	
0.040	 -48.65	
0.041	-48.456	
0.042	-48.391	
0.043	-48.397	
0.044	-48.388	
0.045	-48.437	
0.046	-48.771	
0.047	-49.169	
0.048	-49.531	
0.049	-49.798	
0.050	-49.933	
0.051	-49.972	
0.052	-49.988	
0.053	-49.868	
0.054	-49.596	
0.055	-49.391	
0.056	-49.232	
0.057	-49.082	
0.058	-48.982	
0.059	-48.948	
0.060	-48.974	
0.061	-49.045	
0.062	-49.261	
0.063	-49.687	
0.064	-50.091	
0.065	-50.427	
0.066	-50.716	
0.067	-50.968	
0.068	 -51.17	
0.069	 -51.28	
0.070	-51.055	
0.071	-50.693	
0.072	-50.442	
0.073	 -50.35	
0.074	-50.317	
0.075	-50.225	
0.076	-50.094	
0.077	 -49.97	
0.078	-49.894	
0.079	-50.121	
0.080	-50.521	
0.081	 -50.82	
0.082	-50.929	
0.083	-50.909	
0.084	-50.862	
0.085	-50.899	
0.086	-50.978	
0.087	-50.761	
0.088	-50.368	
0.089	-49.993	
0.090	-49.747	
0.091	-49.621	
0.092	-49.562	
0.093	-49.534	
0.094	-49.511	
0.095	-49.503	
0.096	-49.757	
0.097	-50.146	
0.098	-50.506	
0.099	-50.759	
0.100	  -50.9	
0.101	-50.981	
0.102	-51.036	
0.103	 -51.09	
0.104	-50.926	
0.105	-50.683	
0.106	-50.485	
0.107	-50.358	
0.108	 -50.35	
0.109	 -50.35	
0.110	 -50.34	
0.111	 -50.34	
0.112	-50.574	
0.113	-50.574	
0.114	 -51.52	
0.115	 -51.52	
0.116	-51.889	
0.117	-51.889	
0.118	-51.947	
0.119	-51.947	
0.120	-51.765	
0.121	-51.765	
0.122	  -50.9	
0.123	  -50.9	
0.124	-50.303	
0.125	-50.303	
0.126	-50.115	
0.127	-50.115	
0.128	-49.787	
0.129	-49.787	
0.130	-50.025	
0.131	-50.025	
0.132	    -51	
0.133	    -51	
0.134	-51.159	
0.135	-51.159	
0.136	-51.096	
0.137	-51.096	
0.138	-50.944	
0.139	-50.944	
0.140	-50.252	
0.141	-50.252	
0.142	-49.924	
0.143	-49.924	
0.144	-49.813	
0.145	-49.813	
0.146	-49.687	
0.147	-49.687	
0.148	 -50.36	
0.149	 -50.36	
0.150	 -51.01	
0.151	 -51.01	
0.152	-51.336	
0.153	-51.336	
0.154	-51.679	
0.155	-51.679	
0.156	-51.179	
0.157	-51.179	
0.158	-50.703	
0.159	-50.703	
0.160	-50.631	
0.161	-50.631	
0.162	-50.372	
0.163	-50.372	
0.164	-50.422	
0.165	-50.422	
0.166	-51.036	
0.167	-51.036	
0.168	-51.085	
0.169	-51.085	
0.170	-51.009	
0.171	-51.009	
0.172	-50.771	
0.173	-50.771	
0.174	-49.973	
0.175	-49.973	
0.176	-49.526	
0.177	-49.526	
0.178	-49.457	
0.179	-49.457	
0.180	-49.331	
0.181	-49.331	
0.182	-49.978	
0.183	-49.978	
0.184	-50.484	
0.185	-50.484	
0.186	-50.586	
0.187	-50.586	
0.188	-50.504	
0.189	-50.504	
0.190	-49.853	
0.191	-49.853	
0.192	-49.469	
0.193	-49.469	
0.194	-49.403	
0.195	-49.403	
0.196	-49.378	
0.197	-49.378	
0.198	-49.985	
0.199	-49.985	
0.200	-50.584	
0.201	-50.584	
0.202	-50.755	
0.203	-50.755	
0.204	-50.638	
0.205	-50.638	
0.206	-49.767	
0.207	-49.767	
0.208	-49.056	
0.209	-49.056	
0.210	-48.705	
0.211	-48.705	
0.212	-48.483	
0.213	-48.483	
0.214	-48.871	
0.215	-48.871	
0.216	-49.582	
0.217	-49.582	
0.218	-49.714	
0.219	-49.714	
0.220	-49.583	
0.221	-49.583	
0.222	-48.954	
0.223	-48.954	
0.224	-48.332	
0.225	-48.332	
0.226	-48.117	
0.227	-48.117	
0.228	-48.128	
0.229	-48.128	
0.230	-48.479	
0.231	-48.479	
0.232	-49.196	
0.233	-49.196	
0.234	  -49.6	
0.235	  -49.6	
0.236	-49.722	
0.237	-49.722	
0.238	 -49.29	
0.239	 -49.29	
0.240	-48.808	
0.241	-48.808	
0.242	 -48.69	
0.243	 -48.69	
0.244	-48.566	
0.245	-48.566	
0.246	-48.699	
0.247	-48.699	
0.248	-49.199	
0.249	-49.199	
0.250	 -49.38	
0.251	 -49.38	
0.252	-49.256	
0.253	-49.256	
0.254	-48.687	
0.255	-48.687	
0.256	-48.371	
0.257	-48.371	
0.258	-48.078	
0.259	-48.078	
0.260	 -47.92	
0.261	 -47.92	
0.262	-48.284	
0.263	-48.284	
0.264	-48.941	
0.265	-48.941	
0.266	-49.288	
0.267	-49.288	
0.268	 -49.54	
0.269	 -49.54	
0.270	-49.093	
0.271	-49.093	
0.272	 -48.59	
0.273	 -48.59	
0.274	-48.603	
0.275	-48.603	
0.276	 -48.51	
0.277	 -48.51	
0.278	-48.699	
0.279	-48.699	
0.280	-49.672	
0.281	-49.672	
0.282	-50.051	
0.283	-50.051	
0.284	-50.192	
